Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,Alabama,158738,365747,4872,202137,Jan,15.8738,36.5747,0.4872,20.2137
1/2/21,Alabama,162449,369458,4872,202137,Jan,16.2449,36.9458,0.4872,20.2137
1/3/21,Alabama,164924,371934,4873,202137,Jan,16.4924,37.1934,0.4873,20.2137
1/4/21,Alabama,167080,374095,4878,202137,Jan,16.708,37.4095,0.4878,20.2137
1/5/21,Alabama,172570,379593,4886,202137,Jan,17.257,37.9593,0.4886,20.2137
1/6/21,Alabama,167506,384184,4994,211684,Jan,16.7506,38.4184,0.4994,21.1684
1/7/21,Alabama,172466,389230,5080,211684,Jan,17.2466,38.923,0.508,21.1684
1/8/21,Alabama,177412,394287,5191,211684,Jan,17.7412,39.4287,0.5191,21.1684
1/9/21,Alabama,182167,399150,5299,211684,Jan,18.2167,39.915,0.5299,21.1684
1/10/21,Alabama,184882,401900,5334,211684,Jan,18.4882,40.19,0.5334,21.1684
1/11/21,Alabama,186969,404000,5347,211684,Jan,18.6969,40.4,0.5347,21.1684
1/12/21,Alabama,190591,407848,5573,211684,Jan,19.0591,40.7848,0.5573,21.1684
1/13/21,Alabama,193551,410995,5760,211684,Jan,19.3551,41.0995,0.576,21.1684
1/14/21,Alabama,186677,414583,5945,221961,Jan,18.6677,41.4583,0.5945,22.1961
1/15/21,Alabama,189537,417528,6030,221961,Jan,18.9537,41.7528,0.603,22.1961
1/16/21,Alabama,192601,420681,6119,221961,Jan,19.2601,42.0681,0.6119,22.1961
1/17/21,Alabama,194517,422598,6120,221961,Jan,19.4517,42.2598,0.612,22.1961
1/18/21,Alabama,195946,424028,6121,221961,Jan,19.5946,42.4028,0.6121,22.1961
1/19/21,Alabama,198456,426543,6126,221961,Jan,19.8456,42.6543,0.6126,22.1961
1/20/21,Alabama,190161,429655,6283,233211,Jan,19.0161,42.9655,0.6283,23.3211
1/21/21,Alabama,192946,432536,6379,233211,Jan,19.2946,43.2536,0.6379,23.3211
1/22/21,Alabama,196390,436087,6486,233211,Jan,19.639,43.6087,0.6486,23.3211
1/23/21,Alabama,199574,439442,6657,233211,Jan,19.9574,43.9442,0.6657,23.3211
1/24/21,Alabama,201299,441170,6660,233211,Jan,20.1299,44.117,0.666,23.3211
1/25/21,Alabama,203136,443009,6662,233211,Jan,20.3136,44.3009,0.6662,23.3211
1/26/21,Alabama,205802,445909,6896,233211,Jan,20.5802,44.5909,0.6896,23.3211
1/27/21,Alabama,208703,449086,7172,233211,Jan,20.8703,44.9086,0.7172,23.3211
1/28/21,Alabama,203251,452734,7340,242143,Jan,20.3251,45.2734,0.734,24.2143
1/29/21,Alabama,205873,455582,7566,242143,Jan,20.5873,45.5582,0.7566,24.2143
1/30/21,Alabama,205873,455582,7566,242143,Jan,20.5873,45.5582,0.7566,24.2143
1/31/21,Alabama,209808,459639,7688,242143,Jan,20.9808,45.9639,0.7688,24.2143
2/1/21,Alabama,211029,460860,7688,242143,Feb,21.1029,46.086,0.7688,24.2143
2/2/21,Alabama,212901,462938,7894,242143,Feb,21.2901,46.2938,0.7894,24.2143
2/3/21,Alabama,214710,465056,8203,242143,Feb,21.471,46.5056,0.8203,24.2143
2/4/21,Alabama,206578,467823,8365,252880,Feb,20.6578,46.7823,0.8365,25.288
2/5/21,Alabama,207990,469319,8449,252880,Feb,20.799,46.9319,0.8449,25.288
2/6/21,Alabama,209918,471311,8513,252880,Feb,20.9918,47.1311,0.8513,25.288
2/7/21,Alabama,211028,472423,8515,252880,Feb,21.1028,47.2423,0.8515,25.288
2/8/21,Alabama,211945,473348,8523,252880,Feb,21.1945,47.3348,0.8523,25.288
2/9/21,Alabama,213207,474666,8579,252880,Feb,21.3207,47.4666,0.8579,25.288
2/10/21,Alabama,202558,476067,8888,264621,Feb,20.2558,47.6067,0.8888,26.4621
2/11/21,Alabama,203928,477570,9021,264621,Feb,20.3928,47.757,0.9021,26.4621
2/12/21,Alabama,204866,478667,9180,264621,Feb,20.4866,47.8667,0.918,26.4621
2/13/21,Alabama,205993,479856,9242,264621,Feb,20.5993,47.9856,0.9242,26.4621
2/14/21,Alabama,207068,480931,9242,264621,Feb,20.7068,48.0931,0.9242,26.4621
2/15/21,Alabama,207740,481605,9244,264621,Feb,20.774,48.1605,0.9244,26.4621
2/16/21,Alabama,208610,482488,9257,264621,Feb,20.861,48.2488,0.9257,26.4621
