Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,Alaska,39648,47019,206,7165,Jan,3.9648,4.7019,0.0206,0.7165
1/2/21,Alaska,40441,47821,215,7165,Jan,4.0441,4.7821,0.0215,0.7165
1/3/21,Alaska,40738,48118,215,7165,Jan,4.0738,4.8118,0.0215,0.7165
1/4/21,Alaska,40999,48382,218,7165,Jan,4.0999,4.8382,0.0218,0.7165
1/5/21,Alaska,41199,48582,218,7165,Jan,4.1199,4.8582,0.0218,0.7165
1/6/21,Alaska,41537,48922,220,7165,Jan,4.1537,4.8922,0.022,0.7165
1/7/21,Alaska,41867,49255,223,7165,Jan,4.1867,4.9255,0.0223,0.7165
1/8/21,Alaska,42272,49660,223,7165,Jan,4.2272,4.966,0.0223,0.7165
1/9/21,Alaska,42590,49979,224,7165,Jan,4.259,4.9979,0.0224,0.7165
1/10/21,Alaska,42849,50238,224,7165,Jan,4.2849,5.0238,0.0224,0.7165
1/11/21,Alaska,43024,50413,224,7165,Jan,4.3024,5.0413,0.0224,0.7165
1/12/21,Alaska,43154,50544,225,7165,Jan,4.3154,5.0544,0.0225,0.7165
1/13/21,Alaska,43449,50840,226,7165,Jan,4.3449,5.084,0.0226,0.7165
1/14/21,Alaska,43792,51185,228,7165,Jan,4.3792,5.1185,0.0228,0.7165
1/15/21,Alaska,44091,51485,229,7165,Jan,4.4091,5.1485,0.0229,0.7165
1/16/21,Alaska,44284,51678,229,7165,Jan,4.4284,5.1678,0.0229,0.7165
1/17/21,Alaska,44565,51959,229,7165,Jan,4.4565,5.1959,0.0229,0.7165
1/18/21,Alaska,44719,52113,229,7165,Jan,4.4719,5.2113,0.0229,0.7165
1/19/21,Alaska,44848,52243,230,7165,Jan,4.4848,5.2243,0.023,0.7165
1/20/21,Alaska,44995,52413,253,7165,Jan,4.4995,5.2413,0.0253,0.7165
1/21/21,Alaska,,52627,254,,Jan,0,5.2627,0.0254,0
1/22/21,Alaska,,52926,254,,Jan,0,5.2926,0.0254,0
1/23/21,Alaska,,53175,259,,Jan,0,5.3175,0.0259,0
1/24/21,Alaska,,53336,259,,Jan,0,5.3336,0.0259,0
1/25/21,Alaska,,53421,259,,Jan,0,5.3421,0.0259,0
1/26/21,Alaska,,53510,260,,Jan,0,5.351,0.026,0
1/27/21,Alaska,,53692,261,,Jan,0,5.3692,0.0261,0
1/28/21,Alaska,,53876,262,,Jan,0,5.3876,0.0262,0
1/29/21,Alaska,,54063,262,,Jan,0,5.4063,0.0262,0
1/30/21,Alaska,,54218,262,,Jan,0,5.4218,0.0262,0
1/31/21,Alaska,,54350,262,,Jan,0,5.435,0.0262,0
2/1/21,Alaska,,54457,262,,Feb,0,5.4457,0.0262,0
2/2/21,Alaska,,54596,279,,Feb,0,5.4596,0.0279,0
2/3/21,Alaska,,54820,279,,Feb,0,5.482,0.0279,0
2/4/21,Alaska,,55004,279,,Feb,0,5.5004,0.0279,0
2/5/21,Alaska,,55258,279,,Feb,0,5.5258,0.0279,0
2/6/21,Alaska,,55261,279,,Feb,0,5.5261,0.0279,0
2/7/21,Alaska,,55261,279,,Feb,0,5.5261,0.0279,0
2/8/21,Alaska,,55766,279,,Feb,0,5.5766,0.0279,0
2/9/21,Alaska,,55891,280,,Feb,0,5.5891,0.028,0
2/10/21,Alaska,,56096,280,,Feb,0,5.6096,0.028,0
2/11/21,Alaska,,56254,280,,Feb,0,5.6254,0.028,0
2/12/21,Alaska,,56409,282,,Feb,0,5.6409,0.0282,0
2/13/21,Alaska,,56410,282,,Feb,0,5.641,0.0282,0
2/14/21,Alaska,,56411,282,,Feb,0,5.6411,0.0282,0
2/15/21,Alaska,,56411,282,,Feb,0,5.6411,0.0282,0
2/16/21,Alaska,,56912,287,,Feb,0,5.6912,0.0287,0
2/17/21,Alaska,,56975,288,,Feb,0,5.6975,0.0288,0
2/18/21,Alaska,,57192,288,,Feb,0,5.7192,0.0288,0
2/19/21,Alaska,,57404,289,,Feb,0,5.7404,0.0289,0
2/20/21,Alaska,,57406,289,,Feb,0,5.7406,0.0289,0
2/21/21,Alaska,,57406,289,,Feb,0,5.7406,0.0289,0
2/22/21,Alaska,,57751,290,,Feb,0,5.7751,0.029,0
2/23/21,Alaska,,57808,290,,Feb,0,5.7808,0.029,0
2/24/21,Alaska,,57996,290,,Feb,0,5.7996,0.029,0
2/25/21,Alaska,,58179,290,,Feb,0,5.8179,0.029,0
2/26/21,Alaska,,58291,290,,Feb,0,5.8291,0.029,0
2/27/21,Alaska,,58295,290,,Feb,0,5.8295,0.029,0
2/28/21,Alaska,,58296,290,,Feb,0,5.8296,0.029,0
3/1/21,Alaska,,58681,300,,Mar,0,5.8681,0.03,0
3/2/21,Alaska,,58838,302,,Mar,0,5.8838,0.0302,0
3/3/21,Alaska,,59035,303,,Mar,0,5.9035,0.0303,0
3/4/21,Alaska,,59185,303,,Mar,0,5.9185,0.0303,0
3/5/21,Alaska,,59334,305,,Mar,0,5.9334,0.0305,0
3/6/21,Alaska,,59334,305,,Mar,0,5.9334,0.0305,0
3/7/21,Alaska,,59335,305,,Mar,0,5.9335,0.0305,0
3/8/21,Alaska,,59677,305,,Mar,0,5.9677,0.0305,0
3/9/21,Alaska,,59766,305,,Mar,0,5.9766,0.0305,0
3/10/21,Alaska,,59921,305,,Mar,0,5.9921,0.0305,0
3/11/21,Alaska,,60157,305,,Mar,0,6.0157,0.0305,0
3/12/21,Alaska,,60266,306,,Mar,0,6.0266,0.0306,0
3/13/21,Alaska,,60266,306,,Mar,0,6.0266,0.0306,0
3/14/21,Alaska,,60267,306,,Mar,0,6.0267,0.0306,0
3/15/21,Alaska,,60655,306,,Mar,0,6.0655,0.0306,0
3/16/21,Alaska,,60758,306,,Mar,0,6.0758,0.0306,0
3/17/21,Alaska,,60934,307,,Mar,0,6.0934,0.0307,0
3/18/21,Alaska,,61091,310,,Mar,0,6.1091,0.031,0
3/19/21,Alaska,,61162,310,,Mar,0,6.1162,0.031,0
3/20/21,Alaska,,61165,310,,Mar,0,6.1165,0.031,0
3/21/21,Alaska,,61165,310,,Mar,0,6.1165,0.031,0
3/22/21,Alaska,,61517,310,,Mar,0,6.1517,0.031,0
3/23/21,Alaska,,61694,312,,Mar,0,6.1694,0.0312,0
