Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,American Samoa,,0,0,,Jan,0,0,0,0
1/2/21,American Samoa,,0,0,,Jan,0,0,0,0
1/3/21,American Samoa,,0,0,,Jan,0,0,0,0
1/4/21,American Samoa,,0,0,,Jan,0,0,0,0
1/5/21,American Samoa,,0,0,,Jan,0,0,0,0
1/6/21,American Samoa,,0,0,,Jan,0,0,0,0
1/7/21,American Samoa,,0,0,,Jan,0,0,0,0
1/8/21,American Samoa,,0,0,,Jan,0,0,0,0
1/9/21,American Samoa,,0,0,,Jan,0,0,0,0
1/10/21,American Samoa,,0,0,,Jan,0,0,0,0
1/11/21,American Samoa,,0,0,,Jan,0,0,0,0
1/12/21,American Samoa,,0,0,,Jan,0,0,0,0
1/13/21,American Samoa,,0,0,,Jan,0,0,0,0
1/14/21,American Samoa,,0,0,,Jan,0,0,0,0
1/15/21,American Samoa,,0,0,,Jan,0,0,0,0
1/16/21,American Samoa,,0,0,,Jan,0,0,0,0
1/17/21,American Samoa,,0,0,,Jan,0,0,0,0
1/18/21,American Samoa,,0,0,,Jan,0,0,0,0
1/19/21,American Samoa,,0,0,,Jan,0,0,0,0
1/20/21,American Samoa,,0,0,,Jan,0,0,0,0
1/21/21,American Samoa,,0,0,,Jan,0,0,0,0
1/22/21,American Samoa,,0,0,,Jan,0,0,0,0
1/23/21,American Samoa,,0,0,,Jan,0,0,0,0
1/24/21,American Samoa,,0,0,,Jan,0,0,0,0
1/25/21,American Samoa,,0,0,,Jan,0,0,0,0
1/26/21,American Samoa,,0,0,,Jan,0,0,0,0
1/27/21,American Samoa,,0,0,,Jan,0,0,0,0
1/28/21,American Samoa,,0,0,,Jan,0,0,0,0
1/29/21,American Samoa,,0,0,,Jan,0,0,0,0
1/30/21,American Samoa,,0,0,,Jan,0,0,0,0
1/31/21,American Samoa,,0,0,,Jan,0,0,0,0
2/1/21,American Samoa,,0,0,,Feb,0,0,0,0
2/2/21,American Samoa,,0,0,,Feb,0,0,0,0
