Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,Arizona,444318,530267,9015,76934,Jan,44.4318,53.0267,0.9015,7.6934
1/2/21,Arizona,452222,539150,9061,77867,Jan,45.2222,53.915,0.9061,7.7867
1/3/21,Arizona,468633,556384,9061,78690,Jan,46.8633,55.6384,0.9061,7.869
1/4/21,Arizona,472998,561542,9064,79480,Jan,47.2998,56.1542,0.9064,7.948
1/5/21,Arizona,477855,567474,9317,80302,Jan,47.7855,56.7474,0.9317,8.0302
1/6/21,Arizona,484022,574680,9444,81214,Jan,48.4022,57.468,0.9444,8.1214
1/7/21,Arizona,492697,584593,9741,82155,Jan,49.2697,58.4593,0.9741,8.2155
1/8/21,Arizona,503218,596251,9938,83095,Jan,50.3218,59.6251,0.9938,8.3095
1/9/21,Arizona,513280,607345,10036,84029,Jan,51.328,60.7345,1.0036,8.4029
1/10/21,Arizona,523401,618546,10141,85004,Jan,52.3401,61.8546,1.0141,8.5004
1/11/21,Arizona,531482,627541,10147,85912,Jan,53.1482,62.7541,1.0147,8.5912
1/12/21,Arizona,538861,636100,10482,86757,Jan,53.8861,63.61,1.0482,8.6757
1/13/21,Arizona,543384,641729,10673,87672,Jan,54.3384,64.1729,1.0673,8.7672
1/14/21,Arizona,549519,649040,10855,88666,Jan,54.9519,64.904,1.0855,8.8666
1/15/21,Arizona,557481,658186,11040,89665,Jan,55.7481,65.8186,1.104,8.9665
1/16/21,Arizona,565013,666901,11248,90640,Jan,56.5013,66.6901,1.1248,9.064
1/17/21,Arizona,571012,673882,11266,91604,Jan,57.1012,67.3882,1.1266,9.1604
1/18/21,Arizona,575554,679282,11265,92463,Jan,57.5554,67.9282,1.1265,9.2463
1/19/21,Arizona,581144,685699,11266,93289,Jan,58.1144,68.5699,1.1266,9.3289
1/20/21,Arizona,584779,690544,11528,94237,Jan,58.4779,69.0544,1.1528,9.4237
1/21/21,Arizona,592940,699942,11772,95230,Jan,59.294,69.9942,1.1772,9.523
1/22/21,Arizona,599847,708041,12001,96193,Jan,59.9847,70.8041,1.2001,9.6193
1/23/21,Arizona,606125,715357,12170,97062,Jan,60.6125,71.5357,1.217,9.7062
1/24/21,Arizona,612376,722574,12238,97960,Jan,61.2376,72.2574,1.2238,9.796
1/25/21,Arizona,616877,727895,12239,98779,Jan,61.6877,72.7895,1.2239,9.8779
1/26/21,Arizona,620666,732643,12448,99529,Jan,62.0666,73.2643,1.2448,9.9529
1/27/21,Arizona,625637,738561,12643,100281,Jan,62.5637,73.8561,1.2643,10.0281
1/28/21,Arizona,629309,743232,12819,101104,Jan,62.9309,74.3232,1.2819,10.1104
1/29/21,Arizona,633347,748260,13022,101891,Jan,63.3347,74.826,1.3022,10.1891
1/30/21,Arizona,637603,753379,13098,102678,Jan,63.7603,75.3379,1.3098,10.2678
1/31/21,Arizona,641845,758404,13120,103439,Jan,64.1845,75.8404,1.312,10.3439
2/1/21,Arizona,644919,762145,13124,104102,Feb,64.4919,76.2145,1.3124,10.4102
2/2/21,Arizona,647040,765083,13362,104681,Feb,64.704,76.5083,1.3362,10.4681
2/3/21,Arizona,648424,767379,13576,105379,Feb,64.8424,76.7379,1.3576,10.5379
2/4/21,Arizona,651986,771796,13752,106058,Feb,65.1986,77.1796,1.3752,10.6058
2/5/21,Arizona,654976,775622,13948,106698,Feb,65.4976,77.5622,1.3948,10.6698
2/6/21,Arizona,657778,779093,14011,107304,Feb,65.7778,77.9093,1.4011,10.7304
2/7/21,Arizona,658610,780637,14048,107979,Feb,65.861,78.0637,1.4048,10.7979
2/8/21,Arizona,660337,782887,14055,108495,Feb,66.0337,78.2887,1.4055,10.8495
2/9/21,Arizona,664017,787268,14286,108965,Feb,66.4017,78.7268,1.4286,10.8965
2/10/21,Arizona,665240,789245,14462,109543,Feb,66.524,78.9245,1.4462,10.9543
2/11/21,Arizona,666340,791106,14662,110104,Feb,66.634,79.1106,1.4662,11.0104
2/12/21,Arizona,668056,793532,14834,110642,Feb,66.8056,79.3532,1.4834,11.0642
2/13/21,Arizona,669202,795323,14948,111173,Feb,66.9202,79.5323,1.4948,11.1173
2/14/21,Arizona,670643,797270,14978,111649,Feb,67.0643,79.727,1.4978,11.1649
2/15/21,Arizona,671568,798608,14978,112062,Feb,67.1568,79.8608,1.4978,11.2062
2/16/21,Arizona,672329,799740,14981,112430,Feb,67.2329,79.974,1.4981,11.243
2/17/21,Arizona,673124,801055,15063,112868,Feb,67.3124,80.1055,1.5063,11.2868
2/18/21,Arizona,673651,802198,15276,113271,Feb,67.3651,80.2198,1.5276,11.3271
2/19/21,Arizona,674998,804116,15421,113697,Feb,67.4998,80.4116,1.5421,11.3697
2/20/21,Arizona,676564,806163,15480,114119,Feb,67.6564,80.6163,1.548,11.4119
2/21/21,Arizona,677965,807967,15505,114497,Feb,67.7965,80.7967,1.5505,11.4497
2/22/21,Arizona,679117,809474,15502,114855,Feb,67.9117,80.9474,1.5502,11.4855
