Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,Arkansas,26484,229442,3711,199247,Jan,2.6484,22.9442,0.3711,19.9247
1/2/21,Arkansas,24012,231442,3729,203701,Jan,2.4012,23.1442,0.3729,20.3701
1/3/21,Arkansas,26025,233475,3749,203701,Jan,2.6025,23.3475,0.3749,20.3701
1/4/21,Arkansas,23083,234781,3800,207898,Jan,2.3083,23.4781,0.38,20.7898
1/5/21,Arkansas,24435,238888,3836,210617,Jan,2.4435,23.8888,0.3836,21.0617
1/6/21,Arkansas,28075,242593,3901,210617,Jan,2.8075,24.2593,0.3901,21.0617
1/7/21,Arkansas,26010,245916,3926,215980,Jan,2.601,24.5916,0.3926,21.598
1/8/21,Arkansas,27316,248860,3966,217578,Jan,2.7316,24.886,0.3966,21.7578
1/9/21,Arkansas,27849,251746,4010,219887,Jan,2.7849,25.1746,0.401,21.9887
1/10/21,Arkansas,31146,255076,4043,219887,Jan,3.1146,25.5076,0.4043,21.9887
1/11/21,Arkansas,25563,256344,4081,226700,Jan,2.5563,25.6344,0.4081,22.67
1/12/21,Arkansas,25732,259553,4121,229700,Jan,2.5732,25.9553,0.4121,22.97
1/13/21,Arkansas,28134,262020,4186,229700,Jan,2.8134,26.202,0.4186,22.97
1/14/21,Arkansas,24770,264511,4228,235513,Jan,2.477,26.4511,0.4228,23.5513
1/15/21,Arkansas,25643,267635,4263,237729,Jan,2.5643,26.7635,0.4263,23.7729
1/16/21,Arkansas,25834,270178,4293,240051,Jan,2.5834,27.0178,0.4293,24.0051
1/17/21,Arkansas,24917,271154,4311,241926,Jan,2.4917,27.1154,0.4311,24.1926
1/18/21,Arkansas,22824,272263,4343,245096,Jan,2.2824,27.2263,0.4343,24.5096
1/19/21,Arkansas,20970,273594,4386,248238,Jan,2.097,27.3594,0.4386,24.8238
1/20/21,Arkansas,20421,276114,4441,251252,Jan,2.0421,27.6114,0.4441,25.1252
1/21/21,Arkansas,20648,279220,4496,254076,Jan,2.0648,27.922,0.4496,25.4076
1/22/21,Arkansas,20137,281382,4549,256696,Jan,2.0137,28.1382,0.4549,25.6696
1/23/21,Arkansas,19949,282995,4563,258483,Jan,1.9949,28.2995,0.4563,25.8483
1/24/21,Arkansas,19426,284066,4606,260034,Jan,1.9426,28.4066,0.4606,26.0034
1/25/21,Arkansas,17823,284702,4650,262229,Jan,1.7823,28.4702,0.465,26.2229
1/26/21,Arkansas,18189,287187,4690,264308,Jan,1.8189,28.7187,0.469,26.4308
1/27/21,Arkansas,17716,288964,4742,266506,Jan,1.7716,28.8964,0.4742,26.6506
1/28/21,Arkansas,17577,290856,4784,268495,Jan,1.7577,29.0856,0.4784,26.8495
1/29/21,Arkansas,17356,292563,4831,270376,Jan,1.7356,29.2563,0.4831,27.0376
1/30/21,Arkansas,17638,294387,4838,271911,Jan,1.7638,29.4387,0.4838,27.1911
1/31/21,Arkansas,17184,295268,4868,273216,Jan,1.7184,29.5268,0.4868,27.3216
2/1/21,Arkansas,16695,296494,4895,274904,Feb,1.6695,29.6494,0.4895,27.4904
2/2/21,Arkansas,16361,298004,4939,276704,Feb,1.6361,29.8004,0.4939,27.6704
2/3/21,Arkansas,16563,300430,4985,278882,Feb,1.6563,30.043,0.4985,27.8882
2/4/21,Arkansas,17022,302899,5009,280868,Feb,1.7022,30.2899,0.5009,28.0868
2/5/21,Arkansas,16974,304723,5050,282699,Feb,1.6974,30.4723,0.505,28.2699
2/6/21,Arkansas,16841,306064,5061,284162,Feb,1.6841,30.6064,0.5061,28.4162
2/7/21,Arkansas,16354,306736,5076,285306,Feb,1.6354,30.6736,0.5076,28.5306
2/8/21,Arkansas,15350,307373,5106,286917,Feb,1.535,30.7373,0.5106,28.6917
2/9/21,Arkansas,14926,308848,5148,288774,Feb,1.4926,30.8848,0.5148,28.8774
2/10/21,Arkansas,14218,309940,5174,290548,Feb,1.4218,30.994,0.5174,29.0548
2/11/21,Arkansas,13546,311043,5199,292298,Feb,1.3546,31.1043,0.5199,29.2298
2/12/21,Arkansas,12600,311608,5212,293796,Feb,1.26,31.1608,0.5212,29.3796
2/13/21,Arkansas,12249,312562,5252,295061,Feb,1.2249,31.2562,0.5252,29.5061
2/14/21,Arkansas,11713,313028,5265,296050,Feb,1.1713,31.3028,0.5265,29.605
2/15/21,Arkansas,10521,313348,5275,297552,Feb,1.0521,31.3348,0.5275,29.7552
2/16/21,Arkansas,9131,313525,5287,299107,Feb,0.9131,31.3525,0.5287,29.9107
2/17/21,Arkansas,8266,314192,5313,300613,Feb,0.8266,31.4192,0.5313,30.0613
2/18/21,Arkansas,7350,314445,5323,301772,Feb,0.735,31.4445,0.5323,30.1772
2/19/21,Arkansas,6505,314713,5336,302872,Feb,0.6505,31.4713,0.5336,30.2872
2/20/21,Arkansas,6105,315230,5348,303777,Feb,0.6105,31.523,0.5348,30.3777
2/21/21,Arkansas,5697,315514,5357,304460,Feb,0.5697,31.5514,0.5357,30.446
2/22/21,Arkansas,4926,315759,5363,305470,Feb,0.4926,31.5759,0.5363,30.547
2/23/21,Arkansas,4834,316593,5377,306382,Feb,0.4834,31.6593,0.5377,30.6382
2/24/21,Arkansas,4703,317396,5387,307306,Feb,0.4703,31.7396,0.5387,30.7306
2/25/21,Arkansas,4747,318122,5397,307978,Feb,0.4747,31.8122,0.5397,30.7978
2/26/21,Arkansas,4506,318638,5407,308725,Feb,0.4506,31.8638,0.5407,30.8725
2/27/21,Arkansas,4510,319195,5417,309268,Feb,0.451,31.9195,0.5417,30.9268
2/28/21,Arkansas,4414,322415,5243,312758,Feb,0.4414,32.2415,0.5243,31.2758
3/1/21,Arkansas,4257,322509,5250,313002,Mar,0.4257,32.2509,0.525,31.3002
3/2/21,Arkansas,4269,322949,5254,313426,Mar,0.4269,32.2949,0.5254,31.3426
3/3/21,Arkansas,4293,323353,5261,313799,Mar,0.4293,32.3353,0.5261,31.3799
3/4/21,Arkansas,4276,323756,5273,314207,Mar,0.4276,32.3756,0.5273,31.4207
3/5/21,Arkansas,4311,324326,5283,314732,Mar,0.4311,32.4326,0.5283,31.4732
3/6/21,Arkansas,4624,324653,5297,314732,Mar,0.4624,32.4653,0.5297,31.4732
3/7/21,Arkansas,,324818,5319,,Mar,0,32.4818,0.5319,0
3/8/21,Arkansas,,324951,5343,,Mar,0,32.4951,0.5343,0
3/9/21,Arkansas,,325383,5357,,Mar,0,32.5383,0.5357,0
3/10/21,Arkansas,,325700,5382,,Mar,0,32.57,0.5382,0
3/11/21,Arkansas,,326040,5410,,Mar,0,32.604,0.541,0
3/12/21,Arkansas,,326499,5437,,Mar,0,32.6499,0.5437,0
3/13/21,Arkansas,,326813,5455,,Mar,0,32.6813,0.5455,0
3/14/21,Arkansas,,326943,5474,,Mar,0,32.6943,0.5474,0
3/15/21,Arkansas,,327060,5481,,Mar,0,32.706,0.5481,0
3/16/21,Arkansas,,327456,5493,,Mar,0,32.7456,0.5493,0
3/17/21,Arkansas,,327781,5507,,Mar,0,32.7781,0.5507,0
3/18/21,Arkansas,,328045,5515,,Mar,0,32.8045,0.5515,0
3/19/21,Arkansas,,328273,5529,,Mar,0,32.8273,0.5529,0
3/20/21,Arkansas,,328547,5533,,Mar,0,32.8547,0.5533,0
3/21/21,Arkansas,,328655,5539,,Mar,0,32.8655,0.5539,0
3/22/21,Arkansas,,328707,5544,,Mar,0,32.8707,0.5544,0
3/23/21,Arkansas,,328946,5547,,Mar,0,32.8946,0.5547,0
3/24/21,Arkansas,,329177,5560,,Mar,0,32.9177,0.556,0
3/25/21,Arkansas,,329511,5571,,Mar,0,32.9511,0.5571,0
3/26/21,Arkansas,,329695,5583,,Mar,0,32.9695,0.5583,0
3/27/21,Arkansas,,329860,5590,,Mar,0,32.986,0.559,0
3/28/21,Arkansas,,329929,5595,,Mar,0,32.9929,0.5595,0
3/29/21,Arkansas,,330008,5601,,Mar,0,33.0008,0.5601,0
3/30/21,Arkansas,,330186,5616,,Mar,0,33.0186,0.5616,0
3/31/21,Arkansas,,330398,5626,,Mar,0,33.0398,0.5626,0
4/1/21,Arkansas,,330609,5636,,Apr,0,33.0609,0.5636,0
4/2/21,Arkansas,,330753,5639,,Apr,0,33.0753,0.5639,0
4/3/21,Arkansas,,330970,5641,,Apr,0,33.097,0.5641,0
4/4/21,Arkansas,,331054,5643,,Apr,0,33.1054,0.5643,0
4/5/21,Arkansas,,331098,5648,,Apr,0,33.1098,0.5648,0
4/6/21,Arkansas,,331261,5653,,Apr,0,33.1261,0.5653,0
4/7/21,Arkansas,,331505,5660,,Apr,0,33.1505,0.566,0
4/8/21,Arkansas,,331704,5662,,Apr,0,33.1704,0.5662,0
4/9/21,Arkansas,,331882,5661,,Apr,0,33.1882,0.5661,0
4/10/21,Arkansas,,332053,5661,,Apr,0,33.2053,0.5661,0
4/11/21,Arkansas,,332153,5661,,Apr,0,33.2153,0.5661,0
4/12/21,Arkansas,,332222,5665,,Apr,0,33.2222,0.5665,0
4/13/21,Arkansas,,332446,5673,,Apr,0,33.2446,0.5673,0
4/14/21,Arkansas,,332666,5680,,Apr,0,33.2666,0.568,0
4/15/21,Arkansas,,332949,5686,,Apr,0,33.2949,0.5686,0
4/16/21,Arkansas,,333186,5692,,Apr,0,33.3186,0.5692,0
4/17/21,Arkansas,,333407,5693,,Apr,0,33.3407,0.5693,0
4/18/21,Arkansas,,333452,5694,,Apr,0,33.3452,0.5694,0
4/19/21,Arkansas,,333511,5699,,Apr,0,33.3511,0.5699,0
4/20/21,Arkansas,,333709,5706,,Apr,0,33.3709,0.5706,0
4/21/21,Arkansas,,334061,5708,,Apr,0,33.4061,0.5708,0
4/22/21,Arkansas,,334222,5711,,Apr,0,33.4222,0.5711,0
4/23/21,Arkansas,,334458,5716,,Apr,0,33.4458,0.5716,0
4/24/21,Arkansas,,334642,5717,,Apr,0,33.4642,0.5717,0
4/25/21,Arkansas,,334706,5718,,Apr,0,33.4706,0.5718,0
4/26/21,Arkansas,,334769,5720,,Apr,0,33.4769,0.572,0
4/27/21,Arkansas,,334998,5725,,Apr,0,33.4998,0.5725,0
4/28/21,Arkansas,,335289,5726,,Apr,0,33.5289,0.5726,0
4/29/21,Arkansas,,335529,5735,,Apr,0,33.5529,0.5735,0
4/30/21,Arkansas,,335725,5739,,Apr,0,33.5725,0.5739,0
5/1/21,Arkansas,,335968,5741,,May,0,33.5968,0.5741,0
5/2/21,Arkansas,,336105,5743,,May,0,33.6105,0.5743,0
5/3/21,Arkansas,,336166,5747,,May,0,33.6166,0.5747,0
5/4/21,Arkansas,,336462,5752,,May,0,33.6462,0.5752,0
5/5/21,Arkansas,,336760,5754,,May,0,33.676,0.5754,0
5/6/21,Arkansas,,336948,5757,,May,0,33.6948,0.5757,0
5/7/21,Arkansas,,337170,5759,,May,0,33.717,0.5759,0
5/8/21,Arkansas,,337415,5760,,May,0,33.7415,0.576,0
5/9/21,Arkansas,,337510,5761,,May,0,33.751,0.5761,0
5/10/21,Arkansas,,337586,5764,,May,0,33.7586,0.5764,0
5/11/21,Arkansas,,337819,5770,,May,0,33.7819,0.577,0
5/12/21,Arkansas,,338043,5777,,May,0,33.8043,0.5777,0
5/13/21,Arkansas,,338235,5783,,May,0,33.8235,0.5783,0
5/14/21,Arkansas,,338485,5790,,May,0,33.8485,0.579,0
5/15/21,Arkansas,,338687,5793,,May,0,33.8687,0.5793,0
5/16/21,Arkansas,,338782,5794,,May,0,33.8782,0.5794,0
5/17/21,Arkansas,,338849,5796,,May,0,33.8849,0.5796,0
5/18/21,Arkansas,,339162,5805,,May,0,33.9162,0.5805,0
5/19/21,Arkansas,,339406,5805,,May,0,33.9406,0.5805,0
5/20/21,Arkansas,,339662,5808,,May,0,33.9662,0.5808,0
5/21/21,Arkansas,,339863,5811,,May,0,33.9863,0.5811,0
5/22/21,Arkansas,,340040,5816,,May,0,34.004,0.5816,0
5/23/21,Arkansas,,340137,5817,,May,0,34.0137,0.5817,0
5/24/21,Arkansas,,340186,5820,,May,0,34.0186,0.582,0
5/25/21,Arkansas,,340515,5824,,May,0,34.0515,0.5824,0
5/26/21,Arkansas,,340698,5827,,May,0,34.0698,0.5827,0
5/27/21,Arkansas,,340916,5829,,May,0,34.0916,0.5829,0
5/28/21,Arkansas,,341130,5830,,May,0,34.113,0.583,0
5/29/21,Arkansas,,341290,5830,,May,0,34.129,0.583,0
5/30/21,Arkansas,,341351,5832,,May,0,34.1351,0.5832,0
5/31/21,Arkansas,,341381,5833,,May,0,34.1381,0.5833,0
6/1/21,Arkansas,,341450,5834,,Jun,0,34.145,0.5834,0
6/2/21,Arkansas,,341692,5835,,Jun,0,34.1692,0.5835,0
6/3/21,Arkansas,,341889,5842,,Jun,0,34.1889,0.5842,0
6/4/21,Arkansas,,342142,5845,,Jun,0,34.2142,0.5845,0
6/5/21,Arkansas,,342345,5846,,Jun,0,34.2345,0.5846,0
6/6/21,Arkansas,,342433,5846,,Jun,0,34.2433,0.5846,0
6/7/21,Arkansas,,342495,5849,,Jun,0,34.2495,0.5849,0
6/8/21,Arkansas,,342726,5852,,Jun,0,34.2726,0.5852,0
6/9/21,Arkansas,,342927,5854,,Jun,0,34.2927,0.5854,0
6/10/21,Arkansas,,343216,5856,,Jun,0,34.3216,0.5856,0
6/11/21,Arkansas,,343609,5859,,Jun,0,34.3609,0.5859,0
6/12/21,Arkansas,,343873,5860,,Jun,0,34.3873,0.586,0
6/13/21,Arkansas,,343964,5861,,Jun,0,34.3964,0.5861,0
6/14/21,Arkansas,,344067,5863,,Jun,0,34.4067,0.5863,0
6/15/21,Arkansas,,344369,5869,,Jun,0,34.4369,0.5869,0
6/16/21,Arkansas,,344657,5867,,Jun,0,34.4657,0.5867,0
6/17/21,Arkansas,,344945,5869,,Jun,0,34.4945,0.5869,0
6/18/21,Arkansas,,345221,5874,,Jun,0,34.5221,0.5874,0
6/19/21,Arkansas,,345472,5874,,Jun,0,34.5472,0.5874,0
6/20/21,Arkansas,,345605,5874,,Jun,0,34.5605,0.5874,0
6/21/21,Arkansas,,345695,5876,,Jun,0,34.5695,0.5876,0
6/22/21,Arkansas,,346180,5884,,Jun,0,34.618,0.5884,0
6/23/21,Arkansas,,346569,5887,,Jun,0,34.6569,0.5887,0
6/24/21,Arkansas,,346952,5890,,Jun,0,34.6952,0.589,0
6/25/21,Arkansas,,347254,5893,,Jun,0,34.7254,0.5893,0
6/26/21,Arkansas,,347254,5893,,Jun,0,34.7254,0.5893,0
6/27/21,Arkansas,,347254,5893,,Jun,0,34.7254,0.5893,0
6/28/21,Arkansas,,348220,5897,,Jun,0,34.822,0.5897,0
6/29/21,Arkansas,,348699,5905,,Jun,0,34.8699,0.5905,0
6/30/21,Arkansas,,349385,5909,,Jun,0,34.9385,0.5909,0
7/1/21,Arkansas,,350085,5909,,Jul,0,35.0085,0.5909,0
7/2/21,Arkansas,,350579,5913,,Jul,0,35.0579,0.5913,0
7/3/21,Arkansas,,350579,5913,,Jul,0,35.0579,0.5913,0
7/4/21,Arkansas,,350579,5913,,Jul,0,35.0579,0.5913,0
7/5/21,Arkansas,,351825,5920,,Jul,0,35.1825,0.592,0
7/6/21,Arkansas,,352095,5926,,Jul,0,35.2095,0.5926,0
7/7/21,Arkansas,,353095,5933,,Jul,0,35.3095,0.5933,0
7/8/21,Arkansas,,354305,5944,,Jul,0,35.4305,0.5944,0
7/9/21,Arkansas,,355460,5948,,Jul,0,35.546,0.5948,0
7/10/21,Arkansas,,355460,5948,,Jul,0,35.546,0.5948,0
7/11/21,Arkansas,,355460,5948,,Jul,0,35.546,0.5948,0
7/12/21,Arkansas,,357473,5955,,Jul,0,35.7473,0.5955,0
7/13/21,Arkansas,,358949,5970,,Jul,0,35.8949,0.597,0
7/14/21,Arkansas,,360258,5977,,Jul,0,36.0258,0.5977,0
7/15/21,Arkansas,,361238,5981,,Jul,0,36.1238,0.5981,0
7/16/21,Arkansas,,362580,5992,,Jul,0,36.258,0.5992,0
7/17/21,Arkansas,,362580,5992,,Jul,0,36.258,0.5992,0
7/18/21,Arkansas,,362580,5992,,Jul,0,36.258,0.5992,0
7/19/21,Arkansas,,365132,6007,,Jul,0,36.5132,0.6007,0
7/20/21,Arkansas,,367007,6007,,Jul,0,36.7007,0.6007,0
7/21/21,Arkansas,,368466,6020,,Jul,0,36.8466,0.602,0
7/22/21,Arkansas,,370326,6035,,Jul,0,37.0326,0.6035,0
7/23/21,Arkansas,,372313,6041,,Jul,0,37.2313,0.6041,0
7/24/21,Arkansas,,374328,6048,,Jul,0,37.4328,0.6048,0
7/25/21,Arkansas,,375350,6054,,Jul,0,37.535,0.6054,0
7/26/21,Arkansas,,375971,6077,,Jul,0,37.5971,0.6077,0
7/27/21,Arkansas,,378023,6087,,Jul,0,37.8023,0.6087,0
7/28/21,Arkansas,,379726,6099,,Jul,0,37.9726,0.6099,0
7/29/21,Arkansas,,382569,6110,,Jul,0,38.2569,0.611,0
7/30/21,Arkansas,,385113,6123,,Jul,0,38.5113,0.6123,0
7/31/21,Arkansas,,386452,6141,,Jul,0,38.6452,0.6141,0
8/1/21,Arkansas,,388436,6157,,Aug,0,38.8436,0.6157,0
8/2/21,Arkansas,,389280,6199,,Aug,0,38.928,0.6199,0
8/3/21,Arkansas,,391623,6215,,Aug,0,39.1623,0.6215,0
8/4/21,Arkansas,,394461,6230,,Aug,0,39.4461,0.623,0
8/5/21,Arkansas,,397238,6247,,Aug,0,39.7238,0.6247,0
8/6/21,Arkansas,,400275,6269,,Aug,0,40.0275,0.6269,0
8/7/21,Arkansas,,402908,6290,,Aug,0,40.2908,0.629,0
8/8/21,Arkansas,,404277,6301,,Aug,0,40.4277,0.6301,0
8/9/21,Arkansas,,405272,6322,,Aug,0,40.5272,0.6322,0
8/10/21,Arkansas,,407892,6346,,Aug,0,40.7892,0.6346,0
8/11/21,Arkansas,,410832,6366,,Aug,0,41.0832,0.6366,0
8/12/21,Arkansas,,413150,6396,,Aug,0,41.315,0.6396,0
8/13/21,Arkansas,,416173,6432,,Aug,0,41.6173,0.6432,0
8/14/21,Arkansas,,418290,6445,,Aug,0,41.829,0.6445,0
8/15/21,Arkansas,,419807,6467,,Aug,0,41.9807,0.6467,0
8/16/21,Arkansas,,420663,6498,,Aug,0,42.0663,0.6498,0
8/17/21,Arkansas,,422866,6539,,Aug,0,42.2866,0.6539,0
8/18/21,Arkansas,,425551,6565,,Aug,0,42.5551,0.6565,0
8/19/21,Arkansas,,429100,6581,,Aug,0,42.91,0.6581,0
8/20/21,Arkansas,,431507,6614,,Aug,0,43.1507,0.6614,0
8/21/21,Arkansas,,434027,6645,,Aug,0,43.4027,0.6645,0
8/22/21,Arkansas,,435256,6674,,Aug,0,43.5256,0.6674,0
8/23/21,Arkansas,,436242,6704,,Aug,0,43.6242,0.6704,0
8/24/21,Arkansas,,438465,6749,,Aug,0,43.8465,0.6749,0
8/25/21,Arkansas,,441246,6774,,Aug,0,44.1246,0.6774,0
8/26/21,Arkansas,,443564,6806,,Aug,0,44.3564,0.6806,0
