Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,California,,2435604,26258,,Jan,0,243.5604,2.6258,0
1/2/21,California,,2481947,26538,,Jan,0,248.1947,2.6538,0
1/3/21,California,,2513336,26617,,Jan,0,251.3336,2.6617,0
1/4/21,California,,2550252,26894,,Jan,0,255.0252,2.6894,0
1/5/21,California,,2585547,27312,,Jan,0,258.5547,2.7312,0
1/6/21,California,,2624694,27888,,Jan,0,262.4694,2.7888,0
1/7/21,California,,2676352,28440,,Jan,0,267.6352,2.844,0
1/8/21,California,,2729055,29069,,Jan,0,272.9055,2.9069,0
1/9/21,California,,2777777,29587,,Jan,0,277.7777,2.9587,0
1/10/21,California,,2816678,29986,,Jan,0,281.6678,2.9986,0
1/11/21,California,,2854809,30204,,Jan,0,285.4809,3.0204,0
1/12/21,California,,2893755,30798,,Jan,0,289.3755,3.0798,0
1/13/21,California,,2931034,31331,,Jan,0,293.1034,3.1331,0
1/14/21,California,,2973879,31785,,Jan,0,297.3879,3.1785,0
1/15/21,California,,3015374,32390,,Jan,0,301.5374,3.239,0
1/16/21,California,,3056771,32940,,Jan,0,305.6771,3.294,0
1/17/21,California,,3086647,33270,,Jan,0,308.6647,3.327,0
1/18/21,California,,3112476,33456,,Jan,0,311.2476,3.3456,0
1/19/21,California,,3137265,33833,,Jan,0,313.7265,3.3833,0
1/20/21,California,,3158439,34471,,Jan,0,315.8439,3.4471,0
1/21/21,California,,3181693,35149,,Jan,0,318.1693,3.5149,0
1/22/21,California,,3204877,35664,,Jan,0,320.4877,3.5664,0
1/23/21,California,,3229188,36357,,Jan,0,322.9188,3.6357,0
1/24/21,California,,3255083,36590,,Jan,0,325.5083,3.659,0
1/25/21,California,,3272180,36817,,Jan,0,327.218,3.6817,0
1/26/21,California,,3290769,37489,,Jan,0,329.0769,3.7489,0
1/27/21,California,,3308448,38183,,Jan,0,330.8448,3.8183,0
1/28/21,California,,3328916,38790,,Jan,0,332.8916,3.879,0
1/29/21,California,,3348706,39438,,Jan,0,334.8706,3.9438,0
1/30/21,California,,3368439,40031,,Jan,0,336.8439,4.0031,0
1/31/21,California,,3384793,40371,,Jan,0,338.4793,4.0371,0
2/1/21,California,,3397904,40569,,Feb,0,339.7904,4.0569,0
2/2/21,California,,3410061,41138,,Feb,0,341.0061,4.1138,0
2/3/21,California,,3424006,41742,,Feb,0,342.4006,4.1742,0
2/4/21,California,,3438621,42500,,Feb,0,343.8621,4.25,0
2/5/21,California,,3452355,43124,,Feb,0,345.2355,4.3124,0
2/6/21,California,,3467438,43563,,Feb,0,346.7438,4.3563,0
2/7/21,California,,3478972,43833,,Feb,0,347.8972,4.3833,0
2/8/21,California,,3488362,44017,,Feb,0,348.8362,4.4017,0
2/9/21,California,,3498127,44529,,Feb,0,349.8127,4.4529,0
2/10/21,California,,3507264,45091,,Feb,0,350.7264,4.5091,0
2/11/21,California,,3518239,45624,,Feb,0,351.8239,4.5624,0
2/12/21,California,,3527988,46044,,Feb,0,352.7988,4.6044,0
2/13/21,California,,3538296,46560,,Feb,0,353.8296,4.656,0
2/14/21,California,,3545078,46791,,Feb,0,354.5078,4.6791,0
2/15/21,California,,3550863,46850,,Feb,0,355.0863,4.685,0
2/16/21,California,,3555987,47158,,Feb,0,355.5987,4.7158,0
2/17/21,California,,3562447,47605,,Feb,0,356.2447,4.7605,0
2/18/21,California,,3569856,48059,,Feb,0,356.9856,4.8059,0
2/19/21,California,,3577553,48528,,Feb,0,357.7553,4.8528,0
2/20/21,California,,3585113,48949,,Feb,0,358.5113,4.8949,0
2/21/21,California,,3590245,49187,,Feb,0,359.0245,4.9187,0
2/22/21,California,,3594333,49289,,Feb,0,359.4333,4.9289,0
2/23/21,California,,3600404,49642,,Feb,0,360.0404,4.9642,0
2/24/21,California,,3606442,50807,,Feb,0,360.6442,5.0807,0
2/25/21,California,,3612472,51290,,Feb,0,361.2472,5.129,0
2/26/21,California,,3618543,51727,,Feb,0,361.8543,5.1727,0
2/27/21,California,,3623879,51902,,Feb,0,362.3879,5.1902,0
2/28/21,California,,3627786,52154,,Feb,0,362.7786,5.2154,0
3/1/21,California,,3630816,52272,,Mar,0,363.0816,5.2272,0
3/2/21,California,,3635081,52562,,Mar,0,363.5081,5.2562,0
3/3/21,California,,3639458,52928,,Mar,0,363.9458,5.2928,0
3/4/21,California,,3644913,53319,,Mar,0,364.4913,5.3319,0
3/5/21,California,,3650441,53660,,Mar,0,365.0441,5.366,0
3/6/21,California,,3655241,53969,,Mar,0,365.5241,5.3969,0
3/7/21,California,,3658939,54078,,Mar,0,365.8939,5.4078,0
3/8/21,California,,3661952,54147,,Mar,0,366.1952,5.4147,0
3/9/21,California,,3665385,54422,,Mar,0,366.5385,5.4422,0
3/10/21,California,,3669084,54678,,Mar,0,366.9084,5.4678,0
3/11/21,California,,3672964,54952,,Mar,0,367.2964,5.4952,0
3/12/21,California,,3677564,55166,,Mar,0,367.7564,5.5166,0
3/13/21,California,,3679648,55325,,Mar,0,367.9648,5.5325,0
3/14/21,California,,3682255,55419,,Mar,0,368.2255,5.5419,0
3/15/21,California,,3683921,55472,,Mar,0,368.3921,5.5472,0
3/16/21,California,,3686518,55678,,Mar,0,368.6518,5.5678,0
3/17/21,California,,3689880,55899,,Mar,0,368.988,5.5899,0
3/18/21,California,,3693461,56137,,Mar,0,369.3461,5.6137,0
3/19/21,California,,3696823,56217,,Mar,0,369.6823,5.6217,0
3/20/21,California,,3700250,56280,,Mar,0,370.025,5.628,0
