Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,Colorado,314186,337161,4873,18102,Jan,31.4186,33.7161,0.4873,1.8102
1/2/21,Colorado,316043,339172,4912,18217,Jan,31.6043,33.9172,0.4912,1.8217
1/3/21,Colorado,318011,341250,4934,18305,Jan,31.8011,34.125,0.4934,1.8305
1/4/21,Colorado,320088,343435,4944,18403,Jan,32.0088,34.3435,0.4944,1.8403
1/5/21,Colorado,323368,346893,4991,18534,Jan,32.3368,34.6893,0.4991,1.8534
1/6/21,Colorado,325866,349450,5050,18534,Jan,32.5866,34.945,0.505,1.8534
1/7/21,Colorado,329046,352923,5102,18775,Jan,32.9046,35.2923,0.5102,1.8775
1/8/21,Colorado,332081,356110,5138,18891,Jan,33.2081,35.611,0.5138,1.8891
1/9/21,Colorado,334866,358947,5190,18891,Jan,33.4866,35.8947,0.519,1.8891
1/10/21,Colorado,336827,361148,5208,19113,Jan,33.6827,36.1148,0.5208,1.9113
1/11/21,Colorado,338390,362825,5213,19222,Jan,33.839,36.2825,0.5213,1.9222
1/12/21,Colorado,339766,364336,5242,19328,Jan,33.9766,36.4336,0.5242,1.9328
1/13/21,Colorado,342032,366774,5285,19457,Jan,34.2032,36.6774,0.5285,1.9457
1/14/21,Colorado,344301,369177,5316,19560,Jan,34.4301,36.9177,0.5316,1.956
1/15/21,Colorado,346450,371458,5343,19665,Jan,34.645,37.1458,0.5343,1.9665
1/16/21,Colorado,348358,373483,5363,19762,Jan,34.8358,37.3483,0.5363,1.9762
1/17/21,Colorado,349744,374981,5379,19858,Jan,34.9744,37.4981,0.5379,1.9858
1/18/21,Colorado,350837,376171,5386,19948,Jan,35.0837,37.6171,0.5386,1.9948
1/19/21,Colorado,352379,377856,5388,20089,Jan,35.2379,37.7856,0.5388,2.0089
1/20/21,Colorado,353615,379227,5422,20190,Jan,35.3615,37.9227,0.5422,2.019
1/21/21,Colorado,355479,381210,5440,20291,Jan,35.5479,38.121,0.544,2.0291
1/22/21,Colorado,357151,383008,5462,20395,Jan,35.7151,38.3008,0.5462,2.0395
1/23/21,Colorado,359016,384966,5482,20468,Jan,35.9016,38.4966,0.5482,2.0468
1/24/21,Colorado,360211,386285,5505,20569,Jan,36.0211,38.6285,0.5505,2.0569
1/25/21,Colorado,361419,387500,5512,20569,Jan,36.1419,38.75,0.5512,2.0569
1/26/21,Colorado,362534,388620,5517,20569,Jan,36.2534,38.862,0.5517,2.0569
1/27/21,Colorado,363973,390296,5552,20771,Jan,36.3973,39.0296,0.5552,2.0771
1/28/21,Colorado,365304,391737,5569,20864,Jan,36.5304,39.1737,0.5569,2.0864
1/29/21,Colorado,366895,393459,5594,20970,Jan,36.6895,39.3459,0.5594,2.097
1/30/21,Colorado,368429,395019,5620,20970,Jan,36.8429,39.5019,0.562,2.097
1/31/21,Colorado,369575,396185,5640,20970,Jan,36.9575,39.6185,0.564,2.097
2/1/21,Colorado,370417,397101,5641,21043,Feb,37.0417,39.7101,0.5641,2.1043
2/2/21,Colorado,371260,398037,5650,21127,Feb,37.126,39.8037,0.565,2.1127
2/3/21,Colorado,372396,399267,5664,21207,Feb,37.2396,39.9267,0.5664,2.1207
2/4/21,Colorado,373909,400851,5682,21260,Feb,37.3909,40.0851,0.5682,2.126
2/5/21,Colorado,375704,402754,5705,21345,Feb,37.5704,40.2754,0.5705,2.1345
2/6/21,Colorado,377108,404256,5722,21426,Feb,37.7108,40.4256,0.5722,2.1426
2/7/21,Colorado,378154,405330,5731,21445,Feb,37.8154,40.533,0.5731,2.1445
2/8/21,Colorado,379022,406276,5733,21521,Feb,37.9022,40.6276,0.5733,2.1521
2/9/21,Colorado,379853,407210,5746,21611,Feb,37.9853,40.721,0.5746,2.1611
2/10/21,Colorado,380502,407961,5770,21689,Feb,38.0502,40.7961,0.577,2.1689
2/11/21,Colorado,382136,409683,5781,21766,Feb,38.2136,40.9683,0.5781,2.1766
2/12/21,Colorado,384168,411774,5790,21816,Feb,38.4168,41.1774,0.579,2.1816
2/13/21,Colorado,385274,412983,5814,21895,Feb,38.5274,41.2983,0.5814,2.1895
2/14/21,Colorado,386083,413836,5824,21929,Feb,38.6083,41.3836,0.5824,2.1929
2/15/21,Colorado,386573,414369,5826,21970,Feb,38.6573,41.4369,0.5826,2.197
2/16/21,Colorado,387192,415037,5828,22017,Feb,38.7192,41.5037,0.5828,2.2017
2/17/21,Colorado,388265,416174,5838,22071,Feb,38.8265,41.6174,0.5838,2.2071
2/18/21,Colorado,389388,417415,5864,22163,Feb,38.9388,41.7415,0.5864,2.2163
2/19/21,Colorado,390615,418695,5878,22202,Feb,39.0615,41.8695,0.5878,2.2202
2/20/21,Colorado,391655,419812,5887,22270,Feb,39.1655,41.9812,0.5887,2.227
2/21/21,Colorado,392406,420614,5892,22316,Feb,39.2406,42.0614,0.5892,2.2316
2/22/21,Colorado,393037,421294,5893,22364,Feb,39.3037,42.1294,0.5893,2.2364
2/23/21,Colorado,,422390,5907,,Feb,0,42.239,0.5907,0
2/24/21,Colorado,,423558,5917,,Feb,0,42.3558,0.5917,0
2/25/21,Colorado,,424677,5925,,Feb,0,42.4677,0.5925,0
2/26/21,Colorado,,426198,5940,,Feb,0,42.6198,0.594,0
2/27/21,Colorado,,427462,5945,,Feb,0,42.7462,0.5945,0
2/28/21,Colorado,,428303,5951,,Feb,0,42.8303,0.5951,0
3/1/21,Colorado,,429839,5952,,Mar,0,42.9839,0.5952,0
3/2/21,Colorado,,430615,5959,,Mar,0,43.0615,0.5959,0
3/3/21,Colorado,,431670,5970,,Mar,0,43.167,0.597,0
3/4/21,Colorado,,433021,5974,,Mar,0,43.3021,0.5974,0
3/5/21,Colorado,,434654,5986,,Mar,0,43.4654,0.5986,0
3/6/21,Colorado,,435762,5986,,Mar,0,43.5762,0.5986,0
3/7/21,Colorado,,436612,5990,,Mar,0,43.6612,0.599,0
3/8/21,Colorado,,437187,5990,,Mar,0,43.7187,0.599,0
3/9/21,Colorado,,438025,5997,,Mar,0,43.8025,0.5997,0
3/10/21,Colorado,,439265,6003,,Mar,0,43.9265,0.6003,0
3/11/21,Colorado,,440220,6021,,Mar,0,44.022,0.6021,0
3/12/21,Colorado,,441511,6024,,Mar,0,44.1511,0.6024,0
3/13/21,Colorado,,442753,6036,,Mar,0,44.2753,0.6036,0
3/14/21,Colorado,,443968,6038,,Mar,0,44.3968,0.6038,0
3/15/21,Colorado,,444390,6040,,Mar,0,44.439,0.604,0
3/16/21,Colorado,,444712,6048,,Mar,0,44.4712,0.6048,0
3/17/21,Colorado,,445338,6049,,Mar,0,44.5338,0.6049,0
3/18/21,Colorado,,446580,6060,,Mar,0,44.658,0.606,0
3/19/21,Colorado,,448362,6065,,Mar,0,44.8362,0.6065,0
3/20/21,Colorado,,449828,6068,,Mar,0,44.9828,0.6068,0
3/21/21,Colorado,,450630,6073,,Mar,0,45.063,0.6073,0
3/22/21,Colorado,,450934,6070,,Mar,0,45.0934,0.607,0
3/23/21,Colorado,,452304,6074,,Mar,0,45.2304,0.6074,0
3/24/21,Colorado,,453520,6077,,Mar,0,45.352,0.6077,0
3/25/21,Colorado,,454893,6082,,Mar,0,45.4893,0.6082,0
3/26/21,Colorado,,456302,6086,,Mar,0,45.6302,0.6086,0
3/27/21,Colorado,,457597,6089,,Mar,0,45.7597,0.6089,0
3/28/21,Colorado,,458554,6092,,Mar,0,45.8554,0.6092,0
3/29/21,Colorado,,459361,6092,,Mar,0,45.9361,0.6092,0
3/30/21,Colorado,,460318,6099,,Mar,0,46.0318,0.6099,0
3/31/21,Colorado,,462081,6107,,Mar,0,46.2081,0.6107,0
4/1/21,Colorado,,463685,6117,,Apr,0,46.3685,0.6117,0
4/2/21,Colorado,,465330,6118,,Apr,0,46.533,0.6118,0
4/3/21,Colorado,,466901,6124,,Apr,0,46.6901,0.6124,0
4/4/21,Colorado,,468121,6126,,Apr,0,46.8121,0.6126,0
4/5/21,Colorado,,468988,6126,,Apr,0,46.8988,0.6126,0
4/6/21,Colorado,,470254,6132,,Apr,0,47.0254,0.6132,0
4/7/21,Colorado,,472168,6140,,Apr,0,47.2168,0.614,0
4/8/21,Colorado,,474053,6143,,Apr,0,47.4053,0.6143,0
4/9/21,Colorado,,475989,6151,,Apr,0,47.5989,0.6151,0
4/10/21,Colorado,,477443,6155,,Apr,0,47.7443,0.6155,0
4/11/21,Colorado,,478678,6157,,Apr,0,47.8678,0.6157,0
4/12/21,Colorado,,479590,6157,,Apr,0,47.959,0.6157,0
4/13/21,Colorado,,481494,6168,,Apr,0,48.1494,0.6168,0
4/14/21,Colorado,,483820,6173,,Apr,0,48.382,0.6173,0
4/15/21,Colorado,,485318,6177,,Apr,0,48.5318,0.6177,0
4/16/21,Colorado,,487578,6186,,Apr,0,48.7578,0.6186,0
4/17/21,Colorado,,489028,6188,,Apr,0,48.9028,0.6188,0
4/18/21,Colorado,,490289,6199,,Apr,0,49.0289,0.6199,0
4/19/21,Colorado,,491066,6201,,Apr,0,49.1066,0.6201,0
4/20/21,Colorado,,493029,6211,,Apr,0,49.3029,0.6211,0
4/21/21,Colorado,,494521,6215,,Apr,0,49.4521,0.6215,0
4/22/21,Colorado,,496882,6225,,Apr,0,49.6882,0.6225,0
4/23/21,Colorado,,498758,6231,,Apr,0,49.8758,0.6231,0
4/24/21,Colorado,,500675,6249,,Apr,0,50.0675,0.6249,0
4/25/21,Colorado,,502242,6251,,Apr,0,50.2242,0.6251,0
4/26/21,Colorado,,503254,6255,,Apr,0,50.3254,0.6255,0
4/27/21,Colorado,,505268,6264,,Apr,0,50.5268,0.6264,0
4/28/21,Colorado,,506405,6272,,Apr,0,50.6405,0.6272,0
4/29/21,Colorado,,509194,6284,,Apr,0,50.9194,0.6284,0
4/30/21,Colorado,,510966,6295,,Apr,0,51.0966,0.6295,0
5/1/21,Colorado,,512804,6302,,May,0,51.2804,0.6302,0
5/2/21,Colorado,,513765,6304,,May,0,51.3765,0.6304,0
5/3/21,Colorado,,514721,6306,,May,0,51.4721,0.6306,0
5/4/21,Colorado,,516240,6321,,May,0,51.624,0.6321,0
5/5/21,Colorado,,517851,6337,,May,0,51.7851,0.6337,0
5/6/21,Colorado,,519414,6345,,May,0,51.9414,0.6345,0
5/7/21,Colorado,,520816,6352,,May,0,52.0816,0.6352,0
5/8/21,Colorado,,522382,6355,,May,0,52.2382,0.6355,0
5/9/21,Colorado,,523309,6357,,May,0,52.3309,0.6357,0
5/10/21,Colorado,,524190,6357,,May,0,52.419,0.6357,0
5/11/21,Colorado,,525474,6371,,May,0,52.5474,0.6371,0
5/12/21,Colorado,,526687,6402,,May,0,52.6687,0.6402,0
5/13/21,Colorado,,528533,6423,,May,0,52.8533,0.6423,0
5/14/21,Colorado,,530098,6432,,May,0,53.0098,0.6432,0
5/15/21,Colorado,,531070,6442,,May,0,53.107,0.6442,0
5/16/21,Colorado,,531700,6450,,May,0,53.17,0.645,0
5/17/21,Colorado,,532389,6450,,May,0,53.2389,0.645,0
5/18/21,Colorado,,533119,6456,,May,0,53.3119,0.6456,0
5/19/21,Colorado,,534364,6472,,May,0,53.4364,0.6472,0
5/20/21,Colorado,,535316,6478,,May,0,53.5316,0.6478,0
5/21/21,Colorado,,536128,6497,,May,0,53.6128,0.6497,0
5/22/21,Colorado,,536969,6503,,May,0,53.6969,0.6503,0
5/23/21,Colorado,,537401,6505,,May,0,53.7401,0.6505,0
5/24/21,Colorado,,537858,6509,,May,0,53.7858,0.6509,0
5/25/21,Colorado,,539261,6520,,May,0,53.9261,0.652,0
5/26/21,Colorado,,540092,6531,,May,0,54.0092,0.6531,0
5/27/21,Colorado,,540924,6545,,May,0,54.0924,0.6545,0
5/28/21,Colorado,,541726,6552,,May,0,54.1726,0.6552,0
5/29/21,Colorado,,542405,6576,,May,0,54.2405,0.6576,0
5/30/21,Colorado,,542889,6580,,May,0,54.2889,0.658,0
5/31/21,Colorado,,543174,6580,,May,0,54.3174,0.658,0
6/1/21,Colorado,,543581,6579,,Jun,0,54.3581,0.6579,0
6/2/21,Colorado,,544157,6590,,Jun,0,54.4157,0.659,0
6/3/21,Colorado,,545002,6603,,Jun,0,54.5002,0.6603,0
6/4/21,Colorado,,545769,6611,,Jun,0,54.5769,0.6611,0
6/5/21,Colorado,,546500,6613,,Jun,0,54.65,0.6613,0
6/6/21,Colorado,,546874,6613,,Jun,0,54.6874,0.6613,0
6/7/21,Colorado,,547191,6625,,Jun,0,54.7191,0.6625,0
6/8/21,Colorado,,547791,6639,,Jun,0,54.7791,0.6639,0
6/9/21,Colorado,,548488,6651,,Jun,0,54.8488,0.6651,0
6/10/21,Colorado,,549084,6666,,Jun,0,54.9084,0.6666,0
6/11/21,Colorado,,550014,6677,,Jun,0,55.0014,0.6677,0
6/12/21,Colorado,,550618,6688,,Jun,0,55.0618,0.6688,0
6/13/21,Colorado,,551091,6689,,Jun,0,55.1091,0.6689,0
6/14/21,Colorado,,551328,6690,,Jun,0,55.1328,0.669,0
6/15/21,Colorado,,551719,6700,,Jun,0,55.1719,0.67,0
6/16/21,Colorado,,552183,6709,,Jun,0,55.2183,0.6709,0
6/17/21,Colorado,,552726,6713,,Jun,0,55.2726,0.6713,0
6/18/21,Colorado,,553200,6723,,Jun,0,55.32,0.6723,0
6/19/21,Colorado,,553596,6732,,Jun,0,55.3596,0.6732,0
6/20/21,Colorado,,553868,6731,,Jun,0,55.3868,0.6731,0
6/21/21,Colorado,,554090,6736,,Jun,0,55.409,0.6736,0
6/22/21,Colorado,,554473,6740,,Jun,0,55.4473,0.674,0
6/23/21,Colorado,,554977,6754,,Jun,0,55.4977,0.6754,0
6/24/21,Colorado,,555569,6765,,Jun,0,55.5569,0.6765,0
6/25/21,Colorado,,555971,6771,,Jun,0,55.5971,0.6771,0
6/26/21,Colorado,,556542,6770,,Jun,0,55.6542,0.677,0
6/27/21,Colorado,,556775,6777,,Jun,0,55.6775,0.6777,0
6/28/21,Colorado,,557004,6776,,Jun,0,55.7004,0.6776,0
6/29/21,Colorado,,557347,6788,,Jun,0,55.7347,0.6788,0
6/30/21,Colorado,,557791,6794,,Jun,0,55.7791,0.6794,0
7/1/21,Colorado,,558321,6798,,Jul,0,55.8321,0.6798,0
7/2/21,Colorado,,558820,6802,,Jul,0,55.882,0.6802,0
7/3/21,Colorado,,559272,6814,,Jul,0,55.9272,0.6814,0
7/4/21,Colorado,,559534,6817,,Jul,0,55.9534,0.6817,0
7/5/21,Colorado,,559704,6817,,Jul,0,55.9704,0.6817,0
7/6/21,Colorado,,559921,6817,,Jul,0,55.9921,0.6817,0
7/7/21,Colorado,,560419,6824,,Jul,0,56.0419,0.6824,0
7/8/21,Colorado,,560860,6827,,Jul,0,56.086,0.6827,0
7/9/21,Colorado,,561912,6837,,Jul,0,56.1912,0.6837,0
7/10/21,Colorado,,562401,6848,,Jul,0,56.2401,0.6848,0
7/11/21,Colorado,,562763,6853,,Jul,0,56.2763,0.6853,0
7/12/21,Colorado,,563086,6853,,Jul,0,56.3086,0.6853,0
7/13/21,Colorado,,563642,6861,,Jul,0,56.3642,0.6861,0
7/14/21,Colorado,,564164,6869,,Jul,0,56.4164,0.6869,0
7/15/21,Colorado,,564686,6872,,Jul,0,56.4686,0.6872,0
7/16/21,Colorado,,565294,6876,,Jul,0,56.5294,0.6876,0
7/17/21,Colorado,,565829,6886,,Jul,0,56.5829,0.6886,0
7/18/21,Colorado,,566289,6887,,Jul,0,56.6289,0.6887,0
7/19/21,Colorado,,566670,6886,,Jul,0,56.667,0.6886,0
7/20/21,Colorado,,567215,6889,,Jul,0,56.7215,0.6889,0
7/21/21,Colorado,,567838,6895,,Jul,0,56.7838,0.6895,0
7/22/21,Colorado,,568597,6901,,Jul,0,56.8597,0.6901,0
7/23/21,Colorado,,569289,6910,,Jul,0,56.9289,0.691,0
7/24/21,Colorado,,569289,6910,,Jul,0,56.9289,0.691,0
7/25/21,Colorado,,569289,6910,,Jul,0,56.9289,0.691,0
7/26/21,Colorado,,571087,6924,,Jul,0,57.1087,0.6924,0
7/27/21,Colorado,,571958,6922,,Jul,0,57.1958,0.6922,0
7/28/21,Colorado,,572854,6924,,Jul,0,57.2854,0.6924,0
7/29/21,Colorado,,573907,6935,,Jul,0,57.3907,0.6935,0
7/30/21,Colorado,,575082,6945,,Jul,0,57.5082,0.6945,0
7/31/21,Colorado,,575082,6945,,Jul,0,57.5082,0.6945,0
8/1/21,Colorado,,575082,6945,,Aug,0,57.5082,0.6945,0
8/2/21,Colorado,,577285,6956,,Aug,0,57.7285,0.6956,0
8/3/21,Colorado,,578276,6957,,Aug,0,57.8276,0.6957,0
8/4/21,Colorado,,579366,6963,,Aug,0,57.9366,0.6963,0
8/5/21,Colorado,,580610,6970,,Aug,0,58.061,0.697,0
8/6/21,Colorado,,581692,6978,,Aug,0,58.1692,0.6978,0
8/7/21,Colorado,,581692,6978,,Aug,0,58.1692,0.6978,0
8/8/21,Colorado,,581692,6978,,Aug,0,58.1692,0.6978,0
8/9/21,Colorado,,584462,6998,,Aug,0,58.4462,0.6998,0
8/10/21,Colorado,,585352,7010,,Aug,0,58.5352,0.701,0
8/11/21,Colorado,,586562,7013,,Aug,0,58.6562,0.7013,0
8/12/21,Colorado,,588230,7023,,Aug,0,58.823,0.7023,0
8/13/21,Colorado,,589526,7032,,Aug,0,58.9526,0.7032,0
8/14/21,Colorado,,589526,7032,,Aug,0,58.9526,0.7032,0
8/15/21,Colorado,,589526,7032,,Aug,0,58.9526,0.7032,0
8/16/21,Colorado,,592372,7041,,Aug,0,59.2372,0.7041,0
8/17/21,Colorado,,593562,7047,,Aug,0,59.3562,0.7047,0
8/18/21,Colorado,,595585,7055,,Aug,0,59.5585,0.7055,0
8/19/21,Colorado,,597281,7059,,Aug,0,59.7281,0.7059,0
8/20/21,Colorado,,598940,7067,,Aug,0,59.894,0.7067,0
8/21/21,Colorado,,598940,7067,,Aug,0,59.894,0.7067,0
8/22/21,Colorado,,598940,7067,,Aug,0,59.894,0.7067,0
8/23/21,Colorado,,603266,7078,,Aug,0,60.3266,0.7078,0
8/24/21,Colorado,,604516,7084,,Aug,0,60.4516,0.7084,0
8/25/21,Colorado,,606236,7088,,Aug,0,60.6236,0.7088,0
8/26/21,Colorado,,608047,7095,,Aug,0,60.8047,0.7095,0
8/27/21,Colorado,,610127,7111,,Aug,0,61.0127,0.7111,0
8/28/21,Colorado,,610127,7111,,Aug,0,61.0127,0.7111,0
8/29/21,Colorado,,610127,7111,,Aug,0,61.0127,0.7111,0
8/30/21,Colorado,,613730,7129,,Aug,0,61.373,0.7129,0
8/31/21,Colorado,,615878,7142,,Aug,0,61.5878,0.7142,0
9/1/21,Colorado,,618072,7151,,Sep,0,61.8072,0.7151,0
9/2/21,Colorado,,620268,7170,,Sep,0,62.0268,0.717,0
9/3/21,Colorado,,622344,7194,,Sep,0,62.2344,0.7194,0
9/4/21,Colorado,,622344,7194,,Sep,0,62.2344,0.7194,0
9/5/21,Colorado,,622344,7194,,Sep,0,62.2344,0.7194,0
9/6/21,Colorado,,627415,7225,,Sep,0,62.7415,0.7225,0
9/7/21,Colorado,,629259,7226,,Sep,0,62.9259,0.7226,0
9/8/21,Colorado,,630799,7242,,Sep,0,63.0799,0.7242,0
9/9/21,Colorado,,632699,7254,,Sep,0,63.2699,0.7254,0
9/10/21,Colorado,,634888,7274,,Sep,0,63.4888,0.7274,0
9/11/21,Colorado,,634888,7274,,Sep,0,63.4888,0.7274,0
9/12/21,Colorado,,634888,7274,,Sep,0,63.4888,0.7274,0
9/13/21,Colorado,,640380,7302,,Sep,0,64.038,0.7302,0
9/14/21,Colorado,,642360,7320,,Sep,0,64.236,0.732,0
9/15/21,Colorado,,644419,7346,,Sep,0,64.4419,0.7346,0
9/16/21,Colorado,,646605,7349,,Sep,0,64.6605,0.7349,0
9/17/21,Colorado,,648642,7374,,Sep,0,64.8642,0.7374,0
9/18/21,Colorado,,648642,7374,,Sep,0,64.8642,0.7374,0
9/19/21,Colorado,,648642,7374,,Sep,0,64.8642,0.7374,0
9/20/21,Colorado,,653465,7405,,Sep,0,65.3465,0.7405,0
9/21/21,Colorado,,655244,7428,,Sep,0,65.5244,0.7428,0
9/22/21,Colorado,,656850,7441,,Sep,0,65.685,0.7441,0
9/23/21,Colorado,,658906,7456,,Sep,0,65.8906,0.7456,0
9/24/21,Colorado,,660884,7472,,Sep,0,66.0884,0.7472,0
9/25/21,Colorado,,660884,7472,,Sep,0,66.0884,0.7472,0
9/26/21,Colorado,,660884,7472,,Sep,0,66.0884,0.7472,0
9/27/21,Colorado,,665469,7503,,Sep,0,66.5469,0.7503,0
9/28/21,Colorado,,667366,7522,,Sep,0,66.7366,0.7522,0
9/29/21,Colorado,,668958,7541,,Sep,0,66.8958,0.7541,0
9/30/21,Colorado,,671363,7543,,Sep,0,67.1363,0.7543,0
10/1/21,Colorado,,673517,7594,,Oct,0,67.3517,0.7594,0
10/2/21,Colorado,,673517,7594,,Oct,0,67.3517,0.7594,0
10/3/21,Colorado,,673517,7594,,Oct,0,67.3517,0.7594,0
10/4/21,Colorado,,678655,7626,,Oct,0,67.8655,0.7626,0
10/5/21,Colorado,,680930,7643,,Oct,0,68.093,0.7643,0
10/6/21,Colorado,,682773,7665,,Oct,0,68.2773,0.7665,0
10/7/21,Colorado,,685554,7693,,Oct,0,68.5554,0.7693,0
10/8/21,Colorado,,688465,7733,,Oct,0,68.8465,0.7733,0
10/9/21,Colorado,,688465,7733,,Oct,0,68.8465,0.7733,0
10/10/21,Colorado,,688465,7733,,Oct,0,68.8465,0.7733,0
10/11/21,Colorado,,694349,7767,,Oct,0,69.4349,0.7767,0
10/12/21,Colorado,,696349,7790,,Oct,0,69.6349,0.779,0
10/13/21,Colorado,,698810,7828,,Oct,0,69.881,0.7828,0
10/14/21,Colorado,,701989,7840,,Oct,0,70.1989,0.784,0
10/15/21,Colorado,,704814,7864,,Oct,0,70.4814,0.7864,0
10/16/21,Colorado,,704839,7864,,Oct,0,70.4839,0.7864,0
10/17/21,Colorado,,704839,7864,,Oct,0,70.4839,0.7864,0
10/18/21,Colorado,,710142,7917,,Oct,0,71.0142,0.7917,0
10/19/21,Colorado,,712125,7949,,Oct,0,71.2125,0.7949,0
10/20/21,Colorado,,714377,7971,,Oct,0,71.4377,0.7971,0
10/21/21,Colorado,,717774,7994,,Oct,0,71.7774,0.7994,0
10/22/21,Colorado,,720620,8029,,Oct,0,72.062,0.8029,0
10/23/21,Colorado,,720620,8029,,Oct,0,72.062,0.8029,0
10/24/21,Colorado,,720620,8029,,Oct,0,72.062,0.8029,0
10/25/21,Colorado,,727506,8086,,Oct,0,72.7506,0.8086,0
10/26/21,Colorado,,729958,8108,,Oct,0,72.9958,0.8108,0
10/27/21,Colorado,,733343,8131,,Oct,0,73.3343,0.8131,0
10/28/21,Colorado,,737166,8163,,Oct,0,73.7166,0.8163,0
10/29/21,Colorado,,740461,8186,,Oct,0,74.0461,0.8186,0
10/30/21,Colorado,,740461,8186,,Oct,0,74.0461,0.8186,0
10/31/21,Colorado,,740461,8186,,Oct,0,74.0461,0.8186,0
11/1/21,Colorado,,747855,8258,,Nov,0,74.7855,0.8258,0
11/2/21,Colorado,,750251,8292,,Nov,0,75.0251,0.8292,0
11/3/21,Colorado,,752998,8308,,Nov,0,75.2998,0.8308,0
11/4/21,Colorado,,757147,8359,,Nov,0,75.7147,0.8359,0
11/5/21,Colorado,,760455,8408,,Nov,0,76.0455,0.8408,0
11/6/21,Colorado,,760453,8407,,Nov,0,76.0453,0.8407,0
11/7/21,Colorado,,760453,8407,,Nov,0,76.0453,0.8407,0
11/8/21,Colorado,,768646,8499,,Nov,0,76.8646,0.8499,0
11/9/21,Colorado,,771061,8520,,Nov,0,77.1061,0.852,0
11/10/21,Colorado,,774997,8551,,Nov,0,77.4997,0.8551,0
11/11/21,Colorado,,778909,8584,,Nov,0,77.8909,0.8584,0
11/12/21,Colorado,,781960,8620,,Nov,0,78.196,0.862,0
11/13/21,Colorado,,781960,8620,,Nov,0,78.196,0.862,0
