Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,Connecticut,169913,185708,5995,9800,Jan,16.9913,18.5708,0.5995,0.98
1/2/21,Connecticut,174221,190120,6099,9800,Jan,17.4221,19.012,0.6099,0.98
1/3/21,Connecticut,174221,190120,6099,9800,Jan,17.4221,19.012,0.6099,0.98
1/4/21,Connecticut,178668,194636,6168,9800,Jan,17.8668,19.4636,0.6168,0.98
1/5/21,Connecticut,180976,196968,6192,9800,Jan,18.0976,19.6968,0.6192,0.98
1/6/21,Connecticut,183424,199454,6230,9800,Jan,18.3424,19.9454,0.623,0.98
1/7/21,Connecticut,186671,202758,6287,9800,Jan,18.6671,20.2758,0.6287,0.98
1/8/21,Connecticut,189870,205994,6324,9800,Jan,18.987,20.5994,0.6324,0.98
1/9/21,Connecticut,189870,205994,6324,9800,Jan,18.987,20.5994,0.6324,0.98
1/10/21,Connecticut,189870,205994,6324,9800,Jan,18.987,20.5994,0.6324,0.98
1/11/21,Connecticut,197142,213358,6416,9800,Jan,19.7142,21.3358,0.6416,0.98
1/12/21,Connecticut,200798,217047,6449,9800,Jan,20.0798,21.7047,0.6449,0.98
1/13/21,Connecticut,204240,220576,6536,9800,Jan,20.424,22.0576,0.6536,0.98
1/14/21,Connecticut,205191,221544,6553,9800,Jan,20.5191,22.1544,0.6553,0.98
1/15/21,Connecticut,207028,223422,6594,9800,Jan,20.7028,22.3422,0.6594,0.98
1/16/21,Connecticut,207028,223422,6594,9800,Jan,20.7028,22.3422,0.6594,0.98
1/17/21,Connecticut,207028,223422,6594,9800,Jan,20.7028,22.3422,0.6594,0.98
1/18/21,Connecticut,213655,230125,6670,9800,Jan,21.3655,23.0125,0.667,0.98
1/19/21,Connecticut,215737,232219,6682,9800,Jan,21.5737,23.2219,0.6682,0.98
1/20/21,Connecticut,217608,234134,6726,9800,Jan,21.7608,23.4134,0.6726,0.98
1/21/21,Connecticut,219222,235796,6774,9800,Jan,21.9222,23.5796,0.6774,0.98
1/22/21,Connecticut,221196,237815,6819,9800,Jan,22.1196,23.7815,0.6819,0.98
1/23/21,Connecticut,221196,237815,6819,9800,Jan,22.1196,23.7815,0.6819,0.98
1/24/21,Connecticut,221196,237815,6819,9800,Jan,22.1196,23.7815,0.6819,0.98
1/25/21,Connecticut,226921,243632,6911,9800,Jan,22.6921,24.3632,0.6911,0.98
1/26/21,Connecticut,228165,244899,6934,9800,Jan,22.8165,24.4899,0.6934,0.98
1/27/21,Connecticut,230563,247339,6976,9800,Jan,23.0563,24.7339,0.6976,0.98
1/28/21,Connecticut,231945,248765,7020,9800,Jan,23.1945,24.8765,0.702,0.98
1/29/21,Connecticut,233177,250023,7046,9800,Jan,23.3177,25.0023,0.7046,0.98
1/30/21,Connecticut,233177,250023,7046,9800,Jan,23.3177,25.0023,0.7046,0.98
1/31/21,Connecticut,233177,250023,7046,9800,Jan,23.3177,25.0023,0.7046,0.98
2/1/21,Connecticut,237035,253954,7119,9800,Feb,23.7035,25.3954,0.7119,0.98
2/2/21,Connecticut,239589,256522,7133,9800,Feb,23.9589,25.6522,0.7133,0.98
2/3/21,Connecticut,240047,257004,7157,9800,Feb,24.0047,25.7004,0.7157,0.98
2/4/21,Connecticut,240956,257941,7185,9800,Feb,24.0956,25.7941,0.7185,0.98
2/5/21,Connecticut,242358,259372,7214,9800,Feb,24.2358,25.9372,0.7214,0.98
2/6/21,Connecticut,242358,259372,7214,9800,Feb,24.2358,25.9372,0.7214,0.98
2/7/21,Connecticut,242358,259372,7214,9800,Feb,24.2358,25.9372,0.7214,0.98
2/8/21,Connecticut,246657,263739,7282,9800,Feb,24.6657,26.3739,0.7282,0.98
2/9/21,Connecticut,247510,264608,7298,9800,Feb,24.751,26.4608,0.7298,0.98
2/10/21,Connecticut,248370,265496,7326,9800,Feb,24.837,26.5496,0.7326,0.98
2/11/21,Connecticut,249345,266499,7354,9800,Feb,24.9345,26.6499,0.7354,0.98
2/12/21,Connecticut,250156,267337,7381,9800,Feb,25.0156,26.7337,0.7381,0.98
2/13/21,Connecticut,250156,267337,7381,9800,Feb,25.0156,26.7337,0.7381,0.98
2/14/21,Connecticut,250156,267337,7381,9800,Feb,25.0156,26.7337,0.7381,0.98
2/15/21,Connecticut,252995,270242,7447,9800,Feb,25.2995,27.0242,0.7447,0.98
