Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,Delaware,38148,58064,1065,18851,Jan,3.8148,5.8064,0.1065,1.8851
1/2/21,Delaware,38950,58873,1072,18851,Jan,3.895,5.8873,0.1072,1.8851
1/3/21,Delaware,39553,59484,1080,18851,Jan,3.9553,5.9484,0.108,1.8851
1/4/21,Delaware,40397,60333,1085,18851,Jan,4.0397,6.0333,0.1085,1.8851
1/5/21,Delaware,41156,61100,1093,18851,Jan,4.1156,6.11,0.1093,1.8851
1/6/21,Delaware,41776,61729,1102,18851,Jan,4.1776,6.1729,0.1102,1.8851
1/7/21,Delaware,42986,62949,1112,18851,Jan,4.2986,6.2949,0.1112,1.8851
1/8/21,Delaware,43536,63503,1116,18851,Jan,4.3536,6.3503,0.1116,1.8851
1/9/21,Delaware,44496,64475,1128,18851,Jan,4.4496,6.4475,0.1128,1.8851
1/10/21,Delaware,45285,65273,1137,18851,Jan,4.5285,6.5273,0.1137,1.8851
1/11/21,Delaware,45830,65827,1146,18851,Jan,4.583,6.5827,0.1146,1.8851
1/12/21,Delaware,46438,66446,1157,18851,Jan,4.6438,6.6446,0.1157,1.8851
1/13/21,Delaware,47156,67173,1166,18851,Jan,4.7156,6.7173,0.1166,1.8851
1/14/21,Delaware,48036,68065,1178,18851,Jan,4.8036,6.8065,0.1178,1.8851
1/15/21,Delaware,48694,68727,1182,18851,Jan,4.8694,6.8727,0.1182,1.8851
1/16/21,Delaware,49333,69372,1188,18851,Jan,4.9333,6.9372,0.1188,1.8851
1/17/21,Delaware,50243,70294,1200,18851,Jan,5.0243,7.0294,0.12,1.8851
1/18/21,Delaware,50849,70910,1210,18851,Jan,5.0849,7.091,0.121,1.8851
1/19/21,Delaware,51241,71311,1219,18851,Jan,5.1241,7.1311,0.1219,1.8851
1/20/21,Delaware,51696,71775,1228,18851,Jan,5.1696,7.1775,0.1228,1.8851
1/21/21,Delaware,,72523,1241,,Jan,0,7.2523,0.1241,0
1/22/21,Delaware,,73233,1252,,Jan,0,7.3233,0.1252,0
1/23/21,Delaware,,73915,1254,,Jan,0,7.3915,0.1254,0
1/24/21,Delaware,,74575,1267,,Jan,0,7.4575,0.1267,0
1/25/21,Delaware,,75191,1271,,Jan,0,7.5191,0.1271,0
1/26/21,Delaware,,75490,1276,,Jan,0,7.549,0.1276,0
1/27/21,Delaware,,75832,1283,,Jan,0,7.5832,0.1283,0
1/28/21,Delaware,,76495,1292,,Jan,0,7.6495,0.1292,0
1/29/21,Delaware,,76935,1299,,Jan,0,7.6935,0.1299,0
1/30/21,Delaware,,77551,1301,,Jan,0,7.7551,0.1301,0
1/31/21,Delaware,,78071,1305,,Jan,0,7.8071,0.1305,0
2/1/21,Delaware,,78495,1308,,Feb,0,7.8495,0.1308,0
2/2/21,Delaware,,78696,1316,,Feb,0,7.8696,0.1316,0
2/3/21,Delaware,,78982,1318,,Feb,0,7.8982,0.1318,0
2/4/21,Delaware,,79225,1321,,Feb,0,7.9225,0.1321,0
2/5/21,Delaware,,79546,1325,,Feb,0,7.9546,0.1325,0
2/6/21,Delaware,,79832,1329,,Feb,0,7.9832,0.1329,0
2/7/21,Delaware,,80594,1335,,Feb,0,8.0594,0.1335,0
2/8/21,Delaware,,80931,1339,,Feb,0,8.0931,0.1339,0
2/9/21,Delaware,,81210,1343,,Feb,0,8.121,0.1343,0
2/10/21,Delaware,,81461,1346,,Feb,0,8.1461,0.1346,0
2/11/21,Delaware,,81875,1350,,Feb,0,8.1875,0.135,0
2/12/21,Delaware,,82263,1352,,Feb,0,8.2263,0.1352,0
2/13/21,Delaware,,82672,1356,,Feb,0,8.2672,0.1356,0
2/14/21,Delaware,,83003,1361,,Feb,0,8.3003,0.1361,0
2/15/21,Delaware,,83239,1364,,Feb,0,8.3239,0.1364,0
2/16/21,Delaware,,83369,1364,,Feb,0,8.3369,0.1364,0
2/17/21,Delaware,,83581,1365,,Feb,0,8.3581,0.1365,0
2/18/21,Delaware,,83852,1366,,Feb,0,8.3852,0.1366,0
2/19/21,Delaware,,84181,1366,,Feb,0,8.4181,0.1366,0
2/20/21,Delaware,,84531,1366,,Feb,0,8.4531,0.1366,0
2/21/21,Delaware,,84732,1367,,Feb,0,8.4732,0.1367,0
2/22/21,Delaware,,85090,1368,,Feb,0,8.509,0.1368,0
2/23/21,Delaware,,85228,1379,,Feb,0,8.5228,0.1379,0
2/24/21,Delaware,,85506,1402,,Feb,0,8.5506,0.1402,0
2/25/21,Delaware,,85801,1406,,Feb,0,8.5801,0.1406,0
2/26/21,Delaware,,86098,1418,,Feb,0,8.6098,0.1418,0
2/27/21,Delaware,,86517,1418,,Feb,0,8.6517,0.1418,0
2/28/21,Delaware,,86799,1422,,Feb,0,8.6799,0.1422,0
3/1/21,Delaware,,87080,1422,,Mar,0,8.708,0.1422,0
3/2/21,Delaware,,87193,1426,,Mar,0,8.7193,0.1426,0
3/3/21,Delaware,,87425,1440,,Mar,0,8.7425,0.144,0
3/4/21,Delaware,,87643,1444,,Mar,0,8.7643,0.1444,0
3/5/21,Delaware,,87874,1453,,Mar,0,8.7874,0.1453,0
3/6/21,Delaware,,88139,1464,,Mar,0,8.8139,0.1464,0
3/7/21,Delaware,,88354,1473,,Mar,0,8.8354,0.1473,0
3/8/21,Delaware,,88563,1475,,Mar,0,8.8563,0.1475,0
3/9/21,Delaware,,88679,1482,,Mar,0,8.8679,0.1482,0
3/10/21,Delaware,,88891,1492,,Mar,0,8.8891,0.1492,0
3/11/21,Delaware,,89680,1494,,Mar,0,8.968,0.1494,0
3/12/21,Delaware,,89911,1496,,Mar,0,8.9911,0.1496,0
3/13/21,Delaware,,90156,1504,,Mar,0,9.0156,0.1504,0
3/14/21,Delaware,,90381,1507,,Mar,0,9.0381,0.1507,0
3/15/21,Delaware,,90614,1511,,Mar,0,9.0614,0.1511,0
3/16/21,Delaware,,90751,1514,,Mar,0,9.0751,0.1514,0
3/17/21,Delaware,,91123,1516,,Mar,0,9.1123,0.1516,0
3/18/21,Delaware,,91425,1517,,Mar,0,9.1425,0.1517,0
3/19/21,Delaware,,91635,1522,,Mar,0,9.1635,0.1522,0
