Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,District of Columbia,7523,29252,788,20941,Jan,0.7523,2.9252,0.0788,2.0941
1/2/21,District of Columbia,7715,29509,792,21002,Jan,0.7715,2.9509,0.0792,2.1002
1/3/21,District of Columbia,7898,29764,794,21072,Jan,0.7898,2.9764,0.0794,2.1072
1/4/21,District of Columbia,7980,29904,797,21127,Jan,0.798,2.9904,0.0797,2.1127
1/5/21,District of Columbia,8028,30166,801,21337,Jan,0.8028,3.0166,0.0801,2.1337
1/6/21,District of Columbia,8215,30482,806,21461,Jan,0.8215,3.0482,0.0806,2.1461
1/7/21,District of Columbia,8282,30750,808,21660,Jan,0.8282,3.075,0.0808,2.166
1/8/21,District of Columbia,8447,31107,809,21851,Jan,0.8447,3.1107,0.0809,2.1851
1/9/21,District of Columbia,8602,31457,813,22042,Jan,0.8602,3.1457,0.0813,2.2042
1/10/21,District of Columbia,8821,31791,817,22153,Jan,0.8821,3.1791,0.0817,2.2153
1/11/21,District of Columbia,9019,31993,821,22153,Jan,0.9019,3.1993,0.0821,2.2153
1/12/21,District of Columbia,9134,32423,825,22464,Jan,0.9134,3.2423,0.0825,2.2464
1/13/21,District of Columbia,9096,32600,831,22673,Jan,0.9096,3.26,0.0831,2.2673
1/14/21,District of Columbia,9079,32820,842,22899,Jan,0.9079,3.282,0.0842,2.2899
1/15/21,District of Columbia,9167,33140,842,23131,Jan,0.9167,3.314,0.0842,2.3131
1/16/21,District of Columbia,9371,33537,847,23319,Jan,0.9371,3.3537,0.0847,2.3319
1/17/21,District of Columbia,9545,33851,850,23456,Jan,0.9545,3.3851,0.085,2.3456
1/18/21,District of Columbia,9622,34033,857,23554,Jan,0.9622,3.4033,0.0857,2.3554
1/19/21,District of Columbia,9766,34259,861,23632,Jan,0.9766,3.4259,0.0861,2.3632
1/20/21,District of Columbia,9531,34403,863,24009,Jan,0.9531,3.4403,0.0863,2.4009
1/21/21,District of Columbia,9497,34612,864,24251,Jan,0.9497,3.4612,0.0864,2.4251
1/22/21,District of Columbia,9787,34905,867,24251,Jan,0.9787,3.4905,0.0867,2.4251
1/23/21,District of Columbia,9635,35077,870,24572,Jan,0.9635,3.5077,0.087,2.4572
1/24/21,District of Columbia,9732,35301,872,24697,Jan,0.9732,3.5301,0.0872,2.4697
1/25/21,District of Columbia,9808,35505,879,24818,Jan,0.9808,3.5505,0.0879,2.4818
1/26/21,District of Columbia,9804,35700,888,25008,Jan,0.9804,3.57,0.0888,2.5008
1/27/21,District of Columbia,9699,35865,895,25271,Jan,0.9699,3.5865,0.0895,2.5271
