Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,Florida,,1323315,21673,,Jan,0,132.3315,2.1673,0
1/2/21,Florida,,1354833,21890,,Jan,0,135.4833,2.189,0
1/3/21,Florida,,1365436,21987,,Jan,0,136.5436,2.1987,0
1/4/21,Florida,,1376692,22090,,Jan,0,137.6692,2.209,0
1/5/21,Florida,,1392123,22188,,Jan,0,139.2123,2.2188,0
1/6/21,Florida,,1409906,22317,,Jan,0,140.9906,2.2317,0
1/7/21,Florida,,1429722,22481,,Jan,0,142.9722,2.2481,0
1/8/21,Florida,,1449252,22666,,Jan,0,144.9252,2.2666,0
1/9/21,Florida,,1464697,22804,,Jan,0,146.4697,2.2804,0
1/10/21,Florida,,1477010,22912,,Jan,0,147.701,2.2912,0
1/11/21,Florida,,1488586,23071,,Jan,0,148.8586,2.3071,0
1/12/21,Florida,,1503482,23227,,Jan,0,150.3482,2.3227,0
1/13/21,Florida,,1517472,23396,,Jan,0,151.7472,2.3396,0
1/14/21,Florida,,1531192,23613,,Jan,0,153.1192,2.3613,0
1/15/21,Florida,,1548067,23799,,Jan,0,154.8067,2.3799,0
1/16/21,Florida,,1560186,24004,,Jan,0,156.0186,2.4004,0
1/17/21,Florida,,1571279,24137,,Jan,0,157.1279,2.4137,0
1/18/21,Florida,,1579281,24274,,Jan,0,157.9281,2.4274,0
1/19/21,Florida,,1589097,24436,,Jan,0,158.9097,2.4436,0
1/20/21,Florida,,1601011,24578,,Jan,0,160.1011,2.4578,0
1/21/21,Florida,,1613884,24739,,Jan,0,161.3884,2.4739,0
1/22/21,Florida,,1627603,25011,,Jan,0,162.7603,2.5011,0
1/23/21,Florida,,1639914,25164,,Jan,0,163.9914,2.5164,0
1/24/21,Florida,,1649449,25293,,Jan,0,164.9449,2.5293,0
1/25/21,Florida,,1658169,25446,,Jan,0,165.8169,2.5446,0
1/26/21,Florida,,1667763,25673,,Jan,0,166.7763,2.5673,0
1/27/21,Florida,,1676171,25833,,Jan,0,167.6171,2.5833,0
1/28/21,Florida,,1687594,26035,,Jan,0,168.7594,2.6035,0
1/29/21,Florida,,1698570,26254,,Jan,0,169.857,2.6254,0
1/30/21,Florida,,1713589,26360,,Jan,0,171.3589,2.636,0
1/31/21,Florida,,1721377,26479,,Jan,0,172.1377,2.6479,0
2/1/21,Florida,,1727107,26685,,Feb,0,172.7107,2.6685,0
2/2/21,Florida,,1737640,26822,,Feb,0,173.764,2.6822,0
2/3/21,Florida,,1744619,27019,,Feb,0,174.4619,2.7019,0
2/4/21,Florida,,1752330,27247,,Feb,0,175.233,2.7247,0
2/5/21,Florida,,1763873,27457,,Feb,0,176.3873,2.7457,0
2/6/21,Florida,,1771359,27599,,Feb,0,177.1359,2.7599,0
2/7/21,Florida,,1777983,27696,,Feb,0,177.7983,2.7696,0
2/8/21,Florida,,1783720,27815,,Feb,0,178.372,2.7815,0
