Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,Georgia,677589,677589,10958,,Jan,0,67.7589,1.0958,0
1/2/21,Georgia,685122,685122,10960,,Jan,0,68.5122,1.096,0
1/3/21,Georgia,690900,690900,10964,,Jan,0,69.09,1.0964,0
1/4/21,Georgia,696063,696063,10971,,Jan,0,69.6063,1.0971,0
1/5/21,Georgia,706154,706154,11072,,Jan,0,70.6154,1.1072,0
1/6/21,Georgia,713840,713840,11165,,Jan,0,71.384,1.1165,0
1/7/21,Georgia,723630,723630,11230,,Jan,0,72.363,1.123,0
1/8/21,Georgia,736926,736926,11314,,Jan,0,73.6926,1.1314,0
1/9/21,Georgia,748852,748852,11457,,Jan,0,74.8852,1.1457,0
1/10/21,Georgia,757045,757045,11458,,Jan,0,75.7045,1.1458,0
1/11/21,Georgia,764499,764499,11475,,Jan,0,76.4499,1.1475,0
1/12/21,Georgia,773692,773692,11662,,Jan,0,77.3692,1.1662,0
1/13/21,Georgia,782288,782288,11803,,Jan,0,78.2288,1.1803,0
1/14/21,Georgia,791324,791324,11975,,Jan,0,79.1324,1.1975,0
1/15/21,Georgia,801130,801130,12138,,Jan,0,80.113,1.2138,0
1/16/21,Georgia,809663,809663,12291,,Jan,0,80.9663,1.2291,0
1/17/21,Georgia,815995,815995,12296,,Jan,0,81.5995,1.2296,0
1/18/21,Georgia,820952,820952,12360,,Jan,0,82.0952,1.236,0
1/19/21,Georgia,828581,828581,12572,,Jan,0,82.8581,1.2572,0
1/20/21,Georgia,836649,836649,12778,,Jan,0,83.6649,1.2778,0
1/21/21,Georgia,844799,844799,12889,,Jan,0,84.4799,1.2889,0
1/22/21,Georgia,853173,853173,13060,,Jan,0,85.3173,1.306,0
1/23/21,Georgia,862158,862158,13246,,Jan,0,86.2158,1.3246,0
1/24/21,Georgia,866911,866911,13250,,Jan,0,86.6911,1.325,0
1/25/21,Georgia,870828,870828,13303,,Jan,0,87.0828,1.3303,0
1/26/21,Georgia,879221,879221,13482,,Jan,0,87.9221,1.3482,0
1/27/21,Georgia,885605,885605,13643,,Jan,0,88.5605,1.3643,0
1/28/21,Georgia,892957,892957,13827,,Jan,0,89.2957,1.3827,0
1/29/21,Georgia,899515,899515,13986,,Jan,0,89.9515,1.3986,0
1/30/21,Georgia,905858,905858,14196,,Jan,0,90.5858,1.4196,0
1/31/21,Georgia,909445,909445,14198,,Jan,0,90.9445,1.4198,0
2/1/21,Georgia,912479,912479,14242,,Feb,0,91.2479,1.4242,0
2/2/21,Georgia,917440,917440,14450,,Feb,0,91.744,1.445,0
2/3/21,Georgia,922364,922364,14587,,Feb,0,92.2364,1.4587,0
2/4/21,Georgia,928070,928070,14756,,Feb,0,92.807,1.4756,0
2/5/21,Georgia,932912,932912,14858,,Feb,0,93.2912,1.4858,0
2/6/21,Georgia,937402,937402,15090,,Feb,0,93.7402,1.509,0
2/7/21,Georgia,940991,940991,15092,,Feb,0,94.0991,1.5092,0
2/8/21,Georgia,943695,943695,15130,,Feb,0,94.3695,1.513,0
