Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,Guam,157,7326,122,7047,Jan,0.0157,0.7326,0.0122,0.7047
1/2/21,Guam,157,7326,122,7047,Jan,0.0157,0.7326,0.0122,0.7047
1/3/21,Guam,157,7326,122,7047,Jan,0.0157,0.7326,0.0122,0.7047
1/4/21,Guam,133,7344,122,7089,Jan,0.0133,0.7344,0.0122,0.7089
1/5/21,Guam,102,7357,123,7132,Jan,0.0102,0.7357,0.0123,0.7132
1/6/21,Guam,110,7378,123,7145,Jan,0.011,0.7378,0.0123,0.7145
1/7/21,Guam,117,7386,124,7145,Jan,0.0117,0.7386,0.0124,0.7145
1/8/21,Guam,129,7399,124,7146,Jan,0.0129,0.7399,0.0124,0.7146
1/9/21,Guam,129,7399,124,7146,Jan,0.0129,0.7399,0.0124,0.7146
1/10/21,Guam,129,7399,124,7146,Jan,0.0129,0.7399,0.0124,0.7146
1/11/21,Guam,135,7423,124,7164,Jan,0.0135,0.7423,0.0124,0.7164
1/12/21,Guam,116,7429,124,7189,Jan,0.0116,0.7429,0.0124,0.7189
1/13/21,Guam,112,7444,124,7208,Jan,0.0112,0.7444,0.0124,0.7208
1/14/21,Guam,115,7457,124,7218,Jan,0.0115,0.7457,0.0124,0.7218
1/15/21,Guam,129,7474,125,7220,Jan,0.0129,0.7474,0.0125,0.722
1/16/21,Guam,129,7474,125,7220,Jan,0.0129,0.7474,0.0125,0.722
1/17/21,Guam,129,7474,125,7220,Jan,0.0129,0.7474,0.0125,0.722
1/18/21,Guam,129,7474,125,7220,Jan,0.0129,0.7474,0.0125,0.722
1/19/21,Guam,136,7515,128,7251,Jan,0.0136,0.7515,0.0128,0.7251
1/20/21,Guam,119,7521,128,7274,Jan,0.0119,0.7521,0.0128,0.7274
1/21/21,Guam,114,7521,128,7279,Jan,0.0114,0.7521,0.0128,0.7279
1/22/21,Guam,126,7547,128,7293,Jan,0.0126,0.7547,0.0128,0.7293
1/23/21,Guam,126,7547,128,7293,Jan,0.0126,0.7547,0.0128,0.7293
1/24/21,Guam,126,7547,128,7293,Jan,0.0126,0.7547,0.0128,0.7293
1/25/21,Guam,106,7554,129,7319,Jan,0.0106,0.7554,0.0129,0.7319
1/26/21,Guam,102,7566,129,7335,Jan,0.0102,0.7566,0.0129,0.7335
1/27/21,Guam,88,7568,129,7351,Jan,0.0088,0.7568,0.0129,0.7351
1/28/21,Guam,90,7572,129,7353,Jan,0.009,0.7572,0.0129,0.7353
1/29/21,Guam,95,7579,129,7355,Jan,0.0095,0.7579,0.0129,0.7355
1/30/21,Guam,95,7579,129,7355,Jan,0.0095,0.7579,0.0129,0.7355
1/31/21,Guam,95,7579,129,7355,Jan,0.0095,0.7579,0.0129,0.7355
2/1/21,Guam,102,7608,129,7377,Feb,0.0102,0.7608,0.0129,0.7377
2/2/21,Guam,100,7610,129,7381,Feb,0.01,0.761,0.0129,0.7381
2/3/21,Guam,82,7618,129,7407,Feb,0.0082,0.7618,0.0129,0.7407
2/4/21,Guam,83,7622,129,7410,Feb,0.0083,0.7622,0.0129,0.741
2/5/21,Guam,91,7636,129,7416,Feb,0.0091,0.7636,0.0129,0.7416
2/6/21,Guam,91,7636,129,7416,Feb,0.0091,0.7636,0.0129,0.7416
2/7/21,Guam,91,7636,129,7416,Feb,0.0091,0.7636,0.0129,0.7416
2/8/21,Guam,103,7664,130,7431,Feb,0.0103,0.7664,0.013,0.7431
2/9/21,Guam,92,7673,130,7451,Feb,0.0092,0.7673,0.013,0.7451
2/10/21,Guam,83,7673,130,7460,Feb,0.0083,0.7673,0.013,0.746
2/11/21,Guam,89,7686,130,7467,Feb,0.0089,0.7686,0.013,0.7467
2/12/21,Guam,87,7689,130,7472,Feb,0.0087,0.7689,0.013,0.7472
2/13/21,Guam,87,7689,130,7472,Feb,0.0087,0.7689,0.013,0.7472
2/14/21,Guam,87,7689,130,7472,Feb,0.0087,0.7689,0.013,0.7472
2/15/21,Guam,85,7699,130,7484,Feb,0.0085,0.7699,0.013,0.7484
2/16/21,Guam,71,7701,130,7500,Feb,0.0071,0.7701,0.013,0.75
2/17/21,Guam,50,7703,130,7523,Feb,0.005,0.7703,0.013,0.7523
2/18/21,Guam,47,7705,130,7528,Feb,0.0047,0.7705,0.013,0.7528
2/19/21,Guam,57,7715,130,7528,Feb,0.0057,0.7715,0.013,0.7528
2/20/21,Guam,57,7715,130,7528,Feb,0.0057,0.7715,0.013,0.7528
2/21/21,Guam,57,7715,130,7528,Feb,0.0057,0.7715,0.013,0.7528
2/22/21,Guam,53,7727,130,7544,Feb,0.0053,0.7727,0.013,0.7544
2/23/21,Guam,42,7727,130,7555,Feb,0.0042,0.7727,0.013,0.7555
2/24/21,Guam,44,7729,130,7555,Feb,0.0044,0.7729,0.013,0.7555
2/25/21,Guam,40,7729,130,7559,Feb,0.004,0.7729,0.013,0.7559
2/26/21,Guam,40,7734,130,7564,Feb,0.004,0.7734,0.013,0.7564
2/27/21,Guam,40,7734,130,7564,Feb,0.004,0.7734,0.013,0.7564
2/28/21,Guam,40,7734,130,7564,Feb,0.004,0.7734,0.013,0.7564
3/1/21,Guam,42,7737,131,7564,Mar,0.0042,0.7737,0.0131,0.7564
3/2/21,Guam,31,7742,131,7580,Mar,0.0031,0.7742,0.0131,0.758
3/3/21,Guam,31,7745,131,7583,Mar,0.0031,0.7745,0.0131,0.7583
3/4/21,Guam,26,7747,131,7590,Mar,0.0026,0.7747,0.0131,0.759
3/5/21,Guam,25,7748,133,7590,Mar,0.0025,0.7748,0.0133,0.759
3/6/21,Guam,26,7749,133,7590,Mar,0.0026,0.7749,0.0133,0.759
3/7/21,Guam,,7749,133,,Mar,0,0.7749,0.0133,0
3/8/21,Guam,,7751,133,,Mar,0,0.7751,0.0133,0
3/9/21,Guam,,7752,133,,Mar,0,0.7752,0.0133,0
3/10/21,Guam,,7756,133,,Mar,0,0.7756,0.0133,0
3/11/21,Guam,,7758,133,,Mar,0,0.7758,0.0133,0
