Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,Hawaii,10150,22397,289,11958,Jan,1.015,2.2397,0.0289,1.1958
1/2/21,Hawaii,10201,22448,289,11958,Jan,1.0201,2.2448,0.0289,1.1958
1/3/21,Hawaii,10313,22560,289,11958,Jan,1.0313,2.256,0.0289,1.1958
1/4/21,Hawaii,10355,22602,289,11958,Jan,1.0355,2.2602,0.0289,1.1958
1/5/21,Hawaii,10510,22757,289,11958,Jan,1.051,2.2757,0.0289,1.1958
1/6/21,Hawaii,10660,22917,299,11958,Jan,1.066,2.2917,0.0299,1.1958
1/7/21,Hawaii,11143,23400,299,11958,Jan,1.1143,2.34,0.0299,1.1958
1/8/21,Hawaii,11443,23704,303,11958,Jan,1.1443,2.3704,0.0303,1.1958
1/9/21,Hawaii,11631,23897,308,11958,Jan,1.1631,2.3897,0.0308,1.1958
1/10/21,Hawaii,11778,24045,309,11958,Jan,1.1778,2.4045,0.0309,1.1958
1/11/21,Hawaii,11934,24201,309,11958,Jan,1.1934,2.4201,0.0309,1.1958
1/12/21,Hawaii,11994,24261,309,11958,Jan,1.1994,2.4261,0.0309,1.1958
1/13/21,Hawaii,12082,24352,312,11958,Jan,1.2082,2.4352,0.0312,1.1958
1/14/21,Hawaii,12322,24598,318,11958,Jan,1.2322,2.4598,0.0318,1.1958
1/15/21,Hawaii,12513,24789,318,11958,Jan,1.2513,2.4789,0.0318,1.1958
1/16/21,Hawaii,12691,24969,320,11958,Jan,1.2691,2.4969,0.032,1.1958
1/17/21,Hawaii,12784,25064,322,11958,Jan,1.2784,2.5064,0.0322,1.1958
1/18/21,Hawaii,12907,25187,322,11958,Jan,1.2907,2.5187,0.0322,1.1958
1/19/21,Hawaii,,25195,324,,Jan,0,2.5195,0.0324,0
1/20/21,Hawaii,,25278,325,,Jan,0,2.5278,0.0325,0
1/21/21,Hawaii,,25441,328,,Jan,0,2.5441,0.0328,0
1/22/21,Hawaii,,25658,332,,Jan,0,2.5658,0.0332,0
1/23/21,Hawaii,,25758,336,,Jan,0,2.5758,0.0336,0
1/24/21,Hawaii,,25925,342,,Jan,0,2.5925,0.0342,0
1/25/21,Hawaii,,26019,342,,Jan,0,2.6019,0.0342,0
1/26/21,Hawaii,,26030,401,,Jan,0,2.603,0.0401,0
1/27/21,Hawaii,,26164,404,,Jan,0,2.6164,0.0404,0
1/28/21,Hawaii,,26263,406,,Jan,0,2.6263,0.0406,0
1/29/21,Hawaii,,26460,407,,Jan,0,2.646,0.0407,0
1/30/21,Hawaii,,26545,407,,Jan,0,2.6545,0.0407,0
1/31/21,Hawaii,,26596,410,,Jan,0,2.6596,0.041,0
2/1/21,Hawaii,,26692,410,,Feb,0,2.6692,0.041,0
2/2/21,Hawaii,,26734,410,,Feb,0,2.6734,0.041,0
2/3/21,Hawaii,,26814,414,,Feb,0,2.6814,0.0414,0
2/4/21,Hawaii,,26953,416,,Feb,0,2.6953,0.0416,0
2/5/21,Hawaii,,27101,416,,Feb,0,2.7101,0.0416,0
2/6/21,Hawaii,,27192,416,,Feb,0,2.7192,0.0416,0
2/7/21,Hawaii,,27236,418,,Feb,0,2.7236,0.0418,0
2/8/21,Hawaii,,27225,418,,Feb,0,2.7225,0.0418,0
2/9/21,Hawaii,,27254,418,,Feb,0,2.7254,0.0418,0
2/10/21,Hawaii,,27330,423,,Feb,0,2.733,0.0423,0
