Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,Idaho,80992,141077,1436,58649,Jan,8.0992,14.1077,0.1436,5.8649
1/2/21,Idaho,82102,142199,1448,58649,Jan,8.2102,14.2199,0.1448,5.8649
1/3/21,Idaho,80895,142507,1448,60164,Jan,8.0895,14.2507,0.1448,6.0164
1/4/21,Idaho,81026,143305,1459,60820,Jan,8.1026,14.3305,0.1459,6.082
1/5/21,Idaho,81879,144843,1471,61493,Jan,8.1879,14.4843,0.1471,6.1493
1/6/21,Idaho,82403,146106,1488,62215,Jan,8.2403,14.6106,0.1488,6.2215
1/7/21,Idaho,82559,147173,1517,63097,Jan,8.2559,14.7173,0.1517,6.3097
1/8/21,Idaho,82957,148258,1523,63778,Jan,8.2957,14.8258,0.1523,6.3778
1/9/21,Idaho,83169,149235,1528,64538,Jan,8.3169,14.9235,0.1528,6.4538
1/10/21,Idaho,83348,149667,1534,64785,Jan,8.3348,14.9667,0.1534,6.4785
1/11/21,Idaho,82683,150239,1544,66012,Jan,8.2683,15.0239,0.1544,6.6012
1/12/21,Idaho,82921,151273,1556,66796,Jan,8.2921,15.1273,0.1556,6.6796
1/13/21,Idaho,83167,152364,1564,67633,Jan,8.3167,15.2364,0.1564,6.7633
1/14/21,Idaho,83110,153358,1591,68657,Jan,8.311,15.3358,0.1591,6.8657
1/15/21,Idaho,83407,154470,1603,69460,Jan,8.3407,15.447,0.1603,6.946
1/16/21,Idaho,83508,155276,1605,70163,Jan,8.3508,15.5276,0.1605,7.0163
1/17/21,Idaho,83211,155554,1607,70736,Jan,8.3211,15.5554,0.1607,7.0736
1/18/21,Idaho,82573,155554,1607,71374,Jan,8.2573,15.5554,0.1607,7.1374
1/19/21,Idaho,83767,156778,1637,71374,Jan,8.3767,15.6778,0.1637,7.1374
1/20/21,Idaho,83242,157588,1635,72711,Jan,8.3242,15.7588,0.1635,7.2711
1/21/21,Idaho,83029,158200,1654,73517,Jan,8.3029,15.82,0.1654,7.3517
1/22/21,Idaho,82862,158798,1667,74269,Jan,8.2862,15.8798,0.1667,7.4269
1/23/21,Idaho,82616,159325,1668,75041,Jan,8.2616,15.9325,0.1668,7.5041
1/24/21,Idaho,82085,159506,1669,75752,Jan,8.2085,15.9506,0.1669,7.5752
1/25/21,Idaho,81960,160033,1681,76392,Jan,8.196,16.0033,0.1681,7.6392
1/26/21,Idaho,81553,160592,1688,77351,Jan,8.1553,16.0592,0.1688,7.7351
1/27/21,Idaho,81252,161212,1714,78246,Jan,8.1252,16.1212,0.1714,7.8246
1/28/21,Idaho,80701,161720,1721,79298,Jan,8.0701,16.172,0.1721,7.9298
1/29/21,Idaho,80378,162355,1725,80252,Jan,8.0378,16.2355,0.1725,8.0252
1/30/21,Idaho,79924,162683,1725,81034,Jan,7.9924,16.2683,0.1725,8.1034
1/31/21,Idaho,79367,162683,1725,81591,Jan,7.9367,16.2683,0.1725,8.1591
2/1/21,Idaho,79839,163165,1735,81591,Feb,7.9839,16.3165,0.1735,8.1591
2/2/21,Idaho,79194,163656,1741,82721,Feb,7.9194,16.3656,0.1741,8.2721
2/3/21,Idaho,79079,164163,1748,83336,Feb,7.9079,16.4163,0.1748,8.3336
2/4/21,Idaho,78659,164565,1747,84159,Feb,7.8659,16.4565,0.1747,8.4159
2/5/21,Idaho,78387,164969,1758,84824,Feb,7.8387,16.4969,0.1758,8.4824
2/6/21,Idaho,78003,165209,1767,85439,Feb,7.8003,16.5209,0.1767,8.5439
2/7/21,Idaho,77364,165209,1767,86078,Feb,7.7364,16.5209,0.1767,8.6078
2/8/21,Idaho,77804,165658,1776,86078,Feb,7.7804,16.5658,0.1776,8.6078
2/9/21,Idaho,77435,166095,1780,86880,Feb,7.7435,16.6095,0.178,8.688
2/10/21,Idaho,77257,166553,1791,87505,Feb,7.7257,16.6553,0.1791,8.7505
2/11/21,Idaho,76959,166876,1791,88126,Feb,7.6959,16.6876,0.1791,8.8126
2/12/21,Idaho,76757,167225,1796,88672,Feb,7.6757,16.7225,0.1796,8.8672
2/13/21,Idaho,76554,167483,1803,89126,Feb,7.6554,16.7483,0.1803,8.9126
2/14/21,Idaho,76270,167483,1803,89410,Feb,7.627,16.7483,0.1803,8.941
2/15/21,Idaho,76270,167483,1803,89410,Feb,7.627,16.7483,0.1803,8.941
2/16/21,Idaho,76729,167945,1806,89410,Feb,7.6729,16.7945,0.1806,8.941
2/17/21,Idaho,76236,168353,1817,90300,Feb,7.6236,16.8353,0.1817,9.03
2/18/21,Idaho,76107,168639,1826,90706,Feb,7.6107,16.8639,0.1826,9.0706
2/19/21,Idaho,75886,168953,1826,91241,Feb,7.5886,16.8953,0.1826,9.1241
2/20/21,Idaho,75687,169150,1826,91637,Feb,7.5687,16.915,0.1826,9.1637
2/21/21,Idaho,75398,169150,1826,91926,Feb,7.5398,16.915,0.1826,9.1926
2/22/21,Idaho,75832,169584,1826,91926,Feb,7.5832,16.9584,0.1826,9.1926
2/23/21,Idaho,75453,169866,1840,92573,Feb,7.5453,16.9866,0.184,9.2573
2/24/21,Idaho,75590,170289,1840,92859,Feb,7.559,17.0289,0.184,9.2859
2/25/21,Idaho,75493,170595,1850,93252,Feb,7.5493,17.0595,0.185,9.3252
2/26/21,Idaho,75369,170907,1859,93679,Feb,7.5369,17.0907,0.1859,9.3679
2/27/21,Idaho,75305,171140,1860,93975,Feb,7.5305,17.114,0.186,9.3975
2/28/21,Idaho,75050,171140,1860,94230,Feb,7.505,17.114,0.186,9.423
3/1/21,Idaho,75365,171462,1867,94230,Mar,7.5365,17.1462,0.1867,9.423
3/2/21,Idaho,75258,171836,1871,94707,Mar,7.5258,17.1836,0.1871,9.4707
3/3/21,Idaho,75476,172288,1876,94936,Mar,7.5476,17.2288,0.1876,9.4936
3/4/21,Idaho,75489,172587,1876,95222,Mar,7.5489,17.2587,0.1876,9.5222
3/5/21,Idaho,75427,172827,1876,95524,Mar,7.5427,17.2827,0.1876,9.5524
3/6/21,Idaho,75528,172931,1879,95524,Mar,7.5528,17.2931,0.1879,9.5524
3/7/21,Idaho,,172931,1879,,Mar,0,17.2931,0.1879,0
3/8/21,Idaho,,173309,1890,,Mar,0,17.3309,0.189,0
3/9/21,Idaho,,173790,1892,,Mar,0,17.379,0.1892,0
3/10/21,Idaho,,174246,1901,,Mar,0,17.4246,0.1901,0
3/11/21,Idaho,,174610,1906,,Mar,0,17.461,0.1906,0
3/12/21,Idaho,,174943,1909,,Mar,0,17.4943,0.1909,0
3/13/21,Idaho,,175236,1910,,Mar,0,17.5236,0.191,0
3/14/21,Idaho,,175236,1910,,Mar,0,17.5236,0.191,0
3/15/21,Idaho,,175657,1916,,Mar,0,17.5657,0.1916,0
3/16/21,Idaho,,176007,1929,,Mar,0,17.6007,0.1929,0
3/17/21,Idaho,,176461,1935,,Mar,0,17.6461,0.1935,0
3/18/21,Idaho,,176802,1938,,Mar,0,17.6802,0.1938,0
3/19/21,Idaho,,177185,1941,,Mar,0,17.7185,0.1941,0
3/20/21,Idaho,,177420,1941,,Mar,0,17.742,0.1941,0
3/21/21,Idaho,,177420,1941,,Mar,0,17.742,0.1941,0
3/22/21,Idaho,,177760,1946,,Mar,0,17.776,0.1946,0
3/23/21,Idaho,,178119,1951,,Mar,0,17.8119,0.1951,0
3/24/21,Idaho,,178544,1952,,Mar,0,17.8544,0.1952,0
3/25/21,Idaho,,178887,1954,,Mar,0,17.8887,0.1954,0
3/26/21,Idaho,,179204,1954,,Mar,0,17.9204,0.1954,0
3/27/21,Idaho,,179428,1954,,Mar,0,17.9428,0.1954,0
3/28/21,Idaho,,179428,1954,,Mar,0,17.9428,0.1954,0
3/29/21,Idaho,,179763,1957,,Mar,0,17.9763,0.1957,0
3/30/21,Idaho,,180076,1957,,Mar,0,18.0076,0.1957,0
3/31/21,Idaho,,180536,1962,,Mar,0,18.0536,0.1962,0
4/1/21,Idaho,,180897,1963,,Apr,0,18.0897,0.1963,0
4/2/21,Idaho,,181181,1966,,Apr,0,18.1181,0.1966,0
4/3/21,Idaho,,181181,1966,,Apr,0,18.1181,0.1966,0
4/4/21,Idaho,,181181,1966,,Apr,0,18.1181,0.1966,0
4/5/21,Idaho,,181836,1972,,Apr,0,18.1836,0.1972,0
4/6/21,Idaho,,182182,1974,,Apr,0,18.2182,0.1974,0
4/7/21,Idaho,,182531,1980,,Apr,0,18.2531,0.198,0
4/8/21,Idaho,,182841,1989,,Apr,0,18.2841,0.1989,0
4/9/21,Idaho,,183153,1993,,Apr,0,18.3153,0.1993,0
4/10/21,Idaho,,183153,1993,,Apr,0,18.3153,0.1993,0
4/11/21,Idaho,,183153,1993,,Apr,0,18.3153,0.1993,0
4/12/21,Idaho,,183691,1996,,Apr,0,18.3691,0.1996,0
4/13/21,Idaho,,183910,2000,,Apr,0,18.391,0.2,0
4/14/21,Idaho,,184347,2006,,Apr,0,18.4347,0.2006,0
4/15/21,Idaho,,184557,2015,,Apr,0,18.4557,0.2015,0
4/16/21,Idaho,,184769,2017,,Apr,0,18.4769,0.2017,0
4/17/21,Idaho,,184769,2017,,Apr,0,18.4769,0.2017,0
4/18/21,Idaho,,184769,2017,,Apr,0,18.4769,0.2017,0
4/19/21,Idaho,,185227,2022,,Apr,0,18.5227,0.2022,0
4/20/21,Idaho,,185465,2022,,Apr,0,18.5465,0.2022,0
4/21/21,Idaho,,185759,2028,,Apr,0,18.5759,0.2028,0
4/22/21,Idaho,,185993,2028,,Apr,0,18.5993,0.2028,0
4/23/21,Idaho,,186183,2031,,Apr,0,18.6183,0.2031,0
4/24/21,Idaho,,186183,2031,,Apr,0,18.6183,0.2031,0
4/25/21,Idaho,,186183,2031,,Apr,0,18.6183,0.2031,0
4/26/21,Idaho,,186725,2034,,Apr,0,18.6725,0.2034,0
4/27/21,Idaho,,187014,2040,,Apr,0,18.7014,0.204,0
4/28/21,Idaho,,187269,2045,,Apr,0,18.7269,0.2045,0
4/29/21,Idaho,,187479,2045,,Apr,0,18.7479,0.2045,0
4/30/21,Idaho,,187656,2046,,Apr,0,18.7656,0.2046,0
5/1/21,Idaho,,187656,2046,,May,0,18.7656,0.2046,0
5/2/21,Idaho,,187656,2046,,May,0,18.7656,0.2046,0
5/3/21,Idaho,,188024,2052,,May,0,18.8024,0.2052,0
5/4/21,Idaho,,188233,2052,,May,0,18.8233,0.2052,0
5/5/21,Idaho,,188435,2052,,May,0,18.8435,0.2052,0
5/6/21,Idaho,,188601,2053,,May,0,18.8601,0.2053,0
5/7/21,Idaho,,188788,2061,,May,0,18.8788,0.2061,0
5/8/21,Idaho,,188788,2061,,May,0,18.8788,0.2061,0
5/9/21,Idaho,,188788,2061,,May,0,18.8788,0.2061,0
5/10/21,Idaho,,189128,2061,,May,0,18.9128,0.2061,0
5/11/21,Idaho,,189361,2058,,May,0,18.9361,0.2058,0
5/12/21,Idaho,,189586,2064,,May,0,18.9586,0.2064,0
5/13/21,Idaho,,189735,2064,,May,0,18.9735,0.2064,0
5/14/21,Idaho,,189908,2069,,May,0,18.9908,0.2069,0
5/15/21,Idaho,,189908,2069,,May,0,18.9908,0.2069,0
5/16/21,Idaho,,189908,2069,,May,0,18.9908,0.2069,0
