Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,Indiana,162831,517773,9468,345474,Jan,16.2831,51.7773,0.9468,34.5474
1/2/21,Indiana,166127,523090,9562,347401,Jan,16.6127,52.309,0.9562,34.7401
1/3/21,Indiana,168021,526071,9625,348425,Jan,16.8021,52.6071,0.9625,34.8425
1/4/21,Indiana,168384,529688,9735,351569,Jan,16.8384,52.9688,0.9735,35.1569
1/5/21,Indiana,168424,533083,9800,354859,Jan,16.8424,53.3083,0.98,35.4859
1/6/21,Indiana,171904,539229,9883,357442,Jan,17.1904,53.9229,0.9883,35.7442
1/7/21,Indiana,176454,546499,9958,360087,Jan,17.6454,54.6499,0.9958,36.0087
1/8/21,Indiana,180115,552594,10021,362458,Jan,18.0115,55.2594,1.0021,36.2458
1/9/21,Indiana,184250,558560,10089,364221,Jan,18.425,55.856,1.0089,36.4221
1/10/21,Indiana,188616,563653,10147,364890,Jan,18.8616,56.3653,1.0147,36.489
1/11/21,Indiana,189387,567338,10217,367734,Jan,18.9387,56.7338,1.0217,36.7734
1/12/21,Indiana,189750,570477,10271,370456,Jan,18.975,57.0477,1.0271,37.0456
1/13/21,Indiana,191341,574119,10334,372444,Jan,19.1341,57.4119,1.0334,37.2444
1/14/21,Indiana,194390,578494,10400,373704,Jan,19.439,57.8494,1.04,37.3704
1/15/21,Indiana,198316,583160,10465,374379,Jan,19.8316,58.316,1.0465,37.4379
1/16/21,Indiana,200816,587049,10534,375699,Jan,20.0816,58.7049,1.0534,37.5699
1/17/21,Indiana,203225,590211,10602,376384,Jan,20.3225,59.0211,1.0602,37.6384
1/18/21,Indiana,202762,592709,10670,379277,Jan,20.2762,59.2709,1.067,37.9277
1/19/21,Indiana,202412,595436,10720,382304,Jan,20.2412,59.5436,1.072,38.2304
1/20/21,Indiana,202344,598313,10786,385183,Jan,20.2344,59.8313,1.0786,38.5183
1/21/21,Indiana,203776,601937,10837,387324,Jan,20.3776,60.1937,1.0837,38.7324
1/22/21,Indiana,206382,605426,10903,388141,Jan,20.6382,60.5426,1.0903,38.8141
1/23/21,Indiana,207796,608519,10950,389773,Jan,20.7796,60.8519,1.095,38.9773
1/24/21,Indiana,209344,611039,10996,390699,Jan,20.9344,61.1039,1.0996,39.0699
1/25/21,Indiana,208145,613228,11037,394046,Jan,20.8145,61.3228,1.1037,39.4046
1/26/21,Indiana,206868,614946,11087,396991,Jan,20.6868,61.4946,1.1087,39.6991
1/27/21,Indiana,206692,617176,11137,399347,Jan,20.6692,61.7176,1.1137,39.9347
1/28/21,Indiana,207115,619995,11180,401700,Jan,20.7115,61.9995,1.118,40.17
1/29/21,Indiana,207771,622625,11220,403634,Jan,20.7771,62.2625,1.122,40.3634
