Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,Iowa,37853,282980,3898,241229,Jan,3.7853,28.298,0.3898,24.1229
1/2/21,Iowa,36735,283895,3946,243214,Jan,3.6735,28.3895,0.3946,24.3214
1/3/21,Iowa,36748,284715,3946,244021,Jan,3.6748,28.4715,0.3946,24.4021
1/4/21,Iowa,37687,286356,3992,244677,Jan,3.7687,28.6356,0.3992,24.4677
1/5/21,Iowa,36446,288298,3999,247853,Jan,3.6446,28.8298,0.3999,24.7853
1/6/21,Iowa,36797,290776,4060,249919,Jan,3.6797,29.0776,0.406,24.9919
1/7/21,Iowa,37465,293189,4065,251659,Jan,3.7465,29.3189,0.4065,25.1659
1/8/21,Iowa,37137,294762,4124,253501,Jan,3.7137,29.4762,0.4124,25.3501
1/9/21,Iowa,36941,296171,4127,255103,Jan,3.6941,29.6171,0.4127,25.5103
1/10/21,Iowa,36951,296682,4138,255593,Jan,3.6951,29.6682,0.4138,25.5593
1/11/21,Iowa,37484,297774,4139,256151,Jan,3.7484,29.7774,0.4139,25.6151
1/12/21,Iowa,36275,299255,4222,258758,Jan,3.6275,29.9255,0.4222,25.8758
1/13/21,Iowa,36372,301161,4232,260557,Jan,3.6372,30.1161,0.4232,26.0557
1/14/21,Iowa,36043,302560,4251,262266,Jan,3.6043,30.256,0.4251,26.2266
1/15/21,Iowa,35825,303926,4257,263844,Jan,3.5825,30.3926,0.4257,26.3844
1/16/21,Iowa,35107,304748,4321,265320,Jan,3.5107,30.4748,0.4321,26.532
1/17/21,Iowa,34905,305151,4323,265923,Jan,3.4905,30.5151,0.4323,26.5923
1/18/21,Iowa,35306,306083,4324,266453,Jan,3.5306,30.6083,0.4324,26.6453
1/19/21,Iowa,34039,307302,4332,268931,Jan,3.4039,30.7302,0.4332,26.8931
1/20/21,Iowa,33768,308787,4394,270625,Jan,3.3768,30.8787,0.4394,27.0625
1/21/21,Iowa,33991,310440,4445,272004,Jan,3.3991,31.044,0.4445,27.2004
1/22/21,Iowa,34182,311695,4478,273035,Jan,3.4182,31.1695,0.4478,27.3035
1/23/21,Iowa,34947,312622,4486,273189,Jan,3.4947,31.2622,0.4486,27.3189
1/24/21,Iowa,34549,313137,4487,274101,Jan,3.4549,31.3137,0.4487,27.4101
1/25/21,Iowa,35670,313909,4488,273751,Jan,3.567,31.3909,0.4488,27.3751
1/26/21,Iowa,34045,315002,4492,276465,Jan,3.4045,31.5002,0.4492,27.6465
1/27/21,Iowa,33790,316114,4500,277824,Jan,3.379,31.6114,0.45,27.7824
1/28/21,Iowa,32951,317124,4532,279641,Jan,3.2951,31.7124,0.4532,27.9641
1/29/21,Iowa,32563,318319,4577,281179,Jan,3.2563,31.8319,0.4577,28.1179
1/30/21,Iowa,32993,319110,4651,281466,Jan,3.2993,31.911,0.4651,28.1466
