Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,Kansas,222604,230108,2892,4612,Jan,22.2604,23.0108,0.2892,0.4612
1/2/21,Kansas,222614,230119,2893,4612,Jan,22.2614,23.0119,0.2893,0.4612
1/3/21,Kansas,222614,230119,2893,4612,Jan,22.2614,23.0119,0.2893,0.4612
1/4/21,Kansas,226515,234069,2911,4643,Jan,22.6515,23.4069,0.2911,0.4643
1/5/21,Kansas,226252,233901,3006,4643,Jan,22.6252,23.3901,0.3006,0.4643
1/6/21,Kansas,231411,239197,3041,4745,Jan,23.1411,23.9197,0.3041,0.4745
1/7/21,Kansas,231524,239311,3042,4745,Jan,23.1524,23.9311,0.3042,0.4745
1/8/21,Kansas,236581,244583,3164,4838,Jan,23.6581,24.4583,0.3164,0.4838
1/9/21,Kansas,236581,244583,3164,4838,Jan,23.6581,24.4583,0.3164,0.4838
1/10/21,Kansas,236580,244583,3165,4838,Jan,23.658,24.4583,0.3165,0.4838
1/11/21,Kansas,241543,249712,3273,4896,Jan,24.1543,24.9712,0.3273,0.4896
1/12/21,Kansas,241633,249803,3274,4896,Jan,24.1633,24.9803,0.3274,0.4896
1/13/21,Kansas,245703,254104,3375,5026,Jan,24.5703,25.4104,0.3375,0.5026
1/14/21,Kansas,246008,254410,3376,5026,Jan,24.6008,25.441,0.3376,0.5026
1/15/21,Kansas,249699,258354,3517,5138,Jan,24.9699,25.8354,0.3517,0.5138
1/16/21,Kansas,249699,258354,3517,5138,Jan,24.9699,25.8354,0.3517,0.5138
1/17/21,Kansas,249698,258354,3518,5138,Jan,24.9698,25.8354,0.3518,0.5138
1/18/21,Kansas,253070,261825,3540,5215,Jan,25.307,26.1825,0.354,0.5215
1/19/21,Kansas,253248,262003,3540,5215,Jan,25.3248,26.2003,0.354,0.5215
1/20/21,Kansas,256626,265522,3594,5302,Jan,25.6626,26.5522,0.3594,0.5302
1/21/21,Kansas,256813,265709,3594,5302,Jan,25.6813,26.5709,0.3594,0.5302
1/22/21,Kansas,259908,268908,3616,5384,Jan,25.9908,26.8908,0.3616,0.5384
1/23/21,Kansas,259908,268908,3616,5384,Jan,25.9908,26.8908,0.3616,0.5384
1/24/21,Kansas,259908,268908,3616,5384,Jan,25.9908,26.8908,0.3616,0.5384
1/25/21,Kansas,262426,271503,3645,5432,Jan,26.2426,27.1503,0.3645,0.5432
1/26/21,Kansas,262500,271578,3646,5432,Jan,26.25,27.1578,0.3646,0.5432
1/27/21,Kansas,265462,274746,3740,5544,Jan,26.5462,27.4746,0.374,0.5544
1/28/21,Kansas,265538,274823,3741,5544,Jan,26.5538,27.4823,0.3741,0.5544
1/29/21,Kansas,267507,276956,3802,5647,Jan,26.7507,27.6956,0.3802,0.5647
1/30/21,Kansas,267507,276956,3802,5647,Jan,26.7507,27.6956,0.3802,0.5647
1/31/21,Kansas,267505,276956,3804,5647,Jan,26.7505,27.6956,0.3804,0.5647
2/1/21,Kansas,269459,279008,3834,5715,Feb,26.9459,27.9008,0.3834,0.5715
2/2/21,Kansas,269606,279155,3834,5715,Feb,26.9606,27.9155,0.3834,0.5715
2/3/21,Kansas,271603,281322,3909,5810,Feb,27.1603,28.1322,0.3909,0.581
2/4/21,Kansas,271644,281363,3909,5810,Feb,27.1644,28.1363,0.3909,0.581
2/5/21,Kansas,273902,283926,4112,5912,Feb,27.3902,28.3926,0.4112,0.5912
