Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,Kentucky,225898,265261,2623,36740,Jan,22.5898,26.5261,0.2623,3.674
1/2/21,Kentucky,233999,273970,2698,37273,Jan,23.3999,27.397,0.2698,3.7273
1/3/21,Kentucky,236727,276825,2723,37375,Jan,23.6727,27.6825,0.2723,3.7375
1/4/21,Kentucky,238938,279142,2749,37455,Jan,23.8938,27.9142,0.2749,3.7455
1/5/21,Kentucky,240561,280835,2772,37502,Jan,24.0561,28.0835,0.2772,3.7502
1/6/21,Kentucky,245913,286540,2806,37821,Jan,24.5913,28.654,0.2806,3.7821
1/7/21,Kentucky,250413,291429,2843,38173,Jan,25.0413,29.1429,0.2843,3.8173
1/8/21,Kentucky,254865,296166,2856,38445,Jan,25.4865,29.6166,0.2856,3.8445
1/9/21,Kentucky,258616,300397,2876,38905,Jan,25.8616,30.0397,0.2876,3.8905
1/10/21,Kentucky,261717,303624,2901,39006,Jan,26.1717,30.3624,0.2901,3.9006
1/11/21,Kentucky,263764,305706,2922,39020,Jan,26.3764,30.5706,0.2922,3.902
1/12/21,Kentucky,266584,308728,2944,39200,Jan,26.6584,30.8728,0.2944,3.92
1/13/21,Kentucky,270567,313281,2991,39723,Jan,27.0567,31.3281,0.2991,3.9723
1/14/21,Kentucky,274304,317344,3042,39998,Jan,27.4304,31.7344,0.3042,3.9998
1/15/21,Kentucky,278108,321269,3061,40100,Jan,27.8108,32.1269,0.3061,4.01
1/16/21,Kentucky,280690,324324,3093,40541,Jan,28.069,32.4324,0.3093,4.0541
1/17/21,Kentucky,283006,326674,3127,40541,Jan,28.3006,32.6674,0.3127,4.0541
1/18/21,Kentucky,284739,328667,3167,40761,Jan,28.4739,32.8667,0.3167,4.0761
1/19/21,Kentucky,286703,330906,3194,41009,Jan,28.6703,33.0906,0.3194,4.1009
1/20/21,Kentucky,289837,334320,3243,41240,Jan,28.9837,33.432,0.3243,4.124
1/21/21,Kentucky,293263,338033,3301,41469,Jan,29.3263,33.8033,0.3301,4.1469
1/22/21,Kentucky,295879,340778,3337,41562,Jan,29.5879,34.0778,0.3337,4.1562
1/23/21,Kentucky,299548,344567,3386,41633,Jan,29.9548,34.4567,0.3386,4.1633
1/24/21,Kentucky,301057,346138,3421,41660,Jan,30.1057,34.6138,0.3421,4.166
1/25/21,Kentucky,302607,347827,3460,41760,Jan,30.2607,34.7827,0.346,4.176
1/26/21,Kentucky,305146,350519,3495,41878,Jan,30.5146,35.0519,0.3495,4.1878
1/27/21,Kentucky,307467,352934,3542,41925,Jan,30.7467,35.2934,0.3542,4.1925
1/28/21,Kentucky,309573,355868,3611,42684,Jan,30.9573,35.5868,0.3611,4.2684
1/29/21,Kentucky,311749,358469,3668,43052,Jan,31.1749,35.8469,0.3668,4.3052
1/30/21,Kentucky,314103,361115,3714,43298,Jan,31.4103,36.1115,0.3714,4.3298
1/31/21,Kentucky,315756,362881,3745,43380,Jan,31.5756,36.2881,0.3745,4.338
2/1/21,Kentucky,317226,364498,3780,43492,Feb,31.7226,36.4498,0.378,4.3492
2/2/21,Kentucky,319403,366929,3812,43714,Feb,31.9403,36.6929,0.3812,4.3714
2/3/21,Kentucky,321574,369510,3863,44073,Feb,32.1574,36.951,0.3863,4.4073
2/4/21,Kentucky,323688,372003,3921,44394,Feb,32.3688,37.2003,0.3921,4.4394
2/5/21,Kentucky,325596,374259,3971,44692,Feb,32.5596,37.4259,0.3971,4.4692
2/6/21,Kentucky,327317,376253,4020,44916,Feb,32.7317,37.6253,0.402,4.4916
2/7/21,Kentucky,328794,377790,4051,44945,Feb,32.8794,37.779,0.4051,4.4945
2/8/21,Kentucky,329741,378793,4091,44961,Feb,32.9741,37.8793,0.4091,4.4961
2/9/21,Kentucky,331847,381121,4126,45148,Feb,33.1847,38.1121,0.4126,4.5148
2/10/21,Kentucky,333560,383032,4175,45297,Feb,33.356,38.3032,0.4175,4.5297
2/11/21,Kentucky,335241,384903,4211,45451,Feb,33.5241,38.4903,0.4211,4.5451
2/12/21,Kentucky,336484,386326,4253,45589,Feb,33.6484,38.6326,0.4253,4.5589
2/13/21,Kentucky,337212,387090,4272,45606,Feb,33.7212,38.709,0.4272,4.5606
2/14/21,Kentucky,338636,388798,4282,45880,Feb,33.8636,38.8798,0.4282,4.588
2/15/21,Kentucky,339281,389521,4291,45949,Feb,33.9281,38.9521,0.4291,4.5949
2/16/21,Kentucky,340370,390762,4318,46074,Feb,34.037,39.0762,0.4318,4.6074
2/17/21,Kentucky,341211,391772,4336,46225,Feb,34.1211,39.1772,0.4336,4.6225
2/18/21,Kentucky,342102,392729,4373,46254,Feb,34.2102,39.2729,0.4373,4.6254
2/19/21,Kentucky,343813,394687,4401,46473,Feb,34.3813,39.4687,0.4401,4.6473
