Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,Louisiana,44075,315275,7488,263712,Jan,4.4075,31.5275,0.7488,26.3712
1/2/21,Louisiana,44075,315275,7488,263712,Jan,4.4075,31.5275,0.7488,26.3712
1/3/21,Louisiana,49809,321058,7537,263712,Jan,4.9809,32.1058,0.7537,26.3712
1/4/21,Louisiana,50884,322181,7585,263712,Jan,5.0884,32.2181,0.7585,26.3712
1/5/21,Louisiana,55301,326648,7635,263712,Jan,5.5301,32.6648,0.7635,26.3712
1/6/21,Louisiana,45470,333524,7681,280373,Jan,4.547,33.3524,0.7681,28.0373
1/7/21,Louisiana,49953,338054,7728,280373,Jan,4.9953,33.8054,0.7728,28.0373
1/8/21,Louisiana,53225,341431,7833,280373,Jan,5.3225,34.1431,0.7833,28.0373
1/9/21,Louisiana,53225,341431,7833,280373,Jan,5.3225,34.1431,0.7833,28.0373
1/10/21,Louisiana,58583,346829,7873,280373,Jan,5.8583,34.6829,0.7873,28.0373
1/11/21,Louisiana,59943,348234,7918,280373,Jan,5.9943,34.8234,0.7918,28.0373
1/12/21,Louisiana,64595,352939,7971,280373,Jan,6.4595,35.2939,0.7971,28.0373
1/13/21,Louisiana,49199,355835,8022,298614,Jan,4.9199,35.5835,0.8022,29.8614
1/14/21,Louisiana,54454,361148,8080,298614,Jan,5.4454,36.1148,0.808,29.8614
1/15/21,Louisiana,58159,364853,8080,298614,Jan,5.8159,36.4853,0.808,29.8614
1/16/21,Louisiana,58159,364853,8080,298614,Jan,5.8159,36.4853,0.808,29.8614
1/17/21,Louisiana,62163,368980,8203,298614,Jan,6.2163,36.898,0.8203,29.8614
1/18/21,Louisiana,63084,369951,8253,298614,Jan,6.3084,36.9951,0.8253,29.8614
1/19/21,Louisiana,65151,372089,8324,298614,Jan,6.5151,37.2089,0.8324,29.8614
1/20/21,Louisiana,46174,374582,8383,320025,Jan,4.6174,37.4582,0.8383,32.0025
1/21/21,Louisiana,49851,378318,8442,320025,Jan,4.9851,37.8318,0.8442,32.0025
1/22/21,Louisiana,51747,380255,8483,320025,Jan,5.1747,38.0255,0.8483,32.0025
1/23/21,Louisiana,51747,380255,8483,320025,Jan,5.1747,38.0255,0.8483,32.0025
1/24/21,Louisiana,55272,383862,8565,320025,Jan,5.5272,38.3862,0.8565,32.0025
1/25/21,Louisiana,57327,385942,8590,320025,Jan,5.7327,38.5942,0.859,32.0025
1/26/21,Louisiana,59916,388562,8621,320025,Jan,5.9916,38.8562,0.8621,32.0025
1/27/21,Louisiana,39407,392416,8688,344321,Jan,3.9407,39.2416,0.8688,34.4321
1/28/21,Louisiana,41845,394909,8743,344321,Jan,4.1845,39.4909,0.8743,34.4321
1/29/21,Louisiana,44154,397276,8801,344321,Jan,4.4154,39.7276,0.8801,34.4321
1/30/21,Louisiana,44154,397276,8801,344321,Jan,4.4154,39.7276,0.8801,34.4321
1/31/21,Louisiana,47446,400626,8859,344321,Jan,4.7446,40.0626,0.8859,34.4321
2/1/21,Louisiana,48358,401591,8912,344321,Feb,4.8358,40.1591,0.8912,34.4321
2/2/21,Louisiana,50920,404194,8953,344321,Feb,5.092,40.4194,0.8953,34.4321
2/3/21,Louisiana,33772,406235,9006,363457,Feb,3.3772,40.6235,0.9006,36.3457
2/4/21,Louisiana,36494,408995,9044,363457,Feb,3.6494,40.8995,0.9044,36.3457
2/5/21,Louisiana,37328,409861,9076,363457,Feb,3.7328,40.9861,0.9076,36.3457
2/6/21,Louisiana,37328,409861,9076,363457,Feb,3.7328,40.9861,0.9076,36.3457
2/7/21,Louisiana,39236,411812,9119,363457,Feb,3.9236,41.1812,0.9119,36.3457
2/8/21,Louisiana,40390,412989,9142,363457,Feb,4.039,41.2989,0.9142,36.3457
2/9/21,Louisiana,41735,414354,9162,363457,Feb,4.1735,41.4354,0.9162,36.3457
2/10/21,Louisiana,24802,414687,9212,380673,Feb,2.4802,41.4687,0.9212,38.0673
2/11/21,Louisiana,27503,417415,9239,380673,Feb,2.7503,41.7415,0.9239,38.0673
2/12/21,Louisiana,28636,418585,9276,380673,Feb,2.8636,41.8585,0.9276,38.0673
2/13/21,Louisiana,28636,418585,9276,380673,Feb,2.8636,41.8585,0.9276,38.0673
2/14/21,Louisiana,29926,419891,9292,380673,Feb,2.9926,41.9891,0.9292,38.0673
2/15/21,Louisiana,30396,420394,9325,380673,Feb,3.0396,42.0394,0.9325,38.0673
2/16/21,Louisiana,30396,420394,9325,380673,Feb,3.0396,42.0394,0.9325,38.0673
2/17/21,Louisiana,14793,421018,9391,396834,Feb,1.4793,42.1018,0.9391,39.6834
2/18/21,Louisiana,15606,421846,9406,396834,Feb,1.5606,42.1846,0.9406,39.6834
2/19/21,Louisiana,16013,422287,9440,396834,Feb,1.6013,42.2287,0.944,39.6834
2/20/21,Louisiana,16013,422287,9440,396834,Feb,1.6013,42.2287,0.944,39.6834
2/21/21,Louisiana,17876,424176,9466,396834,Feb,1.7876,42.4176,0.9466,39.6834
2/22/21,Louisiana,18333,424644,9477,396834,Feb,1.8333,42.4644,0.9477,39.6834
2/23/21,Louisiana,19711,426048,9503,396834,Feb,1.9711,42.6048,0.9503,39.6834
2/24/21,Louisiana,8934,426925,9528,408463,Feb,0.8934,42.6925,0.9528,40.8463
2/25/21,Louisiana,9665,427689,9561,408463,Feb,0.9665,42.7689,0.9561,40.8463
2/26/21,Louisiana,10542,428592,9587,408463,Feb,1.0542,42.8592,0.9587,40.8463
2/27/21,Louisiana,10542,428592,9587,408463,Feb,1.0542,42.8592,0.9587,40.8463
2/28/21,Louisiana,12029,430100,9608,408463,Feb,1.2029,43.01,0.9608,40.8463
3/1/21,Louisiana,12413,430504,9628,408463,Mar,1.2413,43.0504,0.9628,40.8463
3/2/21,Louisiana,13161,431271,9647,408463,Mar,1.3161,43.1271,0.9647,40.8463
3/3/21,Louisiana,6149,431771,9668,415954,Mar,0.6149,43.1771,0.9668,41.5954
3/4/21,Louisiana,6887,432527,9686,415954,Mar,0.6887,43.2527,0.9686,41.5954
3/5/21,Louisiana,7375,433045,9716,415954,Mar,0.7375,43.3045,0.9716,41.5954
3/6/21,Louisiana,7375,433045,9716,415954,Mar,0.7375,43.3045,0.9716,41.5954
3/7/21,Louisiana,,433785,9748,,Mar,0,43.3785,0.9748,0
3/8/21,Louisiana,,434289,9758,,Mar,0,43.4289,0.9758,0
3/9/21,Louisiana,,434926,9769,,Mar,0,43.4926,0.9769,0
3/10/21,Louisiana,,435514,9812,,Mar,0,43.5514,0.9812,0
3/11/21,Louisiana,,435935,9828,,Mar,0,43.5935,0.9828,0
3/12/21,Louisiana,,436482,9861,,Mar,0,43.6482,0.9861,0
3/13/21,Louisiana,,436482,9861,,Mar,0,43.6482,0.9861,0
3/14/21,Louisiana,,437393,9884,,Mar,0,43.7393,0.9884,0
3/15/21,Louisiana,,437565,9903,,Mar,0,43.7565,0.9903,0
3/16/21,Louisiana,,438557,9925,,Mar,0,43.8557,0.9925,0
3/17/21,Louisiana,,439002,9955,,Mar,0,43.9002,0.9955,0
3/18/21,Louisiana,,439543,9974,,Mar,0,43.9543,0.9974,0
3/19/21,Louisiana,,439737,9988,,Mar,0,43.9737,0.9988,0
3/20/21,Louisiana,,439737,9988,,Mar,0,43.9737,0.9988,0
3/21/21,Louisiana,,439737,9988,,Mar,0,43.9737,0.9988,0
3/22/21,Louisiana,,441066,10030,,Mar,0,44.1066,1.003,0
3/23/21,Louisiana,,441771,10037,,Mar,0,44.1771,1.0037,0
3/24/21,Louisiana,,442221,10056,,Mar,0,44.2221,1.0056,0
3/25/21,Louisiana,,442620,10073,,Mar,0,44.262,1.0073,0
3/26/21,Louisiana,,443069,10087,,Mar,0,44.3069,1.0087,0
3/27/21,Louisiana,,443069,10087,,Mar,0,44.3069,1.0087,0
3/28/21,Louisiana,,443069,10087,,Mar,0,44.3069,1.0087,0
3/29/21,Louisiana,,443905,10122,,Mar,0,44.3905,1.0122,0
3/30/21,Louisiana,,444414,10132,,Mar,0,44.4414,1.0132,0
3/31/21,Louisiana,,444933,10141,,Mar,0,44.4933,1.0141,0
4/1/21,Louisiana,,445469,10161,,Apr,0,44.5469,1.0161,0
4/2/21,Louisiana,,445469,10161,,Apr,0,44.5469,1.0161,0
4/3/21,Louisiana,,445469,10161,,Apr,0,44.5469,1.0161,0
4/4/21,Louisiana,,445469,10161,,Apr,0,44.5469,1.0161,0
4/5/21,Louisiana,,446737,10165,,Apr,0,44.6737,1.0165,0
4/6/21,Louisiana,,446955,10174,,Apr,0,44.6955,1.0174,0
4/7/21,Louisiana,,447655,10185,,Apr,0,44.7655,1.0185,0
4/8/21,Louisiana,,448104,10200,,Apr,0,44.8104,1.02,0
4/9/21,Louisiana,,448838,10216,,Apr,0,44.8838,1.0216,0
4/10/21,Louisiana,,448838,10216,,Apr,0,44.8838,1.0216,0
4/11/21,Louisiana,,448838,10216,,Apr,0,44.8838,1.0216,0
4/12/21,Louisiana,,449827,10241,,Apr,0,44.9827,1.0241,0
4/13/21,Louisiana,,450279,10255,,Apr,0,45.0279,1.0255,0
4/14/21,Louisiana,,450673,10264,,Apr,0,45.0673,1.0264,0
4/15/21,Louisiana,,451476,10273,,Apr,0,45.1476,1.0273,0
4/16/21,Louisiana,,451955,10282,,Apr,0,45.1955,1.0282,0
4/17/21,Louisiana,,451955,10282,,Apr,0,45.1955,1.0282,0
4/18/21,Louisiana,,451955,10282,,Apr,0,45.1955,1.0282,0
4/19/21,Louisiana,,453351,10293,,Apr,0,45.3351,1.0293,0
4/20/21,Louisiana,,453711,10306,,Apr,0,45.3711,1.0306,0
4/21/21,Louisiana,,454377,10316,,Apr,0,45.4377,1.0316,0
4/22/21,Louisiana,,455000,10324,,Apr,0,45.5,1.0324,0
4/23/21,Louisiana,,455541,10336,,Apr,0,45.5541,1.0336,0
4/24/21,Louisiana,,455541,10336,,Apr,0,45.5541,1.0336,0
4/25/21,Louisiana,,455541,10336,,Apr,0,45.5541,1.0336,0
4/26/21,Louisiana,,456432,10342,,Apr,0,45.6432,1.0342,0
4/27/21,Louisiana,,456884,10352,,Apr,0,45.6884,1.0352,0
4/28/21,Louisiana,,457326,10367,,Apr,0,45.7326,1.0367,0
4/29/21,Louisiana,,457896,10376,,Apr,0,45.7896,1.0376,0
4/30/21,Louisiana,,458581,10382,,Apr,0,45.8581,1.0382,0
5/1/21,Louisiana,,458581,10382,,May,0,45.8581,1.0382,0
5/2/21,Louisiana,,458581,10382,,May,0,45.8581,1.0382,0
5/3/21,Louisiana,,459340,10393,,May,0,45.934,1.0393,0
5/4/21,Louisiana,,460337,10405,,May,0,46.0337,1.0405,0
5/5/21,Louisiana,,460803,10418,,May,0,46.0803,1.0418,0
5/6/21,Louisiana,,461210,10425,,May,0,46.121,1.0425,0
5/7/21,Louisiana,,461773,10433,,May,0,46.1773,1.0433,0
5/8/21,Louisiana,,461773,10433,,May,0,46.1773,1.0433,0
5/9/21,Louisiana,,461773,10433,,May,0,46.1773,1.0433,0
5/10/21,Louisiana,,462868,10438,,May,0,46.2868,1.0438,0
5/11/21,Louisiana,,463517,10451,,May,0,46.3517,1.0451,0
5/12/21,Louisiana,,463997,10463,,May,0,46.3997,1.0463,0
5/13/21,Louisiana,,464412,10469,,May,0,46.4412,1.0469,0
5/14/21,Louisiana,,464833,10478,,May,0,46.4833,1.0478,0
5/15/21,Louisiana,,464833,10478,,May,0,46.4833,1.0478,0
5/16/21,Louisiana,,464833,10478,,May,0,46.4833,1.0478,0
5/17/21,Louisiana,,465946,10489,,May,0,46.5946,1.0489,0
5/18/21,Louisiana,,466440,10500,,May,0,46.644,1.05,0
5/19/21,Louisiana,,467055,10509,,May,0,46.7055,1.0509,0
5/20/21,Louisiana,,467475,10517,,May,0,46.7475,1.0517,0
5/21/21,Louisiana,,467815,10522,,May,0,46.7815,1.0522,0
5/22/21,Louisiana,,467815,10522,,May,0,46.7815,1.0522,0
5/23/21,Louisiana,,467815,10522,,May,0,46.7815,1.0522,0
5/24/21,Louisiana,,468402,10535,,May,0,46.8402,1.0535,0
5/25/21,Louisiana,,469445,10548,,May,0,46.9445,1.0548,0
5/26/21,Louisiana,,469864,10562,,May,0,46.9864,1.0562,0
5/27/21,Louisiana,,470331,10570,,May,0,47.0331,1.057,0
5/28/21,Louisiana,,470685,10576,,May,0,47.0685,1.0576,0
5/29/21,Louisiana,,470685,10576,,May,0,47.0685,1.0576,0
5/30/21,Louisiana,,470685,10576,,May,0,47.0685,1.0576,0
5/31/21,Louisiana,,470685,10576,,May,0,47.0685,1.0576,0
6/1/21,Louisiana,,471663,10592,,Jun,0,47.1663,1.0592,0
6/2/21,Louisiana,,472304,10595,,Jun,0,47.2304,1.0595,0
6/3/21,Louisiana,,472617,10605,,Jun,0,47.2617,1.0605,0
6/4/21,Louisiana,,472981,10615,,Jun,0,47.2981,1.0615,0
6/5/21,Louisiana,,472981,10615,,Jun,0,47.2981,1.0615,0
6/6/21,Louisiana,,472981,10615,,Jun,0,47.2981,1.0615,0
6/7/21,Louisiana,,473777,10619,,Jun,0,47.3777,1.0619,0
6/8/21,Louisiana,,473879,10622,,Jun,0,47.3879,1.0622,0
6/9/21,Louisiana,,474653,10631,,Jun,0,47.4653,1.0631,0
6/10/21,Louisiana,,475126,10638,,Jun,0,47.5126,1.0638,0
6/11/21,Louisiana,,475354,10648,,Jun,0,47.5354,1.0648,0
6/12/21,Louisiana,,475354,10648,,Jun,0,47.5354,1.0648,0
6/13/21,Louisiana,,475354,10648,,Jun,0,47.5354,1.0648,0
6/14/21,Louisiana,,475908,10655,,Jun,0,47.5908,1.0655,0
6/15/21,Louisiana,,476467,10660,,Jun,0,47.6467,1.066,0
6/16/21,Louisiana,,476792,10670,,Jun,0,47.6792,1.067,0
6/17/21,Louisiana,,477127,10677,,Jun,0,47.7127,1.0677,0
6/18/21,Louisiana,,477453,10688,,Jun,0,47.7453,1.0688,0
6/19/21,Louisiana,,477453,10688,,Jun,0,47.7453,1.0688,0
6/20/21,Louisiana,,477453,10688,,Jun,0,47.7453,1.0688,0
6/21/21,Louisiana,,478139,10693,,Jun,0,47.8139,1.0693,0
6/22/21,Louisiana,,478464,10699,,Jun,0,47.8464,1.0699,0
6/23/21,Louisiana,,478946,10709,,Jun,0,47.8946,1.0709,0
6/24/21,Louisiana,,479311,10717,,Jun,0,47.9311,1.0717,0
6/25/21,Louisiana,,479521,10723,,Jun,0,47.9521,1.0723,0
6/26/21,Louisiana,,479521,10723,,Jun,0,47.9521,1.0723,0
6/27/21,Louisiana,,479521,10723,,Jun,0,47.9521,1.0723,0
6/28/21,Louisiana,,480463,10728,,Jun,0,48.0463,1.0728,0
6/29/21,Louisiana,,480876,10732,,Jun,0,48.0876,1.0732,0
6/30/21,Louisiana,,481467,10738,,Jun,0,48.1467,1.0738,0
7/1/21,Louisiana,,482035,10748,,Jul,0,48.2035,1.0748,0
7/2/21,Louisiana,,482560,10757,,Jul,0,48.256,1.0757,0
7/3/21,Louisiana,,482560,10757,,Jul,0,48.256,1.0757,0
7/4/21,Louisiana,,482560,10757,,Jul,0,48.256,1.0757,0
7/5/21,Louisiana,,482560,10757,,Jul,0,48.256,1.0757,0
7/6/21,Louisiana,,484577,10763,,Jul,0,48.4577,1.0763,0
7/7/21,Louisiana,,485803,10765,,Jul,0,48.5803,1.0765,0
7/8/21,Louisiana,,486589,10771,,Jul,0,48.6589,1.0771,0
7/9/21,Louisiana,,487558,10781,,Jul,0,48.7558,1.0781,0
7/10/21,Louisiana,,487558,10781,,Jul,0,48.7558,1.0781,0
7/11/21,Louisiana,,487558,10781,,Jul,0,48.7558,1.0781,0
7/12/21,Louisiana,,489951,10789,,Jul,0,48.9951,1.0789,0
7/13/21,Louisiana,,490904,10798,,Jul,0,49.0904,1.0798,0
7/14/21,Louisiana,,492840,10808,,Jul,0,49.284,1.0808,0
7/15/21,Louisiana,,494340,10821,,Jul,0,49.434,1.0821,0
7/16/21,Louisiana,,495945,10828,,Jul,0,49.5945,1.0828,0
7/17/21,Louisiana,,495945,10828,,Jul,0,49.5945,1.0828,0
7/18/21,Louisiana,,495945,10828,,Jul,0,49.5945,1.0828,0
7/19/21,Louisiana,,499932,10841,,Jul,0,49.9932,1.0841,0
7/20/21,Louisiana,,501494,10861,,Jul,0,50.1494,1.0861,0
7/21/21,Louisiana,,506882,10874,,Jul,0,50.6882,1.0874,0
7/22/21,Louisiana,,509716,10889,,Jul,0,50.9716,1.0889,0
7/23/21,Louisiana,,512843,10900,,Jul,0,51.2843,1.09,0
7/24/21,Louisiana,,512843,10900,,Jul,0,51.2843,1.09,0
7/25/21,Louisiana,,512843,10900,,Jul,0,51.2843,1.09,0
7/26/21,Louisiana,,520435,10914,,Jul,0,52.0435,1.0914,0
7/27/21,Louisiana,,527253,10934,,Jul,0,52.7253,1.0934,0
7/28/21,Louisiana,,531952,10948,,Jul,0,53.1952,1.0948,0
7/29/21,Louisiana,,536366,10968,,Jul,0,53.6366,1.0968,0
7/30/21,Louisiana,,541679,10999,,Jul,0,54.1679,1.0999,0
7/31/21,Louisiana,,541679,10999,,Jul,0,54.1679,1.0999,0
8/1/21,Louisiana,,541679,10999,,Aug,0,54.1679,1.0999,0
8/2/21,Louisiana,,552787,11026,,Aug,0,55.2787,1.1026,0
8/3/21,Louisiana,,557540,11085,,Aug,0,55.754,1.1085,0
8/4/21,Louisiana,,562319,11129,,Aug,0,56.2319,1.1129,0
8/5/21,Louisiana,,567787,11162,,Aug,0,56.7787,1.1162,0
8/6/21,Louisiana,,573903,11210,,Aug,0,57.3903,1.121,0
8/7/21,Louisiana,,573903,11210,,Aug,0,57.3903,1.121,0
8/8/21,Louisiana,,573903,11210,,Aug,0,57.3903,1.121,0
8/9/21,Louisiana,,590446,11260,,Aug,0,59.0446,1.126,0
8/10/21,Louisiana,,596534,11353,,Aug,0,59.6534,1.1353,0
8/11/21,Louisiana,,601941,11408,,Aug,0,60.1941,1.1408,0
8/12/21,Louisiana,,607228,11462,,Aug,0,60.7228,1.1462,0
8/13/21,Louisiana,,614776,11519,,Aug,0,61.4776,1.1519,0
8/14/21,Louisiana,,614776,11519,,Aug,0,61.4776,1.1519,0
8/15/21,Louisiana,,614776,11519,,Aug,0,61.4776,1.1519,0
8/16/21,Louisiana,,628146,11584,,Aug,0,62.8146,1.1584,0
