Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,Maine,13176,24902,352,11374,Jan,1.3176,2.4902,0.0352,1.1374
1/2/21,Maine,13449,25245,358,11438,Jan,1.3449,2.5245,0.0358,1.1438
1/3/21,Maine,13768,25592,359,11465,Jan,1.3768,2.5592,0.0359,1.1465
1/4/21,Maine,14058,25967,361,11548,Jan,1.4058,2.5967,0.0361,1.1548
1/5/21,Maine,14614,26565,369,11582,Jan,1.4614,2.6565,0.0369,1.1582
1/6/21,Maine,15111,27090,372,11607,Jan,1.5111,2.709,0.0372,1.1607
1/7/21,Maine,15582,27625,385,11658,Jan,1.5582,2.7625,0.0385,1.1658
1/8/21,Maine,16291,28407,426,11690,Jan,1.6291,2.8407,0.0426,1.169
1/9/21,Maine,16859,29019,432,11728,Jan,1.6859,2.9019,0.0432,1.1728
1/10/21,Maine,17131,29298,432,11735,Jan,1.7131,2.9298,0.0432,1.1735
1/11/21,Maine,17421,29611,438,11752,Jan,1.7421,2.9611,0.0438,1.1752
1/12/21,Maine,18109,30326,449,11768,Jan,1.8109,3.0326,0.0449,1.1768
1/13/21,Maine,18888,31150,453,11809,Jan,1.8888,3.115,0.0453,1.1809
1/14/21,Maine,19657,31958,461,11840,Jan,1.9657,3.1958,0.0461,1.184
1/15/21,Maine,20428,32781,477,11876,Jan,2.0428,3.2781,0.0477,1.1876
1/16/21,Maine,20760,33219,507,11952,Jan,2.076,3.3219,0.0507,1.1952
1/17/21,Maine,21059,33559,511,11989,Jan,2.1059,3.3559,0.0511,1.1989
1/18/21,Maine,21323,33876,514,12039,Jan,2.1323,3.3876,0.0514,1.2039
1/19/21,Maine,21672,34262,519,12071,Jan,2.1672,3.4262,0.0519,1.2071
1/20/21,Maine,22331,34963,530,12102,Jan,2.2331,3.4963,0.053,1.2102
1/21/21,Maine,22974,35638,536,12128,Jan,2.2974,3.5638,0.0536,1.2128
1/22/21,Maine,23547,36274,540,12187,Jan,2.3547,3.6274,0.054,1.2187
1/23/21,Maine,23829,36598,544,12225,Jan,2.3829,3.6598,0.0544,1.2225
1/24/21,Maine,23829,36598,544,12225,Jan,2.3829,3.6598,0.0544,1.2225
1/25/21,Maine,24254,37046,547,12245,Jan,2.4254,3.7046,0.0547,1.2245
