Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,Maryland,264919,280219,5942,9358,Jan,26.4919,28.0219,0.5942,0.9358
1/2/21,Maryland,267830,283171,5967,9374,Jan,26.783,28.3171,0.5967,0.9374
1/3/21,Maryland,269947,285319,5994,9378,Jan,26.9947,28.5319,0.5994,0.9378
1/4/21,Maryland,272392,287802,6027,9383,Jan,27.2392,28.7802,0.6027,0.9383
1/5/21,Maryland,274288,289758,6082,9388,Jan,27.4288,28.9758,0.6082,0.9388
1/6/21,Maryland,277381,292904,6132,9391,Jan,27.7381,29.2904,0.6132,0.9391
1/7/21,Maryland,280297,295874,6173,9404,Jan,28.0297,29.5874,0.6173,0.9404
1/8/21,Maryland,283971,299606,6216,9419,Jan,28.3971,29.9606,0.6216,0.9419
1/9/21,Maryland,287691,303364,6246,9427,Jan,28.7691,30.3364,0.6246,0.9427
1/10/21,Maryland,290975,306674,6272,9427,Jan,29.0975,30.6674,0.6272,0.9427
1/11/21,Maryland,293954,309686,6301,9431,Jan,29.3954,30.9686,0.6301,0.9431
1/12/21,Maryland,296550,312351,6367,9434,Jan,29.655,31.2351,0.6367,0.9434
1/13/21,Maryland,299024,314867,6404,9439,Jan,29.9024,31.4867,0.6404,0.9439
1/14/21,Maryland,301923,317815,6449,9443,Jan,30.1923,31.7815,0.6449,0.9443
1/15/21,Maryland,304801,320739,6494,9444,Jan,30.4801,32.0739,0.6494,0.9444
1/16/21,Maryland,308039,324031,6541,9451,Jan,30.8039,32.4031,0.6541,0.9451
1/17/21,Maryland,310424,326445,6567,9454,Jan,31.0424,32.6445,0.6567,0.9454
1/18/21,Maryland,312163,328214,6596,9455,Jan,31.2163,32.8214,0.6596,0.9455
1/19/21,Maryland,314080,330186,6650,9456,Jan,31.408,33.0186,0.665,0.9456
1/20/21,Maryland,316207,332353,6689,9457,Jan,31.6207,33.2353,0.6689,0.9457
1/21/21,Maryland,318325,334519,6735,9459,Jan,31.8325,33.4519,0.6735,0.9459
1/22/21,Maryland,320654,336915,6792,9469,Jan,32.0654,33.6915,0.6792,0.9469
1/23/21,Maryland,322999,339307,6837,9471,Jan,32.2999,33.9307,0.6837,0.9471
1/24/21,Maryland,325113,341452,6865,9474,Jan,32.5113,34.1452,0.6865,0.9474
1/25/21,Maryland,326762,343138,6900,9476,Jan,32.6762,34.3138,0.69,0.9476
1/26/21,Maryland,328180,344620,6963,9477,Jan,32.818,34.462,0.6963,0.9477
1/27/21,Maryland,330084,346559,6996,9479,Jan,33.0084,34.6559,0.6996,0.9479
1/28/21,Maryland,332230,348749,7037,9482,Jan,33.223,34.8749,0.7037,0.9482
1/29/21,Maryland,334071,350629,7076,9482,Jan,33.4071,35.0629,0.7076,0.9482
1/30/21,Maryland,336128,352726,7107,9491,Jan,33.6128,35.2726,0.7107,0.9491
1/31/21,Maryland,337847,354473,7127,9499,Jan,33.7847,35.4473,0.7127,0.9499
2/1/21,Maryland,338981,355636,7154,9501,Feb,33.8981,35.5636,0.7154,0.9501
2/2/21,Maryland,339851,356541,7188,9502,Feb,33.9851,35.6541,0.7188,0.9502
2/3/21,Maryland,340752,357483,7220,9511,Feb,34.0752,35.7483,0.722,0.9511
2/4/21,Maryland,342275,359037,7251,9511,Feb,34.2275,35.9037,0.7251,0.9511
2/5/21,Maryland,343783,360584,7287,9514,Feb,34.3783,36.0584,0.7287,0.9514
2/6/21,Maryland,345241,362084,7329,9514,Feb,34.5241,36.2084,0.7329,0.9514
2/7/21,Maryland,346776,363650,7349,9525,Feb,34.6776,36.365,0.7349,0.9525
2/8/21,Maryland,347655,364553,7372,9526,Feb,34.7655,36.4553,0.7372,0.9526
2/9/21,Maryland,348590,365529,7413,9526,Feb,34.859,36.5529,0.7413,0.9526
2/10/21,Maryland,349694,366666,7446,9526,Feb,34.9694,36.6666,0.7446,0.9526
2/11/21,Maryland,350844,367865,7467,9554,Feb,35.0844,36.7865,0.7467,0.9554
2/12/21,Maryland,351915,368977,7503,9559,Feb,35.1915,36.8977,0.7503,0.9559
2/13/21,Maryland,353035,370136,7536,9565,Feb,35.3035,37.0136,0.7536,0.9565
2/14/21,Maryland,353860,370983,7554,9569,Feb,35.386,37.0983,0.7554,0.9569
2/15/21,Maryland,354556,371705,7580,9569,Feb,35.4556,37.1705,0.758,0.9569
2/16/21,Maryland,355038,372221,7612,9571,Feb,35.5038,37.2221,0.7612,0.9571
2/17/21,Maryland,355779,372980,7630,9571,Feb,35.5779,37.298,0.763,0.9571
2/18/21,Maryland,356718,373966,7661,9587,Feb,35.6718,37.3966,0.7661,0.9587
2/19/21,Maryland,357706,374974,7677,9591,Feb,35.7706,37.4974,0.7677,0.9591
