Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,Massachusetts,101083,375178,10522,261672,Jan,10.1083,37.5178,1.0522,26.1672
1/2/21,Massachusetts,110007,384181,10589,261672,Jan,11.0007,38.4181,1.0589,26.1672
1/3/21,Massachusetts,113380,387662,10683,261672,Jan,11.338,38.7662,1.0683,26.1672
1/4/21,Massachusetts,118225,392568,10739,261672,Jan,11.8225,39.2568,1.0739,26.1672
1/5/21,Massachusetts,122796,397202,10791,261672,Jan,12.2796,39.7202,1.0791,26.1672
1/6/21,Massachusetts,129545,404053,10877,261672,Jan,12.9545,40.4053,1.0877,26.1672
1/7/21,Massachusetts,105170,411601,10937,293522,Jan,10.517,41.1601,1.0937,29.3522
1/8/21,Massachusetts,113214,419721,11002,293522,Jan,11.3214,41.9721,1.1002,29.3522
1/9/21,Massachusetts,120539,427135,11071,293522,Jan,12.0539,42.7135,1.1071,29.3522
1/10/21,Massachusetts,126118,432791,11132,293522,Jan,12.6118,43.2791,1.1132,29.3522
1/11/21,Massachusetts,130314,437042,11183,293522,Jan,13.0314,43.7042,1.1183,29.3522
1/12/21,Massachusetts,135734,442529,11230,293522,Jan,13.5734,44.2529,1.123,29.3522
1/13/21,Massachusetts,141566,448447,11310,293522,Jan,14.1566,44.8447,1.131,29.3522
1/14/21,Massachusetts,116766,454402,11368,324203,Jan,11.6766,45.4402,1.1368,32.4203
1/15/21,Massachusetts,122215,459927,11440,324203,Jan,12.2215,45.9927,1.144,32.4203
1/16/21,Massachusetts,127940,465726,11495,324203,Jan,12.794,46.5726,1.1495,32.4203
1/17/21,Massachusetts,132285,470140,11560,324203,Jan,13.2285,47.014,1.156,32.4203
1/18/21,Massachusetts,135533,473441,11609,324203,Jan,13.5533,47.3441,1.1609,32.4203
1/19/21,Massachusetts,138574,476526,11645,324203,Jan,13.8574,47.6526,1.1645,32.4203
1/20/21,Massachusetts,143008,481040,11713,324203,Jan,14.3008,48.104,1.1713,32.4203
1/21/21,Massachusetts,148071,486180,11771,324203,Jan,14.8071,48.618,1.1771,32.4203
1/22/21,Massachusetts,123077,491452,11850,354388,Jan,12.3077,49.1452,1.185,35.4388
1/23/21,Massachusetts,127641,496093,11905,354388,Jan,12.7641,49.6093,1.1905,35.4388
1/24/21,Massachusetts,131516,500037,11958,354388,Jan,13.1516,50.0037,1.1958,35.4388
1/25/21,Massachusetts,135122,503688,11996,354388,Jan,13.5122,50.3688,1.1996,35.4388
1/26/21,Massachusetts,137575,506183,12027,354388,Jan,13.7575,50.6183,1.2027,35.4388
1/27/21,Massachusetts,140811,509503,12095,354388,Jan,14.0811,50.9503,1.2095,35.4388
