Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,Michigan,197214,528621,13018,318389,Jan,19.7214,52.8621,1.3018,31.8389
1/2/21,Michigan,161204,538121,13306,363611,Jan,16.1204,53.8121,1.3306,36.3611
1/3/21,Michigan,161204,538121,13306,363611,Jan,16.1204,53.8121,1.3306,36.3611
1/4/21,Michigan,166609,543611,13391,363611,Jan,16.6609,54.3611,1.3391,36.3611
1/5/21,Michigan,169423,546642,13608,363611,Jan,16.9423,54.6642,1.3608,36.3611
1/6/21,Michigan,174220,551498,13667,363611,Jan,17.422,55.1498,1.3667,36.3611
1/7/21,Michigan,178263,555747,13873,363611,Jan,17.8263,55.5747,1.3873,36.3611
1/8/21,Michigan,182131,559655,13913,363611,Jan,18.2131,55.9655,1.3913,36.3611
1/9/21,Michigan,133329,562553,14145,415079,Jan,13.3329,56.2553,1.4145,41.5079
1/10/21,Michigan,133329,562553,14145,415079,Jan,13.3329,56.2553,1.4145,41.5079
1/11/21,Michigan,138411,567682,14192,415079,Jan,13.8411,56.7682,1.4192,41.5079
1/12/21,Michigan,140775,570150,14296,415079,Jan,14.0775,57.015,1.4296,41.5079
1/13/21,Michigan,143863,573278,14336,415079,Jan,14.3863,57.3278,1.4336,41.5079
1/14/21,Michigan,146983,576573,14511,415079,Jan,14.6983,57.6573,1.4511,41.5079
1/15/21,Michigan,149945,579574,14550,415079,Jan,14.9945,57.9574,1.455,41.5079
1/16/21,Michigan,124708,581785,14669,442408,Jan,12.4708,58.1785,1.4669,44.2408
1/17/21,Michigan,124708,581785,14669,442408,Jan,12.4708,58.1785,1.4669,44.2408
1/18/21,Michigan,128034,585128,14686,442408,Jan,12.8034,58.5128,1.4686,44.2408
1/19/21,Michigan,129563,586673,14702,442408,Jan,12.9563,58.6673,1.4702,44.2408
1/20/21,Michigan,132691,589869,14770,442408,Jan,13.2691,58.9869,1.477,44.2408
1/21/21,Michigan,135041,592382,14933,442408,Jan,13.5041,59.2382,1.4933,44.2408
1/22/21,Michigan,137561,594920,14951,442408,Jan,13.7561,59.492,1.4951,44.2408
1/23/21,Michigan,118459,596746,15181,463106,Jan,11.8459,59.6746,1.5181,46.3106
1/24/21,Michigan,118459,596746,15181,463106,Jan,11.8459,59.6746,1.5181,46.3106
1/25/21,Michigan,121768,600093,15219,463106,Jan,12.1768,60.0093,1.5219,46.3106
1/26/21,Michigan,123757,602168,15305,463106,Jan,12.3757,60.2168,1.5305,46.3106
1/27/21,Michigan,125813,604233,15314,463106,Jan,12.5813,60.4233,1.5314,46.3106
1/28/21,Michigan,127980,606488,15402,463106,Jan,12.798,60.6488,1.5402,46.3106
1/29/21,Michigan,130111,608627,15410,463106,Jan,13.0111,60.8627,1.541,46.3106
1/30/21,Michigan,112812,610138,15525,481801,Jan,11.2812,61.0138,1.5525,48.1801
1/31/21,Michigan,112812,610138,15525,481801,Jan,11.2812,61.0138,1.5525,48.1801
2/1/21,Michigan,115373,612710,15536,481801,Feb,11.5373,61.271,1.5536,48.1801
2/2/21,Michigan,116733,614143,15609,481801,Feb,11.6733,61.4143,1.5609,48.1801
2/3/21,Michigan,118415,615860,15644,481801,Feb,11.8415,61.586,1.5644,48.1801
2/4/21,Michigan,120219,617745,15725,481801,Feb,12.0219,61.7745,1.5725,48.1801
2/5/21,Michigan,121948,619499,15750,481801,Feb,12.1948,61.9499,1.575,48.1801
2/6/21,Michigan,106336,620685,15854,498495,Feb,10.6336,62.0685,1.5854,49.8495
2/7/21,Michigan,106336,620685,15854,498495,Feb,10.6336,62.0685,1.5854,49.8495
2/8/21,Michigan,108455,622813,15863,498495,Feb,10.8455,62.2813,1.5863,49.8495
2/9/21,Michigan,109311,623731,15925,498495,Feb,10.9311,62.3731,1.5925,49.8495
2/10/21,Michigan,110536,624970,15939,498495,Feb,11.0536,62.497,1.5939,49.8495
2/11/21,Michigan,111963,626477,16019,498495,Feb,11.1963,62.6477,1.6019,49.8495
2/12/21,Michigan,113490,628012,16027,498495,Feb,11.349,62.8012,1.6027,49.8495
2/13/21,Michigan,94846,628956,16119,517991,Feb,9.4846,62.8956,1.6119,51.7991
2/14/21,Michigan,94846,628956,16119,517991,Feb,9.4846,62.8956,1.6119,51.7991
2/15/21,Michigan,96287,630408,16130,517991,Feb,9.6287,63.0408,1.613,51.7991
2/16/21,Michigan,97392,631532,16149,517991,Feb,9.7392,63.1532,1.6149,51.7991
2/17/21,Michigan,98621,632772,16160,517991,Feb,9.8621,63.2772,1.616,51.7991
2/18/21,Michigan,99731,633973,16251,517991,Feb,9.9731,63.3973,1.6251,51.7991
2/19/21,Michigan,101181,635446,16274,517991,Feb,10.1181,63.5446,1.6274,51.7991
2/20/21,Michigan,90847,636269,16342,529080,Feb,9.0847,63.6269,1.6342,52.908
2/21/21,Michigan,90847,636269,16342,529080,Feb,9.0847,63.6269,1.6342,52.908
2/22/21,Michigan,92505,637928,16343,529080,Feb,9.2505,63.7928,1.6343,52.908
2/23/21,Michigan,94252,639712,16380,529080,Feb,9.4252,63.9712,1.638,52.908
2/24/21,Michigan,95801,641270,16389,529080,Feb,9.5801,64.127,1.6389,52.908
2/25/21,Michigan,97352,642868,16436,529080,Feb,9.7352,64.2868,1.6436,52.908
2/26/21,Michigan,98607,644125,16438,529080,Feb,9.8607,64.4125,1.6438,52.908
2/27/21,Michigan,87784,645550,16508,541258,Feb,8.7784,64.555,1.6508,54.1258
2/28/21,Michigan,87784,645550,16508,541258,Feb,8.7784,64.555,1.6508,54.1258
3/1/21,Michigan,89638,647415,16519,541258,Mar,8.9638,64.7415,1.6519,54.1258
3/2/21,Michigan,91255,649057,16544,541258,Mar,9.1255,64.9057,1.6544,54.1258
3/3/21,Michigan,92954,650762,16550,541258,Mar,9.2954,65.0762,1.655,54.1258
