Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,Minnesota,12840,415302,5382,397080,Jan,1.284,41.5302,0.5382,39.708
1/2/21,Minnesota,14197,417832,5436,398199,Jan,1.4197,41.7832,0.5436,39.8199
1/3/21,Minnesota,11636,420544,5489,403419,Jan,1.1636,42.0544,0.5489,40.3419
1/4/21,Minnesota,12630,423688,5502,405556,Jan,1.263,42.3688,0.5502,40.5556
1/5/21,Minnesota,13074,425261,5520,406667,Jan,1.3074,42.5261,0.552,40.6667
1/6/21,Minnesota,15081,427587,5596,406910,Jan,1.5081,42.7587,0.5596,40.691
1/7/21,Minnesota,15420,429570,5640,408510,Jan,1.542,42.957,0.564,40.851
1/8/21,Minnesota,16529,431944,5688,409727,Jan,1.6529,43.1944,0.5688,40.9727
1/9/21,Minnesota,16136,434413,5731,412546,Jan,1.6136,43.4413,0.5731,41.2546
1/10/21,Minnesota,16041,436572,5775,414756,Jan,1.6041,43.6572,0.5775,41.4756
1/11/21,Minnesota,14768,437552,5779,417005,Jan,1.4768,43.7552,0.5779,41.7005
1/12/21,Minnesota,14465,438867,5792,418610,Jan,1.4465,43.8867,0.5792,41.861
1/13/21,Minnesota,15373,440354,5842,419139,Jan,1.5373,44.0354,0.5842,41.9139
1/14/21,Minnesota,15131,441935,5885,420919,Jan,1.5131,44.1935,0.5885,42.0919
1/15/21,Minnesota,15355,443562,5918,422289,Jan,1.5355,44.3562,0.5918,42.2289
1/16/21,Minnesota,13839,445047,5955,425253,Jan,1.3839,44.5047,0.5955,42.5253
1/17/21,Minnesota,12917,446380,5995,427468,Jan,1.2917,44.638,0.5995,42.7468
1/18/21,Minnesota,12017,447349,6007,429325,Jan,1.2017,44.7349,0.6007,42.9325
1/19/21,Minnesota,11159,448268,6013,431096,Jan,1.1159,44.8268,0.6013,43.1096
1/20/21,Minnesota,10707,449492,6047,432738,Jan,1.0707,44.9492,0.6047,43.2738
1/21/21,Minnesota,10961,450762,6079,433722,Jan,1.0961,45.0762,0.6079,43.3722
1/22/21,Minnesota,11653,452268,6100,434515,Jan,1.1653,45.2268,0.61,43.4515
1/23/21,Minnesota,11133,453808,6131,436544,Jan,1.1133,45.3808,0.6131,43.6544
1/24/21,Minnesota,10999,454989,6163,437827,Jan,1.0999,45.4989,0.6163,43.7827
1/25/21,Minnesota,10334,455783,6166,439283,Jan,1.0334,45.5783,0.6166,43.9283
1/26/21,Minnesota,9720,456490,6174,440596,Jan,0.972,45.649,0.6174,44.0596
1/27/21,Minnesota,9385,457317,6192,441740,Jan,0.9385,45.7317,0.6192,44.174
1/28/21,Minnesota,9825,458633,6208,442600,Jan,0.9825,45.8633,0.6208,44.26
1/29/21,Minnesota,10258,459747,6236,443253,Jan,1.0258,45.9747,0.6236,44.3253
1/30/21,Minnesota,9782,460819,6255,444782,Jan,0.9782,46.0819,0.6255,44.4782
1/31/21,Minnesota,9402,461807,6268,446137,Jan,0.9402,46.1807,0.6268,44.6137
2/1/21,Minnesota,8838,462528,6270,447420,Feb,0.8838,46.2528,0.627,44.742
2/2/21,Minnesota,8259,463132,6278,448595,Feb,0.8259,46.3132,0.6278,44.8595
2/3/21,Minnesota,7757,463766,6302,449707,Feb,0.7757,46.3766,0.6302,44.9707
2/4/21,Minnesota,8474,465176,6319,450383,Feb,0.8474,46.5176,0.6319,45.0383
2/5/21,Minnesota,8959,466224,6341,450924,Feb,0.8959,46.6224,0.6341,45.0924
2/6/21,Minnesota,8677,467217,6357,452183,Feb,0.8677,46.7217,0.6357,45.2183
2/7/21,Minnesota,8526,468118,6367,453225,Feb,0.8526,46.8118,0.6367,45.3225
2/8/21,Minnesota,8022,468682,6370,454290,Feb,0.8022,46.8682,0.637,45.429
2/9/21,Minnesota,7598,469254,6376,455280,Feb,0.7598,46.9254,0.6376,45.528
2/10/21,Minnesota,7274,469905,6387,456244,Feb,0.7274,46.9905,0.6387,45.6244
2/11/21,Minnesota,7543,470803,6411,456849,Feb,0.7543,47.0803,0.6411,45.6849
2/12/21,Minnesota,8062,471851,6430,457359,Feb,0.8062,47.1851,0.643,45.7359
2/13/21,Minnesota,7862,472791,6437,458492,Feb,0.7862,47.2791,0.6437,45.8492
2/14/21,Minnesota,7598,473567,6444,459525,Feb,0.7598,47.3567,0.6444,45.9525
2/15/21,Minnesota,7186,474169,6446,460537,Feb,0.7186,47.4169,0.6446,46.0537
2/16/21,Minnesota,6767,474621,6448,461406,Feb,0.6767,47.4621,0.6448,46.1406
2/17/21,Minnesota,6419,475379,6458,462502,Feb,0.6419,47.5379,0.6458,46.2502
2/18/21,Minnesota,6779,476292,6472,463041,Feb,0.6779,47.6292,0.6472,46.3041
2/19/21,Minnesota,7353,477287,6480,463454,Feb,0.7353,47.7287,0.648,46.3454
2/20/21,Minnesota,7162,478157,6491,464504,Feb,0.7162,47.8157,0.6491,46.4504
2/21/21,Minnesota,7154,479036,6500,465382,Feb,0.7154,47.9036,0.65,46.5382
2/22/21,Minnesota,6779,479591,6501,466311,Feb,0.6779,47.9591,0.6501,46.6311
2/23/21,Minnesota,6442,480091,6502,467147,Feb,0.6442,48.0091,0.6502,46.7147
2/24/21,Minnesota,6365,480845,6511,467969,Feb,0.6365,48.0845,0.6511,46.7969
2/25/21,Minnesota,6815,481831,6518,468498,Feb,0.6815,48.1831,0.6518,46.8498
2/26/21,Minnesota,7299,482978,6530,469149,Feb,0.7299,48.2978,0.653,46.9149
2/27/21,Minnesota,7288,483790,6543,469959,Feb,0.7288,48.379,0.6543,46.9959
2/28/21,Minnesota,7224,484594,6551,470819,Feb,0.7224,48.4594,0.6551,47.0819
