Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,Mississippi,46307,218386,4816,167263,Jan,4.6307,21.8386,0.4816,16.7263
1/2/21,Mississippi,48174,220277,4840,167263,Jan,4.8174,22.0277,0.484,16.7263
1/3/21,Mississippi,49927,222061,4871,167263,Jan,4.9927,22.2061,0.4871,16.7263
1/4/21,Mississippi,36690,223677,4884,182103,Jan,3.669,22.3677,0.4884,18.2103
1/5/21,Mississippi,38366,225444,4975,182103,Jan,3.8366,22.5444,0.4975,18.2103
1/6/21,Mississippi,41119,228235,5013,182103,Jan,4.1119,22.8235,0.5013,18.2103
1/7/21,Mississippi,41119,228235,5013,182103,Jan,4.1119,22.8235,0.5013,18.2103
1/8/21,Mississippi,46461,233665,5101,182103,Jan,4.6461,23.3665,0.5101,18.2103
1/9/21,Mississippi,49619,236868,5146,182103,Jan,4.9619,23.6868,0.5146,18.2103
1/10/21,Mississippi,51812,239082,5167,182103,Jan,5.1812,23.9082,0.5167,18.2103
1/11/21,Mississippi,36235,240309,5186,198888,Jan,3.6235,24.0309,0.5186,19.8888
1/12/21,Mississippi,37785,241957,5284,198888,Jan,3.7785,24.1957,0.5284,19.8888
1/13/21,Mississippi,39696,243899,5315,198888,Jan,3.9696,24.3899,0.5315,19.8888
1/14/21,Mississippi,41603,245847,5356,198888,Jan,4.1603,24.5847,0.5356,19.8888
1/15/21,Mississippi,43890,248189,5411,198888,Jan,4.389,24.8189,0.5411,19.8888
1/16/21,Mississippi,46500,250869,5481,198888,Jan,4.65,25.0869,0.5481,19.8888
1/17/21,Mississippi,48066,252475,5521,198888,Jan,4.8066,25.2475,0.5521,19.8888
1/18/21,Mississippi,40639,253932,5524,207769,Jan,4.0639,25.3932,0.5524,20.7769
1/19/21,Mississippi,41782,255125,5574,207769,Jan,4.1782,25.5125,0.5574,20.7769
1/20/21,Mississippi,43420,256827,5638,207769,Jan,4.342,25.6827,0.5638,20.7769
1/21/21,Mississippi,45680,259117,5668,207769,Jan,4.568,25.9117,0.5668,20.7769
1/22/21,Mississippi,47685,261167,5713,207769,Jan,4.7685,26.1167,0.5713,20.7769
1/23/21,Mississippi,49502,263023,5752,207769,Jan,4.9502,26.3023,0.5752,20.7769
1/24/21,Mississippi,50678,264219,5772,207769,Jan,5.0678,26.4219,0.5772,20.7769
1/25/21,Mississippi,36557,265146,5777,222812,Jan,3.6557,26.5146,0.5777,22.2812
1/26/21,Mississippi,37934,266598,5852,222812,Jan,3.7934,26.6598,0.5852,22.2812
1/27/21,Mississippi,39943,268672,5917,222812,Jan,3.9943,26.8672,0.5917,22.2812
1/28/21,Mississippi,41719,270476,5945,222812,Jan,4.1719,27.0476,0.5945,22.2812
1/29/21,Mississippi,43867,272662,5983,222812,Jan,4.3867,27.2662,0.5983,22.2812
1/30/21,Mississippi,45360,274190,6018,222812,Jan,4.536,27.419,0.6018,22.2812
1/31/21,Mississippi,46144,275001,6045,222812,Jan,4.6144,27.5001,0.6045,22.2812
2/1/21,Mississippi,46838,275706,6056,222812,Feb,4.6838,27.5706,0.6056,22.2812
2/2/21,Mississippi,47587,276531,6132,222812,Feb,4.7587,27.6531,0.6132,22.2812
2/3/21,Mississippi,48352,277322,6158,222812,Feb,4.8352,27.7322,0.6158,22.2812
2/4/21,Mississippi,34174,278532,6182,238176,Feb,3.4174,27.8532,0.6182,23.8176
2/5/21,Mississippi,35344,279742,6222,238176,Feb,3.5344,27.9742,0.6222,23.8176
2/6/21,Mississippi,36336,280778,6266,238176,Feb,3.6336,28.0778,0.6266,23.8176
2/7/21,Mississippi,37233,281678,6269,238176,Feb,3.7233,28.1678,0.6269,23.8176
2/8/21,Mississippi,37867,282313,6270,238176,Feb,3.7867,28.2313,0.627,23.8176
2/9/21,Mississippi,23487,282969,6342,253140,Feb,2.3487,28.2969,0.6342,25.314
2/10/21,Mississippi,24246,283753,6367,253140,Feb,2.4246,28.3753,0.6367,25.314
2/11/21,Mississippi,25134,284664,6390,253140,Feb,2.5134,28.4664,0.639,25.314
2/12/21,Mississippi,26079,285648,6429,253140,Feb,2.6079,28.5648,0.6429,25.314
2/13/21,Mississippi,26742,286343,6461,253140,Feb,2.6742,28.6343,0.6461,25.314
2/14/21,Mississippi,27834,287436,6462,253140,Feb,2.7834,28.7436,0.6462,25.314
2/15/21,Mississippi,28376,287980,6464,253140,Feb,2.8376,28.798,0.6464,25.314
2/16/21,Mississippi,17757,288714,6501,264456,Feb,1.7757,28.8714,0.6501,26.4456
2/17/21,Mississippi,18418,289398,6524,264456,Feb,1.8418,28.9398,0.6524,26.4456
2/18/21,Mississippi,18545,289532,6531,264456,Feb,1.8545,28.9532,0.6531,26.4456
2/19/21,Mississippi,18902,289892,6534,264456,Feb,1.8902,28.9892,0.6534,26.4456
2/20/21,Mississippi,19233,290242,6553,264456,Feb,1.9233,29.0242,0.6553,26.4456
