Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,Missouri,42192,445019,5747,397080,Jan,4.2192,44.5019,0.5747,39.708
1/2/21,Missouri,,448387,5751,,Jan,0,44.8387,0.5751,0
1/3/21,Missouri,,451605,5770,,Jan,0,45.1605,0.577,0
1/4/21,Missouri,,454015,5772,,Jan,0,45.4015,0.5772,0
1/5/21,Missouri,,458230,5987,,Jan,0,45.823,0.5987,0
1/6/21,Missouri,,462063,6022,,Jan,0,46.2063,0.6022,0
1/7/21,Missouri,,467936,6094,,Jan,0,46.7936,0.6094,0
1/8/21,Missouri,,473282,6131,,Jan,0,47.3282,0.6131,0
1/9/21,Missouri,,477617,6173,,Jan,0,47.7617,0.6173,0
1/10/21,Missouri,,480558,6180,,Jan,0,48.0558,0.618,0
1/11/21,Missouri,,483211,6184,,Jan,0,48.3211,0.6184,0
1/12/21,Missouri,,486456,6383,,Jan,0,48.6456,0.6383,0
1/13/21,Missouri,,489319,6411,,Jan,0,48.9319,0.6411,0
1/14/21,Missouri,,492899,6457,,Jan,0,49.2899,0.6457,0
1/15/21,Missouri,,497037,6492,,Jan,0,49.7037,0.6492,0
1/16/21,Missouri,,499866,6523,,Jan,0,49.9866,0.6523,0
1/17/21,Missouri,,502063,6526,,Jan,0,50.2063,0.6526,0
1/18/21,Missouri,,503740,6530,,Jan,0,50.374,0.653,0
1/19/21,Missouri,,506104,6543,,Jan,0,50.6104,0.6543,0
1/20/21,Missouri,,508632,6742,,Jan,0,50.8632,0.6742,0
1/21/21,Missouri,,511631,6778,,Jan,0,51.1631,0.6778,0
1/22/21,Missouri,,514216,6823,,Jan,0,51.4216,0.6823,0
1/23/21,Missouri,,516474,6841,,Jan,0,51.6474,0.6841,0
1/24/21,Missouri,,518742,6848,,Jan,0,51.8742,0.6848,0
1/25/21,Missouri,,520479,6855,,Jan,0,52.0479,0.6855,0
1/26/21,Missouri,,522677,6984,,Jan,0,52.2677,0.6984,0
1/27/21,Missouri,,524857,7018,,Jan,0,52.4857,0.7018,0
1/28/21,Missouri,,527523,7041,,Jan,0,52.7523,0.7041,0
1/29/21,Missouri,,530002,7055,,Jan,0,53.0002,0.7055,0
1/30/21,Missouri,,531550,7070,,Jan,0,53.155,0.707,0
1/31/21,Missouri,,532747,7071,,Jan,0,53.2747,0.7071,0
2/1/21,Missouri,,534394,7074,,Feb,0,53.4394,0.7074,0
2/2/21,Missouri,,536176,7340,,Feb,0,53.6176,0.734,0
2/3/21,Missouri,,537804,7415,,Feb,0,53.7804,0.7415,0
2/4/21,Missouri,,540007,7441,,Feb,0,54.0007,0.7441,0
2/5/21,Missouri,,542198,7455,,Feb,0,54.2198,0.7455,0
2/6/21,Missouri,,543392,7472,,Feb,0,54.3392,0.7472,0
2/7/21,Missouri,,544197,7474,,Feb,0,54.4197,0.7474,0
2/8/21,Missouri,,545150,7475,,Feb,0,54.515,0.7475,0
2/9/21,Missouri,,546253,7485,,Feb,0,54.6253,0.7485,0
2/10/21,Missouri,,547692,7496,,Feb,0,54.7692,0.7496,0
2/11/21,Missouri,,549076,7721,,Feb,0,54.9076,0.7721,0
2/12/21,Missouri,,550158,7752,,Feb,0,55.0158,0.7752,0
2/13/21,Missouri,,550972,7780,,Feb,0,55.0972,0.778,0
2/14/21,Missouri,,551526,7782,,Feb,0,55.1526,0.7782,0
2/15/21,Missouri,,552180,7783,,Feb,0,55.218,0.7783,0
2/16/21,Missouri,,552960,7787,,Feb,0,55.296,0.7787,0
