Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,Montana,5603,81555,961,74991,Jan,0.5603,8.1555,0.0961,7.4991
1/2/21,Montana,4999,81944,971,75974,Jan,0.4999,8.1944,0.0971,7.5974
1/3/21,Montana,4908,82381,972,76501,Jan,0.4908,8.2381,0.0972,7.6501
1/4/21,Montana,5056,82664,975,76633,Jan,0.5056,8.2664,0.0975,7.6633
1/5/21,Montana,4924,83378,1005,77449,Jan,0.4924,8.3378,0.1005,7.7449
1/6/21,Montana,4931,84060,1015,78114,Jan,0.4931,8.406,0.1015,7.8114
1/7/21,Montana,4916,84750,1038,78796,Jan,0.4916,8.475,0.1038,7.8796
1/8/21,Montana,5405,85568,1049,79114,Jan,0.5405,8.5568,0.1049,7.9114
1/9/21,Montana,5142,86102,1054,79906,Jan,0.5142,8.6102,0.1054,7.9906
1/10/21,Montana,5031,86324,1056,80237,Jan,0.5031,8.6324,0.1056,8.0237
1/11/21,Montana,4922,86653,1057,80674,Jan,0.4922,8.6653,0.1057,8.0674
1/12/21,Montana,4827,87077,1067,81183,Jan,0.4827,8.7077,0.1067,8.1183
1/13/21,Montana,4908,87653,1069,81676,Jan,0.4908,8.7653,0.1069,8.1676
1/14/21,Montana,4843,88110,1077,82190,Jan,0.4843,8.811,0.1077,8.219
1/15/21,Montana,5089,88635,1086,82460,Jan,0.5089,8.8635,0.1086,8.246
1/16/21,Montana,5048,89056,1088,82920,Jan,0.5048,8.9056,0.1088,8.292
1/17/21,Montana,5147,89393,1092,83154,Jan,0.5147,8.9393,0.1092,8.3154
1/18/21,Montana,4956,89576,1093,83527,Jan,0.4956,8.9576,0.1093,8.3527
1/19/21,Montana,4946,89864,1093,83825,Jan,0.4946,8.9864,0.1093,8.3825
1/20/21,Montana,4906,90255,1094,84255,Jan,0.4906,9.0255,0.1094,8.4255
