Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,Nebraska,58354,167716,1668,107694,Jan,5.8354,16.7716,0.1668,10.7694
1/2/21,Nebraska,56888,168262,1669,109705,Jan,5.6888,16.8262,0.1669,10.9705
1/3/21,Nebraska,61365,169000,1672,105963,Jan,6.1365,16.9,0.1672,10.5963
1/4/21,Nebraska,55047,169585,1682,112856,Jan,5.5047,16.9585,0.1682,11.2856
1/5/21,Nebraska,55092,171033,1692,114249,Jan,5.5092,17.1033,0.1692,11.4249
1/6/21,Nebraska,56517,172469,1703,114249,Jan,5.6517,17.2469,0.1703,11.4249
1/7/21,Nebraska,55577,173591,1719,116295,Jan,5.5577,17.3591,0.1719,11.6295
1/8/21,Nebraska,55292,174614,1733,117589,Jan,5.5292,17.4614,0.1733,11.7589
1/9/21,Nebraska,54490,175620,1737,119393,Jan,5.449,17.562,0.1737,11.9393
1/10/21,Nebraska,53537,176026,1760,120729,Jan,5.3537,17.6026,0.176,12.0729
1/11/21,Nebraska,53188,176670,1772,121710,Jan,5.3188,17.667,0.1772,12.171
1/12/21,Nebraska,53315,177670,1791,122564,Jan,5.3315,17.767,0.1791,12.2564
1/13/21,Nebraska,56696,179199,1803,120700,Jan,5.6696,17.9199,0.1803,12.07
1/14/21,Nebraska,55079,180131,1818,123234,Jan,5.5079,18.0131,0.1818,12.3234
1/15/21,Nebraska,54840,180910,1837,124233,Jan,5.484,18.091,0.1837,12.4233
1/16/21,Nebraska,54110,180910,1837,124963,Jan,5.411,18.091,0.1837,12.4963
1/17/21,Nebraska,55178,181978,1837,124963,Jan,5.5178,18.1978,0.1837,12.4963
1/18/21,Nebraska,53830,182176,1842,126504,Jan,5.383,18.2176,0.1842,12.6504
1/19/21,Nebraska,53113,182176,1842,127221,Jan,5.3113,18.2176,0.1842,12.7221
1/20/21,Nebraska,55399,184482,1862,127221,Jan,5.5399,18.4482,0.1862,12.7221
