Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,Nevada,,227046,3143,,Jan,0,22.7046,0.3143,0
1/2/21,Nevada,,228871,3148,,Jan,0,22.8871,0.3148,0
1/3/21,Nevada,,231614,3180,,Jan,0,23.1614,0.318,0
1/4/21,Nevada,,233032,3206,,Jan,0,23.3032,0.3206,0
1/5/21,Nevada,,235455,3235,,Jan,0,23.5455,0.3235,0
1/6/21,Nevada,,237393,3295,,Jan,0,23.7393,0.3295,0
1/7/21,Nevada,,240796,3339,,Jan,0,24.0796,0.3339,0
1/8/21,Nevada,,243661,3394,,Jan,0,24.3661,0.3394,0
1/9/21,Nevada,,246309,3450,,Jan,0,24.6309,0.345,0
1/10/21,Nevada,,248569,3467,,Jan,0,24.8569,0.3467,0
1/11/21,Nevada,,250249,3500,,Jan,0,25.0249,0.35,0
1/12/21,Nevada,,252842,3546,,Jan,0,25.2842,0.3546,0
1/13/21,Nevada,,253985,3596,,Jan,0,25.3985,0.3596,0
1/14/21,Nevada,,256172,3658,,Jan,0,25.6172,0.3658,0
1/15/21,Nevada,,258050,3698,,Jan,0,25.805,0.3698,0
1/16/21,Nevada,,260090,3761,,Jan,0,26.009,0.3761,0
1/17/21,Nevada,,261573,3779,,Jan,0,26.1573,0.3779,0
1/18/21,Nevada,,262794,3784,,Jan,0,26.2794,0.3784,0
1/19/21,Nevada,,263972,3792,,Jan,0,26.3972,0.3792,0
1/20/21,Nevada,,265143,3863,,Jan,0,26.5143,0.3863,0
1/21/21,Nevada,,266343,3910,,Jan,0,26.6343,0.391,0
1/22/21,Nevada,,268212,3958,,Jan,0,26.8212,0.3958,0
1/23/21,Nevada,,269713,4011,,Jan,0,26.9713,0.4011,0
1/24/21,Nevada,,270907,4026,,Jan,0,27.0907,0.4026,0
1/25/21,Nevada,,271897,4029,,Jan,0,27.1897,0.4029,0
1/26/21,Nevada,,272853,4088,,Jan,0,27.2853,0.4088,0
1/27/21,Nevada,,273873,4134,,Jan,0,27.3873,0.4134,0
1/28/21,Nevada,,274951,4181,,Jan,0,27.4951,0.4181,0
1/29/21,Nevada,,276279,4218,,Jan,0,27.6279,0.4218,0
1/30/21,Nevada,,277349,4264,,Jan,0,27.7349,0.4264,0
1/31/21,Nevada,,278308,4270,,Jan,0,27.8308,0.427,0
2/1/21,Nevada,,279146,4278,,Feb,0,27.9146,0.4278,0
2/2/21,Nevada,,279957,4324,,Feb,0,27.9957,0.4324,0
2/3/21,Nevada,,280707,4373,,Feb,0,28.0707,0.4373,0
2/4/21,Nevada,,281596,4424,,Feb,0,28.1596,0.4424,0
2/5/21,Nevada,,282493,4463,,Feb,0,28.2493,0.4463,0
2/6/21,Nevada,,283391,4496,,Feb,0,28.3391,0.4496,0
2/7/21,Nevada,,284042,4520,,Feb,0,28.4042,0.452,0
2/8/21,Nevada,,284590,4522,,Feb,0,28.459,0.4522,0
2/9/21,Nevada,,285136,4559,,Feb,0,28.5136,0.4559,0
2/10/21,Nevada,,285795,4582,,Feb,0,28.5795,0.4582,0
2/11/21,Nevada,,286387,4637,,Feb,0,28.6387,0.4637,0
2/12/21,Nevada,,287023,4663,,Feb,0,28.7023,0.4663,0
2/13/21,Nevada,,287836,4694,,Feb,0,28.7836,0.4694,0
2/14/21,Nevada,,288348,4709,,Feb,0,28.8348,0.4709,0
