Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,New Hampshire,7823,45932,759,37350,Jan,0.7823,4.5932,0.0759,3.735
1/2/21,New Hampshire,7898,46614,769,37947,Jan,0.7898,4.6614,0.0769,3.7947
1/3/21,New Hampshire,7022,47376,780,39574,Jan,0.7022,4.7376,0.078,3.9574
1/4/21,New Hampshire,6742,47870,781,40347,Jan,0.6742,4.787,0.0781,4.0347
1/5/21,New Hampshire,7150,48662,792,40720,Jan,0.715,4.8662,0.0792,4.072
1/6/21,New Hampshire,7531,49584,816,41237,Jan,0.7531,4.9584,0.0816,4.1237
1/7/21,New Hampshire,7706,50337,827,41804,Jan,0.7706,5.0337,0.0827,4.1804
1/8/21,New Hampshire,7948,51289,846,42495,Jan,0.7948,5.1289,0.0846,4.2495
1/9/21,New Hampshire,8135,52371,862,43374,Jan,0.8135,5.2371,0.0862,4.3374
1/10/21,New Hampshire,7834,52980,869,44277,Jan,0.7834,5.298,0.0869,4.4277
1/11/21,New Hampshire,7724,53913,869,45320,Jan,0.7724,5.3913,0.0869,4.532
1/12/21,New Hampshire,7607,54516,878,46031,Jan,0.7607,5.4516,0.0878,4.6031
1/13/21,New Hampshire,7860,55378,885,46633,Jan,0.786,5.5378,0.0885,4.6633
1/14/21,New Hampshire,7907,55957,897,47153,Jan,0.7907,5.5957,0.0897,4.7153
1/15/21,New Hampshire,8040,56966,908,48018,Jan,0.804,5.6966,0.0908,4.8018
1/16/21,New Hampshire,7741,57605,927,48937,Jan,0.7741,5.7605,0.0927,4.8937
1/17/21,New Hampshire,7752,58229,933,49544,Jan,0.7752,5.8229,0.0933,4.9544
1/18/21,New Hampshire,7289,58709,933,50487,Jan,0.7289,5.8709,0.0933,5.0487
1/19/21,New Hampshire,6645,59228,938,51645,Jan,0.6645,5.9228,0.0938,5.1645
1/20/21,New Hampshire,6690,59891,950,52251,Jan,0.669,5.9891,0.095,5.2251
1/21/21,New Hampshire,6498,60588,962,53128,Jan,0.6498,6.0588,0.0962,5.3128
1/22/21,New Hampshire,6462,61206,971,53773,Jan,0.6462,6.1206,0.0971,5.3773
1/23/21,New Hampshire,6370,61995,981,54644,Jan,0.637,6.1995,0.0981,5.4644
1/24/21,New Hampshire,6277,62492,987,55228,Jan,0.6277,6.2492,0.0987,5.5228
1/25/21,New Hampshire,5749,62890,990,56151,Jan,0.5749,6.289,0.099,5.6151
1/26/21,New Hampshire,5625,63367,994,56748,Jan,0.5625,6.3367,0.0994,5.6748
1/27/21,New Hampshire,5537,63886,1006,57343,Jan,0.5537,6.3886,0.1006,5.7343
1/28/21,New Hampshire,5707,64591,1022,57862,Jan,0.5707,6.4591,0.1022,5.7862
1/29/21,New Hampshire,5684,65134,1036,58414,Jan,0.5684,6.5134,0.1036,5.8414
1/30/21,New Hampshire,5531,65655,1042,59082,Jan,0.5531,6.5655,0.1042,5.9082
1/31/21,New Hampshire,5140,65949,1057,59752,Jan,0.514,6.5949,0.1057,5.9752
2/1/21,New Hampshire,4893,66289,1059,60337,Feb,0.4893,6.6289,0.1059,6.0337
2/2/21,New Hampshire,4501,66656,1059,61096,Feb,0.4501,6.6656,0.1059,6.1096
2/3/21,New Hampshire,4401,67041,1076,61564,Feb,0.4401,6.7041,0.1076,6.1564
2/4/21,New Hampshire,4474,67492,1085,61933,Feb,0.4474,6.7492,0.1085,6.1933
2/5/21,New Hampshire,4386,67919,1091,62442,Feb,0.4386,6.7919,0.1091,6.2442
2/6/21,New Hampshire,4220,68260,1098,62942,Feb,0.422,6.826,0.1098,6.2942
