Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,New Jersey,459774,535043,19160,56109,Jan,45.9774,53.5043,1.916,5.6109
1/2/21,New Jersey,465440,541202,19187,56575,Jan,46.544,54.1202,1.9187,5.6575
1/3/21,New Jersey,469369,545450,19208,56873,Jan,46.9369,54.545,1.9208,5.6873
1/4/21,New Jersey,470854,547247,19225,57168,Jan,47.0854,54.7247,1.9225,5.7168
1/5/21,New Jersey,477579,554400,19382,57439,Jan,47.7579,55.44,1.9382,5.7439
1/6/21,New Jersey,482646,560057,19523,57888,Jan,48.2646,56.0057,1.9523,5.7888
1/7/21,New Jersey,488780,566761,19646,58335,Jan,48.878,56.6761,1.9646,5.8335
1/8/21,New Jersey,494137,572692,19756,58799,Jan,49.4137,57.2692,1.9756,5.8799
1/9/21,New Jersey,500150,579250,19854,59246,Jan,50.015,57.925,1.9854,5.9246
1/10/21,New Jersey,505269,584828,19854,59705,Jan,50.5269,58.4828,1.9854,5.9705
1/11/21,New Jersey,510256,590162,19854,60052,Jan,51.0256,59.0162,1.9854,6.0052
1/12/21,New Jersey,514382,594749,20039,60328,Jan,51.4382,59.4749,2.0039,6.0328
1/13/21,New Jersey,521699,602629,20161,60769,Jan,52.1699,60.2629,2.0161,6.0769
1/14/21,New Jersey,528296,609721,20161,61264,Jan,52.8296,60.9721,2.0161,6.1264
1/15/21,New Jersey,533994,616032,20320,61718,Jan,53.3994,61.6032,2.032,6.1718
1/16/21,New Jersey,539520,622089,20414,62155,Jan,53.952,62.2089,2.0414,6.2155
1/17/21,New Jersey,544627,627221,20439,62155,Jan,54.4627,62.7221,2.0439,6.2155
1/18/21,New Jersey,547679,631074,20458,62937,Jan,54.7679,63.1074,2.0458,6.2937
1/19/21,New Jersey,552010,635702,20512,63180,Jan,55.201,63.5702,2.0512,6.318
1/20/21,New Jersey,556914,641140,20664,63562,Jan,55.6914,64.114,2.0664,6.3562
1/21/21,New Jersey,561423,646189,20760,64006,Jan,56.1423,64.6189,2.076,6.4006
1/22/21,New Jersey,565048,650389,20875,64466,Jan,56.5048,65.0389,2.0875,6.4466
