Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,New Mexico,75002,144142,2502,66638,Jan,7.5002,14.4142,0.2502,6.6638
1/2/21,New Mexico,75272,145379,2534,67573,Jan,7.5272,14.5379,0.2534,6.7573
1/3/21,New Mexico,74967,146394,2551,68876,Jan,7.4967,14.6394,0.2551,6.8876
1/4/21,New Mexico,74838,147315,2574,69903,Jan,7.4838,14.7315,0.2574,6.9903
1/5/21,New Mexico,75168,148499,2594,70737,Jan,7.5168,14.8499,0.2594,7.0737
1/6/21,New Mexico,75254,149984,2641,72089,Jan,7.5254,14.9984,0.2641,7.2089
1/7/21,New Mexico,74904,151819,2680,74235,Jan,7.4904,15.1819,0.268,7.4235
1/8/21,New Mexico,74863,153456,2710,75883,Jan,7.4863,15.3456,0.271,7.5883
1/9/21,New Mexico,75421,154954,2732,76801,Jan,7.5421,15.4954,0.2732,7.6801
1/10/21,New Mexico,75677,156157,2749,77731,Jan,7.5677,15.6157,0.2749,7.7731
1/11/21,New Mexico,75497,157087,2764,78826,Jan,7.5497,15.7087,0.2764,7.8826
1/12/21,New Mexico,74600,157974,2794,80580,Jan,7.46,15.7974,0.2794,8.058
1/13/21,New Mexico,74709,159119,2807,81603,Jan,7.4709,15.9119,0.2807,8.1603
1/14/21,New Mexico,74898,160543,2836,82809,Jan,7.4898,16.0543,0.2836,8.2809
1/15/21,New Mexico,74916,161805,2874,84015,Jan,7.4916,16.1805,0.2874,8.4015
1/16/21,New Mexico,75180,162893,2910,84803,Jan,7.518,16.2893,0.291,8.4803
1/17/21,New Mexico,74595,163637,2932,86110,Jan,7.4595,16.3637,0.2932,8.611
1/18/21,New Mexico,73803,164263,2958,87502,Jan,7.3803,16.4263,0.2958,8.7502
1/19/21,New Mexico,72997,164954,2975,88982,Jan,7.2997,16.4954,0.2975,8.8982
1/20/21,New Mexico,73070,165835,3009,89756,Jan,7.307,16.5835,0.3009,8.9756
1/21/21,New Mexico,72683,166823,3044,91096,Jan,7.2683,16.6823,0.3044,9.1096
1/22/21,New Mexico,72545,167731,3077,92109,Jan,7.2545,16.7731,0.3077,9.2109
1/23/21,New Mexico,72323,168579,3115,93141,Jan,7.2323,16.8579,0.3115,9.3141
1/24/21,New Mexico,71919,169205,3145,94141,Jan,7.1919,16.9205,0.3145,9.4141
1/25/21,New Mexico,70691,169696,3157,95848,Jan,7.0691,16.9696,0.3157,9.5848
1/26/21,New Mexico,70466,170296,3171,96659,Jan,7.0466,17.0296,0.3171,9.6659
1/27/21,New Mexico,69807,171047,3198,98042,Jan,6.9807,17.1047,0.3198,9.8042
1/28/21,New Mexico,68969,171719,3226,99524,Jan,6.8969,17.1719,0.3226,9.9524
1/29/21,New Mexico,68496,172798,3248,101054,Jan,6.8496,17.2798,0.3248,10.1054
1/30/21,New Mexico,67976,173539,3265,102298,Jan,6.7976,17.3539,0.3265,10.2298
1/31/21,New Mexico,67820,174064,3283,102961,Jan,6.782,17.4064,0.3283,10.2961
2/1/21,New Mexico,67130,174550,3295,104125,Feb,6.713,17.455,0.3295,10.4125
2/2/21,New Mexico,66104,174982,3310,105568,Feb,6.6104,17.4982,0.331,10.5568
2/3/21,New Mexico,64669,175652,3338,107645,Feb,6.4669,17.5652,0.3338,10.7645
2/4/21,New Mexico,64712,176211,3355,108144,Feb,6.4712,17.6211,0.3355,10.8144
2/5/21,New Mexico,64347,176793,3378,109068,Feb,6.4347,17.6793,0.3378,10.9068
2/6/21,New Mexico,63588,177214,3386,110240,Feb,6.3588,17.7214,0.3386,11.024
2/7/21,New Mexico,63120,177556,3399,111037,Feb,6.312,17.7556,0.3399,11.1037
2/8/21,New Mexico,62404,177867,3412,112051,Feb,6.2404,17.7867,0.3412,11.2051
2/9/21,New Mexico,61402,178280,3430,113448,Feb,6.1402,17.828,0.343,11.3448
2/10/21,New Mexico,60353,178790,3461,114976,Feb,6.0353,17.879,0.3461,11.4976
2/11/21,New Mexico,59326,179323,3479,116518,Feb,5.9326,17.9323,0.3479,11.6518
2/12/21,New Mexico,58587,179724,3502,117635,Feb,5.8587,17.9724,0.3502,11.7635
2/13/21,New Mexico,57847,180289,3516,118926,Feb,5.7847,18.0289,0.3516,11.8926
2/14/21,New Mexico,56991,180571,3529,120051,Feb,5.6991,18.0571,0.3529,12.0051
2/15/21,New Mexico,55617,180761,3538,121606,Feb,5.5617,18.0761,0.3538,12.1606
2/16/21,New Mexico,54003,181060,3550,123507,Feb,5.4003,18.106,0.355,12.3507
2/17/21,New Mexico,52706,181332,3562,125064,Feb,5.2706,18.1332,0.3562,12.5064
2/18/21,New Mexico,51713,181739,3580,126446,Feb,5.1713,18.1739,0.358,12.6446
2/19/21,New Mexico,50152,182050,3599,128299,Feb,5.0152,18.205,0.3599,12.8299
2/20/21,New Mexico,48090,182475,3610,130775,Feb,4.809,18.2475,0.361,13.0775
2/21/21,New Mexico,46946,182789,3624,132219,Feb,4.6946,18.2789,0.3624,13.2219
2/22/21,New Mexico,45283,183023,3635,134105,Feb,4.5283,18.3023,0.3635,13.4105
2/23/21,New Mexico,44083,183335,3644,135608,Feb,4.4083,18.3335,0.3644,13.5608
2/24/21,New Mexico,42873,183781,3658,137250,Feb,4.2873,18.3781,0.3658,13.725
2/25/21,New Mexico,40816,184080,3671,139593,Feb,4.0816,18.408,0.3671,13.9593
2/26/21,New Mexico,39218,184736,3685,141833,Feb,3.9218,18.4736,0.3685,14.1833
2/27/21,New Mexico,39355,184888,3700,141833,Feb,3.9355,18.4888,0.37,14.1833
2/28/21,New Mexico,35403,185132,3716,146013,Feb,3.5403,18.5132,0.3716,14.6013
3/1/21,New Mexico,34122,185297,3729,147446,Mar,3.4122,18.5297,0.3729,14.7446
3/2/21,New Mexico,33161,185542,3740,148641,Mar,3.3161,18.5542,0.374,14.8641
3/3/21,New Mexico,31977,185898,3753,150168,Mar,3.1977,18.5898,0.3753,15.0168
3/4/21,New Mexico,30679,186156,3769,151708,Mar,3.0679,18.6156,0.3769,15.1708
