Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,New York,854875,995816,37973,102968,Jan,85.4875,99.5816,3.7973,10.2968
1/2/21,New York,869744,1011665,38093,103828,Jan,86.9744,101.1665,3.8093,10.3828
1/3/21,New York,881256,1023897,38239,104402,Jan,88.1256,102.3897,3.8239,10.4402
1/4/21,New York,891783,1035139,38417,104939,Jan,89.1783,103.5139,3.8417,10.4939
1/5/21,New York,904339,1048281,38563,105379,Jan,90.4339,104.8281,3.8563,10.5379
1/6/21,New York,920189,1064297,38729,105379,Jan,92.0189,106.4297,3.8729,10.5379
1/7/21,New York,935709,1081885,38933,107243,Jan,93.5709,108.1885,3.8933,10.7243
1/8/21,New York,954203,1101445,39098,108144,Jan,95.4203,110.1445,3.9098,10.8144
1/9/21,New York,970961,1119284,39288,109035,Jan,97.0961,111.9284,3.9288,10.9035
1/10/21,New York,986160,1135592,39450,109982,Jan,98.616,113.5592,3.945,10.9982
1/11/21,New York,999521,1149771,39650,110600,Jan,99.9521,114.9771,3.965,11.06
1/12/21,New York,1013586,1164562,39835,111141,Jan,101.3586,116.4562,3.9835,11.1141
1/13/21,New York,1027238,1179266,40005,112023,Jan,102.7238,117.9266,4.0005,11.2023
1/14/21,New York,1040229,1193453,40245,112979,Jan,104.0229,119.3453,4.0245,11.2979
1/15/21,New York,1058554,1212922,40449,113919,Jan,105.8554,121.2922,4.0449,11.3919
1/16/21,New York,1073378,1228867,40621,114868,Jan,107.3378,122.8867,4.0621,11.4868
1/17/21,New York,1085851,1242561,40809,115901,Jan,108.5851,124.2561,4.0809,11.5901
1/18/21,New York,1098478,1255971,40991,116502,Jan,109.8478,125.5971,4.0991,11.6502
1/19/21,New York,1110456,1268692,41184,117052,Jan,111.0456,126.8692,4.1184,11.7052
1/20/21,New York,1120530,1279811,41399,117882,Jan,112.053,127.9811,4.1399,11.7882
1/21/21,New York,1133231,1293719,41599,118889,Jan,113.3231,129.3719,4.1599,11.8889
