Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,North Carolina,129309,539545,6748,403488,Jan,12.9309,53.9545,0.6748,40.3488
1/2/21,North Carolina,148057,558437,6892,403488,Jan,14.8057,55.8437,0.6892,40.3488
1/3/21,North Carolina,154526,564924,6910,403488,Jan,15.4526,56.4924,0.691,40.3488
1/4/21,North Carolina,76080,570111,6941,487090,Jan,7.608,57.0111,0.6941,48.709
1/5/21,North Carolina,81310,575396,6996,487090,Jan,8.131,57.5396,0.6996,48.709
1/6/21,North Carolina,88182,582348,7076,487090,Jan,8.8182,58.2348,0.7076,48.709
1/7/21,North Carolina,98443,592746,7213,487090,Jan,9.8443,59.2746,0.7213,48.709
1/8/21,North Carolina,108356,602774,7328,487090,Jan,10.8356,60.2774,0.7328,48.709
1/9/21,North Carolina,119840,614355,7425,487090,Jan,11.984,61.4355,0.7425,48.709
1/10/21,North Carolina,128531,623188,7567,487090,Jan,12.8531,62.3188,0.7567,48.709
1/11/21,North Carolina,100071,629124,7578,521475,Jan,10.0071,62.9124,0.7578,52.1475
1/12/21,North Carolina,106862,635975,7638,521475,Jan,10.6862,63.5975,0.7638,52.1475
1/13/21,North Carolina,111853,641073,7745,521475,Jan,11.1853,64.1073,0.7745,52.1475
1/14/21,North Carolina,121626,650926,7825,521475,Jan,12.1626,65.0926,0.7825,52.1475
1/15/21,North Carolina,130432,659840,7933,521475,Jan,13.0432,65.984,0.7933,52.1475
1/16/21,North Carolina,138335,667826,8016,521475,Jan,13.8335,66.7826,0.8016,52.1475
1/17/21,North Carolina,145079,674637,8083,521475,Jan,14.5079,67.4637,0.8083,52.1475
1/18/21,North Carolina,145079,674637,8083,521475,Jan,14.5079,67.4637,0.8083,52.1475
1/19/21,North Carolina,96785,684497,8139,579573,Jan,9.6785,68.4497,0.8139,57.9573
1/20/21,North Carolina,103139,690912,8200,579573,Jan,10.3139,69.0912,0.82,57.9573
1/21/21,North Carolina,110187,698099,8339,579573,Jan,11.0187,69.8099,0.8339,57.9573
1/22/21,North Carolina,117498,705535,8464,579573,Jan,11.7498,70.5535,0.8464,57.9573
1/23/21,North Carolina,124557,712716,8586,579573,Jan,12.4557,71.2716,0.8586,57.9573
1/24/21,North Carolina,130544,718812,8695,579573,Jan,13.0544,71.8812,0.8695,57.9573
1/25/21,North Carolina,79182,723445,8720,635543,Jan,7.9182,72.3445,0.872,63.5543
1/26/21,North Carolina,83104,727423,8776,635543,Jan,8.3104,72.7423,0.8776,63.5543
1/27/21,North Carolina,88552,733010,8915,635543,Jan,8.8552,73.301,0.8915,63.5543
