Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,North Dakota,2140,92226,1316,89314,Jan,0.214,9.2226,0.1316,8.9314
1/2/21,North Dakota,1992,92388,1317,89582,Jan,0.1992,9.2388,0.1317,8.9582
1/3/21,North Dakota,1845,92571,1317,89879,Jan,0.1845,9.2571,0.1317,8.9879
1/4/21,North Dakota,1908,92813,1319,90013,Jan,0.1908,9.2813,0.1319,9.0013
1/5/21,North Dakota,1877,93108,1336,90281,Jan,0.1877,9.3108,0.1336,9.0281
1/6/21,North Dakota,1980,93427,1341,90511,Jan,0.198,9.3427,0.1341,9.0511
1/7/21,North Dakota,2082,93696,1348,90726,Jan,0.2082,9.3696,0.1348,9.0726
1/8/21,North Dakota,2115,93875,1359,90964,Jan,0.2115,9.3875,0.1359,9.0964
1/9/21,North Dakota,1976,93963,1360,91222,Jan,0.1976,9.3963,0.136,9.1222
1/10/21,North Dakota,1891,94084,1360,91465,Jan,0.1891,9.4084,0.136,9.1465
1/11/21,North Dakota,1873,94330,1360,91597,Jan,0.1873,9.433,0.136,9.1597
1/12/21,North Dakota,1755,94550,1363,91850,Jan,0.1755,9.455,0.1363,9.185
1/13/21,North Dakota,1742,94789,1364,92029,Jan,0.1742,9.4789,0.1364,9.2029
1/14/21,North Dakota,1757,95017,1372,92249,Jan,0.1757,9.5017,0.1372,9.2249
1/15/21,North Dakota,1653,95142,1395,92551,Jan,0.1653,9.5142,0.1395,9.2551
1/16/21,North Dakota,1491,95293,1403,92820,Jan,0.1491,9.5293,0.1403,9.282
1/17/21,North Dakota,1438,95362,1406,93020,Jan,0.1438,9.5362,0.1406,9.302
1/18/21,North Dakota,1355,95498,1406,93173,Jan,0.1355,9.5498,0.1406,9.3173
1/19/21,North Dakota,1212,95653,1408,93451,Jan,0.1212,9.5653,0.1408,9.3451
1/20/21,North Dakota,1155,95800,1409,93658,Jan,0.1155,9.58,0.1409,9.3658
1/21/21,North Dakota,1146,95984,1422,93801,Jan,0.1146,9.5984,0.1422,9.3801
1/22/21,North Dakota,1157,96147,1428,93980,Jan,0.1157,9.6147,0.1428,9.398
1/23/21,North Dakota,1136,96242,1436,94148,Jan,0.1136,9.6242,0.1436,9.4148
1/24/21,North Dakota,1072,96296,1436,94309,Jan,0.1072,9.6296,0.1436,9.4309
1/25/21,North Dakota,1057,96426,1436,94381,Jan,0.1057,9.6426,0.1436,9.4381
1/26/21,North Dakota,982,96584,1440,94584,Jan,0.0982,9.6584,0.144,9.4584
1/27/21,North Dakota,991,96728,1441,94728,Jan,0.0991,9.6728,0.1441,9.4728
1/28/21,North Dakota,1025,96880,1442,94837,Jan,0.1025,9.688,0.1442,9.4837
1/29/21,North Dakota,1047,96983,1444,94966,Jan,0.1047,9.6983,0.1444,9.4966
1/30/21,North Dakota,1006,97049,1447,95108,Jan,0.1006,9.7049,0.1447,9.5108
1/31/21,North Dakota,955,97092,1447,95227,Jan,0.0955,9.7092,0.1447,9.5227
2/1/21,North Dakota,925,97224,1447,95308,Feb,0.0925,9.7224,0.1447,9.5308
2/2/21,North Dakota,859,97362,1447,95491,Feb,0.0859,9.7362,0.1447,9.5491
2/3/21,North Dakota,888,97515,1447,95601,Feb,0.0888,9.7515,0.1447,9.5601
2/4/21,North Dakota,896,97606,1447,95691,Feb,0.0896,9.7606,0.1447,9.5691
2/5/21,North Dakota,867,97685,1451,95777,Feb,0.0867,9.7685,0.1451,9.5777
2/6/21,North Dakota,819,97731,1453,95834,Feb,0.0819,9.7731,0.1453,9.5834
2/7/21,North Dakota,756,97765,1453,95946,Feb,0.0756,9.7765,0.1453,9.5946
2/8/21,North Dakota,739,97863,1454,95991,Feb,0.0739,9.7863,0.1454,9.5991
2/9/21,North Dakota,704,98007,1457,96014,Feb,0.0704,9.8007,0.1457,9.6014
2/10/21,North Dakota,729,98143,1459,96026,Feb,0.0729,9.8143,0.1459,9.6026
2/11/21,North Dakota,766,98257,1460,96127,Feb,0.0766,9.8257,0.146,9.6127
2/12/21,North Dakota,771,98348,1461,96234,Feb,0.0771,9.8348,0.1461,9.6234
2/13/21,North Dakota,785,98395,1461,96305,Feb,0.0785,9.8395,0.1461,9.6305
2/14/21,North Dakota,732,98442,1461,96404,Feb,0.0732,9.8442,0.1461,9.6404
2/15/21,North Dakota,737,98575,1461,96445,Feb,0.0737,9.8575,0.1461,9.6445
2/16/21,North Dakota,756,98697,1461,96564,Feb,0.0756,9.8697,0.1461,9.6564
2/17/21,North Dakota,767,98830,1461,96673,Feb,0.0767,9.883,0.1461,9.6673
2/18/21,North Dakota,806,98946,1465,96763,Feb,0.0806,9.8946,0.1465,9.6763
2/19/21,North Dakota,824,99028,1465,96864,Feb,0.0824,9.9028,0.1465,9.6864
2/20/21,North Dakota,759,99073,1467,97002,Feb,0.0759,9.9073,0.1467,9.7002
2/21/21,North Dakota,695,99108,1468,97114,Feb,0.0695,9.9108,0.1468,9.7114
2/22/21,North Dakota,680,99211,1468,97164,Feb,0.068,9.9211,0.1468,9.7164
2/23/21,North Dakota,661,99328,1469,97286,Feb,0.0661,9.9328,0.1469,9.7286
2/24/21,North Dakota,672,99416,1470,97389,Feb,0.0672,9.9416,0.147,9.7389
2/25/21,North Dakota,676,99505,1471,97474,Feb,0.0676,9.9505,0.1471,9.7474
2/26/21,North Dakota,677,99572,1472,97562,Feb,0.0677,9.9572,0.1472,9.7562
2/27/21,North Dakota,627,99603,1475,97678,Feb,0.0627,9.9603,0.1475,9.7678
2/28/21,North Dakota,575,99647,1475,97759,Feb,0.0575,9.9647,0.1475,9.7759
3/1/21,North Dakota,541,99750,1475,97836,Mar,0.0541,9.975,0.1475,9.7836
3/2/21,North Dakota,546,99860,1477,97934,Mar,0.0546,9.986,0.1477,9.7934
3/3/21,North Dakota,575,99978,1478,98014,Mar,0.0575,9.9978,0.1478,9.8014
3/4/21,North Dakota,635,100073,1478,98071,Mar,0.0635,10.0073,0.1478,9.8071
3/5/21,North Dakota,636,100153,1478,98164,Mar,0.0636,10.0153,0.1478,9.8164
3/6/21,North Dakota,714,100186,1479,98164,Mar,0.0714,10.0186,0.1479,9.8164
3/7/21,North Dakota,,100213,1479,,Mar,0,10.0213,0.1479,0
3/8/21,North Dakota,,100312,1479,,Mar,0,10.0312,0.1479,0
3/9/21,North Dakota,,100416,1479,,Mar,0,10.0416,0.1479,0
3/10/21,North Dakota,,100526,1481,,Mar,0,10.0526,0.1481,0
3/11/21,North Dakota,,100650,1485,,Mar,0,10.065,0.1485,0
3/12/21,North Dakota,,100747,1486,,Mar,0,10.0747,0.1486,0
3/13/21,North Dakota,,100781,1488,,Mar,0,10.0781,0.1488,0
3/14/21,North Dakota,,100806,1488,,Mar,0,10.0806,0.1488,0
3/15/21,North Dakota,,100954,1488,,Mar,0,10.0954,0.1488,0
3/16/21,North Dakota,,101084,1489,,Mar,0,10.1084,0.1489,0
3/17/21,North Dakota,,101200,1490,,Mar,0,10.12,0.149,0
3/18/21,North Dakota,,101315,1490,,Mar,0,10.1315,0.149,0
3/19/21,North Dakota,,101402,1491,,Mar,0,10.1402,0.1491,0
3/20/21,North Dakota,,101448,1492,,Mar,0,10.1448,0.1492,0
3/21/21,North Dakota,,101498,1492,,Mar,0,10.1498,0.1492,0
3/22/21,North Dakota,,101663,1492,,Mar,0,10.1663,0.1492,0
3/23/21,North Dakota,,101804,1494,,Mar,0,10.1804,0.1494,0
