Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,Northern Mariana Islands,91,122,2,29,Jan,0.0091,0.0122,0.0002,0.0029
1/2/21,Northern Mariana Islands,91,122,2,29,Jan,0.0091,0.0122,0.0002,0.0029
1/3/21,Northern Mariana Islands,91,122,2,29,Jan,0.0091,0.0122,0.0002,0.0029
1/4/21,Northern Mariana Islands,91,122,2,29,Jan,0.0091,0.0122,0.0002,0.0029
1/5/21,Northern Mariana Islands,91,122,2,29,Jan,0.0091,0.0122,0.0002,0.0029
1/6/21,Northern Mariana Islands,94,125,2,29,Jan,0.0094,0.0125,0.0002,0.0029
1/7/21,Northern Mariana Islands,94,125,2,29,Jan,0.0094,0.0125,0.0002,0.0029
1/8/21,Northern Mariana Islands,94,125,2,29,Jan,0.0094,0.0125,0.0002,0.0029
1/9/21,Northern Mariana Islands,94,125,2,29,Jan,0.0094,0.0125,0.0002,0.0029
1/10/21,Northern Mariana Islands,94,125,2,29,Jan,0.0094,0.0125,0.0002,0.0029
1/11/21,Northern Mariana Islands,97,128,2,29,Jan,0.0097,0.0128,0.0002,0.0029
1/12/21,Northern Mariana Islands,97,128,2,29,Jan,0.0097,0.0128,0.0002,0.0029
1/13/21,Northern Mariana Islands,97,128,2,29,Jan,0.0097,0.0128,0.0002,0.0029
1/14/21,Northern Mariana Islands,97,128,2,29,Jan,0.0097,0.0128,0.0002,0.0029
1/15/21,Northern Mariana Islands,97,128,2,29,Jan,0.0097,0.0128,0.0002,0.0029
1/16/21,Northern Mariana Islands,97,128,2,29,Jan,0.0097,0.0128,0.0002,0.0029
1/17/21,Northern Mariana Islands,97,128,2,29,Jan,0.0097,0.0128,0.0002,0.0029
1/18/21,Northern Mariana Islands,98,129,2,29,Jan,0.0098,0.0129,0.0002,0.0029
1/19/21,Northern Mariana Islands,98,129,2,29,Jan,0.0098,0.0129,0.0002,0.0029
1/20/21,Northern Mariana Islands,98,129,2,29,Jan,0.0098,0.0129,0.0002,0.0029
