Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,Ohio,130508,700380,13766,556106,Jan,13.0508,70.038,1.3766,55.6106
1/2/21,Ohio,127113,714673,13919,573641,Jan,12.7113,71.4673,1.3919,57.3641
1/3/21,Ohio,127845,721481,14053,579583,Jan,12.7845,72.1481,1.4053,57.9583
1/4/21,Ohio,128115,727423,14216,585091,Jan,12.8115,72.7423,1.4216,58.5091
1/5/21,Ohio,124430,735003,14352,596221,Jan,12.443,73.5003,1.4352,59.6221
1/6/21,Ohio,122836,742817,14507,605474,Jan,12.2836,74.2817,1.4507,60.5474
1/7/21,Ohio,125024,753068,14626,613418,Jan,12.5024,75.3068,1.4626,61.3418
1/8/21,Ohio,126651,762603,14767,621185,Jan,12.6651,76.2603,1.4767,62.1185
1/9/21,Ohio,127114,770977,14899,628964,Jan,12.7114,77.0977,1.4899,62.8964
1/10/21,Ohio,127934,777065,15046,634085,Jan,12.7934,77.7065,1.5046,63.4085
1/11/21,Ohio,130688,784957,15189,639080,Jan,13.0688,78.4957,1.5189,63.908
1/12/21,Ohio,128877,792938,15337,648724,Jan,12.8877,79.2938,1.5337,64.8724
1/13/21,Ohio,127725,799639,15481,656433,Jan,12.7725,79.9639,1.5481,65.6433
1/14/21,Ohio,127838,807293,15599,663856,Jan,12.7838,80.7293,1.5599,66.3856
1/15/21,Ohio,129253,814442,15741,669448,Jan,12.9253,81.4442,1.5741,66.9448
1/16/21,Ohio,133414,821507,15862,672231,Jan,13.3414,82.1507,1.5862,67.2231
1/17/21,Ohio,132509,826754,15981,678264,Jan,13.2509,82.6754,1.5981,67.8264
1/18/21,Ohio,130888,831066,16106,684072,Jan,13.0888,83.1066,1.6106,68.4072
1/19/21,Ohio,124935,836049,16209,694905,Jan,12.4935,83.6049,1.6209,69.4905
1/20/21,Ohio,122080,842433,16308,704045,Jan,12.208,84.2433,1.6308,70.4045
1/21/21,Ohio,120432,849704,16408,712864,Jan,12.0432,84.9704,1.6408,71.2864
1/22/21,Ohio,117282,853982,16530,720171,Jan,11.7282,85.3982,1.653,72.0171
1/23/21,Ohio,119078,859841,16629,724135,Jan,11.9078,85.9841,1.6629,72.4135
1/24/21,Ohio,116498,864322,16737,731088,Jan,11.6498,86.4322,1.6737,73.1088
1/25/21,Ohio,115168,868656,16838,736651,Jan,11.5168,86.8656,1.6838,73.6651
1/26/21,Ohio,107862,872918,16925,748132,Jan,10.7862,87.2918,1.6925,74.8132
1/27/21,Ohio,104277,878284,17005,757003,Jan,10.4277,87.8284,1.7005,75.7003
1/28/21,Ohio,102149,883716,17088,764480,Jan,10.2149,88.3716,1.7088,76.448
1/29/21,Ohio,100821,888590,17173,770597,Jan,10.0821,88.859,1.7173,77.0597
1/30/21,Ohio,99633,892781,17256,775893,Jan,9.9633,89.2781,1.7256,77.5893
1/31/21,Ohio,98576,895792,17329,779888,Jan,9.8576,89.5792,1.7329,77.9888
2/1/21,Ohio,95432,899079,17399,786249,Feb,9.5432,89.9079,1.7399,78.6249
2/2/21,Ohio,91496,902736,17475,793766,Feb,9.1496,90.2736,1.7475,79.3766
2/3/21,Ohio,89350,906727,17559,799819,Feb,8.935,90.6727,1.7559,79.9819
2/4/21,Ohio,86822,910847,17629,806397,Feb,8.6822,91.0847,1.7629,80.6397
2/5/21,Ohio,84132,914530,17692,812707,Feb,8.4132,91.453,1.7692,81.2707
2/6/21,Ohio,81139,918079,17761,819180,Feb,8.1139,91.8079,1.7761,81.918
2/7/21,Ohio,78317,920217,17821,824080,Feb,7.8317,92.0217,1.7821,82.408
2/8/21,Ohio,75802,922143,17887,828455,Feb,7.5802,92.2143,1.7887,82.8455
2/9/21,Ohio,73016,925350,17946,834389,Feb,7.3016,92.535,1.7946,83.4389
2/10/21,Ohio,69447,928631,17992,841193,Feb,6.9447,92.8631,1.7992,84.1193
2/11/21,Ohio,65338,931437,18042,848058,Feb,6.5338,93.1437,1.8042,84.8058
2/12/21,Ohio,64997,934742,18093,851653,Feb,6.4997,93.4742,1.8093,85.1653
2/13/21,Ohio,63679,937541,18129,855734,Feb,6.3679,93.7541,1.8129,85.5734
2/14/21,Ohio,61958,939350,18172,859221,Feb,6.1958,93.935,1.8172,85.9221
2/15/21,Ohio,60711,941265,18227,862328,Feb,6.0711,94.1265,1.8227,86.2328
2/16/21,Ohio,57388,943291,18277,867627,Feb,5.7388,94.3291,1.8277,86.7627
2/17/21,Ohio,54502,945107,18324,872282,Feb,5.4502,94.5107,1.8324,87.2282
2/18/21,Ohio,52330,947389,18363,876697,Feb,5.233,94.7389,1.8363,87.6697
2/19/21,Ohio,50675,949695,18408,880613,Feb,5.0675,94.9695,1.8408,88.0613
2/20/21,Ohio,48984,952306,18446,884877,Feb,4.8984,95.2306,1.8446,88.4877
2/21/21,Ohio,47676,953767,18480,887612,Feb,4.7676,95.3767,1.848,88.7612
2/22/21,Ohio,46902,955378,18518,889959,Feb,4.6902,95.5378,1.8518,88.9959
2/23/21,Ohio,45498,958153,18543,894113,Feb,4.5498,95.8153,1.8543,89.4113
2/24/21,Ohio,43997,959995,18574,897425,Feb,4.3997,95.9995,1.8574,89.7425
2/25/21,Ohio,42771,962404,18609,901025,Feb,4.2771,96.2404,1.8609,90.1025
2/26/21,Ohio,41471,964380,18640,904270,Feb,4.1471,96.438,1.864,90.427
2/27/21,Ohio,40077,966154,18668,907410,Feb,4.0077,96.6154,1.8668,90.741
2/28/21,Ohio,39204,967422,18696,909524,Feb,3.9204,96.7422,1.8696,90.9524
3/1/21,Ohio,38677,968874,18725,911474,Mar,3.8677,96.8874,1.8725,91.1474
3/2/21,Ohio,36938,970583,18754,914893,Mar,3.6938,97.0583,1.8754,91.4893
3/3/21,Ohio,37231,972605,18784,916592,Mar,3.7231,97.2605,1.8784,91.6592
3/4/21,Ohio,36375,974480,18811,919296,Mar,3.6375,97.448,1.8811,91.9296
3/5/21,Ohio,35689,976230,18837,921707,Mar,3.5689,97.623,1.8837,92.1707
3/6/21,Ohio,37174,977736,18858,921707,Mar,3.7174,97.7736,1.8858,92.1707
3/7/21,Ohio,,978471,18884,,Mar,0,97.8471,1.8884,0
3/8/21,Ohio,,979725,18907,,Mar,0,97.9725,1.8907,0
3/9/21,Ohio,,981618,18929,,Mar,0,98.1618,1.8929,0
3/10/21,Ohio,,983486,18954,,Mar,0,98.3486,1.8954,0
3/11/21,Ohio,,984934,18975,,Mar,0,98.4934,1.8975,0
3/12/21,Ohio,,986740,18998,,Mar,0,98.674,1.8998,0
3/13/21,Ohio,,988298,19022,,Mar,0,98.8298,1.9022,0
3/14/21,Ohio,,989191,19037,,Mar,0,98.9191,1.9037,0
3/15/21,Ohio,,990340,19055,,Mar,0,99.034,1.9055,0
3/16/21,Ohio,,992223,19069,,Mar,0,99.2223,1.9069,0
3/17/21,Ohio,,993681,19085,,Mar,0,99.3681,1.9085,0
3/18/21,Ohio,,995785,19102,,Mar,0,99.5785,1.9102,0
3/19/21,Ohio,,997336,19124,,Mar,0,99.7336,1.9124,0
3/20/21,Ohio,,998819,19140,,Mar,0,99.8819,1.914,0
3/21/21,Ohio,,999750,19157,,Mar,0,99.975,1.9157,0
3/22/21,Ohio,,1001194,19171,,Mar,0,100.1194,1.9171,0
3/23/21,Ohio,,1002822,19183,,Mar,0,100.2822,1.9183,0
3/24/21,Ohio,,1004670,19195,,Mar,0,100.467,1.9195,0
3/25/21,Ohio,,1006171,19215,,Mar,0,100.6171,1.9215,0
3/26/21,Ohio,,1008913,19229,,Mar,0,100.8913,1.9229,0
3/27/21,Ohio,,1010603,19243,,Mar,0,101.0603,1.9243,0
3/28/21,Ohio,,1011622,19255,,Mar,0,101.1622,1.9255,0
3/29/21,Ohio,,1013119,19267,,Mar,0,101.3119,1.9267,0
3/30/21,Ohio,,1015577,19279,,Mar,0,101.5577,1.9279,0
3/31/21,Ohio,,1017566,19297,,Mar,0,101.7566,1.9297,0
4/1/21,Ohio,,1020041,19311,,Apr,0,102.0041,1.9311,0
4/2/21,Ohio,,1021718,19333,,Apr,0,102.1718,1.9333,0
4/3/21,Ohio,,1024011,19342,,Apr,0,102.4011,1.9342,0
4/4/21,Ohio,,1024011,19362,,Apr,0,102.4011,1.9362,0
4/5/21,Ohio,,1026929,19375,,Apr,0,102.6929,1.9375,0
4/6/21,Ohio,,1028800,19402,,Apr,0,102.88,1.9402,0
4/7/21,Ohio,,1030864,19426,,Apr,0,103.0864,1.9426,0
4/8/21,Ohio,,1033606,19449,,Apr,0,103.3606,1.9449,0
4/9/21,Ohio,,1035552,19469,,Apr,0,103.5552,1.9469,0
4/10/21,Ohio,,1037600,19478,,Apr,0,103.76,1.9478,0
4/11/21,Ohio,,1039455,19499,,Apr,0,103.9455,1.9499,0
4/12/21,Ohio,,1041389,19509,,Apr,0,104.1389,1.9509,0
4/13/21,Ohio,,1043729,19520,,Apr,0,104.3729,1.952,0
4/14/21,Ohio,,1045945,19540,,Apr,0,104.5945,1.954,0
4/15/21,Ohio,,1048109,19556,,Apr,0,104.8109,1.9556,0
4/16/21,Ohio,,1050112,19567,,Apr,0,105.0112,1.9567,0
4/17/21,Ohio,,1052099,19585,,Apr,0,105.2099,1.9585,0
4/18/21,Ohio,,1053175,19609,,Apr,0,105.3175,1.9609,0
4/19/21,Ohio,,1054807,19636,,Apr,0,105.4807,1.9636,0
4/20/21,Ohio,,1056606,19655,,Apr,0,105.6606,1.9655,0
