Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,Oklahoma,32877,291209,2489,255843,Jan,3.2877,29.1209,0.2489,25.5843
1/2/21,Oklahoma,33975,296343,2527,259841,Jan,3.3975,29.6343,0.2527,25.9841
1/3/21,Oklahoma,36535,304375,2547,265293,Jan,3.6535,30.4375,0.2547,26.5293
1/4/21,Oklahoma,36966,307091,2552,267573,Jan,3.6966,30.7091,0.2552,26.7573
1/5/21,Oklahoma,34336,308600,2571,271693,Jan,3.4336,30.86,0.2571,27.1693
1/6/21,Oklahoma,34634,311924,2633,274657,Jan,3.4634,31.1924,0.2633,27.4657
1/7/21,Oklahoma,35230,315730,2672,277828,Jan,3.523,31.573,0.2672,27.7828
1/8/21,Oklahoma,37841,320974,2703,280430,Jan,3.7841,32.0974,0.2703,28.043
1/9/21,Oklahoma,40670,325277,2738,281869,Jan,4.067,32.5277,0.2738,28.1869
1/10/21,Oklahoma,43369,331775,2761,285645,Jan,4.3369,33.1775,0.2761,28.5645
1/11/21,Oklahoma,43595,335679,2775,289309,Jan,4.3595,33.5679,0.2775,28.9309
1/12/21,Oklahoma,40467,337900,2804,294629,Jan,4.0467,33.79,0.2804,29.4629
1/13/21,Oklahoma,39597,341820,2848,299375,Jan,3.9597,34.182,0.2848,29.9375
1/14/21,Oklahoma,38611,344969,2882,303476,Jan,3.8611,34.4969,0.2882,30.3476
1/15/21,Oklahoma,38714,348513,2925,306874,Jan,3.8714,34.8513,0.2925,30.6874
1/16/21,Oklahoma,40136,352145,2952,309057,Jan,4.0136,35.2145,0.2952,30.9057
1/17/21,Oklahoma,40608,355478,2987,311883,Jan,4.0608,35.5478,0.2987,31.1883
1/18/21,Oklahoma,40103,357333,2994,314236,Jan,4.0103,35.7333,0.2994,31.4236
1/19/21,Oklahoma,36671,358909,3037,319201,Jan,3.6671,35.8909,0.3037,31.9201
1/20/21,Oklahoma,34588,360913,3085,323240,Jan,3.4588,36.0913,0.3085,32.324
1/21/21,Oklahoma,33339,363614,3140,327135,Jan,3.3339,36.3614,0.314,32.7135
1/22/21,Oklahoma,32911,366576,3187,330478,Jan,3.2911,36.6576,0.3187,33.0478
1/23/21,Oklahoma,32877,370751,3231,334643,Jan,3.2877,37.0751,0.3231,33.4643
1/24/21,Oklahoma,33196,373703,3279,337228,Jan,3.3196,37.3703,0.3279,33.7228
1/25/21,Oklahoma,33180,375487,3293,339014,Jan,3.318,37.5487,0.3293,33.9014
1/26/21,Oklahoma,31059,377079,3323,342697,Jan,3.1059,37.7079,0.3323,34.2697
1/27/21,Oklahoma,30534,379789,3388,345867,Jan,3.0534,37.9789,0.3388,34.5867
1/28/21,Oklahoma,29861,382120,3423,348836,Jan,2.9861,38.212,0.3423,34.8836
1/29/21,Oklahoma,29905,384921,3471,351545,Jan,2.9905,38.4921,0.3471,35.1545
1/30/21,Oklahoma,29580,387307,3504,354223,Jan,2.958,38.7307,0.3504,35.4223
1/31/21,Oklahoma,30264,390197,3547,356386,Jan,3.0264,39.0197,0.3547,35.6386
2/1/21,Oklahoma,30007,391611,3564,358040,Feb,3.0007,39.1611,0.3564,35.804
2/2/21,Oklahoma,28619,392923,3602,360702,Feb,2.8619,39.2923,0.3602,36.0702
2/3/21,Oklahoma,27600,395062,3654,363808,Feb,2.76,39.5062,0.3654,36.3808
2/4/21,Oklahoma,27728,397858,3681,366449,Feb,2.7728,39.7858,0.3681,36.6449
2/5/21,Oklahoma,27539,400527,3710,369278,Feb,2.7539,40.0527,0.371,36.9278
2/6/21,Oklahoma,27093,402590,3761,371736,Feb,2.7093,40.259,0.3761,37.1736
2/7/21,Oklahoma,27479,404782,3813,373490,Feb,2.7479,40.4782,0.3813,37.349
2/8/21,Oklahoma,27072,405839,3817,374950,Feb,2.7072,40.5839,0.3817,37.495
2/9/21,Oklahoma,25372,406920,3870,377678,Feb,2.5372,40.692,0.387,37.7678
2/10/21,Oklahoma,24525,408592,3900,380167,Feb,2.4525,40.8592,0.39,38.0167
2/11/21,Oklahoma,23998,410288,3948,382342,Feb,2.3998,41.0288,0.3948,38.2342
2/12/21,Oklahoma,23370,411727,3959,384398,Feb,2.337,41.1727,0.3959,38.4398
2/13/21,Oklahoma,22787,413201,3994,386420,Feb,2.2787,41.3201,0.3994,38.642
2/14/21,Oklahoma,22617,414478,4024,387837,Feb,2.2617,41.4478,0.4024,38.7837
2/15/21,Oklahoma,22134,415210,4041,389035,Feb,2.2134,41.521,0.4041,38.9035
2/16/21,Oklahoma,20509,415726,4061,391156,Feb,2.0509,41.5726,0.4061,39.1156
2/17/21,Oklahoma,19547,416805,4089,393169,Feb,1.9547,41.6805,0.4089,39.3169
2/18/21,Oklahoma,18362,417442,4112,394968,Feb,1.8362,41.7442,0.4112,39.4968
2/19/21,Oklahoma,17451,418319,4132,396736,Feb,1.7451,41.8319,0.4132,39.6736
2/20/21,Oklahoma,16580,419298,4155,398563,Feb,1.658,41.9298,0.4155,39.8563
2/21/21,Oklahoma,16347,420345,4181,399817,Feb,1.6347,42.0345,0.4181,39.9817
2/22/21,Oklahoma,16056,420856,4203,400597,Feb,1.6056,42.0856,0.4203,40.0597
2/23/21,Oklahoma,15051,421223,4227,401945,Feb,1.5051,42.1223,0.4227,40.1945
2/24/21,Oklahoma,14615,422038,4264,403159,Feb,1.4615,42.2038,0.4264,40.3159
2/25/21,Oklahoma,14579,423191,4302,404310,Feb,1.4579,42.3191,0.4302,40.431
2/26/21,Oklahoma,14375,424062,4320,405367,Feb,1.4375,42.4062,0.432,40.5367
2/27/21,Oklahoma,13970,424843,4379,406494,Feb,1.397,42.4843,0.4379,40.6494
2/28/21,Oklahoma,13817,425557,4428,407312,Feb,1.3817,42.5557,0.4428,40.7312
3/1/21,Oklahoma,13803,425946,4478,407665,Mar,1.3803,42.5946,0.4478,40.7665
3/2/21,Oklahoma,13597,426065,4534,407934,Mar,1.3597,42.6065,0.4534,40.7934
