Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,Oregon,106562,113909,1477,5870,Jan,10.6562,11.3909,0.1477,0.587
1/2/21,Oregon,108986,116348,1492,5870,Jan,10.8986,11.6348,0.1492,0.587
1/3/21,Oregon,110375,117745,1500,5870,Jan,11.0375,11.7745,0.15,0.587
1/4/21,Oregon,111077,118453,1506,5870,Jan,11.1077,11.8453,0.1506,0.587
1/5/21,Oregon,112068,119488,1550,5870,Jan,11.2068,11.9488,0.155,0.587
1/6/21,Oregon,112795,120223,1558,5870,Jan,11.2795,12.0223,0.1558,0.587
1/7/21,Oregon,113647,121085,1568,5870,Jan,11.3647,12.1085,0.1568,0.587
1/8/21,Oregon,115402,122847,1575,5870,Jan,11.5402,12.2847,0.1575,0.587
1/9/21,Oregon,117003,124476,1603,5870,Jan,11.7003,12.4476,0.1603,0.587
1/10/21,Oregon,118209,125683,1604,5870,Jan,11.8209,12.5683,0.1604,0.587
1/11/21,Oregon,119124,126607,1613,5870,Jan,11.9124,12.6607,0.1613,0.587
1/12/21,Oregon,120243,127780,1667,5870,Jan,12.0243,12.778,0.1667,0.587
1/13/21,Oregon,121531,129109,1708,5870,Jan,12.1531,12.9109,0.1708,0.587
1/14/21,Oregon,122639,130246,1737,5870,Jan,12.2639,13.0246,0.1737,0.587
1/15/21,Oregon,123630,131258,1758,5870,Jan,12.363,13.1258,0.1758,0.587
1/16/21,Oregon,124743,132412,1799,5870,Jan,12.4743,13.2412,0.1799,0.587
1/17/21,Oregon,125535,133205,1800,5870,Jan,12.5535,13.3205,0.18,0.587
8/9/21,Oregon,,230103,2903,,Aug,0,23.0103,0.2903,0
8/10/21,Oregon,,232436,2912,,Aug,0,23.2436,0.2912,0
8/11/21,Oregon,,234393,2920,,Aug,0,23.4393,0.292,0
8/12/21,Oregon,,236698,2928,,Aug,0,23.6698,0.2928,0
8/13/21,Oregon,,238463,2935,,Aug,0,23.8463,0.2935,0
8/14/21,Oregon,,238463,2935,,Aug,0,23.8463,0.2935,0
8/15/21,Oregon,,238463,2935,,Aug,0,23.8463,0.2935,0
8/16/21,Oregon,,242843,2949,,Aug,0,24.2843,0.2949,0
8/17/21,Oregon,,245758,2964,,Aug,0,24.5758,0.2964,0
8/18/21,Oregon,,247866,2975,,Aug,0,24.7866,0.2975,0
8/19/21,Oregon,,250835,2994,,Aug,0,25.0835,0.2994,0
8/20/21,Oregon,,252977,3012,,Aug,0,25.2977,0.3012,0
8/21/21,Oregon,,252977,3012,,Aug,0,25.2977,0.3012,0
8/22/21,Oregon,,252977,3012,,Aug,0,25.2977,0.3012,0
8/23/21,Oregon,,257644,3036,,Aug,0,25.7644,0.3036,0
8/24/21,Oregon,,260425,3066,,Aug,0,26.0425,0.3066,0
8/25/21,Oregon,,263164,3086,,Aug,0,26.3164,0.3086,0
8/26/21,Oregon,,265210,3095,,Aug,0,26.521,0.3095,0
8/27/21,Oregon,,268401,3115,,Aug,0,26.8401,0.3115,0
8/28/21,Oregon,,268401,3115,,Aug,0,26.8401,0.3115,0
8/29/21,Oregon,,268401,3115,,Aug,0,26.8401,0.3115,0
8/30/21,Oregon,,273896,3155,,Aug,0,27.3896,0.3155,0
8/31/21,Oregon,,276287,3198,,Aug,0,27.6287,0.3198,0
9/1/21,Oregon,,279087,3221,,Sep,0,27.9087,0.3221,0
9/2/21,Oregon,,281513,3248,,Sep,0,28.1513,0.3248,0
9/3/21,Oregon,,283873,3272,,Sep,0,28.3873,0.3272,0
9/4/21,Oregon,,283873,3272,,Sep,0,28.3873,0.3272,0
9/5/21,Oregon,,283873,3272,,Sep,0,28.3873,0.3272,0
9/6/21,Oregon,,283873,3272,,Sep,0,28.3873,0.3272,0
9/7/21,Oregon,,289388,3312,,Sep,0,28.9388,0.3312,0
9/8/21,Oregon,,291978,3373,,Sep,0,29.1978,0.3373,0
9/9/21,Oregon,,294392,3394,,Sep,0,29.4392,0.3394,0
9/10/21,Oregon,,296825,3414,,Sep,0,29.6825,0.3414,0
9/11/21,Oregon,,296825,3414,,Sep,0,29.6825,0.3414,0
9/12/21,Oregon,,296825,3414,,Sep,0,29.6825,0.3414,0
9/13/21,Oregon,,301504,3446,,Sep,0,30.1504,0.3446,0
9/14/21,Oregon,,303532,3490,,Sep,0,30.3532,0.349,0
9/15/21,Oregon,,305560,3536,,Sep,0,30.556,0.3536,0
9/16/21,Oregon,,307768,3547,,Sep,0,30.7768,0.3547,0
9/17/21,Oregon,,309841,3569,,Sep,0,30.9841,0.3569,0
9/18/21,Oregon,,309841,3569,,Sep,0,30.9841,0.3569,0
9/19/21,Oregon,,309841,3569,,Sep,0,30.9841,0.3569,0
9/20/21,Oregon,,313161,3594,,Sep,0,31.3161,0.3594,0
9/21/21,Oregon,,314841,3624,,Sep,0,31.4841,0.3624,0
