Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,Pennsylvania,211809,657071,16245,429017,Jan,21.1809,65.7071,1.6245,42.9017
1/2/21,Pennsylvania,195162,664966,16273,453531,Jan,19.5162,66.4966,1.6273,45.3531
1/3/21,Pennsylvania,199956,669818,16331,453531,Jan,19.9956,66.9818,1.6331,45.3531
1/4/21,Pennsylvania,191449,673448,16432,465567,Jan,19.1449,67.3448,1.6432,46.5567
1/5/21,Pennsylvania,193811,682182,16631,471740,Jan,19.3811,68.2182,1.6631,47.174
1/6/21,Pennsylvania,189916,692111,16989,485206,Jan,18.9916,69.2111,1.6989,48.5206
1/7/21,Pennsylvania,185305,701578,17251,499022,Jan,18.5305,70.1578,1.7251,49.9022
1/8/21,Pennsylvania,181301,712142,17458,513383,Jan,18.1301,71.2142,1.7458,51.3383
1/9/21,Pennsylvania,183620,721820,17710,520490,Jan,18.362,72.182,1.771,52.049
1/10/21,Pennsylvania,190839,729133,17804,520490,Jan,19.0839,72.9133,1.7804,52.049
1/11/21,Pennsylvania,179124,734369,17892,537353,Jan,17.9124,73.4369,1.7892,53.7353
1/12/21,Pennsylvania,181102,741976,18137,542737,Jan,18.1102,74.1976,1.8137,54.2737
1/13/21,Pennsylvania,175635,750160,18484,556041,Jan,17.5635,75.016,1.8484,55.6041
1/14/21,Pennsylvania,168999,756691,18784,568908,Jan,16.8999,75.6691,1.8784,56.8908
1/15/21,Pennsylvania,170935,763448,19009,573504,Jan,17.0935,76.3448,1.9009,57.3504
1/16/21,Pennsylvania,172174,770347,19223,578950,Jan,17.2174,77.0347,1.9223,57.895
1/17/21,Pennsylvania,177846,776132,19336,578950,Jan,17.7846,77.6132,1.9336,57.895
1/18/21,Pennsylvania,166380,780111,19411,594320,Jan,16.638,78.0111,1.9411,59.432
1/19/21,Pennsylvania,167816,785743,19494,598433,Jan,16.7816,78.5743,1.9494,59.8433
1/20/21,Pennsylvania,160652,791405,19881,610872,Jan,16.0652,79.1405,1.9881,61.0872
1/21/21,Pennsylvania,161796,797222,20136,615290,Jan,16.1796,79.7222,2.0136,61.529
1/22/21,Pennsylvania,154866,802601,20340,627395,Jan,15.4866,80.2601,2.034,62.7395
1/23/21,Pennsylvania,155971,808464,20527,631966,Jan,15.5971,80.8464,2.0527,63.1966
1/24/21,Pennsylvania,159713,812285,20606,631966,Jan,15.9713,81.2285,2.0606,63.1966
1/25/21,Pennsylvania,157191,816073,20668,638214,Jan,15.7191,81.6073,2.0668,63.8214
1/26/21,Pennsylvania,158418,821184,20895,641871,Jan,15.8418,82.1184,2.0895,64.1871
1/27/21,Pennsylvania,150954,826760,21111,654695,Jan,15.0954,82.676,2.1111,65.4695
1/28/21,Pennsylvania,144688,833757,21301,667768,Jan,14.4688,83.3757,2.1301,66.7768
1/29/21,Pennsylvania,145132,842180,21470,675578,Jan,14.5132,84.218,2.147,67.5578
1/30/21,Pennsylvania,137904,847677,21598,688175,Jan,13.7904,84.7677,2.1598,68.8175
1/31/21,Pennsylvania,141803,851634,21656,688175,Jan,14.1803,85.1634,2.1656,68.8175
2/1/21,Pennsylvania,139513,854991,21695,693783,Feb,13.9513,85.4991,2.1695,69.3783
2/2/21,Pennsylvania,139524,858744,21820,697400,Feb,13.9524,85.8744,2.182,69.74
2/3/21,Pennsylvania,131424,861886,21961,708501,Feb,13.1424,86.1886,2.1961,70.8501
2/4/21,Pennsylvania,123289,865248,22091,719868,Feb,12.3289,86.5248,2.2091,71.9868
2/5/21,Pennsylvania,124249,870306,22251,723806,Feb,12.4249,87.0306,2.2251,72.3806
2/6/21,Pennsylvania,116286,874445,22396,735763,Feb,11.6286,87.4445,2.2396,73.5763
2/7/21,Pennsylvania,120600,878823,22460,735763,Feb,12.06,87.8823,2.246,73.5763
2/8/21,Pennsylvania,122934,881186,22489,735763,Feb,12.2934,88.1186,2.2489,73.5763
2/9/21,Pennsylvania,117649,885656,22631,745376,Feb,11.7649,88.5656,2.2631,74.5376
2/10/21,Pennsylvania,108935,888742,22757,757050,Feb,10.8935,88.8742,2.2757,75.705
2/11/21,Pennsylvania,109471,892813,22871,760471,Feb,10.9471,89.2813,2.2871,76.0471
2/12/21,Pennsylvania,100548,896305,22975,772782,Feb,10.0548,89.6305,2.2975,77.2782
2/13/21,Pennsylvania,100756,900165,23070,776339,Feb,10.0756,90.0165,2.307,77.6339
2/14/21,Pennsylvania,103202,902636,23095,776339,Feb,10.3202,90.2636,2.3095,77.6339
2/15/21,Pennsylvania,105068,904523,23116,776339,Feb,10.5068,90.4523,2.3116,77.6339
2/16/21,Pennsylvania,92476,906935,23131,791328,Feb,9.2476,90.6935,2.3131,79.1328
2/17/21,Pennsylvania,92791,910439,23316,794332,Feb,9.2791,91.0439,2.3316,79.4332
2/18/21,Pennsylvania,93043,913732,23414,797275,Feb,9.3043,91.3732,2.3414,79.7275
2/19/21,Pennsylvania,93319,916529,23490,799720,Feb,9.3319,91.6529,2.349,79.972
2/20/21,Pennsylvania,84484,919364,23565,811315,Feb,8.4484,91.9364,2.3565,81.1315
2/21/21,Pennsylvania,86378,921285,23592,811315,Feb,8.6378,92.1285,2.3592,81.1315
2/22/21,Pennsylvania,84814,922788,23608,814366,Feb,8.4814,92.2788,2.3608,81.4366
2/23/21,Pennsylvania,85101,925690,23705,816884,Feb,8.5101,92.569,2.3705,81.6884
2/24/21,Pennsylvania,76103,928456,23783,828570,Feb,7.6103,92.8456,2.3783,82.857
2/25/21,Pennsylvania,76356,930910,23863,830691,Feb,7.6356,93.091,2.3863,83.0691
2/26/21,Pennsylvania,76705,934328,23921,833702,Feb,7.6705,93.4328,2.3921,83.3702
2/27/21,Pennsylvania,77163,937812,23922,836727,Feb,7.7163,93.7812,2.3922,83.6727
2/28/21,Pennsylvania,78905,939627,23995,836727,Feb,7.8905,93.9627,2.3995,83.6727
3/1/21,Pennsylvania,68071,941357,24011,849275,Mar,6.8071,94.1357,2.4011,84.9275
3/2/21,Pennsylvania,68238,943933,24087,851608,Mar,6.8238,94.3933,2.4087,85.1608
3/3/21,Pennsylvania,77822,946543,24152,844569,Mar,7.7822,94.6543,2.4152,84.4569
3/4/21,Pennsylvania,68869,949808,24230,856709,Mar,6.8869,94.9808,2.423,85.6709
3/5/21,Pennsylvania,68991,952483,24274,859218,Mar,6.8991,95.2483,2.4274,85.9218
3/6/21,Pennsylvania,71809,955354,24327,859218,Mar,7.1809,95.5354,2.4327,85.9218
3/7/21,Pennsylvania,,956906,24356,,Mar,0,95.6906,2.4356,0
3/8/21,Pennsylvania,,958348,24368,,Mar,0,95.8348,2.4368,0
3/9/21,Pennsylvania,,961422,24413,,Mar,0,96.1422,2.4413,0
3/10/21,Pennsylvania,,964055,24452,,Mar,0,96.4055,2.4452,0
3/11/21,Pennsylvania,,966889,24492,,Mar,0,96.6889,2.4492,0
3/12/21,Pennsylvania,,970020,24524,,Mar,0,97.002,2.4524,0
3/13/21,Pennsylvania,,972895,24526,,Mar,0,97.2895,2.4526,0
3/14/21,Pennsylvania,,974818,24527,,Mar,0,97.4818,2.4527,0
3/15/21,Pennsylvania,,976234,24583,,Mar,0,97.6234,2.4583,0
3/16/21,Pennsylvania,,979407,24678,,Mar,0,97.9407,2.4678,0
3/17/21,Pennsylvania,,982700,24717,,Mar,0,98.27,2.4717,0
3/18/21,Pennsylvania,,985886,24739,,Mar,0,98.5886,2.4739,0
3/19/21,Pennsylvania,,989452,24775,,Mar,0,98.9452,2.4775,0
3/20/21,Pennsylvania,,993559,24802,,Mar,0,99.3559,2.4802,0
3/21/21,Pennsylvania,,995938,24816,,Mar,0,99.5938,2.4816,0
3/22/21,Pennsylvania,,997558,24793,,Mar,0,99.7558,2.4793,0
3/23/21,Pennsylvania,,1001113,24836,,Mar,0,100.1113,2.4836,0
3/24/21,Pennsylvania,,1006040,24872,,Mar,0,100.604,2.4872,0
3/25/21,Pennsylvania,,1009812,24913,,Mar,0,100.9812,2.4913,0
3/26/21,Pennsylvania,,1014897,24944,,Mar,0,101.4897,2.4944,0
3/27/21,Pennsylvania,,1019010,24972,,Mar,0,101.901,2.4972,0
3/28/21,Pennsylvania,,1022078,24984,,Mar,0,102.2078,2.4984,0
3/29/21,Pennsylvania,,1025019,25005,,Mar,0,102.5019,2.5005,0
3/30/21,Pennsylvania,,1030504,25043,,Mar,0,103.0504,2.5043,0
3/31/21,Pennsylvania,,1035020,25089,,Mar,0,103.502,2.5089,0
4/1/21,Pennsylvania,,1038949,25124,,Apr,0,103.8949,2.5124,0
4/2/21,Pennsylvania,,1043932,25148,,Apr,0,104.3932,2.5148,0
4/3/21,Pennsylvania,,1049425,25180,,Apr,0,104.9425,2.518,0
