Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,Puerto Rico,8603,77054,1521,66930,Jan,0.8603,7.7054,0.1521,6.693
1/2/21,Puerto Rico,8066,77932,1526,68340,Jan,0.8066,7.7932,0.1526,6.834
1/3/21,Puerto Rico,7963,78169,1545,68661,Jan,0.7963,7.8169,0.1545,6.8661
1/4/21,Puerto Rico,7551,78805,1555,69699,Jan,0.7551,7.8805,0.1555,6.9699
1/5/21,Puerto Rico,7383,79319,1562,70374,Jan,0.7383,7.9319,0.1562,7.0374
1/6/21,Puerto Rico,7668,79612,1570,70374,Jan,0.7668,7.9612,0.157,7.0374
1/7/21,Puerto Rico,7936,79898,1588,70374,Jan,0.7936,7.9898,0.1588,7.0374
1/8/21,Puerto Rico,7728,82067,1592,72747,Jan,0.7728,8.2067,0.1592,7.2747
1/9/21,Puerto Rico,8267,82630,1616,72747,Jan,0.8267,8.263,0.1616,7.2747
1/10/21,Puerto Rico,7729,83119,1630,73760,Jan,0.7729,8.3119,0.163,7.376
1/11/21,Puerto Rico,8066,83468,1642,73760,Jan,0.8066,8.3468,0.1642,7.376
1/12/21,Puerto Rico,9022,84427,1645,73760,Jan,0.9022,8.4427,0.1645,7.376
1/13/21,Puerto Rico,9220,84639,1659,73760,Jan,0.922,8.4639,0.1659,7.376
1/14/21,Puerto Rico,9377,84816,1679,73760,Jan,0.9377,8.4816,0.1679,7.376
1/15/21,Puerto Rico,10502,85954,1692,73760,Jan,1.0502,8.5954,0.1692,7.376
1/16/21,Puerto Rico,11060,86523,1703,73760,Jan,1.106,8.6523,0.1703,7.376
1/17/21,Puerto Rico,11918,87381,1703,73760,Jan,1.1918,8.7381,0.1703,7.376
1/18/21,Puerto Rico,12476,87939,1703,73760,Jan,1.2476,8.7939,0.1703,7.376
1/19/21,Puerto Rico,12910,88373,1703,73760,Jan,1.291,8.8373,0.1703,7.376
1/20/21,Puerto Rico,13036,88513,1717,73760,Jan,1.3036,8.8513,0.1717,7.376
1/21/21,Puerto Rico,13236,88728,1732,73760,Jan,1.3236,8.8728,0.1732,7.376
1/22/21,Puerto Rico,13761,89282,1761,73760,Jan,1.3761,8.9282,0.1761,7.376
1/23/21,Puerto Rico,14542,90073,1771,73760,Jan,1.4542,9.0073,0.1771,7.376
1/24/21,Puerto Rico,15495,91028,1773,73760,Jan,1.5495,9.1028,0.1773,7.376
1/25/21,Puerto Rico,11005,91596,1778,78813,Jan,1.1005,9.1596,0.1778,7.8813
1/26/21,Puerto Rico,11473,92069,1783,78813,Jan,1.1473,9.2069,0.1783,7.8813
1/27/21,Puerto Rico,11637,92244,1794,78813,Jan,1.1637,9.2244,0.1794,7.8813
