Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,Rhode Island,80624,87949,1944,5381,Jan,8.0624,8.7949,0.1944,0.5381
1/2/21,Rhode Island,80611,87949,1957,5381,Jan,8.0611,8.7949,0.1957,0.5381
1/3/21,Rhode Island,80594,87949,1974,5381,Jan,8.0594,8.7949,0.1974,0.5381
1/4/21,Rhode Island,85080,92708,1992,5636,Jan,8.508,9.2708,0.1992,0.5636
1/5/21,Rhode Island,86165,93852,2005,5682,Jan,8.6165,9.3852,0.2005,0.5682
1/6/21,Rhode Island,87696,95463,2024,5743,Jan,8.7696,9.5463,0.2024,0.5743
1/7/21,Rhode Island,88762,96591,2035,5794,Jan,8.8762,9.6591,0.2035,0.5794
1/8/21,Rhode Island,89706,97614,2048,5860,Jan,8.9706,9.7614,0.2048,0.586
1/9/21,Rhode Island,89692,97614,2062,5860,Jan,8.9692,9.7614,0.2062,0.586
1/10/21,Rhode Island,89680,97614,2074,5860,Jan,8.968,9.7614,0.2074,0.586
1/11/21,Rhode Island,92512,100607,2095,6000,Jan,9.2512,10.0607,0.2095,0.6
1/12/21,Rhode Island,93242,101393,2109,6042,Jan,9.3242,10.1393,0.2109,0.6042
1/13/21,Rhode Island,94264,102485,2120,6101,Jan,9.4264,10.2485,0.212,0.6101
1/14/21,Rhode Island,95081,103386,2130,6175,Jan,9.5081,10.3386,0.213,0.6175
1/15/21,Rhode Island,96068,104443,2146,6229,Jan,9.6068,10.4443,0.2146,0.6229
1/16/21,Rhode Island,96053,104443,2161,6229,Jan,9.6053,10.4443,0.2161,0.6229
1/17/21,Rhode Island,96045,104443,2169,6229,Jan,9.6045,10.4443,0.2169,0.6229
1/18/21,Rhode Island,96027,104443,2187,6229,Jan,9.6027,10.4443,0.2187,0.6229
1/19/21,Rhode Island,98422,107066,2199,6445,Jan,9.8422,10.7066,0.2199,0.6445
1/20/21,Rhode Island,99158,107876,2223,6495,Jan,9.9158,10.7876,0.2223,0.6495
1/21/21,Rhode Island,100001,108786,2232,6553,Jan,10.0001,10.8786,0.2232,0.6553
1/22/21,Rhode Island,100861,109735,2248,6626,Jan,10.0861,10.9735,0.2248,0.6626
1/23/21,Rhode Island,100853,109735,2256,6626,Jan,10.0853,10.9735,0.2256,0.6626
1/24/21,Rhode Island,100837,109735,2272,6626,Jan,10.0837,10.9735,0.2272,0.6626
1/25/21,Rhode Island,102691,111754,2285,6778,Jan,10.2691,11.1754,0.2285,0.6778
1/26/21,Rhode Island,103273,112396,2296,6827,Jan,10.3273,11.2396,0.2296,0.6827
1/27/21,Rhode Island,103844,113009,2303,6862,Jan,10.3844,11.3009,0.2303,0.6862
1/28/21,Rhode Island,104552,113754,2317,6885,Jan,10.4552,11.3754,0.2317,0.6885
1/29/21,Rhode Island,105173,114438,2324,6941,Jan,10.5173,11.4438,0.2324,0.6941
1/30/21,Rhode Island,105164,114438,2333,6941,Jan,10.5164,11.4438,0.2333,0.6941
1/31/21,Rhode Island,105156,114438,2341,6941,Jan,10.5156,11.4438,0.2341,0.6941
2/1/21,Rhode Island,106550,115956,2352,7054,Feb,10.655,11.5956,0.2352,0.7054
2/2/21,Rhode Island,106729,116191,2366,7096,Feb,10.6729,11.6191,0.2366,0.7096
2/3/21,Rhode Island,107188,116704,2380,7136,Feb,10.7188,11.6704,0.238,0.7136
2/4/21,Rhode Island,107722,117291,2387,7182,Feb,10.7722,11.7291,0.2387,0.7182
2/5/21,Rhode Island,108265,117891,2393,7233,Feb,10.8265,11.7891,0.2393,0.7233
2/6/21,Rhode Island,108258,117891,2400,7233,Feb,10.8258,11.7891,0.24,0.7233
2/7/21,Rhode Island,108246,117891,2412,7233,Feb,10.8246,11.7891,0.2412,0.7233
2/8/21,Rhode Island,109330,119104,2420,7354,Feb,10.933,11.9104,0.242,0.7354
2/9/21,Rhode Island,109622,119434,2427,7385,Feb,10.9622,11.9434,0.2427,0.7385
2/10/21,Rhode Island,110040,119893,2437,7416,Feb,11.004,11.9893,0.2437,0.7416
2/11/21,Rhode Island,110481,120381,2447,7453,Feb,11.0481,12.0381,0.2447,0.7453
2/12/21,Rhode Island,110873,120821,2452,7496,Feb,11.0873,12.0821,0.2452,0.7496
2/13/21,Rhode Island,110866,120821,2459,7496,Feb,11.0866,12.0821,0.2459,0.7496
2/14/21,Rhode Island,110863,120821,2462,7496,Feb,11.0863,12.0821,0.2462,0.7496
2/15/21,Rhode Island,111731,121787,2465,7591,Feb,11.1731,12.1787,0.2465,0.7591
2/16/21,Rhode Island,111992,122072,2473,7607,Feb,11.1992,12.2072,0.2473,0.7607
2/17/21,Rhode Island,112333,122440,2474,7633,Feb,11.2333,12.244,0.2474,0.7633
2/18/21,Rhode Island,112704,122859,2476,7679,Feb,11.2704,12.2859,0.2476,0.7679
2/19/21,Rhode Island,112958,123145,2482,7705,Feb,11.2958,12.3145,0.2482,0.7705
2/20/21,Rhode Island,112955,123145,2485,7705,Feb,11.2955,12.3145,0.2485,0.7705
2/21/21,Rhode Island,112952,123145,2488,7705,Feb,11.2952,12.3145,0.2488,0.7705
2/22/21,Rhode Island,113842,123980,2490,7648,Feb,11.3842,12.398,0.249,0.7648
2/23/21,Rhode Island,,124262,2495,,Feb,0,12.4262,0.2495,0
2/24/21,Rhode Island,,124718,2499,,Feb,0,12.4718,0.2499,0
2/25/21,Rhode Island,,125185,2502,,Feb,0,12.5185,0.2502,0
2/26/21,Rhode Island,,125622,2502,,Feb,0,12.5622,0.2502,0
2/27/21,Rhode Island,,125622,2502,,Feb,0,12.5622,0.2502,0
2/28/21,Rhode Island,,125622,2502,,Feb,0,12.5622,0.2502,0
3/1/21,Rhode Island,,126588,2517,,Mar,0,12.6588,0.2517,0
3/2/21,Rhode Island,,126849,2525,,Mar,0,12.6849,0.2525,0
3/3/21,Rhode Island,,127285,2534,,Mar,0,12.7285,0.2534,0
3/4/21,Rhode Island,,127727,2539,,Mar,0,12.7727,0.2539,0
3/5/21,Rhode Island,,128121,2541,,Mar,0,12.8121,0.2541,0
3/6/21,Rhode Island,,128121,2541,,Mar,0,12.8121,0.2541,0
3/7/21,Rhode Island,,128121,2541,,Mar,0,12.8121,0.2541,0
3/8/21,Rhode Island,,128981,2549,,Mar,0,12.8981,0.2549,0
3/9/21,Rhode Island,,129277,2556,,Mar,0,12.9277,0.2556,0
3/10/21,Rhode Island,,129595,2559,,Mar,0,12.9595,0.2559,0
3/11/21,Rhode Island,,130120,2563,,Mar,0,13.012,0.2563,0
3/12/21,Rhode Island,,130502,2567,,Mar,0,13.0502,0.2567,0
3/13/21,Rhode Island,,130502,2567,,Mar,0,13.0502,0.2567,0
3/14/21,Rhode Island,,130502,2567,,Mar,0,13.0502,0.2567,0
3/15/21,Rhode Island,,131487,2576,,Mar,0,13.1487,0.2576,0
3/16/21,Rhode Island,,131750,2583,,Mar,0,13.175,0.2583,0
3/17/21,Rhode Island,,132184,2588,,Mar,0,13.2184,0.2588,0
3/18/21,Rhode Island,,132616,2594,,Mar,0,13.2616,0.2594,0
