Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,South Carolina,151127,307507,5296,151084,Jan,15.1127,30.7507,0.5296,15.1084
1/2/21,South Carolina,154798,312718,5385,152535,Jan,15.4798,31.2718,0.5385,15.2535
1/3/21,South Carolina,161257,321669,5469,154943,Jan,16.1257,32.1669,0.5469,15.4943
1/4/21,South Carolina,163898,325472,5484,156090,Jan,16.3898,32.5472,0.5484,15.609
1/5/21,South Carolina,165469,328073,5498,157106,Jan,16.5469,32.8073,0.5498,15.7106
1/6/21,South Carolina,169380,333235,5582,158273,Jan,16.938,33.3235,0.5582,15.8273
1/7/21,South Carolina,172751,338112,5661,159700,Jan,17.2751,33.8112,0.5661,15.97
1/8/21,South Carolina,173906,344176,5695,164575,Jan,17.3906,34.4176,0.5695,16.4575
1/9/21,South Carolina,181875,350084,5758,162451,Jan,18.1875,35.0084,0.5758,16.2451
1/10/21,South Carolina,184998,354525,5811,163716,Jan,18.4998,35.4525,0.5811,16.3716
1/11/21,South Carolina,186523,357654,5826,165305,Jan,18.6523,35.7654,0.5826,16.5305
1/12/21,South Carolina,186773,359357,5860,166724,Jan,18.6773,35.9357,0.586,16.6724
1/13/21,South Carolina,191027,365378,5911,168440,Jan,19.1027,36.5378,0.5911,16.844
1/14/21,South Carolina,195174,371180,5934,170072,Jan,19.5174,37.118,0.5934,17.0072
1/15/21,South Carolina,198391,375967,6037,171539,Jan,19.8391,37.5967,0.6037,17.1539
1/16/21,South Carolina,203239,382422,6108,173075,Jan,20.3239,38.2422,0.6108,17.3075
1/17/21,South Carolina,207241,388184,6237,174706,Jan,20.7241,38.8184,0.6237,17.4706
1/18/21,South Carolina,209087,391464,6248,176129,Jan,20.9087,39.1464,0.6248,17.6129
1/19/21,South Carolina,210321,394318,6259,177738,Jan,21.0321,39.4318,0.6259,17.7738
1/20/21,South Carolina,213883,399843,6328,179632,Jan,21.3883,39.9843,0.6328,17.9632
