Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,South Dakota,5696,99164,1488,91980,Jan,0.5696,9.9164,0.1488,9.198
1/2/21,South Dakota,5733,99829,1501,92595,Jan,0.5733,9.9829,0.1501,9.2595
1/3/21,South Dakota,5988,100532,1513,93031,Jan,0.5988,10.0532,0.1513,9.3031
1/4/21,South Dakota,6031,100643,1513,93099,Jan,0.6031,10.0643,0.1513,9.3099
1/5/21,South Dakota,6034,101076,1513,93529,Jan,0.6034,10.1076,0.1513,9.3529
1/6/21,South Dakota,6387,101684,1519,93778,Jan,0.6387,10.1684,0.1519,9.3778
1/7/21,South Dakota,6075,102132,1544,94513,Jan,0.6075,10.2132,0.1544,9.4513
1/8/21,South Dakota,5241,102580,1556,95783,Jan,0.5241,10.258,0.1556,9.5783
1/9/21,South Dakota,5040,102901,1570,96291,Jan,0.504,10.2901,0.157,9.6291
1/10/21,South Dakota,5040,103318,1585,96693,Jan,0.504,10.3318,0.1585,9.6693
1/11/21,South Dakota,5102,103499,1585,96812,Jan,0.5102,10.3499,0.1585,9.6812
1/12/21,South Dakota,4751,103743,1585,97407,Jan,0.4751,10.3743,0.1585,9.7407
1/13/21,South Dakota,4762,104195,1604,97829,Jan,0.4762,10.4195,0.1604,9.7829
1/14/21,South Dakota,4728,104512,1614,98170,Jan,0.4728,10.4512,0.1614,9.817
1/15/21,South Dakota,4732,104937,1629,98576,Jan,0.4732,10.4937,0.1629,9.8576
1/16/21,South Dakota,4837,105278,1633,98808,Jan,0.4837,10.5278,0.1633,9.8808
1/17/21,South Dakota,4662,105544,1656,99226,Jan,0.4662,10.5544,0.1656,9.9226
1/18/21,South Dakota,4613,105659,1667,99379,Jan,0.4613,10.5659,0.1667,9.9379
1/19/21,South Dakota,4232,105786,1667,99887,Jan,0.4232,10.5786,0.1667,9.9887
1/20/21,South Dakota,4103,106063,1667,100293,Jan,0.4103,10.6063,0.1667,10.0293
1/21/21,South Dakota,4089,106400,1673,100638,Jan,0.4089,10.64,0.1673,10.0638
1/22/21,South Dakota,4090,106716,1684,100942,Jan,0.409,10.6716,0.1684,10.0942
1/23/21,South Dakota,4021,106963,1696,101246,Jan,0.4021,10.6963,0.1696,10.1246
1/24/21,South Dakota,4005,107148,1705,101438,Jan,0.4005,10.7148,0.1705,10.1438
1/25/21,South Dakota,3678,107180,1705,101797,Jan,0.3678,10.718,0.1705,10.1797
1/26/21,South Dakota,3428,107380,1705,102247,Jan,0.3428,10.738,0.1705,10.2247
1/27/21,South Dakota,3238,107608,1739,102631,Jan,0.3238,10.7608,0.1739,10.2631
1/28/21,South Dakota,3137,107795,1763,102895,Jan,0.3137,10.7795,0.1763,10.2895
1/29/21,South Dakota,3060,107955,1768,103127,Jan,0.306,10.7955,0.1768,10.3127
1/30/21,South Dakota,2894,108070,1775,103401,Jan,0.2894,10.807,0.1775,10.3401
1/31/21,South Dakota,2833,108250,1778,103639,Jan,0.2833,10.825,0.1778,10.3639
2/1/21,South Dakota,2828,108315,1778,103709,Feb,0.2828,10.8315,0.1778,10.3709
2/2/21,South Dakota,2600,108431,1779,104052,Feb,0.26,10.8431,0.1779,10.4052
2/3/21,South Dakota,2552,108639,1782,104305,Feb,0.2552,10.8639,0.1782,10.4305
2/4/21,South Dakota,2517,108813,1788,104508,Feb,0.2517,10.8813,0.1788,10.4508
2/5/21,South Dakota,2430,108944,1798,104716,Feb,0.243,10.8944,0.1798,10.4716
2/6/21,South Dakota,2372,109132,1804,104956,Feb,0.2372,10.9132,0.1804,10.4956
2/7/21,South Dakota,2316,109229,1809,105104,Feb,0.2316,10.9229,0.1809,10.5104
2/8/21,South Dakota,2308,109283,1809,105166,Feb,0.2308,10.9283,0.1809,10.5166
2/9/21,South Dakota,2244,109405,1809,105352,Feb,0.2244,10.9405,0.1809,10.5352
2/10/21,South Dakota,2151,109580,1815,105614,Feb,0.2151,10.958,0.1815,10.5614
2/11/21,South Dakota,2209,109859,1829,105821,Feb,0.2209,10.9859,0.1829,10.5821
2/12/21,South Dakota,2180,110068,1831,106057,Feb,0.218,11.0068,0.1831,10.6057
2/13/21,South Dakota,2119,110205,1838,106248,Feb,0.2119,11.0205,0.1838,10.6248
2/14/21,South Dakota,2073,110315,1844,106398,Feb,0.2073,11.0315,0.1844,10.6398
2/15/21,South Dakota,2092,110376,1844,106440,Feb,0.2092,11.0376,0.1844,10.644
2/16/21,South Dakota,2204,110593,1844,106545,Feb,0.2204,11.0593,0.1844,10.6545
2/17/21,South Dakota,2072,110685,1844,106769,Feb,0.2072,11.0685,0.1844,10.6769
2/18/21,South Dakota,2068,110871,1847,106956,Feb,0.2068,11.0871,0.1847,10.6956
2/19/21,South Dakota,2028,111018,1853,107137,Feb,0.2028,11.1018,0.1853,10.7137
2/20/21,South Dakota,1997,111165,1859,107309,Feb,0.1997,11.1165,0.1859,10.7309
2/21/21,South Dakota,1966,111304,1863,107475,Feb,0.1966,11.1304,0.1863,10.7475
2/22/21,South Dakota,1933,111334,1863,107538,Feb,0.1933,11.1334,0.1863,10.7538
2/23/21,South Dakota,1938,111546,1863,107745,Feb,0.1938,11.1546,0.1863,10.7745
2/24/21,South Dakota,1891,111808,1864,108053,Feb,0.1891,11.1808,0.1864,10.8053
2/25/21,South Dakota,1948,111964,1872,108144,Feb,0.1948,11.1964,0.1872,10.8144
2/26/21,South Dakota,1944,112107,1879,108284,Feb,0.1944,11.2107,0.1879,10.8284
2/27/21,South Dakota,1910,112293,1886,108497,Feb,0.191,11.2293,0.1886,10.8497
2/28/21,South Dakota,1933,112427,1888,108606,Feb,0.1933,11.2427,0.1888,10.8606
3/1/21,South Dakota,1918,112470,1888,108664,Mar,0.1918,11.247,0.1888,10.8664
3/2/21,South Dakota,1975,112652,1888,108789,Mar,0.1975,11.2652,0.1888,10.8789
3/3/21,South Dakota,1993,112833,1893,108947,Mar,0.1993,11.2833,0.1893,10.8947
3/4/21,South Dakota,2056,113065,1896,109113,Mar,0.2056,11.3065,0.1896,10.9113
3/5/21,South Dakota,2096,113229,1896,109237,Mar,0.2096,11.3229,0.1896,10.9237
3/6/21,South Dakota,2243,113378,1898,109237,Mar,0.2243,11.3378,0.1898,10.9237
3/7/21,South Dakota,,113589,1900,,Mar,0,11.3589,0.19,0
3/8/21,South Dakota,,113596,1901,,Mar,0,11.3596,0.1901,0
3/9/21,South Dakota,,113753,1901,,Mar,0,11.3753,0.1901,0
3/10/21,South Dakota,,113962,1904,,Mar,0,11.3962,0.1904,0
3/11/21,South Dakota,,114163,1905,,Mar,0,11.4163,0.1905,0
3/12/21,South Dakota,,114347,1907,,Mar,0,11.4347,0.1907,0
3/13/21,South Dakota,,114493,1909,,Mar,0,11.4493,0.1909,0
3/14/21,South Dakota,,114623,1912,,Mar,0,11.4623,0.1912,0
3/15/21,South Dakota,,114649,1912,,Mar,0,11.4649,0.1912,0
3/16/21,South Dakota,,114791,1912,,Mar,0,11.4791,0.1912,0
3/17/21,South Dakota,,114966,1915,,Mar,0,11.4966,0.1915,0
3/18/21,South Dakota,,115203,1919,,Mar,0,11.5203,0.1919,0
3/19/21,South Dakota,,115518,1919,,Mar,0,11.5518,0.1919,0
3/20/21,South Dakota,,115723,1922,,Mar,0,11.5723,0.1922,0
3/21/21,South Dakota,,115867,1923,,Mar,0,11.5867,0.1923,0
3/22/21,South Dakota,,115972,1923,,Mar,0,11.5972,0.1923,0
3/23/21,South Dakota,,116100,1923,,Mar,0,11.61,0.1923,0
3/24/21,South Dakota,,116370,1924,,Mar,0,11.637,0.1924,0
3/25/21,South Dakota,,116624,1927,,Mar,0,11.6624,0.1927,0
3/26/21,South Dakota,,116833,1928,,Mar,0,11.6833,0.1928,0
3/27/21,South Dakota,,117081,1933,,Mar,0,11.7081,0.1933,0
3/28/21,South Dakota,,117244,1933,,Mar,0,11.7244,0.1933,0
