Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,Tennessee,76463,592176,6955,508914,Jan,7.6463,59.2176,0.6955,50.8914
1/2/21,Tennessee,69462,599369,6970,523089,Jan,6.9462,59.9369,0.697,52.3089
1/3/21,Tennessee,69039,602874,7025,526966,Jan,6.9039,60.2874,0.7025,52.6966
1/4/21,Tennessee,69411,606916,7168,530494,Jan,6.9411,60.6916,0.7168,53.0494
1/5/21,Tennessee,68992,615315,7267,539207,Jan,6.8992,61.5315,0.7267,53.9207
1/6/21,Tennessee,66598,622667,7381,548838,Jan,6.6598,62.2667,0.7381,54.8838
1/7/21,Tennessee,67023,629997,7492,555634,Jan,6.7023,62.9997,0.7492,55.5634
1/8/21,Tennessee,68958,636051,7618,559625,Jan,6.8958,63.6051,0.7618,55.9625
1/9/21,Tennessee,75063,643256,7704,560642,Jan,7.5063,64.3256,0.7704,56.0642
1/10/21,Tennessee,75800,648625,7785,565197,Jan,7.58,64.8625,0.7785,56.5197
1/11/21,Tennessee,75785,652399,7865,568910,Jan,7.5785,65.2399,0.7865,56.891
1/12/21,Tennessee,69940,657135,8011,579345,Jan,6.994,65.7135,0.8011,57.9345
1/13/21,Tennessee,64288,661245,8148,588974,Jan,6.4288,66.1245,0.8148,58.8974
1/14/21,Tennessee,62447,667400,8232,596883,Jan,6.2447,66.74,0.8232,59.6883
1/15/21,Tennessee,59070,670151,8311,602938,Jan,5.907,67.0151,0.8311,60.2938
1/16/21,Tennessee,63284,677061,8355,605596,Jan,6.3284,67.7061,0.8355,60.5596
1/17/21,Tennessee,60614,679635,8391,610796,Jan,6.0614,67.9635,0.8391,61.0796
1/18/21,Tennessee,58263,681250,8430,614720,Jan,5.8263,68.125,0.843,61.472
1/19/21,Tennessee,53403,686034,8470,624306,Jan,5.3403,68.6034,0.847,62.4306
1/20/21,Tennessee,47302,689132,8556,633428,Jan,4.7302,68.9132,0.8556,63.3428
1/21/21,Tennessee,45861,693818,8684,639444,Jan,4.5861,69.3818,0.8684,63.9444
1/22/21,Tennessee,41703,696450,8777,646144,Jan,4.1703,69.645,0.8777,64.6144
1/23/21,Tennessee,41002,700921,8819,651283,Jan,4.1002,70.0921,0.8819,65.1283
1/24/21,Tennessee,39510,702517,8859,654335,Jan,3.951,70.2517,0.8859,65.4335
1/25/21,Tennessee,38519,704331,8970,657031,Jan,3.8519,70.4331,0.897,65.7031
1/26/21,Tennessee,35956,707461,9162,662533,Jan,3.5956,70.7461,0.9162,66.2533
1/27/21,Tennessee,33035,710181,9316,668021,Jan,3.3035,71.0181,0.9316,66.8021
1/28/21,Tennessee,32798,714131,9417,672110,Jan,3.2798,71.4131,0.9417,67.211
1/29/21,Tennessee,29748,715892,9461,676878,Jan,2.9748,71.5892,0.9461,67.6878
1/30/21,Tennessee,29184,719406,9574,680847,Jan,2.9184,71.9406,0.9574,68.0847
1/31/21,Tennessee,28833,721574,9650,683295,Jan,2.8833,72.1574,0.965,68.3295
2/1/21,Tennessee,28549,723262,9753,685162,Feb,2.8549,72.3262,0.9753,68.5162
2/2/21,Tennessee,25913,724574,9900,688963,Feb,2.5913,72.4574,0.99,68.8963
2/3/21,Tennessee,24374,727917,10033,693707,Feb,2.4374,72.7917,1.0033,69.3707
2/4/21,Tennessee,23692,730812,10202,697110,Feb,2.3692,73.0812,1.0202,69.711
2/5/21,Tennessee,22161,733004,10405,700620,Feb,2.2161,73.3004,1.0405,70.062
2/6/21,Tennessee,22957,736660,10463,703426,Feb,2.2957,73.666,1.0463,70.3426
2/7/21,Tennessee,22239,738010,10469,705492,Feb,2.2239,73.801,1.0469,70.5492
2/8/21,Tennessee,21779,739248,10566,707098,Feb,2.1779,73.9248,1.0566,70.7098
2/9/21,Tennessee,20760,741935,10631,710742,Feb,2.076,74.1935,1.0631,71.0742
2/10/21,Tennessee,19475,744072,10731,714067,Feb,1.9475,74.4072,1.0731,71.4067
2/11/21,Tennessee,19738,746487,10812,716136,Feb,1.9738,74.6487,1.0812,71.6136
2/12/21,Tennessee,18969,748410,10893,718749,Feb,1.8969,74.841,1.0893,71.8749
2/13/21,Tennessee,18408,750081,10902,720977,Feb,1.8408,75.0081,1.0902,72.0977
2/14/21,Tennessee,18010,751334,10933,722598,Feb,1.801,75.1334,1.0933,72.2598
2/15/21,Tennessee,17348,752111,10937,724031,Feb,1.7348,75.2111,1.0937,72.4031
2/16/21,Tennessee,15678,753335,10954,726910,Feb,1.5678,75.3335,1.0954,72.691
2/17/21,Tennessee,13858,754264,10985,729629,Feb,1.3858,75.4264,1.0985,72.9629
2/18/21,Tennessee,13106,755744,11057,731791,Feb,1.3106,75.5744,1.1057,73.1791
2/19/21,Tennessee,11734,756738,11064,734152,Feb,1.1734,75.6738,1.1064,73.4152
2/20/21,Tennessee,10900,758104,11115,736300,Feb,1.09,75.8104,1.1115,73.63
2/21/21,Tennessee,10417,758975,11133,737635,Feb,1.0417,75.8975,1.1133,73.7635
2/22/21,Tennessee,10353,760031,11153,738731,Feb,1.0353,76.0031,1.1153,73.8731
2/23/21,Tennessee,12152,761874,11198,738731,Feb,1.2152,76.1874,1.1198,73.8731
2/24/21,Tennessee,9476,763786,11266,743254,Feb,0.9476,76.3786,1.1266,74.3254
2/25/21,Tennessee,9155,765464,11321,745200,Feb,0.9155,76.5464,1.1321,74.52
2/26/21,Tennessee,8469,766588,11377,746954,Feb,0.8469,76.6588,1.1377,74.6954
2/27/21,Tennessee,8110,768029,11393,748739,Feb,0.811,76.8029,1.1393,74.8739
2/28/21,Tennessee,7807,768866,11411,749863,Feb,0.7807,76.8866,1.1411,74.9863
3/1/21,Tennessee,7472,769432,11421,750755,Mar,0.7472,76.9432,1.1421,75.0755
3/2/21,Tennessee,7983,770976,11436,751776,Mar,0.7983,77.0976,1.1436,75.1776
3/3/21,Tennessee,8073,772275,11459,752966,Mar,0.8073,77.2275,1.1459,75.2966
3/4/21,Tennessee,8134,773874,11501,754465,Mar,0.8134,77.3874,1.1501,75.4465
3/5/21,Tennessee,8318,775098,11534,755474,Mar,0.8318,77.5098,1.1534,75.5474
3/6/21,Tennessee,9544,776334,11543,755474,Mar,0.9544,77.6334,1.1543,75.5474
3/7/21,Tennessee,,777086,11547,,Mar,0,77.7086,1.1547,0
