Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,Texas,356270,1819793,28359,1435164,Jan,35.627,181.9793,2.8359,143.5164
1/2/21,Texas,353053,1824556,28442,1443061,Jan,35.3053,182.4556,2.8442,144.3061
1/3/21,Texas,360309,1840651,28496,1451846,Jan,36.0309,184.0651,2.8496,145.1846
1/4/21,Texas,365517,1858833,28570,1464746,Jan,36.5517,185.8833,2.857,146.4746
1/5/21,Texas,373466,1890463,28808,1488189,Jan,37.3466,189.0463,2.8808,148.8189
1/6/21,Texas,380712,1914473,29118,1504643,Jan,38.0712,191.4473,2.9118,150.4643
1/7/21,Texas,387448,1939051,29498,1522105,Jan,38.7448,193.9051,2.9498,152.2105
1/8/21,Texas,395753,1962571,30128,1536690,Jan,39.5753,196.2571,3.0128,153.669
1/9/21,Texas,406338,1985861,30313,1549210,Jan,40.6338,198.5861,3.0313,154.921
1/10/21,Texas,412292,2001716,30479,1558945,Jan,41.2292,200.1716,3.0479,155.8945
1/11/21,Texas,417255,2016550,30585,1568710,Jan,41.7255,201.655,3.0585,156.871
1/12/21,Texas,416107,2042602,30895,1595600,Jan,41.6107,204.2602,3.0895,159.56
1/13/21,Texas,425219,2068684,31277,1612188,Jan,42.5219,206.8684,3.1277,161.2188
1/14/21,Texas,430538,2093009,31693,1630778,Jan,43.0538,209.3009,3.1693,163.0778
1/15/21,Texas,438392,2120213,32086,1649735,Jan,43.8392,212.0213,3.2086,164.9735
1/16/21,Texas,445697,2144870,32428,1666745,Jan,44.5697,214.487,3.2428,166.6745
1/17/21,Texas,451084,2161272,32600,1677588,Jan,45.1084,216.1272,3.26,167.7588
1/18/21,Texas,442879,2172862,32711,1697272,Jan,44.2879,217.2862,3.2711,169.7272
1/19/21,Texas,438297,2182338,33032,1711009,Jan,43.8297,218.2338,3.3032,171.1009
1/20/21,Texas,440966,2213593,33491,1739136,Jan,44.0966,221.3593,3.3491,173.9136
1/21/21,Texas,438764,2235953,33942,1763247,Jan,43.8764,223.5953,3.3942,176.3247
