Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,Utah,50904,276612,1269,224439,Jan,5.0904,27.6612,0.1269,22.4439
1/2/21,Utah,50073,281654,1294,230287,Jan,5.0073,28.1654,0.1294,23.0287
1/3/21,Utah,49817,283473,1301,232355,Jan,4.9817,28.3473,0.1301,23.2355
1/4/21,Utah,50030,285633,1305,234298,Jan,5.003,28.5633,0.1305,23.4298
1/5/21,Utah,51443,288951,1312,236196,Jan,5.1443,28.8951,0.1312,23.6196
1/6/21,Utah,52187,292720,1330,239203,Jan,5.2187,29.272,0.133,23.9203
1/7/21,Utah,53597,297317,1359,242361,Jan,5.3597,29.7317,0.1359,24.2361
1/8/21,Utah,54739,301110,1381,244990,Jan,5.4739,30.111,0.1381,24.499
1/9/21,Utah,54943,303723,1390,247390,Jan,5.4943,30.3723,0.139,24.739
1/10/21,Utah,55217,305999,1392,249390,Jan,5.5217,30.5999,0.1392,24.939
1/11/21,Utah,54917,307483,1396,251170,Jan,5.4917,30.7483,0.1396,25.117
1/12/21,Utah,54792,309629,1422,253415,Jan,5.4792,30.9629,0.1422,25.3415
1/13/21,Utah,55544,314817,1449,257824,Jan,5.5544,31.4817,0.1449,25.7824
1/14/21,Utah,55371,317559,1460,260728,Jan,5.5371,31.7559,0.146,26.0728
1/15/21,Utah,55374,320102,1472,263256,Jan,5.5374,32.0102,0.1472,26.3256
1/16/21,Utah,56521,322252,1485,264246,Jan,5.6521,32.2252,0.1485,26.4246
1/17/21,Utah,57293,323837,1493,265051,Jan,5.7293,32.3837,0.1493,26.5051
1/18/21,Utah,56667,324919,1500,266752,Jan,5.6667,32.4919,0.15,26.6752
1/19/21,Utah,55227,326221,1507,269487,Jan,5.5227,32.6221,0.1507,26.9487
1/20/21,Utah,54750,328380,1517,272113,Jan,5.475,32.838,0.1517,27.2113
1/21/21,Utah,52129,330469,1547,276793,Jan,5.2129,33.0469,0.1547,27.6793
1/22/21,Utah,51639,333118,1571,279908,Jan,5.1639,33.3118,0.1571,27.9908
1/23/21,Utah,51453,334889,1582,281854,Jan,5.1453,33.4889,0.1582,28.1854
1/24/21,Utah,51120,336405,1595,283690,Jan,5.112,33.6405,0.1595,28.369
1/25/21,Utah,49815,337264,1597,285852,Jan,4.9815,33.7264,0.1597,28.5852
1/26/21,Utah,47831,338675,1613,289231,Jan,4.7831,33.8675,0.1613,28.9231
1/27/21,Utah,46034,340684,1620,293030,Jan,4.6034,34.0684,0.162,29.303
1/28/21,Utah,43187,342445,1620,297638,Jan,4.3187,34.2445,0.162,29.7638
1/29/21,Utah,40845,343962,1655,301462,Jan,4.0845,34.3962,0.1655,30.1462
1/30/21,Utah,39693,345430,1663,304074,Jan,3.9693,34.543,0.1663,30.4074
1/31/21,Utah,38574,346624,1665,306385,Jan,3.8574,34.6624,0.1665,30.6385
2/1/21,Utah,37692,347208,1668,307848,Feb,3.7692,34.7208,0.1668,30.7848
2/2/21,Utah,36747,348409,1685,309977,Feb,3.6747,34.8409,0.1685,30.9977
2/3/21,Utah,35431,350000,1697,312872,Feb,3.5431,35,0.1697,31.2872
2/4/21,Utah,33948,351273,1711,315614,Feb,3.3948,35.1273,0.1711,31.5614
2/5/21,Utah,32727,352489,1728,318034,Feb,3.2727,35.2489,0.1728,31.8034
2/6/21,Utah,31785,353700,1733,320182,Feb,3.1785,35.37,0.1733,32.0182
2/7/21,Utah,31116,354608,1736,321756,Feb,3.1116,35.4608,0.1736,32.1756
2/8/21,Utah,30559,355122,1738,322825,Feb,3.0559,35.5122,0.1738,32.2825
2/9/21,Utah,30190,356040,1748,324102,Feb,3.019,35.604,0.1748,32.4102
2/10/21,Utah,29337,357339,1765,326237,Feb,2.9337,35.7339,0.1765,32.6237
2/11/21,Utah,28492,358581,1774,328315,Feb,2.8492,35.8581,0.1774,32.8315
2/12/21,Utah,26907,359641,1785,330949,Feb,2.6907,35.9641,0.1785,33.0949
2/13/21,Utah,26092,360584,1790,332702,Feb,2.6092,36.0584,0.179,33.2702
2/14/21,Utah,25299,361294,1794,334201,Feb,2.5299,36.1294,0.1794,33.4201
2/15/21,Utah,24911,361756,1796,335049,Feb,2.4911,36.1756,0.1796,33.5049
2/16/21,Utah,24090,362347,1797,336460,Feb,2.409,36.2347,0.1797,33.646
2/17/21,Utah,22973,363248,1806,338469,Feb,2.2973,36.3248,0.1806,33.8469
2/18/21,Utah,22359,364399,1813,340227,Feb,2.2359,36.4399,0.1813,34.0227
2/19/21,Utah,21691,365256,1834,341731,Feb,2.1691,36.5256,0.1834,34.1731
2/20/21,Utah,20990,366034,1842,343202,Feb,2.099,36.6034,0.1842,34.3202
2/21/21,Utah,20496,366735,1852,344387,Feb,2.0496,36.6735,0.1852,34.4387
2/22/21,Utah,20255,367073,1853,344965,Feb,2.0255,36.7073,0.1853,34.4965
2/23/21,Utah,19767,367789,1865,346157,Feb,1.9767,36.7789,0.1865,34.6157
2/24/21,Utah,19001,368601,1879,347721,Feb,1.9001,36.8601,0.1879,34.7721
2/25/21,Utah,18561,369433,1890,348982,Feb,1.8561,36.9433,0.189,34.8982
2/26/21,Utah,17979,370084,1907,350198,Feb,1.7979,37.0084,0.1907,35.0198
2/27/21,Utah,17445,370770,1929,351396,Feb,1.7445,37.077,0.1929,35.1396
2/28/21,Utah,16997,371235,1935,352303,Feb,1.6997,37.1235,0.1935,35.2303
3/1/21,Utah,16738,371492,1940,352814,Mar,1.6738,37.1492,0.194,35.2814
3/2/21,Utah,16293,371979,1949,353737,Mar,1.6293,37.1979,0.1949,35.3737
3/3/21,Utah,15720,372708,1955,355033,Mar,1.572,37.2708,0.1955,35.5033
3/4/21,Utah,16320,373319,1966,355033,Mar,1.632,37.3319,0.1966,35.5033
3/5/21,Utah,14586,373868,1970,357312,Mar,1.4586,37.3868,0.197,35.7312
3/6/21,Utah,15151,374438,1975,357312,Mar,1.5151,37.4438,0.1975,35.7312
3/7/21,Utah,,374850,1976,,Mar,0,37.485,0.1976,0
3/8/21,Utah,,375110,1977,,Mar,0,37.511,0.1977,0
3/9/21,Utah,,375669,1990,,Mar,0,37.5669,0.199,0
3/10/21,Utah,,376327,1992,,Mar,0,37.6327,0.1992,0
3/11/21,Utah,,376973,2015,,Mar,0,37.6973,0.2015,0
3/12/21,Utah,,377492,2017,,Mar,0,37.7492,0.2017,0
3/13/21,Utah,,377983,2021,,Mar,0,37.7983,0.2021,0
3/14/21,Utah,,378379,2027,,Mar,0,37.8379,0.2027,0
3/15/21,Utah,,378600,2027,,Mar,0,37.86,0.2027,0
3/16/21,Utah,,379081,2032,,Mar,0,37.9081,0.2032,0
3/17/21,Utah,,379780,2037,,Mar,0,37.978,0.2037,0
3/18/21,Utah,,380340,2041,,Mar,0,38.034,0.2041,0
3/19/21,Utah,,380787,2058,,Mar,0,38.0787,0.2058,0
3/20/21,Utah,,381254,2060,,Mar,0,38.1254,0.206,0
3/21/21,Utah,,381629,2062,,Mar,0,38.1629,0.2062,0
3/22/21,Utah,,381788,2062,,Mar,0,38.1788,0.2062,0
3/23/21,Utah,,382171,2077,,Mar,0,38.2171,0.2077,0
3/24/21,Utah,,382733,2082,,Mar,0,38.2733,0.2082,0
3/25/21,Utah,,383260,2088,,Mar,0,38.326,0.2088,0
3/26/21,Utah,,383713,2091,,Mar,0,38.3713,0.2091,0
3/27/21,Utah,,384173,2101,,Mar,0,38.4173,0.2101,0
3/28/21,Utah,,384562,2114,,Mar,0,38.4562,0.2114,0
3/29/21,Utah,,384756,2114,,Mar,0,38.4756,0.2114,0
3/30/21,Utah,,385127,2118,,Mar,0,38.5127,0.2118,0
3/31/21,Utah,,385641,2122,,Mar,0,38.5641,0.2122,0
4/1/21,Utah,,386128,2125,,Apr,0,38.6128,0.2125,0
4/2/21,Utah,,386550,2131,,Apr,0,38.655,0.2131,0
4/3/21,Utah,,386997,2132,,Apr,0,38.6997,0.2132,0
4/4/21,Utah,,387341,2132,,Apr,0,38.7341,0.2132,0
4/5/21,Utah,,387514,2133,,Apr,0,38.7514,0.2133,0
4/6/21,Utah,,387814,2137,,Apr,0,38.7814,0.2137,0
4/7/21,Utah,,388426,2139,,Apr,0,38.8426,0.2139,0
4/8/21,Utah,,388909,2149,,Apr,0,38.8909,0.2149,0
4/9/21,Utah,,389353,2157,,Apr,0,38.9353,0.2157,0
4/10/21,Utah,,389760,2159,,Apr,0,38.976,0.2159,0
4/11/21,Utah,,390104,2159,,Apr,0,39.0104,0.2159,0
4/12/21,Utah,,390289,2159,,Apr,0,39.0289,0.2159,0
4/13/21,Utah,,390647,2161,,Apr,0,39.0647,0.2161,0
4/14/21,Utah,,391177,2161,,Apr,0,39.1177,0.2161,0
4/15/21,Utah,,391633,2162,,Apr,0,39.1633,0.2162,0
4/16/21,Utah,,392096,2164,,Apr,0,39.2096,0.2164,0
4/17/21,Utah,,392509,2164,,Apr,0,39.2509,0.2164,0
4/18/21,Utah,,392757,2164,,Apr,0,39.2757,0.2164,0
4/19/21,Utah,,392957,2166,,Apr,0,39.2957,0.2166,0
4/20/21,Utah,,393272,2174,,Apr,0,39.3272,0.2174,0
4/21/21,Utah,,393862,2177,,Apr,0,39.3862,0.2177,0
4/22/21,Utah,,394334,2178,,Apr,0,39.4334,0.2178,0
4/23/21,Utah,,394678,2179,,Apr,0,39.4678,0.2179,0
4/24/21,Utah,,395150,2180,,Apr,0,39.515,0.218,0
4/25/21,Utah,,395431,2182,,Apr,0,39.5431,0.2182,0
4/26/21,Utah,,395677,2183,,Apr,0,39.5677,0.2183,0
4/27/21,Utah,,396004,2186,,Apr,0,39.6004,0.2186,0
4/28/21,Utah,,396522,2190,,Apr,0,39.6522,0.219,0
4/29/21,Utah,,396985,2197,,Apr,0,39.6985,0.2197,0
4/30/21,Utah,,397323,2202,,Apr,0,39.7323,0.2202,0
5/1/21,Utah,,397733,2203,,May,0,39.7733,0.2203,0
5/2/21,Utah,,398012,2204,,May,0,39.8012,0.2204,0
5/3/21,Utah,,398240,2204,,May,0,39.824,0.2204,0
5/4/21,Utah,,398499,2217,,May,0,39.8499,0.2217,0
5/5/21,Utah,,398979,2219,,May,0,39.8979,0.2219,0
5/6/21,Utah,,399374,2219,,May,0,39.9374,0.2219,0
5/7/21,Utah,,399760,2223,,May,0,39.976,0.2223,0
5/8/21,Utah,,400120,2223,,May,0,40.012,0.2223,0
5/9/21,Utah,,400352,2224,,May,0,40.0352,0.2224,0
5/10/21,Utah,,400559,2225,,May,0,40.0559,0.2225,0
5/11/21,Utah,,400783,2236,,May,0,40.0783,0.2236,0
5/12/21,Utah,,401251,2249,,May,0,40.1251,0.2249,0
5/13/21,Utah,,401669,2255,,May,0,40.1669,0.2255,0
5/14/21,Utah,,402005,2256,,May,0,40.2005,0.2256,0
5/15/21,Utah,,402325,2258,,May,0,40.2325,0.2258,0
5/16/21,Utah,,402567,2258,,May,0,40.2567,0.2258,0
5/17/21,Utah,,402731,2259,,May,0,40.2731,0.2259,0
5/18/21,Utah,,402988,2271,,May,0,40.2988,0.2271,0
5/19/21,Utah,,403418,2275,,May,0,40.3418,0.2275,0
5/20/21,Utah,,403684,2279,,May,0,40.3684,0.2279,0
5/21/21,Utah,,403984,2289,,May,0,40.3984,0.2289,0
5/22/21,Utah,,404246,2290,,May,0,40.4246,0.229,0
5/23/21,Utah,,404477,2290,,May,0,40.4477,0.229,0
5/24/21,Utah,,404625,2292,,May,0,40.4625,0.2292,0
5/25/21,Utah,,404810,2292,,May,0,40.481,0.2292,0
5/26/21,Utah,,405078,2292,,May,0,40.5078,0.2292,0
5/27/21,Utah,,405387,2294,,May,0,40.5387,0.2294,0
5/28/21,Utah,,405659,2297,,May,0,40.5659,0.2297,0
5/29/21,Utah,,405851,2301,,May,0,40.5851,0.2301,0
5/30/21,Utah,,406027,2301,,May,0,40.6027,0.2301,0
5/31/21,Utah,,406170,2302,,May,0,40.617,0.2302,0
6/1/21,Utah,,406282,2302,,Jun,0,40.6282,0.2302,0
6/2/21,Utah,,406482,2305,,Jun,0,40.6482,0.2305,0
6/3/21,Utah,,406825,2308,,Jun,0,40.6825,0.2308,0
6/4/21,Utah,,407113,2311,,Jun,0,40.7113,0.2311,0
6/5/21,Utah,,407419,2311,,Jun,0,40.7419,0.2311,0
6/6/21,Utah,,407642,2311,,Jun,0,40.7642,0.2311,0
6/7/21,Utah,,407816,2313,,Jun,0,40.7816,0.2313,0
6/8/21,Utah,,408068,2316,,Jun,0,40.8068,0.2316,0
6/9/21,Utah,,408428,2318,,Jun,0,40.8428,0.2318,0
6/10/21,Utah,,408741,2319,,Jun,0,40.8741,0.2319,0
6/11/21,Utah,,409007,2319,,Jun,0,40.9007,0.2319,0
6/12/21,Utah,,409364,2323,,Jun,0,40.9364,0.2323,0
6/13/21,Utah,,409558,2323,,Jun,0,40.9558,0.2323,0
6/14/21,Utah,,409727,2323,,Jun,0,40.9727,0.2323,0
6/15/21,Utah,,409964,2323,,Jun,0,40.9964,0.2323,0
6/16/21,Utah,,410377,2324,,Jun,0,41.0377,0.2324,0
6/17/21,Utah,,410746,2324,,Jun,0,41.0746,0.2324,0
6/18/21,Utah,,411071,2326,,Jun,0,41.1071,0.2326,0
6/19/21,Utah,,411361,2328,,Jun,0,41.1361,0.2328,0
6/20/21,Utah,,411610,2330,,Jun,0,41.161,0.233,0
6/21/21,Utah,,411770,2330,,Jun,0,41.177,0.233,0
6/22/21,Utah,,412019,2333,,Jun,0,41.2019,0.2333,0
6/23/21,Utah,,412546,2336,,Jun,0,41.2546,0.2336,0
6/24/21,Utah,,413008,2337,,Jun,0,41.3008,0.2337,0
6/25/21,Utah,,413317,2351,,Jun,0,41.3317,0.2351,0
6/26/21,Utah,,413668,2355,,Jun,0,41.3668,0.2355,0
6/27/21,Utah,,413950,2363,,Jun,0,41.395,0.2363,0
6/28/21,Utah,,414204,2365,,Jun,0,41.4204,0.2365,0
6/29/21,Utah,,414565,2368,,Jun,0,41.4565,0.2368,0
6/30/21,Utah,,415139,2371,,Jun,0,41.5139,0.2371,0
7/1/21,Utah,,415679,2375,,Jul,0,41.5679,0.2375,0
7/2/21,Utah,,416110,2378,,Jul,0,41.611,0.2378,0
7/3/21,Utah,,416110,2378,,Jul,0,41.611,0.2378,0
7/4/21,Utah,,416110,2378,,Jul,0,41.611,0.2378,0
7/5/21,Utah,,416110,2378,,Jul,0,41.611,0.2378,0
7/6/21,Utah,,417259,2385,,Jul,0,41.7259,0.2385,0
7/7/21,Utah,,417653,2387,,Jul,0,41.7653,0.2387,0
7/8/21,Utah,,418321,2389,,Jul,0,41.8321,0.2389,0
7/9/21,Utah,,418976,2393,,Jul,0,41.8976,0.2393,0
7/10/21,Utah,,418976,2393,,Jul,0,41.8976,0.2393,0
7/11/21,Utah,,418976,2393,,Jul,0,41.8976,0.2393,0
7/12/21,Utah,,420214,2399,,Jul,0,42.0214,0.2399,0
7/13/21,Utah,,420685,2402,,Jul,0,42.0685,0.2402,0
7/14/21,Utah,,421257,2406,,Jul,0,42.1257,0.2406,0
7/15/21,Utah,,421950,2410,,Jul,0,42.195,0.241,0
7/16/21,Utah,,422619,2413,,Jul,0,42.2619,0.2413,0
7/17/21,Utah,,422619,2413,,Jul,0,42.2619,0.2413,0
7/18/21,Utah,,422619,2413,,Jul,0,42.2619,0.2413,0
7/19/21,Utah,,424171,2416,,Jul,0,42.4171,0.2416,0
7/20/21,Utah,,424730,2420,,Jul,0,42.473,0.242,0
7/21/21,Utah,,425603,2424,,Jul,0,42.5603,0.2424,0
7/22/21,Utah,,426418,2425,,Jul,0,42.6418,0.2425,0
7/23/21,Utah,,426418,2425,,Jul,0,42.6418,0.2425,0
7/24/21,Utah,,426418,2425,,Jul,0,42.6418,0.2425,0
7/25/21,Utah,,426418,2425,,Jul,0,42.6418,0.2425,0
