Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,Vermont,2317,7412,136,4959,Jan,0.2317,0.7412,0.0136,0.4959
1/2/21,Vermont,2362,7689,139,5188,Jan,0.2362,0.7689,0.0139,0.5188
1/3/21,Vermont,2381,7793,140,5272,Jan,0.2381,0.7793,0.014,0.5272
1/4/21,Vermont,2368,7873,144,5361,Jan,0.2368,0.7873,0.0144,0.5361
1/5/21,Vermont,2426,8038,149,5463,Jan,0.2426,0.8038,0.0149,0.5463
1/6/21,Vermont,2460,8158,152,5546,Jan,0.246,0.8158,0.0152,0.5546
1/7/21,Vermont,2591,8403,155,5657,Jan,0.2591,0.8403,0.0155,0.5657
1/8/21,Vermont,2685,8619,156,5778,Jan,0.2685,0.8619,0.0156,0.5778
1/9/21,Vermont,2732,8790,156,5902,Jan,0.2732,0.879,0.0156,0.5902
1/10/21,Vermont,2796,8967,156,6015,Jan,0.2796,0.8967,0.0156,0.6015
1/11/21,Vermont,2895,9078,156,6027,Jan,0.2895,0.9078,0.0156,0.6027
1/12/21,Vermont,2863,9247,158,6226,Jan,0.2863,0.9247,0.0158,0.6226
1/13/21,Vermont,2889,9368,158,6321,Jan,0.2889,0.9368,0.0158,0.6321
1/14/21,Vermont,3008,9573,162,6403,Jan,0.3008,0.9573,0.0162,0.6403
1/15/21,Vermont,3065,9734,163,6506,Jan,0.3065,0.9734,0.0163,0.6506
1/16/21,Vermont,3119,9915,163,6633,Jan,0.3119,0.9915,0.0163,0.6633
1/17/21,Vermont,3175,10057,163,6719,Jan,0.3175,1.0057,0.0163,0.6719
1/18/21,Vermont,3232,10220,163,6825,Jan,0.3232,1.022,0.0163,0.6825
1/19/21,Vermont,3233,10321,163,6925,Jan,0.3233,1.0321,0.0163,0.6925
1/20/21,Vermont,3286,10471,165,7020,Jan,0.3286,1.0471,0.0165,0.702
1/21/21,Vermont,3329,10580,168,7083,Jan,0.3329,1.058,0.0168,0.7083
1/22/21,Vermont,3413,10759,169,7177,Jan,0.3413,1.0759,0.0169,0.7177
1/23/21,Vermont,3444,10908,170,7294,Jan,0.3444,1.0908,0.017,0.7294
1/24/21,Vermont,3467,11033,170,7396,Jan,0.3467,1.1033,0.017,0.7396
1/25/21,Vermont,3518,11165,171,7476,Jan,0.3518,1.1165,0.0171,0.7476
1/26/21,Vermont,3540,11285,171,7574,Jan,0.354,1.1285,0.0171,0.7574
1/27/21,Vermont,3511,11379,172,7696,Jan,0.3511,1.1379,0.0172,0.7696
1/28/21,Vermont,3525,11523,172,7826,Jan,0.3525,1.1523,0.0172,0.7826
1/29/21,Vermont,3560,11658,172,7926,Jan,0.356,1.1658,0.0172,0.7926
1/30/21,Vermont,3563,11831,173,8095,Jan,0.3563,1.1831,0.0173,0.8095
1/31/21,Vermont,3537,11965,174,8254,Jan,0.3537,1.1965,0.0174,0.8254
2/1/21,Vermont,3640,12083,175,8268,Feb,0.364,1.2083,0.0175,0.8268
2/2/21,Vermont,3439,12196,176,8581,Feb,0.3439,1.2196,0.0176,0.8581
2/3/21,Vermont,3391,12329,179,8759,Feb,0.3391,1.2329,0.0179,0.8759
2/4/21,Vermont,3369,12503,181,8953,Feb,0.3369,1.2503,0.0181,0.8953
2/5/21,Vermont,3305,12612,181,9126,Feb,0.3305,1.2612,0.0181,0.9126
2/6/21,Vermont,3212,12766,182,9372,Feb,0.3212,1.2766,0.0182,0.9372
2/7/21,Vermont,3189,12900,183,9528,Feb,0.3189,1.29,0.0183,0.9528
2/8/21,Vermont,3188,13046,183,9675,Feb,0.3188,1.3046,0.0183,0.9675
2/9/21,Vermont,3053,13105,186,9866,Feb,0.3053,1.3105,0.0186,0.9866
2/10/21,Vermont,2947,13122,187,9988,Feb,0.2947,1.3122,0.0187,0.9988
2/11/21,Vermont,2907,13249,188,10154,Feb,0.2907,1.3249,0.0188,1.0154
2/12/21,Vermont,2895,13415,189,10331,Feb,0.2895,1.3415,0.0189,1.0331
2/13/21,Vermont,2825,13561,189,10547,Feb,0.2825,1.3561,0.0189,1.0547
2/14/21,Vermont,2829,13677,189,10659,Feb,0.2829,1.3677,0.0189,1.0659
2/15/21,Vermont,2874,13862,190,10798,Feb,0.2874,1.3862,0.019,1.0798
2/16/21,Vermont,2923,13917,191,10803,Feb,0.2923,1.3917,0.0191,1.0803
2/17/21,Vermont,2733,13996,191,11072,Feb,0.2733,1.3996,0.0191,1.1072
2/18/21,Vermont,2735,14149,193,11221,Feb,0.2735,1.4149,0.0193,1.1221
2/19/21,Vermont,2680,14251,193,11378,Feb,0.268,1.4251,0.0193,1.1378
2/20/21,Vermont,2623,14359,196,11540,Feb,0.2623,1.4359,0.0196,1.154
2/21/21,Vermont,2647,14493,197,11649,Feb,0.2647,1.4493,0.0197,1.1649
2/22/21,Vermont,2649,14608,198,11761,Feb,0.2649,1.4608,0.0198,1.1761
2/23/21,Vermont,2585,14691,199,11907,Feb,0.2585,1.4691,0.0199,1.1907
2/24/21,Vermont,2569,14768,201,11998,Feb,0.2569,1.4768,0.0201,1.1998
2/25/21,Vermont,2502,14840,203,12135,Feb,0.2502,1.484,0.0203,1.2135
2/26/21,Vermont,2473,14963,204,12286,Feb,0.2473,1.4963,0.0204,1.2286
2/27/21,Vermont,2458,15098,204,12436,Feb,0.2458,1.5098,0.0204,1.2436
2/28/21,Vermont,2462,15198,204,12532,Feb,0.2462,1.5198,0.0204,1.2532
3/1/21,Vermont,2453,15284,205,12626,Mar,0.2453,1.5284,0.0205,1.2626
3/2/21,Vermont,2407,15372,206,12759,Mar,0.2407,1.5372,0.0206,1.2759
3/3/21,Vermont,2438,15487,207,12842,Mar,0.2438,1.5487,0.0207,1.2842
3/4/21,Vermont,2489,15686,207,12990,Mar,0.2489,1.5686,0.0207,1.299
3/5/21,Vermont,2467,15819,207,13145,Mar,0.2467,1.5819,0.0207,1.3145
3/6/21,Vermont,2611,15964,208,13145,Mar,0.2611,1.5964,0.0208,1.3145
3/7/21,Vermont,,16083,208,,Mar,0,1.6083,0.0208,0
3/8/21,Vermont,,16199,208,,Mar,0,1.6199,0.0208,0
3/9/21,Vermont,,16286,211,,Mar,0,1.6286,0.0211,0
3/10/21,Vermont,,16371,211,,Mar,0,1.6371,0.0211,0
3/11/21,Vermont,,16500,211,,Mar,0,1.65,0.0211,0
3/12/21,Vermont,,16623,212,,Mar,0,1.6623,0.0212,0
3/13/21,Vermont,,16698,214,,Mar,0,1.6698,0.0214,0
3/14/21,Vermont,,16890,214,,Mar,0,1.689,0.0214,0
3/15/21,Vermont,,16992,214,,Mar,0,1.6992,0.0214,0
3/16/21,Vermont,,17047,215,,Mar,0,1.7047,0.0215,0
3/17/21,Vermont,,17106,217,,Mar,0,1.7106,0.0217,0
3/18/21,Vermont,,17247,217,,Mar,0,1.7247,0.0217,0
3/19/21,Vermont,,17393,217,,Mar,0,1.7393,0.0217,0
3/20/21,Vermont,,17555,219,,Mar,0,1.7555,0.0219,0
3/21/21,Vermont,,17740,219,,Mar,0,1.774,0.0219,0
3/22/21,Vermont,,17839,219,,Mar,0,1.7839,0.0219,0
3/23/21,Vermont,,17933,220,,Mar,0,1.7933,0.022,0
3/24/21,Vermont,,18028,222,,Mar,0,1.8028,0.0222,0
3/25/21,Vermont,,18215,223,,Mar,0,1.8215,0.0223,0
3/26/21,Vermont,,18498,224,,Mar,0,1.8498,0.0224,0
3/27/21,Vermont,,18623,224,,Mar,0,1.8623,0.0224,0
3/28/21,Vermont,,18820,225,,Mar,0,1.882,0.0225,0
3/29/21,Vermont,,19002,225,,Mar,0,1.9002,0.0225,0
3/30/21,Vermont,,19109,225,,Mar,0,1.9109,0.0225,0
3/31/21,Vermont,,19275,227,,Mar,0,1.9275,0.0227,0
4/1/21,Vermont,,19523,227,,Apr,0,1.9523,0.0227,0
4/2/21,Vermont,,19755,228,,Apr,0,1.9755,0.0228,0
4/3/21,Vermont,,19905,229,,Apr,0,1.9905,0.0229,0
4/4/21,Vermont,,20149,229,,Apr,0,2.0149,0.0229,0
4/5/21,Vermont,,20267,229,,Apr,0,2.0267,0.0229,0
4/6/21,Vermont,,20373,229,,Apr,0,2.0373,0.0229,0
4/7/21,Vermont,,20442,230,,Apr,0,2.0442,0.023,0
4/8/21,Vermont,,20669,230,,Apr,0,2.0669,0.023,0
4/9/21,Vermont,,20815,231,,Apr,0,2.0815,0.0231,0
4/10/21,Vermont,,20965,231,,Apr,0,2.0965,0.0231,0
4/11/21,Vermont,,21202,231,,Apr,0,2.1202,0.0231,0
4/12/21,Vermont,,21291,233,,Apr,0,2.1291,0.0233,0
4/13/21,Vermont,,21388,233,,Apr,0,2.1388,0.0233,0
4/14/21,Vermont,,21488,237,,Apr,0,2.1488,0.0237,0
4/15/21,Vermont,,21664,240,,Apr,0,2.1664,0.024,0
4/16/21,Vermont,,21803,242,,Apr,0,2.1803,0.0242,0
4/17/21,Vermont,,21869,242,,Apr,0,2.1869,0.0242,0
4/18/21,Vermont,,22016,242,,Apr,0,2.2016,0.0242,0
4/19/21,Vermont,,22112,242,,Apr,0,2.2112,0.0242,0
4/20/21,Vermont,,22112,242,,Apr,0,2.2112,0.0242,0
4/21/21,Vermont,,22238,243,,Apr,0,2.2238,0.0243,0
4/22/21,Vermont,,22325,243,,Apr,0,2.2325,0.0243,0
4/23/21,Vermont,,22416,243,,Apr,0,2.2416,0.0243,0
4/24/21,Vermont,,22479,244,,Apr,0,2.2479,0.0244,0
4/25/21,Vermont,,22576,244,,Apr,0,2.2576,0.0244,0
4/26/21,Vermont,,22617,244,,Apr,0,2.2617,0.0244,0
4/27/21,Vermont,,22675,245,,Apr,0,2.2675,0.0245,0
4/28/21,Vermont,,22723,246,,Apr,0,2.2723,0.0246,0
4/29/21,Vermont,,22824,246,,Apr,0,2.2824,0.0246,0
4/30/21,Vermont,,22952,246,,Apr,0,2.2952,0.0246,0
5/1/21,Vermont,,23032,247,,May,0,2.3032,0.0247,0
5/2/21,Vermont,,23126,247,,May,0,2.3126,0.0247,0
5/3/21,Vermont,,23158,248,,May,0,2.3158,0.0248,0
5/4/21,Vermont,,23191,248,,May,0,2.3191,0.0248,0
5/5/21,Vermont,,23247,248,,May,0,2.3247,0.0248,0
5/6/21,Vermont,,23296,249,,May,0,2.3296,0.0249,0
5/7/21,Vermont,,23393,249,,May,0,2.3393,0.0249,0
5/8/21,Vermont,,23445,249,,May,0,2.3445,0.0249,0
5/9/21,Vermont,,23486,249,,May,0,2.3486,0.0249,0
5/10/21,Vermont,,23541,249,,May,0,2.3541,0.0249,0
5/11/21,Vermont,,23606,251,,May,0,2.3606,0.0251,0
5/12/21,Vermont,,23651,252,,May,0,2.3651,0.0252,0
5/13/21,Vermont,,23724,252,,May,0,2.3724,0.0252,0
5/14/21,Vermont,,23792,252,,May,0,2.3792,0.0252,0
5/15/21,Vermont,,23847,252,,May,0,2.3847,0.0252,0
5/16/21,Vermont,,23883,252,,May,0,2.3883,0.0252,0
5/17/21,Vermont,,23912,252,,May,0,2.3912,0.0252,0
5/18/21,Vermont,,23945,254,,May,0,2.3945,0.0254,0
5/19/21,Vermont,,23988,255,,May,0,2.3988,0.0255,0
5/20/21,Vermont,,24026,255,,May,0,2.4026,0.0255,0
5/21/21,Vermont,,24065,255,,May,0,2.4065,0.0255,0
5/22/21,Vermont,,24084,255,,May,0,2.4084,0.0255,0
5/23/21,Vermont,,24106,255,,May,0,2.4106,0.0255,0
5/24/21,Vermont,,24127,255,,May,0,2.4127,0.0255,0
5/25/21,Vermont,,24136,255,,May,0,2.4136,0.0255,0
5/26/21,Vermont,,24162,255,,May,0,2.4162,0.0255,0
5/27/21,Vermont,,24182,255,,May,0,2.4182,0.0255,0
5/28/21,Vermont,,24190,255,,May,0,2.419,0.0255,0
5/29/21,Vermont,,24200,255,,May,0,2.42,0.0255,0
5/30/21,Vermont,,24209,255,,May,0,2.4209,0.0255,0
5/31/21,Vermont,,24220,255,,May,0,2.422,0.0255,0
6/1/21,Vermont,,24224,255,,Jun,0,2.4224,0.0255,0
6/2/21,Vermont,,24232,255,,Jun,0,2.4232,0.0255,0
6/3/21,Vermont,,24240,255,,Jun,0,2.424,0.0255,0
6/4/21,Vermont,,24252,256,,Jun,0,2.4252,0.0256,0
6/5/21,Vermont,,24252,256,,Jun,0,2.4252,0.0256,0
6/6/21,Vermont,,24252,256,,Jun,0,2.4252,0.0256,0
6/7/21,Vermont,,24282,256,,Jun,0,2.4282,0.0256,0
6/8/21,Vermont,,24295,256,,Jun,0,2.4295,0.0256,0
6/9/21,Vermont,,24300,256,,Jun,0,2.43,0.0256,0
6/10/21,Vermont,,24314,256,,Jun,0,2.4314,0.0256,0
6/11/21,Vermont,,24320,256,,Jun,0,2.432,0.0256,0
6/12/21,Vermont,,24320,256,,Jun,0,2.432,0.0256,0
6/13/21,Vermont,,24320,256,,Jun,0,2.432,0.0256,0
6/14/21,Vermont,,24331,256,,Jun,0,2.4331,0.0256,0
6/15/21,Vermont,,24339,256,,Jun,0,2.4339,0.0256,0
6/16/21,Vermont,,24348,256,,Jun,0,2.4348,0.0256,0
6/17/21,Vermont,,24357,256,,Jun,0,2.4357,0.0256,0
6/18/21,Vermont,,24360,256,,Jun,0,2.436,0.0256,0
6/19/21,Vermont,,24360,256,,Jun,0,2.436,0.0256,0
6/20/21,Vermont,,24360,256,,Jun,0,2.436,0.0256,0
6/21/21,Vermont,,24368,256,,Jun,0,2.4368,0.0256,0
6/22/21,Vermont,,24371,256,,Jun,0,2.4371,0.0256,0
6/23/21,Vermont,,24379,256,,Jun,0,2.4379,0.0256,0
6/24/21,Vermont,,24385,256,,Jun,0,2.4385,0.0256,0
6/25/21,Vermont,,24392,256,,Jun,0,2.4392,0.0256,0
6/26/21,Vermont,,24392,256,,Jun,0,2.4392,0.0256,0
6/27/21,Vermont,,24392,256,,Jun,0,2.4392,0.0256,0
6/28/21,Vermont,,24402,256,,Jun,0,2.4402,0.0256,0
6/29/21,Vermont,,24406,256,,Jun,0,2.4406,0.0256,0
6/30/21,Vermont,,24410,256,,Jun,0,2.441,0.0256,0
7/1/21,Vermont,,24412,257,,Jul,0,2.4412,0.0257,0
7/2/21,Vermont,,24419,258,,Jul,0,2.4419,0.0258,0
7/3/21,Vermont,,24419,258,,Jul,0,2.4419,0.0258,0
7/4/21,Vermont,,24419,258,,Jul,0,2.4419,0.0258,0
7/5/21,Vermont,,24419,258,,Jul,0,2.4419,0.0258,0
7/6/21,Vermont,,24433,258,,Jul,0,2.4433,0.0258,0
7/7/21,Vermont,,24440,258,,Jul,0,2.444,0.0258,0
7/8/21,Vermont,,24445,258,,Jul,0,2.4445,0.0258,0
7/9/21,Vermont,,24457,258,,Jul,0,2.4457,0.0258,0
7/10/21,Vermont,,24457,258,,Jul,0,2.4457,0.0258,0
7/11/21,Vermont,,24457,258,,Jul,0,2.4457,0.0258,0
7/12/21,Vermont,,24489,258,,Jul,0,2.4489,0.0258,0
7/13/21,Vermont,,24497,258,,Jul,0,2.4497,0.0258,0
7/14/21,Vermont,,24516,258,,Jul,0,2.4516,0.0258,0
7/15/21,Vermont,,24529,258,,Jul,0,2.4529,0.0258,0
7/16/21,Vermont,,24550,258,,Jul,0,2.455,0.0258,0
7/17/21,Vermont,,24550,258,,Jul,0,2.455,0.0258,0
7/18/21,Vermont,,24550,258,,Jul,0,2.455,0.0258,0
7/19/21,Vermont,,24579,259,,Jul,0,2.4579,0.0259,0
7/20/21,Vermont,,24590,259,,Jul,0,2.459,0.0259,0
7/21/21,Vermont,,24609,259,,Jul,0,2.4609,0.0259,0
7/22/21,Vermont,,24647,259,,Jul,0,2.4647,0.0259,0
7/23/21,Vermont,,24676,259,,Jul,0,2.4676,0.0259,0
7/24/21,Vermont,,24676,259,,Jul,0,2.4676,0.0259,0
7/25/21,Vermont,,24676,259,,Jul,0,2.4676,0.0259,0
7/26/21,Vermont,,24748,259,,Jul,0,2.4748,0.0259,0
7/27/21,Vermont,,24760,259,,Jul,0,2.476,0.0259,0
7/28/21,Vermont,,24804,259,,Jul,0,2.4804,0.0259,0
7/29/21,Vermont,,24830,259,,Jul,0,2.483,0.0259,0
7/30/21,Vermont,,24889,260,,Jul,0,2.4889,0.026,0
7/31/21,Vermont,,24889,260,,Jul,0,2.4889,0.026,0
8/1/21,Vermont,,24889,260,,Aug,0,2.4889,0.026,0
8/2/21,Vermont,,25038,260,,Aug,0,2.5038,0.026,0
8/3/21,Vermont,,25077,260,,Aug,0,2.5077,0.026,0
8/4/21,Vermont,,25129,260,,Aug,0,2.5129,0.026,0
8/5/21,Vermont,,25219,260,,Aug,0,2.5219,0.026,0
8/6/21,Vermont,,25320,260,,Aug,0,2.532,0.026,0
8/7/21,Vermont,,25320,260,,Aug,0,2.532,0.026,0
8/8/21,Vermont,,25320,260,,Aug,0,2.532,0.026,0
8/9/21,Vermont,,25571,262,,Aug,0,2.5571,0.0262,0
8/10/21,Vermont,,25663,263,,Aug,0,2.5663,0.0263,0
8/11/21,Vermont,,25757,263,,Aug,0,2.5757,0.0263,0
8/12/21,Vermont,,25883,264,,Aug,0,2.5883,0.0264,0
8/13/21,Vermont,,26040,264,,Aug,0,2.604,0.0264,0
8/14/21,Vermont,,26040,264,,Aug,0,2.604,0.0264,0
8/15/21,Vermont,,26040,264,,Aug,0,2.604,0.0264,0
8/16/21,Vermont,,26040,264,,Aug,0,2.604,0.0264,0
8/17/21,Vermont,,26397,264,,Aug,0,2.6397,0.0264,0
8/18/21,Vermont,,26494,267,,Aug,0,2.6494,0.0267,0
8/19/21,Vermont,,26663,268,,Aug,0,2.6663,0.0268,0
8/20/21,Vermont,,26778,270,,Aug,0,2.6778,0.027,0
8/21/21,Vermont,,26924,270,,Aug,0,2.6924,0.027,0
8/22/21,Vermont,,27050,270,,Aug,0,2.705,0.027,0
8/23/21,Vermont,,27132,270,,Aug,0,2.7132,0.027,0
8/24/21,Vermont,,27237,270,,Aug,0,2.7237,0.027,0
8/25/21,Vermont,,27355,271,,Aug,0,2.7355,0.0271,0
8/26/21,Vermont,,27504,273,,Aug,0,2.7504,0.0273,0
8/27/21,Vermont,,27648,275,,Aug,0,2.7648,0.0275,0
8/28/21,Vermont,,27835,275,,Aug,0,2.7835,0.0275,0
8/29/21,Vermont,,27972,275,,Aug,0,2.7972,0.0275,0
8/30/21,Vermont,,28044,275,,Aug,0,2.8044,0.0275,0
8/31/21,Vermont,,28200,276,,Aug,0,2.82,0.0276,0
9/1/21,Vermont,,28399,277,,Sep,0,2.8399,0.0277,0
