Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,Virgin Islands,112,2036,23,1901,Jan,0.0112,0.2036,0.0023,0.1901
1/2/21,Virgin Islands,117,2041,23,1901,Jan,0.0117,0.2041,0.0023,0.1901
1/3/21,Virgin Islands,99,2042,23,1920,Jan,0.0099,0.2042,0.0023,0.192
1/4/21,Virgin Islands,111,2055,24,1920,Jan,0.0111,0.2055,0.0024,0.192
1/5/21,Virgin Islands,121,2083,24,1938,Jan,0.0121,0.2083,0.0024,0.1938
1/6/21,Virgin Islands,104,2083,24,1955,Jan,0.0104,0.2083,0.0024,0.1955
1/7/21,Virgin Islands,151,2130,24,1955,Jan,0.0151,0.213,0.0024,0.1955
1/8/21,Virgin Islands,135,2143,24,1984,Jan,0.0135,0.2143,0.0024,0.1984
1/9/21,Virgin Islands,135,2143,24,1984,Jan,0.0135,0.2143,0.0024,0.1984
1/10/21,Virgin Islands,135,2143,24,1984,Jan,0.0135,0.2143,0.0024,0.1984
1/11/21,Virgin Islands,135,2143,24,1984,Jan,0.0135,0.2143,0.0024,0.1984
1/12/21,Virgin Islands,134,2166,24,2008,Jan,0.0134,0.2166,0.0024,0.2008
1/13/21,Virgin Islands,134,2166,24,2008,Jan,0.0134,0.2166,0.0024,0.2008
1/14/21,Virgin Islands,134,2166,24,2008,Jan,0.0134,0.2166,0.0024,0.2008
1/15/21,Virgin Islands,134,2166,24,2008,Jan,0.0134,0.2166,0.0024,0.2008
1/16/21,Virgin Islands,134,2166,24,2008,Jan,0.0134,0.2166,0.0024,0.2008
1/17/21,Virgin Islands,116,2260,24,2120,Jan,0.0116,0.226,0.0024,0.212
1/18/21,Virgin Islands,116,2260,24,2120,Jan,0.0116,0.226,0.0024,0.212
1/19/21,Virgin Islands,139,2283,24,2120,Jan,0.0139,0.2283,0.0024,0.212
1/20/21,Virgin Islands,122,2305,24,2159,Jan,0.0122,0.2305,0.0024,0.2159
1/21/21,Virgin Islands,115,2305,24,2166,Jan,0.0115,0.2305,0.0024,0.2166
1/22/21,Virgin Islands,107,2321,24,2190,Jan,0.0107,0.2321,0.0024,0.219
1/23/21,Virgin Islands,104,2341,24,2213,Jan,0.0104,0.2341,0.0024,0.2213
1/24/21,Virgin Islands,83,2341,24,2234,Jan,0.0083,0.2341,0.0024,0.2234
1/25/21,Virgin Islands,92,2350,24,2234,Jan,0.0092,0.235,0.0024,0.2234
1/26/21,Virgin Islands,95,2373,24,2254,Jan,0.0095,0.2373,0.0024,0.2254
1/27/21,Virgin Islands,89,2373,24,2260,Jan,0.0089,0.2373,0.0024,0.226
1/28/21,Virgin Islands,94,2384,24,2266,Jan,0.0094,0.2384,0.0024,0.2266
1/29/21,Virgin Islands,91,2398,24,2283,Jan,0.0091,0.2398,0.0024,0.2283
1/30/21,Virgin Islands,91,2398,24,2283,Jan,0.0091,0.2398,0.0024,0.2283
1/31/21,Virgin Islands,91,2398,24,2283,Jan,0.0091,0.2398,0.0024,0.2283
2/1/21,Virgin Islands,91,2421,24,2306,Feb,0.0091,0.2421,0.0024,0.2306
2/2/21,Virgin Islands,85,2426,24,2317,Feb,0.0085,0.2426,0.0024,0.2317
2/3/21,Virgin Islands,70,2430,24,2336,Feb,0.007,0.243,0.0024,0.2336
2/4/21,Virgin Islands,80,2440,24,2336,Feb,0.008,0.244,0.0024,0.2336
2/5/21,Virgin Islands,66,2449,24,2359,Feb,0.0066,0.2449,0.0024,0.2359
2/6/21,Virgin Islands,66,2449,24,2359,Feb,0.0066,0.2449,0.0024,0.2359
2/7/21,Virgin Islands,71,2466,24,2371,Feb,0.0071,0.2466,0.0024,0.2371
2/8/21,Virgin Islands,71,2466,24,2371,Feb,0.0071,0.2466,0.0024,0.2371
2/9/21,Virgin Islands,71,2485,24,2390,Feb,0.0071,0.2485,0.0024,0.239
2/10/21,Virgin Islands,68,2485,24,2393,Feb,0.0068,0.2485,0.0024,0.2393
2/11/21,Virgin Islands,84,2505,25,2396,Feb,0.0084,0.2505,0.0025,0.2396
2/12/21,Virgin Islands,100,2524,25,2399,Feb,0.01,0.2524,0.0025,0.2399
2/13/21,Virgin Islands,100,2524,25,2399,Feb,0.01,0.2524,0.0025,0.2399
2/14/21,Virgin Islands,100,2524,25,2399,Feb,0.01,0.2524,0.0025,0.2399
2/15/21,Virgin Islands,105,2542,25,2412,Feb,0.0105,0.2542,0.0025,0.2412
2/16/21,Virgin Islands,105,2542,25,2412,Feb,0.0105,0.2542,0.0025,0.2412
2/17/21,Virgin Islands,79,2545,25,2441,Feb,0.0079,0.2545,0.0025,0.2441
2/18/21,Virgin Islands,85,2558,25,2448,Feb,0.0085,0.2558,0.0025,0.2448
2/19/21,Virgin Islands,96,2575,25,2454,Feb,0.0096,0.2575,0.0025,0.2454
2/20/21,Virgin Islands,86,2575,25,2464,Feb,0.0086,0.2575,0.0025,0.2464
2/21/21,Virgin Islands,86,2575,25,2464,Feb,0.0086,0.2575,0.0025,0.2464
2/22/21,Virgin Islands,89,2579,25,2465,Feb,0.0089,0.2579,0.0025,0.2465
2/23/21,Virgin Islands,81,2589,25,2483,Feb,0.0081,0.2589,0.0025,0.2483
2/24/21,Virgin Islands,111,2623,25,2487,Feb,0.0111,0.2623,0.0025,0.2487
2/25/21,Virgin Islands,114,2636,25,2497,Feb,0.0114,0.2636,0.0025,0.2497
2/26/21,Virgin Islands,110,2636,25,2501,Feb,0.011,0.2636,0.0025,0.2501
2/27/21,Virgin Islands,110,2646,25,2511,Feb,0.011,0.2646,0.0025,0.2511
2/28/21,Virgin Islands,110,2646,25,2511,Feb,0.011,0.2646,0.0025,0.2511
3/1/21,Virgin Islands,110,2646,25,2511,Mar,0.011,0.2646,0.0025,0.2511
3/2/21,Virgin Islands,110,2646,25,2511,Mar,0.011,0.2646,0.0025,0.2511
3/3/21,Virgin Islands,131,2695,25,2539,Mar,0.0131,0.2695,0.0025,0.2539
3/4/21,Virgin Islands,132,2704,25,2547,Mar,0.0132,0.2704,0.0025,0.2547
3/5/21,Virgin Islands,130,2714,25,2559,Mar,0.013,0.2714,0.0025,0.2559
3/6/21,Virgin Islands,130,2714,25,2559,Mar,0.013,0.2714,0.0025,0.2559
3/7/21,Virgin Islands,,2714,25,,Mar,0,0.2714,0.0025,0
3/8/21,Virgin Islands,,2744,25,,Mar,0,0.2744,0.0025,0
3/9/21,Virgin Islands,,2744,25,,Mar,0,0.2744,0.0025,0
3/10/21,Virgin Islands,,2755,25,,Mar,0,0.2755,0.0025,0
3/11/21,Virgin Islands,,2761,25,,Mar,0,0.2761,0.0025,0
3/12/21,Virgin Islands,,2767,25,,Mar,0,0.2767,0.0025,0
3/13/21,Virgin Islands,,2767,25,,Mar,0,0.2767,0.0025,0
3/14/21,Virgin Islands,,2767,25,,Mar,0,0.2767,0.0025,0
3/15/21,Virgin Islands,,2767,25,,Mar,0,0.2767,0.0025,0
3/16/21,Virgin Islands,,2767,25,,Mar,0,0.2767,0.0025,0
3/17/21,Virgin Islands,,2767,25,,Mar,0,0.2767,0.0025,0
3/18/21,Virgin Islands,,2767,25,,Mar,0,0.2767,0.0025,0
3/19/21,Virgin Islands,,2767,25,,Mar,0,0.2767,0.0025,0
3/20/21,Virgin Islands,,2767,25,,Mar,0,0.2767,0.0025,0
3/21/21,Virgin Islands,,2767,25,,Mar,0,0.2767,0.0025,0
3/22/21,Virgin Islands,,2767,25,,Mar,0,0.2767,0.0025,0
3/23/21,Virgin Islands,,2767,25,,Mar,0,0.2767,0.0025,0
3/24/21,Virgin Islands,,2876,25,,Mar,0,0.2876,0.0025,0
3/25/21,Virgin Islands,,2877,25,,Mar,0,0.2877,0.0025,0
3/26/21,Virgin Islands,,2888,26,,Mar,0,0.2888,0.0026,0
3/27/21,Virgin Islands,,2901,26,,Mar,0,0.2901,0.0026,0
3/28/21,Virgin Islands,,2907,26,,Mar,0,0.2907,0.0026,0
3/29/21,Virgin Islands,,2907,26,,Mar,0,0.2907,0.0026,0
3/30/21,Virgin Islands,,2907,26,,Mar,0,0.2907,0.0026,0
3/31/21,Virgin Islands,,2907,26,,Mar,0,0.2907,0.0026,0
4/1/21,Virgin Islands,,2907,26,,Apr,0,0.2907,0.0026,0
4/2/21,Virgin Islands,,2907,26,,Apr,0,0.2907,0.0026,0
4/3/21,Virgin Islands,,2907,26,,Apr,0,0.2907,0.0026,0
4/4/21,Virgin Islands,,2907,26,,Apr,0,0.2907,0.0026,0
4/5/21,Virgin Islands,,2945,26,,Apr,0,0.2945,0.0026,0
4/6/21,Virgin Islands,,2945,26,,Apr,0,0.2945,0.0026,0
4/7/21,Virgin Islands,,2945,26,,Apr,0,0.2945,0.0026,0
4/8/21,Virgin Islands,,2971,26,,Apr,0,0.2971,0.0026,0
4/9/21,Virgin Islands,,2971,26,,Apr,0,0.2971,0.0026,0
4/10/21,Virgin Islands,,2971,26,,Apr,0,0.2971,0.0026,0
4/11/21,Virgin Islands,,2971,26,,Apr,0,0.2971,0.0026,0
4/12/21,Virgin Islands,,2998,26,,Apr,0,0.2998,0.0026,0
4/13/21,Virgin Islands,,3005,26,,Apr,0,0.3005,0.0026,0
4/14/21,Virgin Islands,,3005,26,,Apr,0,0.3005,0.0026,0
4/15/21,Virgin Islands,,3022,26,,Apr,0,0.3022,0.0026,0
4/16/21,Virgin Islands,,3028,26,,Apr,0,0.3028,0.0026,0
4/17/21,Virgin Islands,,3028,26,,Apr,0,0.3028,0.0026,0
4/18/21,Virgin Islands,,3028,26,,Apr,0,0.3028,0.0026,0
4/19/21,Virgin Islands,,3041,27,,Apr,0,0.3041,0.0027,0
4/20/21,Virgin Islands,,3041,27,,Apr,0,0.3041,0.0027,0
4/21/21,Virgin Islands,,3041,27,,Apr,0,0.3041,0.0027,0
4/22/21,Virgin Islands,,3068,27,,Apr,0,0.3068,0.0027,0
4/23/21,Virgin Islands,,3068,27,,Apr,0,0.3068,0.0027,0
4/24/21,Virgin Islands,,3068,27,,Apr,0,0.3068,0.0027,0
4/25/21,Virgin Islands,,3068,27,,Apr,0,0.3068,0.0027,0
4/26/21,Virgin Islands,,3090,27,,Apr,0,0.309,0.0027,0
4/27/21,Virgin Islands,,3093,27,,Apr,0,0.3093,0.0027,0
4/28/21,Virgin Islands,,3093,27,,Apr,0,0.3093,0.0027,0
4/29/21,Virgin Islands,,3093,27,,Apr,0,0.3093,0.0027,0
4/30/21,Virgin Islands,,3125,27,,Apr,0,0.3125,0.0027,0
5/1/21,Virgin Islands,,3125,27,,May,0,0.3125,0.0027,0
5/2/21,Virgin Islands,,3138,27,,May,0,0.3138,0.0027,0
5/3/21,Virgin Islands,,3138,27,,May,0,0.3138,0.0027,0
5/4/21,Virgin Islands,,3152,27,,May,0,0.3152,0.0027,0
5/5/21,Virgin Islands,,3152,27,,May,0,0.3152,0.0027,0
5/6/21,Virgin Islands,,3152,27,,May,0,0.3152,0.0027,0
5/7/21,Virgin Islands,,3152,27,,May,0,0.3152,0.0027,0
5/8/21,Virgin Islands,,3210,27,,May,0,0.321,0.0027,0
5/9/21,Virgin Islands,,3210,27,,May,0,0.321,0.0027,0
5/10/21,Virgin Islands,,3233,27,,May,0,0.3233,0.0027,0
5/11/21,Virgin Islands,,3233,27,,May,0,0.3233,0.0027,0
