Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,Virginia,318721,354766,5081,30964,Jan,31.8721,35.4766,0.5081,3.0964
1/2/21,Virginia,322456,358755,5117,31182,Jan,32.2456,35.8755,0.5117,3.1182
1/3/21,Virginia,327273,363765,5124,31368,Jan,32.7273,36.3765,0.5124,3.1368
1/4/21,Virginia,330843,367536,5132,31561,Jan,33.0843,36.7536,0.5132,3.1561
1/5/21,Virginia,334987,371913,5191,31735,Jan,33.4987,37.1913,0.5191,3.1735
1/6/21,Virginia,339973,377300,5226,32101,Jan,33.9973,37.73,0.5226,3.2101
1/7/21,Virginia,345036,382679,5275,32368,Jan,34.5036,38.2679,0.5275,3.2368
1/8/21,Virginia,350010,387917,5312,32595,Jan,35.001,38.7917,0.5312,3.2595
1/9/21,Virginia,355501,393715,5381,32833,Jan,35.5501,39.3715,0.5381,3.2833
1/10/21,Virginia,360475,398856,5383,32998,Jan,36.0475,39.8856,0.5383,3.2998
1/11/21,Virginia,364851,403386,5393,33142,Jan,36.4851,40.3386,0.5393,3.3142
1/12/21,Virginia,368908,407947,5477,33562,Jan,36.8908,40.7947,0.5477,3.3562
1/13/21,Virginia,373195,412545,5552,33798,Jan,37.3195,41.2545,0.5552,3.3798
1/14/21,Virginia,378200,417839,5626,34013,Jan,37.82,41.7839,0.5626,3.4013
1/15/21,Virginia,382173,422634,5656,34805,Jan,38.2173,42.2634,0.5656,3.4805
1/16/21,Virginia,388590,429391,5706,35095,Jan,38.859,42.9391,0.5706,3.5095
1/17/21,Virginia,398300,439305,5729,35276,Jan,39.83,43.9305,0.5729,3.5276
1/18/21,Virginia,405335,446550,5739,35476,Jan,40.5335,44.655,0.5739,3.5476
1/19/21,Virginia,409526,451076,5798,35752,Jan,40.9526,45.1076,0.5798,3.5752
1/20/21,Virginia,413627,455591,5861,36103,Jan,41.3627,45.5591,0.5861,3.6103
1/21/21,Virginia,417285,459604,5940,36379,Jan,41.7285,45.9604,0.594,3.6379
1/22/21,Virginia,421172,463751,6002,36577,Jan,42.1172,46.3751,0.6002,3.6577
1/23/21,Virginia,425759,468655,6079,36817,Jan,42.5759,46.8655,0.6079,3.6817
1/24/21,Virginia,429293,472447,6078,37076,Jan,42.9293,47.2447,0.6078,3.7076
1/25/21,Virginia,435347,478619,6081,37191,Jan,43.5347,47.8619,0.6081,3.7191
1/26/21,Virginia,439625,483326,6174,37527,Jan,43.9625,48.3326,0.6174,3.7527
1/27/21,Virginia,444502,488553,6228,37823,Jan,44.4502,48.8553,0.6228,3.7823
1/28/21,Virginia,448769,493674,6308,38597,Jan,44.8769,49.3674,0.6308,3.8597
1/29/21,Virginia,452586,497912,6379,38947,Jan,45.2586,49.7912,0.6379,3.8947
1/30/21,Virginia,456580,502221,6449,39192,Jan,45.658,50.2221,0.6449,3.9192
1/31/21,Virginia,457993,504779,6464,40322,Jan,45.7993,50.4779,0.6464,4.0322
2/1/21,Virginia,460655,507640,6474,40511,Feb,46.0655,50.764,0.6474,4.0511
2/2/21,Virginia,463190,510380,6517,40673,Feb,46.319,51.038,0.6517,4.0673
2/3/21,Virginia,465841,513339,6575,40923,Feb,46.5841,51.3339,0.6575,4.0923
2/4/21,Virginia,468681,516398,6650,41067,Feb,46.8681,51.6398,0.665,4.1067
2/5/21,Virginia,473447,521467,6732,41288,Feb,47.3447,52.1467,0.6732,4.1288
2/6/21,Virginia,477914,526176,6773,41489,Feb,47.7914,52.6176,0.6773,4.1489
2/7/21,Virginia,480789,529125,6778,41558,Feb,48.0789,52.9125,0.6778,4.1558
2/8/21,Virginia,482369,530825,6820,41636,Feb,48.2369,53.0825,0.682,4.1636
2/9/21,Virginia,485019,534116,6898,42199,Feb,48.5019,53.4116,0.6898,4.2199
2/10/21,Virginia,488049,537319,6932,42338,Feb,48.8049,53.7319,0.6932,4.2338
2/11/21,Virginia,491542,541018,6958,42518,Feb,49.1542,54.1018,0.6958,4.2518
2/12/21,Virginia,494531,544209,6966,42712,Feb,49.4531,54.4209,0.6966,4.2712
2/13/21,Virginia,497541,547424,6996,42887,Feb,49.7541,54.7424,0.6996,4.2887
2/14/21,Virginia,499993,549999,7012,42994,Feb,49.9993,54.9999,0.7012,4.2994
2/15/21,Virginia,501387,551538,7016,43135,Feb,50.1387,55.1538,0.7016,4.3135
2/16/21,Virginia,502966,553308,7037,43305,Feb,50.2966,55.3308,0.7037,4.3305
2/17/21,Virginia,503922,555592,7075,44595,Feb,50.3922,55.5592,0.7075,4.4595
2/18/21,Virginia,505501,557896,7090,45305,Feb,50.5501,55.7896,0.709,4.5305
2/19/21,Virginia,507308,559930,7098,45524,Feb,50.7308,55.993,0.7098,4.5524
2/20/21,Virginia,508948,561812,7197,45667,Feb,50.8948,56.1812,0.7197,4.5667
2/21/21,Virginia,511038,564115,7331,45746,Feb,51.1038,56.4115,0.7331,4.5746
2/22/21,Virginia,511892,565270,7486,45892,Feb,51.1892,56.527,0.7486,4.5892
2/23/21,Virginia,,567039,7658,,Feb,0,56.7039,0.7658,0
2/24/21,Virginia,,568946,7807,,Feb,0,56.8946,0.7807,0
2/25/21,Virginia,,570982,7963,,Feb,0,57.0982,0.7963,0
2/26/21,Virginia,,572639,8197,,Feb,0,57.2639,0.8197,0
2/27/21,Virginia,,574314,8382,,Feb,0,57.4314,0.8382,0
2/28/21,Virginia,,576050,8552,,Feb,0,57.605,0.8552,0
3/1/21,Virginia,,577174,8783,,Mar,0,57.7174,0.8783,0
3/2/21,Virginia,,578559,8943,,Mar,0,57.8559,0.8943,0
3/3/21,Virginia,,580108,9326,,Mar,0,58.0108,0.9326,0
3/4/21,Virginia,,581408,9357,,Mar,0,58.1408,0.9357,0
3/5/21,Virginia,,583060,9428,,Mar,0,58.306,0.9428,0
3/6/21,Virginia,,584537,9519,,Mar,0,58.4537,0.9519,0
3/7/21,Virginia,,585700,9596,,Mar,0,58.57,0.9596,0
3/8/21,Virginia,,586592,9683,,Mar,0,58.6592,0.9683,0
3/9/21,Virginia,,588129,9790,,Mar,0,58.8129,0.979,0
3/10/21,Virginia,,589375,9849,,Mar,0,58.9375,0.9849,0
3/11/21,Virginia,,590625,9902,,Mar,0,59.0625,0.9902,0
3/12/21,Virginia,,592214,9961,,Mar,0,59.2214,0.9961,0
3/13/21,Virginia,,593562,9985,,Mar,0,59.3562,0.9985,0
3/14/21,Virginia,,594735,10019,,Mar,0,59.4735,1.0019,0
3/15/21,Virginia,,595865,10060,,Mar,0,59.5865,1.006,0
3/16/21,Virginia,,597141,10104,,Mar,0,59.7141,1.0104,0
3/17/21,Virginia,,598468,10154,,Mar,0,59.8468,1.0154,0
3/18/21,Virginia,,600550,10182,,Mar,0,60.055,1.0182,0
3/19/21,Virginia,,602182,10092,,Mar,0,60.2182,1.0092,0
3/20/21,Virginia,,603745,10104,,Mar,0,60.3745,1.0104,0
3/21/21,Virginia,,604904,10117,,Mar,0,60.4904,1.0117,0
3/22/21,Virginia,,605967,10127,,Mar,0,60.5967,1.0127,0
3/23/21,Virginia,,607234,10137,,Mar,0,60.7234,1.0137,0
3/24/21,Virginia,,608704,10143,,Mar,0,60.8704,1.0143,0
3/25/21,Virginia,,610263,10147,,Mar,0,61.0263,1.0147,0
3/26/21,Virginia,,612062,10154,,Mar,0,61.2062,1.0154,0
3/27/21,Virginia,,613974,10178,,Mar,0,61.3974,1.0178,0
3/28/21,Virginia,,615366,10198,,Mar,0,61.5366,1.0198,0
3/29/21,Virginia,,616509,10219,,Mar,0,61.6509,1.0219,0
3/30/21,Virginia,,617941,10242,,Mar,0,61.7941,1.0242,0
3/31/21,Virginia,,618976,10252,,Mar,0,61.8976,1.0252,0
4/1/21,Virginia,,620801,10268,,Apr,0,62.0801,1.0268,0
4/2/21,Virginia,,622339,10279,,Apr,0,62.2339,1.0279,0
4/3/21,Virginia,,623881,10287,,Apr,0,62.3881,1.0287,0
4/4/21,Virginia,,625148,10329,,Apr,0,62.5148,1.0329,0
4/5/21,Virginia,,626171,10360,,Apr,0,62.6171,1.036,0
4/6/21,Virginia,,627605,10401,,Apr,0,62.7605,1.0401,0
4/7/21,Virginia,,629155,10415,,Apr,0,62.9155,1.0415,0
4/8/21,Virginia,,631083,10436,,Apr,0,63.1083,1.0436,0
4/9/21,Virginia,,632625,10451,,Apr,0,63.2625,1.0451,0
4/10/21,Virginia,,634325,10458,,Apr,0,63.4325,1.0458,0
4/11/21,Virginia,,635552,10472,,Apr,0,63.5552,1.0472,0
4/12/21,Virginia,,636862,10486,,Apr,0,63.6862,1.0486,0
4/13/21,Virginia,,638910,10506,,Apr,0,63.891,1.0506,0
4/14/21,Virginia,,640211,10510,,Apr,0,64.0211,1.051,0
4/15/21,Virginia,,641626,10529,,Apr,0,64.1626,1.0529,0
4/16/21,Virginia,,643220,10549,,Apr,0,64.322,1.0549,0
4/17/21,Virginia,,644828,10564,,Apr,0,64.4828,1.0564,0
4/18/21,Virginia,,646133,10581,,Apr,0,64.6133,1.0581,0
4/19/21,Virginia,,647111,10595,,Apr,0,64.7111,1.0595,0
4/20/21,Virginia,,648347,10625,,Apr,0,64.8347,1.0625,0
4/21/21,Virginia,,649608,10640,,Apr,0,64.9608,1.064,0
4/22/21,Virginia,,650981,10653,,Apr,0,65.0981,1.0653,0
4/23/21,Virginia,,652321,10666,,Apr,0,65.2321,1.0666,0
4/24/21,Virginia,,653326,10675,,Apr,0,65.3326,1.0675,0
4/25/21,Virginia,,654210,10691,,Apr,0,65.421,1.0691,0
4/26/21,Virginia,,654929,10706,,Apr,0,65.4929,1.0706,0
4/27/21,Virginia,,656020,10722,,Apr,0,65.602,1.0722,0
4/28/21,Virginia,,657154,10735,,Apr,0,65.7154,1.0735,0
4/29/21,Virginia,,658341,10751,,Apr,0,65.8341,1.0751,0
4/30/21,Virginia,,659590,10770,,Apr,0,65.959,1.077,0
5/1/21,Virginia,,660553,10777,,May,0,66.0553,1.0777,0
5/2/21,Virginia,,661314,10791,,May,0,66.1314,1.0791,0
5/3/21,Virginia,,661925,10807,,May,0,66.1925,1.0807,0
5/4/21,Virginia,,662696,10823,,May,0,66.2696,1.0823,0
5/5/21,Virginia,,663538,10844,,May,0,66.3538,1.0844,0
5/6/21,Virginia,,664394,10861,,May,0,66.4394,1.0861,0
5/7/21,Virginia,,665332,10874,,May,0,66.5332,1.0874,0
5/8/21,Virginia,,666111,10885,,May,0,66.6111,1.0885,0
5/9/21,Virginia,,666650,10895,,May,0,66.665,1.0895,0
5/10/21,Virginia,,666986,10902,,May,0,66.6986,1.0902,0
5/11/21,Virginia,,667586,10919,,May,0,66.7586,1.0919,0
5/12/21,Virginia,,668147,10934,,May,0,66.8147,1.0934,0
5/13/21,Virginia,,668726,10961,,May,0,66.8726,1.0961,0
5/14/21,Virginia,,669219,10991,,May,0,66.9219,1.0991,0
5/15/21,Virginia,,669904,11008,,May,0,66.9904,1.1008,0
5/16/21,Virginia,,670184,11018,,May,0,67.0184,1.1018,0
5/17/21,Virginia,,670456,11029,,May,0,67.0456,1.1029,0
5/18/21,Virginia,,670834,11042,,May,0,67.0834,1.1042,0
5/19/21,Virginia,,671325,11048,,May,0,67.1325,1.1048,0
5/20/21,Virginia,,671916,11068,,May,0,67.1916,1.1068,0
5/21/21,Virginia,,672312,11074,,May,0,67.2312,1.1074,0
5/22/21,Virginia,,672793,11097,,May,0,67.2793,1.1097,0
5/23/21,Virginia,,673029,11106,,May,0,67.3029,1.1106,0
5/24/21,Virginia,,673105,11116,,May,0,67.3105,1.1116,0
5/25/21,Virginia,,673759,11137,,May,0,67.3759,1.1137,0
5/26/21,Virginia,,674082,11143,,May,0,67.4082,1.1143,0
5/27/21,Virginia,,674439,11152,,May,0,67.4439,1.1152,0
5/28/21,Virginia,,674843,11156,,May,0,67.4843,1.1156,0
5/29/21,Virginia,,675165,11160,,May,0,67.5165,1.116,0
5/30/21,Virginia,,675392,11173,,May,0,67.5392,1.1173,0
5/31/21,Virginia,,675538,11186,,May,0,67.5538,1.1186,0
6/1/21,Virginia,,675597,11194,,Jun,0,67.5597,1.1194,0
6/2/21,Virginia,,675783,11206,,Jun,0,67.5783,1.1206,0
6/3/21,Virginia,,676041,11216,,Jun,0,67.6041,1.1216,0
6/4/21,Virginia,,676300,11222,,Jun,0,67.63,1.1222,0
6/5/21,Virginia,,676586,11229,,Jun,0,67.6586,1.1229,0
6/6/21,Virginia,,676741,11236,,Jun,0,67.6741,1.1236,0
6/7/21,Virginia,,676831,11245,,Jun,0,67.6831,1.1245,0
6/8/21,Virginia,,677013,11253,,Jun,0,67.7013,1.1253,0
6/9/21,Virginia,,677210,11260,,Jun,0,67.721,1.126,0
6/10/21,Virginia,,677425,11270,,Jun,0,67.7425,1.127,0
6/11/21,Virginia,,677530,11283,,Jun,0,67.753,1.1283,0
6/12/21,Virginia,,677671,11293,,Jun,0,67.7671,1.1293,0
6/13/21,Virginia,,677744,11307,,Jun,0,67.7744,1.1307,0
6/14/21,Virginia,,677812,11318,,Jun,0,67.7812,1.1318,0
6/15/21,Virginia,,677949,11328,,Jun,0,67.7949,1.1328,0
6/16/21,Virginia,,678226,11330,,Jun,0,67.8226,1.133,0
6/17/21,Virginia,,678392,11336,,Jun,0,67.8392,1.1336,0
6/18/21,Virginia,,678506,11342,,Jun,0,67.8506,1.1342,0
6/19/21,Virginia,,678595,11343,,Jun,0,67.8595,1.1343,0
6/20/21,Virginia,,678649,11351,,Jun,0,67.8649,1.1351,0
6/21/21,Virginia,,678765,11360,,Jun,0,67.8765,1.136,0
6/22/21,Virginia,,678909,11367,,Jun,0,67.8909,1.1367,0
6/23/21,Virginia,,679137,11368,,Jun,0,67.9137,1.1368,0
6/24/21,Virginia,,679391,11381,,Jun,0,67.9391,1.1381,0
6/25/21,Virginia,,679762,11396,,Jun,0,67.9762,1.1396,0
6/26/21,Virginia,,680060,11402,,Jun,0,68.006,1.1402,0
6/27/21,Virginia,,679828,11396,,Jun,0,67.9828,1.1396,0
6/28/21,Virginia,,679917,11402,,Jun,0,67.9917,1.1402,0
6/29/21,Virginia,,680065,11412,,Jun,0,68.0065,1.1412,0
6/30/21,Virginia,,680340,11415,,Jun,0,68.034,1.1415,0
7/1/21,Virginia,,680564,11419,,Jul,0,68.0564,1.1419,0
7/2/21,Virginia,,680744,11423,,Jul,0,68.0744,1.1423,0
7/3/21,Virginia,,680904,11423,,Jul,0,68.0904,1.1423,0
7/4/21,Virginia,,681072,11427,,Jul,0,68.1072,1.1427,0
7/5/21,Virginia,,681194,11431,,Jul,0,68.1194,1.1431,0
7/6/21,Virginia,,681326,11434,,Jul,0,68.1326,1.1434,0
7/7/21,Virginia,,681599,11436,,Jul,0,68.1599,1.1436,0
7/8/21,Virginia,,681890,11441,,Jul,0,68.189,1.1441,0
7/9/21,Virginia,,682147,11448,,Jul,0,68.2147,1.1448,0
7/10/21,Virginia,,682433,11450,,Jul,0,68.2433,1.145,0
7/11/21,Virginia,,682673,11450,,Jul,0,68.2673,1.145,0
7/12/21,Virginia,,682856,11450,,Jul,0,68.2856,1.145,0
7/13/21,Virginia,,683202,11459,,Jul,0,68.3202,1.1459,0
7/14/21,Virginia,,683614,11467,,Jul,0,68.3614,1.1467,0
7/15/21,Virginia,,684054,11471,,Jul,0,68.4054,1.1471,0
7/16/21,Virginia,,684499,11477,,Jul,0,68.4499,1.1477,0
7/17/21,Virginia,,684499,11477,,Jul,0,68.4499,1.1477,0
7/18/21,Virginia,,684499,11477,,Jul,0,68.4499,1.1477,0
7/19/21,Virginia,,685485,11483,,Jul,0,68.5485,1.1483,0
7/20/21,Virginia,,686206,11487,,Jul,0,68.6206,1.1487,0
7/21/21,Virginia,,686884,11491,,Jul,0,68.6884,1.1491,0
7/22/21,Virginia,,687550,11493,,Jul,0,68.755,1.1493,0
7/23/21,Virginia,,688300,11500,,Jul,0,68.83,1.15,0
7/24/21,Virginia,,688300,11500,,Jul,0,68.83,1.15,0
7/25/21,Virginia,,688300,11500,,Jul,0,68.83,1.15,0
7/26/21,Virginia,,690183,11506,,Jul,0,69.0183,1.1506,0
7/27/21,Virginia,,691018,11515,,Jul,0,69.1018,1.1515,0
7/28/21,Virginia,,692105,11522,,Jul,0,69.2105,1.1522,0
7/29/21,Virginia,,693206,11525,,Jul,0,69.3206,1.1525,0
7/30/21,Virginia,,694384,11532,,Jul,0,69.4384,1.1532,0
7/31/21,Virginia,,694384,11532,,Jul,0,69.4384,1.1532,0
8/1/21,Virginia,,694384,11532,,Aug,0,69.4384,1.1532,0
8/2/21,Virginia,,697939,11534,,Aug,0,69.7939,1.1534,0
8/3/21,Virginia,,699342,11536,,Aug,0,69.9342,1.1536,0
8/4/21,Virginia,,701059,11541,,Aug,0,70.1059,1.1541,0
8/5/21,Virginia,,702819,11546,,Aug,0,70.2819,1.1546,0
8/6/21,Virginia,,704664,11558,,Aug,0,70.4664,1.1558,0
8/7/21,Virginia,,704664,11558,,Aug,0,70.4664,1.1558,0
8/8/21,Virginia,,704664,11558,,Aug,0,70.4664,1.1558,0
8/9/21,Virginia,,709319,11571,,Aug,0,70.9319,1.1571,0
8/10/21,Virginia,,711078,11578,,Aug,0,71.1078,1.1578,0
8/11/21,Virginia,,713195,11581,,Aug,0,71.3195,1.1581,0
8/12/21,Virginia,,715556,11583,,Aug,0,71.5556,1.1583,0
8/13/21,Virginia,,717826,11599,,Aug,0,71.7826,1.1599,0
8/14/21,Virginia,,717826,11599,,Aug,0,71.7826,1.1599,0
8/15/21,Virginia,,717826,11599,,Aug,0,71.7826,1.1599,0
8/16/21,Virginia,,723727,11618,,Aug,0,72.3727,1.1618,0
8/17/21,Virginia,,725971,11625,,Aug,0,72.5971,1.1625,0
8/18/21,Virginia,,728523,11632,,Aug,0,72.8523,1.1632,0
8/19/21,Virginia,,731287,11638,,Aug,0,73.1287,1.1638,0
8/20/21,Virginia,,734079,11647,,Aug,0,73.4079,1.1647,0
8/21/21,Virginia,,734079,11647,,Aug,0,73.4079,1.1647,0
8/22/21,Virginia,,734079,11647,,Aug,0,73.4079,1.1647,0
8/23/21,Virginia,,741160,11675,,Aug,0,74.116,1.1675,0
8/24/21,Virginia,,744187,11693,,Aug,0,74.4187,1.1693,0
8/25/21,Virginia,,747641,11715,,Aug,0,74.7641,1.1715,0
8/26/21,Virginia,,751132,11729,,Aug,0,75.1132,1.1729,0
8/27/21,Virginia,,754652,11769,,Aug,0,75.4652,1.1769,0
8/28/21,Virginia,,754652,11769,,Aug,0,75.4652,1.1769,0
8/29/21,Virginia,,754652,11769,,Aug,0,75.4652,1.1769,0
8/30/21,Virginia,,762948,11810,,Aug,0,76.2948,1.181,0
8/31/21,Virginia,,766435,11842,,Aug,0,76.6435,1.1842,0
9/1/21,Virginia,,769842,11861,,Sep,0,76.9842,1.1861,0
9/2/21,Virginia,,774097,11879,,Sep,0,77.4097,1.1879,0
9/3/21,Virginia,,778167,11899,,Sep,0,77.8167,1.1899,0
9/4/21,Virginia,,778167,11899,,Sep,0,77.8167,1.1899,0
9/5/21,Virginia,,778167,11899,,Sep,0,77.8167,1.1899,0
9/6/21,Virginia,,786910,11929,,Sep,0,78.691,1.1929,0
9/7/21,Virginia,,788917,11947,,Sep,0,78.8917,1.1947,0
9/8/21,Virginia,,793396,11977,,Sep,0,79.3396,1.1977,0
9/9/21,Virginia,,797348,12010,,Sep,0,79.7348,1.201,0
9/10/21,Virginia,,801827,12036,,Sep,0,80.1827,1.2036,0
9/11/21,Virginia,,801827,12036,,Sep,0,80.1827,1.2036,0
9/12/21,Virginia,,801827,12036,,Sep,0,80.1827,1.2036,0
9/13/21,Virginia,,811079,12089,,Sep,0,81.1079,1.2089,0
9/14/21,Virginia,,814738,12118,,Sep,0,81.4738,1.2118,0
9/15/21,Virginia,,818804,12170,,Sep,0,81.8804,1.217,0
9/16/21,Virginia,,822985,12207,,Sep,0,82.2985,1.2207,0
9/17/21,Virginia,,827197,12242,,Sep,0,82.7197,1.2242,0
9/18/21,Virginia,,827197,12242,,Sep,0,82.7197,1.2242,0
9/19/21,Virginia,,827197,12242,,Sep,0,82.7197,1.2242,0
9/20/21,Virginia,,836140,12312,,Sep,0,83.614,1.2312,0
9/21/21,Virginia,,839475,12364,,Sep,0,83.9475,1.2364,0
