Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,Washington,,246752,3461,,Jan,0,24.6752,0.3461,0
1/2/21,Washington,,246752,3461,,Jan,0,24.6752,0.3461,0
1/3/21,Washington,,255396,3459,,Jan,0,25.5396,0.3459,0
1/4/21,Washington,,256435,3482,,Jan,0,25.6435,0.3482,0
1/5/21,Washington,,258767,3541,,Jan,0,25.8767,0.3541,0
1/6/21,Washington,,260752,3605,,Jan,0,26.0752,0.3605,0
1/7/21,Washington,,264012,3634,,Jan,0,26.4012,0.3634,0
1/8/21,Washington,,268607,3699,,Jan,0,26.8607,0.3699,0
1/9/21,Washington,,271595,3698,,Jan,0,27.1595,0.3698,0
1/10/21,Washington,,271595,3698,,Jan,0,27.1595,0.3698,0
1/11/21,Washington,,276686,3699,,Jan,0,27.6686,0.3699,0
1/12/21,Washington,,278544,3789,,Jan,0,27.8544,0.3789,0
1/13/21,Washington,,281202,3838,,Jan,0,28.1202,0.3838,0
1/14/21,Washington,,283777,3876,,Jan,0,28.3777,0.3876,0
1/15/21,Washington,,285970,3903,,Jan,0,28.597,0.3903,0
1/16/21,Washington,,285970,3903,,Jan,0,28.597,0.3903,0
1/17/21,Washington,,289939,3903,,Jan,0,28.9939,0.3903,0
1/18/21,Washington,,289939,3903,,Jan,0,28.9939,0.3903,0
1/19/21,Washington,,291989,3940,,Jan,0,29.1989,0.394,0
1/20/21,Washington,,294017,3940,,Jan,0,29.4017,0.394,0
1/21/21,Washington,,296087,4065,,Jan,0,29.6087,0.4065,0
1/22/21,Washington,,298249,4114,,Jan,0,29.8249,0.4114,0
1/23/21,Washington,,300198,4114,,Jan,0,30.0198,0.4114,0
1/24/21,Washington,,300198,4114,,Jan,0,30.0198,0.4114,0
1/25/21,Washington,,302141,4148,,Jan,0,30.2141,0.4148,0
1/26/21,Washington,,303482,4167,,Jan,0,30.3482,0.4167,0
1/27/21,Washington,,305289,4211,,Jan,0,30.5289,0.4211,0
1/28/21,Washington,,307809,4243,,Jan,0,30.7809,0.4243,0
1/29/21,Washington,,309801,4285,,Jan,0,30.9801,0.4285,0
1/30/21,Washington,,311597,4285,,Jan,0,31.1597,0.4285,0
1/31/21,Washington,,311597,4285,,Jan,0,31.1597,0.4285,0
2/1/21,Washington,,313335,4318,,Feb,0,31.3335,0.4318,0
2/2/21,Washington,,314692,4316,,Feb,0,31.4692,0.4316,0
2/3/21,Washington,,316294,4388,,Feb,0,31.6294,0.4388,0
2/4/21,Washington,,317878,4416,,Feb,0,31.7878,0.4416,0
2/5/21,Washington,,319371,4449,,Feb,0,31.9371,0.4449,0
2/6/21,Washington,,320146,4449,,Feb,0,32.0146,0.4449,0
2/7/21,Washington,,320146,4449,,Feb,0,32.0146,0.4449,0
2/8/21,Washington,,323214,4451,,Feb,0,32.3214,0.4451,0
2/9/21,Washington,,324025,4558,,Feb,0,32.4025,0.4558,0
2/10/21,Washington,,324706,4603,,Feb,0,32.4706,0.4603,0
2/11/21,Washington,,326159,4633,,Feb,0,32.6159,0.4633,0
2/12/21,Washington,,327167,4675,,Feb,0,32.7167,0.4675,0
2/13/21,Washington,,328047,4675,,Feb,0,32.8047,0.4675,0
2/14/21,Washington,,328047,4675,,Feb,0,32.8047,0.4675,0
2/15/21,Washington,,328047,4675,,Feb,0,32.8047,0.4675,0
