Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,West Virginia,26143,87820,1361,60316,Jan,2.6143,8.782,0.1361,6.0316
1/2/21,West Virginia,26834,89327,1373,61120,Jan,2.6834,8.9327,0.1373,6.112
1/3/21,West Virginia,27418,91058,1376,62264,Jan,2.7418,9.1058,0.1376,6.2264
1/4/21,West Virginia,27362,91886,1396,63128,Jan,2.7362,9.1886,0.1396,6.3128
1/5/21,West Virginia,27316,93162,1442,64404,Jan,2.7316,9.3162,0.1442,6.4404
1/6/21,West Virginia,27626,94678,1481,65571,Jan,2.7626,9.4678,0.1481,6.5571
1/7/21,West Virginia,27603,96002,1518,66881,Jan,2.7603,9.6002,0.1518,6.6881
1/8/21,West Virginia,28189,97898,1554,68155,Jan,2.8189,9.7898,0.1554,6.8155
1/9/21,West Virginia,28980,99778,1570,69228,Jan,2.898,9.9778,0.157,6.9228
1/10/21,West Virginia,29248,101212,1582,70382,Jan,2.9248,10.1212,0.1582,7.0382
1/11/21,West Virginia,29257,102282,1594,71431,Jan,2.9257,10.2282,0.1594,7.1431
1/12/21,West Virginia,28577,103203,1634,72992,Jan,2.8577,10.3203,0.1634,7.2992
1/13/21,West Virginia,27982,104392,1671,74739,Jan,2.7982,10.4392,0.1671,7.4739
1/14/21,West Virginia,27245,105219,1702,76272,Jan,2.7245,10.5219,0.1702,7.6272
1/15/21,West Virginia,27016,106649,1733,77900,Jan,2.7016,10.6649,0.1733,7.79
1/16/21,West Virginia,27254,108124,1761,79109,Jan,2.7254,10.8124,0.1761,7.9109
1/17/21,West Virginia,26858,108821,1776,80187,Jan,2.6858,10.8821,0.1776,8.0187
1/18/21,West Virginia,26777,109809,1784,81248,Jan,2.6777,10.9809,0.1784,8.1248
1/19/21,West Virginia,26675,110820,1815,82330,Jan,2.6675,11.082,0.1815,8.233
1/20/21,West Virginia,26217,111677,1836,83624,Jan,2.6217,11.1677,0.1836,8.3624
1/21/21,West Virginia,25737,112617,1849,85031,Jan,2.5737,11.2617,0.1849,8.5031
1/22/21,West Virginia,25342,113615,1856,86417,Jan,2.5342,11.3615,0.1856,8.6417
1/23/21,West Virginia,24856,114752,1872,88024,Jan,2.4856,11.4752,0.1872,8.8024
1/24/21,West Virginia,24479,115307,1895,88933,Jan,2.4479,11.5307,0.1895,8.8933
1/25/21,West Virginia,24365,115839,1899,89575,Jan,2.4365,11.5839,0.1899,8.9575
1/26/21,West Virginia,24175,116978,1928,90875,Jan,2.4175,11.6978,0.1928,9.0875
1/27/21,West Virginia,23571,117775,1953,92251,Jan,2.3571,11.7775,0.1953,9.2251
1/28/21,West Virginia,23140,118562,1983,93439,Jan,2.314,11.8562,0.1983,9.3439
1/29/21,West Virginia,22570,119467,2006,94891,Jan,2.257,11.9467,0.2006,9.4891
1/30/21,West Virginia,21807,120340,2015,96518,Jan,2.1807,12.034,0.2015,9.6518
1/31/21,West Virginia,21195,121001,2024,97782,Jan,2.1195,12.1001,0.2024,9.7782
2/1/21,West Virginia,20615,121425,2028,98782,Feb,2.0615,12.1425,0.2028,9.8782
2/2/21,West Virginia,20047,121935,2031,99857,Feb,2.0047,12.1935,0.2031,9.9857
2/3/21,West Virginia,19212,122470,2058,101200,Feb,1.9212,12.247,0.2058,10.12
2/4/21,West Virginia,18469,123044,2080,102495,Feb,1.8469,12.3044,0.208,10.2495
2/5/21,West Virginia,17761,123641,2100,103780,Feb,1.7761,12.3641,0.21,10.378
2/6/21,West Virginia,16886,124190,2119,105185,Feb,1.6886,12.419,0.2119,10.5185
2/7/21,West Virginia,16137,124708,2129,106442,Feb,1.6137,12.4708,0.2129,10.6442
2/8/21,West Virginia,15557,125106,2131,107418,Feb,1.5557,12.5106,0.2131,10.7418
2/9/21,West Virginia,14756,125522,2150,108616,Feb,1.4756,12.5522,0.215,10.8616
2/10/21,West Virginia,14076,125951,2175,109700,Feb,1.4076,12.5951,0.2175,10.97
2/11/21,West Virginia,13535,126420,2187,110698,Feb,1.3535,12.642,0.2187,11.0698
2/12/21,West Virginia,13103,126887,2200,111584,Feb,1.3103,12.6887,0.22,11.1584
2/13/21,West Virginia,12540,127282,2201,112541,Feb,1.254,12.7282,0.2201,11.2541
2/14/21,West Virginia,11823,127588,2210,113555,Feb,1.1823,12.7588,0.221,11.3555
2/15/21,West Virginia,11683,127889,2212,113994,Feb,1.1683,12.7889,0.2212,11.3994
2/16/21,West Virginia,10969,128117,2216,114932,Feb,1.0969,12.8117,0.2216,11.4932
2/17/21,West Virginia,10522,128405,2225,115658,Feb,1.0522,12.8405,0.2225,11.5658
2/18/21,West Virginia,10088,128760,2236,116436,Feb,1.0088,12.876,0.2236,11.6436
2/19/21,West Virginia,9624,129055,2248,117183,Feb,0.9624,12.9055,0.2248,11.7183
2/20/21,West Virginia,9136,129364,2254,117974,Feb,0.9136,12.9364,0.2254,11.7974
2/21/21,West Virginia,8954,129616,2261,118401,Feb,0.8954,12.9616,0.2261,11.8401
2/22/21,West Virginia,8795,129854,2263,118796,Feb,0.8795,12.9854,0.2263,11.8796
2/23/21,West Virginia,8528,130139,2274,119337,Feb,0.8528,13.0139,0.2274,11.9337
2/24/21,West Virginia,8067,130382,2285,120030,Feb,0.8067,13.0382,0.2285,12.003
2/25/21,West Virginia,8020,130813,2290,120503,Feb,0.802,13.0813,0.229,12.0503
2/26/21,West Virginia,7800,131234,2291,121143,Feb,0.78,13.1234,0.2291,12.1143
2/27/21,West Virginia,7486,131580,2297,121797,Feb,0.7486,13.158,0.2297,12.1797
2/28/21,West Virginia,7758,131855,2300,121797,Feb,0.7758,13.1855,0.23,12.1797
3/1/21,West Virginia,6997,132048,2300,122751,Mar,0.6997,13.2048,0.23,12.2751
3/2/21,West Virginia,6692,132184,2301,123191,Mar,0.6692,13.2184,0.2301,12.3191
3/3/21,West Virginia,6451,132416,2309,123656,Mar,0.6451,13.2416,0.2309,12.3656
3/4/21,West Virginia,6318,132677,2309,124050,Mar,0.6318,13.2677,0.2309,12.405
3/5/21,West Virginia,6144,132964,2318,124502,Mar,0.6144,13.2964,0.2318,12.4502
3/6/21,West Virginia,6465,133290,2323,124502,Mar,0.6465,13.329,0.2323,12.4502
3/7/21,West Virginia,,133445,2325,,Mar,0,13.3445,0.2325,0
3/8/21,West Virginia,,133627,2325,,Mar,0,13.3627,0.2325,0
3/9/21,West Virginia,,133856,2326,,Mar,0,13.3856,0.2326,0
3/10/21,West Virginia,,134158,2330,,Mar,0,13.4158,0.233,0
3/11/21,West Virginia,,134496,2338,,Mar,0,13.4496,0.2338,0
3/12/21,West Virginia,,134842,2511,,Mar,0,13.4842,0.2511,0
