Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,Wisconsin,66911,522523,5254,450358,Jan,6.6911,52.2523,0.5254,45.0358
1/2/21,Wisconsin,65894,523652,5256,452502,Jan,6.5894,52.3652,0.5256,45.2502
1/3/21,Wisconsin,66134,526245,5261,454850,Jan,6.6134,52.6245,0.5261,45.485
1/4/21,Wisconsin,66073,527871,5269,456529,Jan,6.6073,52.7871,0.5269,45.6529
1/5/21,Wisconsin,67874,531890,5366,458650,Jan,6.7874,53.189,0.5366,45.865
1/6/21,Wisconsin,68835,535999,5435,461729,Jan,6.8835,53.5999,0.5435,46.1729
1/7/21,Wisconsin,70588,540508,5477,464443,Jan,7.0588,54.0508,0.5477,46.4443
1/8/21,Wisconsin,72020,544618,5529,467069,Jan,7.202,54.4618,0.5529,46.7069
1/9/21,Wisconsin,72182,548134,5567,470385,Jan,7.2182,54.8134,0.5567,47.0385
1/10/21,Wisconsin,71828,550260,5570,472862,Jan,7.1828,55.026,0.557,47.2862
1/11/21,Wisconsin,71537,551942,5575,474830,Jan,7.1537,55.1942,0.5575,47.483
1/12/21,Wisconsin,72156,555249,5633,477460,Jan,7.2156,55.5249,0.5633,47.746
1/13/21,Wisconsin,72229,558020,5679,480112,Jan,7.2229,55.802,0.5679,48.0112
1/14/21,Wisconsin,72763,561160,5728,482669,Jan,7.2763,56.116,0.5728,48.2669
1/15/21,Wisconsin,72939,563866,5770,485157,Jan,7.2939,56.3866,0.577,48.5157
1/16/21,Wisconsin,72616,566275,5905,487754,Jan,7.2616,56.6275,0.5905,48.7754
1/17/21,Wisconsin,72217,568166,5906,490043,Jan,7.2217,56.8166,0.5906,49.0043
1/18/21,Wisconsin,71447,569335,5926,491962,Jan,7.1447,56.9335,0.5926,49.1962
1/19/21,Wisconsin,71266,571268,5973,494029,Jan,7.1266,57.1268,0.5973,49.4029
1/20/21,Wisconsin,70787,573119,6035,496297,Jan,7.0787,57.3119,0.6035,49.6297
1/21/21,Wisconsin,71230,575688,6090,498368,Jan,7.123,57.5688,0.609,49.8368
1/22/21,Wisconsin,71171,577991,6135,500685,Jan,7.1171,57.7991,0.6135,50.0685
1/23/21,Wisconsin,71226,580003,6184,502593,Jan,7.1226,58.0003,0.6184,50.2593
1/24/21,Wisconsin,70949,581377,6190,504238,Jan,7.0949,58.1377,0.619,50.4238
1/25/21,Wisconsin,70291,582477,6199,505987,Jan,7.0291,58.2477,0.6199,50.5987
1/26/21,Wisconsin,70017,584041,6264,507760,Jan,7.0017,58.4041,0.6264,50.776
1/27/21,Wisconsin,69286,585600,6302,510012,Jan,6.9286,58.56,0.6302,51.0012
1/28/21,Wisconsin,69387,587580,6334,511859,Jan,6.9387,58.758,0.6334,51.1859
1/29/21,Wisconsin,69185,589384,6390,513809,Jan,6.9185,58.9384,0.639,51.3809
1/30/21,Wisconsin,68822,590997,6430,515745,Jan,6.8822,59.0997,0.643,51.5745
1/31/21,Wisconsin,68537,592140,6434,517169,Jan,6.8537,59.214,0.6434,51.7169
2/1/21,Wisconsin,67684,592921,6436,518801,Feb,6.7684,59.2921,0.6436,51.8801
2/2/21,Wisconsin,67412,594217,6480,520325,Feb,6.7412,59.4217,0.648,52.0325
2/3/21,Wisconsin,66899,595756,6496,522361,Feb,6.6899,59.5756,0.6496,52.2361
2/4/21,Wisconsin,66810,597475,6545,524120,Feb,6.681,59.7475,0.6545,52.412
2/5/21,Wisconsin,66323,598902,6575,526004,Feb,6.6323,59.8902,0.6575,52.6004
2/6/21,Wisconsin,65830,600016,6611,527575,Feb,6.583,60.0016,0.6611,52.7575
2/7/21,Wisconsin,65049,600782,6613,529120,Feb,6.5049,60.0782,0.6613,52.912
2/8/21,Wisconsin,64561,601391,6614,530216,Feb,6.4561,60.1391,0.6614,53.0216
2/9/21,Wisconsin,64250,602256,6663,531343,Feb,6.425,60.2256,0.6663,53.1343
2/10/21,Wisconsin,63757,603255,6705,532793,Feb,6.3757,60.3255,0.6705,53.2793
2/11/21,Wisconsin,63796,604683,6723,534164,Feb,6.3796,60.4683,0.6723,53.4164
2/12/21,Wisconsin,63424,605785,6734,535627,Feb,6.3424,60.5785,0.6734,53.5627
2/13/21,Wisconsin,63043,606651,6744,536864,Feb,6.3043,60.6651,0.6744,53.6864
2/14/21,Wisconsin,62513,607213,6745,537955,Feb,6.2513,60.7213,0.6745,53.7955
2/15/21,Wisconsin,62123,607639,6749,538767,Feb,6.2123,60.7639,0.6749,53.8767
2/16/21,Wisconsin,61973,608418,6788,539657,Feb,6.1973,60.8418,0.6788,53.9657
2/17/21,Wisconsin,61867,609189,6798,540524,Feb,6.1867,60.9189,0.6798,54.0524
2/18/21,Wisconsin,61724,610055,6816,541515,Feb,6.1724,61.0055,0.6816,54.1515
2/19/21,Wisconsin,61627,610974,6852,542495,Feb,6.1627,61.0974,0.6852,54.2495
2/20/21,Wisconsin,61507,611789,6871,543411,Feb,6.1507,61.1789,0.6871,54.3411
2/21/21,Wisconsin,61119,612240,6871,544250,Feb,6.1119,61.224,0.6871,54.425
2/22/21,Wisconsin,60915,612712,6871,544926,Feb,6.0915,61.2712,0.6871,54.4926
2/23/21,Wisconsin,60947,613419,6910,545562,Feb,6.0947,61.3419,0.691,54.5562
2/24/21,Wisconsin,60916,614260,6936,546408,Feb,6.0916,61.426,0.6936,54.6408
2/25/21,Wisconsin,61063,615225,6994,547168,Feb,6.1063,61.5225,0.6994,54.7168
2/26/21,Wisconsin,60979,616018,6999,548040,Feb,6.0979,61.6018,0.6999,54.804
2/27/21,Wisconsin,60988,616886,7014,548884,Feb,6.0988,61.6886,0.7014,54.8884
2/28/21,Wisconsin,60685,617367,7014,549668,Feb,6.0685,61.7367,0.7014,54.9668
3/1/21,Wisconsin,60406,617700,7014,550280,Mar,6.0406,61.77,0.7014,55.028
3/2/21,Wisconsin,60527,618307,7050,550730,Mar,6.0527,61.8307,0.705,55.073
3/3/21,Wisconsin,60689,619087,7069,551329,Mar,6.0689,61.9087,0.7069,55.1329
3/4/21,Wisconsin,60975,619942,7082,551885,Mar,6.0975,61.9942,0.7082,55.1885
3/5/21,Wisconsin,61258,620663,7094,552311,Mar,6.1258,62.0663,0.7094,55.2311
3/6/21,Wisconsin,61861,621275,7103,552311,Mar,6.1861,62.1275,0.7103,55.2311
3/7/21,Wisconsin,,621654,7106,,Mar,0,62.1654,0.7106,0
3/8/21,Wisconsin,,621842,7106,,Mar,0,62.1842,0.7106,0
3/9/21,Wisconsin,,622444,7134,,Mar,0,62.2444,0.7134,0
3/10/21,Wisconsin,,623150,7150,,Mar,0,62.315,0.715,0
3/11/21,Wisconsin,,623801,7160,,Mar,0,62.3801,0.716,0
3/12/21,Wisconsin,,624508,7164,,Mar,0,62.4508,0.7164,0
3/13/21,Wisconsin,,625045,7178,,Mar,0,62.5045,0.7178,0
3/14/21,Wisconsin,,625359,7176,,Mar,0,62.5359,0.7176,0
3/15/21,Wisconsin,,625690,7177,,Mar,0,62.569,0.7177,0
3/16/21,Wisconsin,,626364,7182,,Mar,0,62.6364,0.7182,0
3/17/21,Wisconsin,,627060,7201,,Mar,0,62.706,0.7201,0
3/18/21,Wisconsin,,627743,7208,,Mar,0,62.7743,0.7208,0
3/19/21,Wisconsin,,628428,7222,,Mar,0,62.8428,0.7222,0
3/20/21,Wisconsin,,628969,7240,,Mar,0,62.8969,0.724,0
3/21/21,Wisconsin,,629407,7240,,Mar,0,62.9407,0.724,0
3/22/21,Wisconsin,,629787,7240,,Mar,0,62.9787,0.724,0
3/23/21,Wisconsin,,629787,7240,,Mar,0,62.9787,0.724,0
3/24/21,Wisconsin,,631301,7263,,Mar,0,63.1301,0.7263,0
3/25/21,Wisconsin,,632123,7267,,Mar,0,63.2123,0.7267,0
3/26/21,Wisconsin,,632945,7271,,Mar,0,63.2945,0.7271,0
3/27/21,Wisconsin,,633663,7274,,Mar,0,63.3663,0.7274,0
3/28/21,Wisconsin,,634133,7274,,Mar,0,63.4133,0.7274,0
3/29/21,Wisconsin,,634453,7277,,Mar,0,63.4453,0.7277,0
3/30/21,Wisconsin,,635314,7292,,Mar,0,63.5314,0.7292,0
3/31/21,Wisconsin,,636041,7315,,Mar,0,63.6041,0.7315,0
4/1/21,Wisconsin,,636908,7326,,Apr,0,63.6908,0.7326,0
4/2/21,Wisconsin,,637801,7336,,Apr,0,63.7801,0.7336,0
4/3/21,Wisconsin,,638590,7341,,Apr,0,63.859,0.7341,0
4/4/21,Wisconsin,,639227,7340,,Apr,0,63.9227,0.734,0
4/5/21,Wisconsin,,639553,7341,,Apr,0,63.9553,0.7341,0
4/6/21,Wisconsin,,640704,7349,,Apr,0,64.0704,0.7349,0
4/7/21,Wisconsin,,641642,7356,,Apr,0,64.1642,0.7356,0
4/8/21,Wisconsin,,642757,7370,,Apr,0,64.2757,0.737,0
4/9/21,Wisconsin,,643951,7375,,Apr,0,64.3951,0.7375,0
4/10/21,Wisconsin,,644901,7379,,Apr,0,64.4901,0.7379,0
4/11/21,Wisconsin,,645514,7380,,Apr,0,64.5514,0.738,0
4/12/21,Wisconsin,,645964,7383,,Apr,0,64.5964,0.7383,0
4/13/21,Wisconsin,,647091,7394,,Apr,0,64.7091,0.7394,0
4/14/21,Wisconsin,,648094,7402,,Apr,0,64.8094,0.7402,0
4/15/21,Wisconsin,,649178,7406,,Apr,0,64.9178,0.7406,0
4/16/21,Wisconsin,,650081,7412,,Apr,0,65.0081,0.7412,0
4/17/21,Wisconsin,,650949,7422,,Apr,0,65.0949,0.7422,0
4/18/21,Wisconsin,,651545,7420,,Apr,0,65.1545,0.742,0
4/19/21,Wisconsin,,651948,7421,,Apr,0,65.1948,0.7421,0
4/20/21,Wisconsin,,652879,7427,,Apr,0,65.2879,0.7427,0
4/21/21,Wisconsin,,653670,7430,,Apr,0,65.367,0.743,0
4/22/21,Wisconsin,,654510,7438,,Apr,0,65.451,0.7438,0
4/23/21,Wisconsin,,655410,7452,,Apr,0,65.541,0.7452,0
4/24/21,Wisconsin,,656061,7474,,Apr,0,65.6061,0.7474,0
4/25/21,Wisconsin,,656526,7473,,Apr,0,65.6526,0.7473,0
4/26/21,Wisconsin,,656932,7473,,Apr,0,65.6932,0.7473,0
4/27/21,Wisconsin,,657872,7494,,Apr,0,65.7872,0.7494,0
4/28/21,Wisconsin,,658696,7534,,Apr,0,65.8696,0.7534,0
4/29/21,Wisconsin,,659600,7542,,Apr,0,65.96,0.7542,0
4/30/21,Wisconsin,,660450,7550,,Apr,0,66.045,0.755,0
5/1/21,Wisconsin,,661209,7569,,May,0,66.1209,0.7569,0
5/2/21,Wisconsin,,661685,7567,,May,0,66.1685,0.7567,0
5/3/21,Wisconsin,,662069,7567,,May,0,66.2069,0.7567,0
5/4/21,Wisconsin,,662893,7582,,May,0,66.2893,0.7582,0
5/5/21,Wisconsin,,663668,7596,,May,0,66.3668,0.7596,0
5/6/21,Wisconsin,,664461,7614,,May,0,66.4461,0.7614,0
