Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,Wyoming,1401,44409,438,42570,Jan,0.1401,4.4409,0.0438,4.257
1/2/21,Wyoming,1098,44573,438,43037,Jan,0.1098,4.4573,0.0438,4.3037
1/3/21,Wyoming,1369,44875,438,43068,Jan,0.1369,4.4875,0.0438,4.3068
1/4/21,Wyoming,1399,45257,438,43420,Jan,0.1399,4.5257,0.0438,4.342
1/5/21,Wyoming,1542,45569,464,43563,Jan,0.1542,4.5569,0.0464,4.3563
1/6/21,Wyoming,1784,45890,464,43642,Jan,0.1784,4.589,0.0464,4.3642
1/7/21,Wyoming,1730,46168,489,43949,Jan,0.173,4.6168,0.0489,4.3949
1/8/21,Wyoming,1879,46647,489,44279,Jan,0.1879,4.6647,0.0489,4.4279
1/9/21,Wyoming,1740,46719,489,44490,Jan,0.174,4.6719,0.0489,4.449
1/10/21,Wyoming,1787,46832,489,44556,Jan,0.1787,4.6832,0.0489,4.4556
1/11/21,Wyoming,1924,47395,489,44982,Jan,0.1924,4.7395,0.0489,4.4982
1/12/21,Wyoming,2327,48072,522,45223,Jan,0.2327,4.8072,0.0522,4.5223
1/13/21,Wyoming,1863,48289,522,45904,Jan,0.1863,4.8289,0.0522,4.5904
1/14/21,Wyoming,2052,48701,522,46127,Jan,0.2052,4.8701,0.0522,4.6127
1/15/21,Wyoming,1885,48909,522,46502,Jan,0.1885,4.8909,0.0522,4.6502
1/16/21,Wyoming,1812,49068,522,46734,Jan,0.1812,4.9068,0.0522,4.6734
1/17/21,Wyoming,2021,49363,522,46820,Jan,0.2021,4.9363,0.0522,4.682
1/18/21,Wyoming,2278,49708,522,46908,Jan,0.2278,4.9708,0.0522,4.6908
1/19/21,Wyoming,1789,49922,550,47583,Jan,0.1789,4.9922,0.055,4.7583
1/20/21,Wyoming,1881,50124,550,47693,Jan,0.1881,5.0124,0.055,4.7693
1/21/21,Wyoming,1910,50424,550,47964,Jan,0.191,5.0424,0.055,4.7964
1/22/21,Wyoming,1696,50583,571,48316,Jan,0.1696,5.0583,0.0571,4.8316
1/23/21,Wyoming,1696,50583,571,48316,Jan,0.1696,5.0583,0.0571,4.8316
1/24/21,Wyoming,1756,50898,571,48571,Jan,0.1756,5.0898,0.0571,4.8571
1/25/21,Wyoming,1483,51062,571,49008,Jan,0.1483,5.1062,0.0571,4.9008
1/26/21,Wyoming,1288,51152,596,49268,Jan,0.1288,5.1152,0.0596,4.9268
1/27/21,Wyoming,1434,51368,596,49338,Jan,0.1434,5.1368,0.0596,4.9338
1/28/21,Wyoming,1242,51430,596,49592,Jan,0.1242,5.143,0.0596,4.9592
1/29/21,Wyoming,1309,51690,596,49785,Jan,0.1309,5.169,0.0596,4.9785
1/30/21,Wyoming,1127,51704,596,49981,Jan,0.1127,5.1704,0.0596,4.9981
1/31/21,Wyoming,1313,51912,596,50003,Jan,0.1313,5.1912,0.0596,5.0003
2/1/21,Wyoming,1144,52057,596,50317,Feb,0.1144,5.2057,0.0596,5.0317
2/2/21,Wyoming,1073,52128,624,50431,Feb,0.1073,5.2128,0.0624,5.0431
2/3/21,Wyoming,1165,52288,624,50499,Feb,0.1165,5.2288,0.0624,5.0499
2/4/21,Wyoming,1069,52468,624,50775,Feb,0.1069,5.2468,0.0624,5.0775
2/5/21,Wyoming,1026,52576,624,50926,Feb,0.1026,5.2576,0.0624,5.0926
2/6/21,Wyoming,976,52618,624,51018,Feb,0.0976,5.2618,0.0624,5.1018
2/7/21,Wyoming,987,52627,624,51016,Feb,0.0987,5.2627,0.0624,5.1016
2/8/21,Wyoming,869,52784,624,51291,Feb,0.0869,5.2784,0.0624,5.1291
2/9/21,Wyoming,797,52830,647,51386,Feb,0.0797,5.283,0.0647,5.1386
2/10/21,Wyoming,808,52874,647,51419,Feb,0.0808,5.2874,0.0647,5.1419
2/11/21,Wyoming,807,52979,647,51525,Feb,0.0807,5.2979,0.0647,5.1525
2/12/21,Wyoming,799,53086,647,51640,Feb,0.0799,5.3086,0.0647,5.164
2/13/21,Wyoming,799,53086,647,51640,Feb,0.0799,5.3086,0.0647,5.164
2/14/21,Wyoming,773,53136,647,51716,Feb,0.0773,5.3136,0.0647,5.1716
